Symbol,Name,Sector,Industry,Currency,Volume,TimeZone,Market
ACM,AECOM,Industrials,Engineering & Construction,USD,788583.0,EDT,us_market
ACMR,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials,USD,248679.0,EDT,us_market
ACN,Accenture plc,Technology,Information Technology Services,USD,1394227.0,EDT,us_market
ACNB,ACNB Corporation,Financial Services,Banks—Regional,USD,23395.0,EDT,us_market
ACND,Ascendant Digital Acquisition C,Financial Services,Shell Companies,USD,75653.0,EDT,us_market
ACOR,"Acorda Therapeutics, Inc.",Healthcare,Biotechnology,USD,161775.0,EDT,us_market
ACP,Aberdeen Income Credit Strategi,Financial Services,Asset Management,USD,63995.0,EDT,us_market
ACQRU,Independence Holdings Corp.,Financial Services,Shell Companies,USD,9067.0,EDT,us_market
ACR,ACRES Commercial Realty Corp.,Real Estate,REIT—Mortgage,USD,48721.0,EDT,us_market
ACRE,Ares Commercial Real Estate Cor,Real Estate,REIT—Mortgage,USD,290109.0,EDT,us_market
ACRS,"Aclaris Therapeutics, Inc.",Healthcare,Biotechnology,USD,444679.0,EDT,us_market
ACRX,"AcelRx Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers—Specialty & Generic,USD,1660740.0,EDT,us_market
ACST,"Acasti Pharma, Inc.",Healthcare,Biotechnology,USD,95670688.0,EDT,us_market
ACTC,ArcLight Clean Transition Corp.,Financial Services,Shell Companies,USD,655353.0,EDT,us_market
ACTCU,ArcLight Clean Transition Corp.,Financial Services,Shell Companies,USD,2756.0,EDT,us_market
ACTCW,ArcLight Clean Transition Corp.,,,USD,206060.0,EDT,us_market
ACTDU,ArcLight Clean Transition Corp.,Financial Services,Shell Companies,USD,324405.0,EDT,us_market
ACTG,Acacia Research Corporation,Industrials,Specialty Business Services,USD,442319.0,EDT,us_market
ACU,Acme,Consumer Defensive,Household & Personal Products,USD,19009.0,EDT,us_market
ACV,AccuVein Inc,Financial Services,Asset Management,USD,35041.0,EDT,us_market
ACVA,ACV Auctions Inc.,Technology,Software—Application,USD,371069.0,EDT,us_market
ACY,AeroCentury Corp.,Industrials,Rental & Leasing Services,USD,171400.0,EDT,us_market
ADAG,Adagene Inc.,Healthcare,Biotechnology,USD,11242.0,EDT,us_market
ADAP,Adaptimmune Therapeutics plc,Healthcare,Biotechnology,USD,1228127.0,EDT,us_market
ADBE,Adobe Inc.,Technology,Software—Infrastructure,USD,1632407.0,EDT,us_market
ADC,Agree Realty Corporation,Real Estate,REIT—Retail,USD,419615.0,EDT,us_market
ADCT,ADC Therapeutics SA,Healthcare,Biotechnology,USD,277279.0,EDT,us_market
ADER,26 Capital Acquisition Corp.,Financial Services,Shell Companies,USD,6550.0,EDT,us_market
ADERU,26 Capital Acquisition Corp.,Financial Services,Shell Companies,USD,1627.0,EDT,us_market
ADERW,26 Capital Acquisition Corp.,,,USD,8685.0,EDT,us_market
ADES,"Advanced Emissions Solutions, I",Industrials,Pollution & Treatment Controls,USD,143885.0,EDT,us_market
ADEX,Adit EdTech Acquisition Corp.,Financial Services,Shell Companies,USD,3703.0,EDT,us_market
ADFI,Anfield Dynamic Fixed Income ET,,,USD,2654.0,EDT,us_market
ADI,"Analog Devices, Inc.",Technology,Semiconductors,USD,2706596.0,EDT,us_market
ADIL,"Adial Pharmaceuticals, Inc",Healthcare,Biotechnology,USD,126316.0,EDT,us_market
ADILW,"Adial Pharmaceuticals, Inc",,,USD,8240.0,EDT,us_market
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,USD,2852119.0,EDT,us_market
ADMA,ADMA Biologics Inc,Healthcare,Biotechnology,USD,5066706.0,EDT,us_market
ADME,Aptus Drawdown Managed Equity E,,,USD,87962.0,EDT,us_market
ADMP,Adamis Pharmaceuticals Corporat,Healthcare,Drug Manufacturers—Specialty & Generic,USD,11659991.0,EDT,us_market
ADMS,"Adamas Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers—Specialty & Generic,USD,204492.0,EDT,us_market
ADN,"Advent Technologies Holdings, I",Utilities,Utilities—Renewable,USD,245144.0,EDT,us_market
ADNT,Adient plc,Consumer Cyclical,Auto Parts,USD,734883.0,EDT,us_market
ADNWW,"Advent Technologies Holdings, I",,,USD,192545.0,EDT,us_market
ADOC,Edoc Acquisition Corp.,Financial Services,Shell Companies,USD,749.0,EDT,us_market
ADOCR,Edoc Acquisition Corp.,,,USD,1112.0,EDT,us_market
ADOCW,Edoc Acquisition Corp.,,,USD,13105.0,EDT,us_market
ADP,"Automatic Data Processing, Inc.",Industrials,Staffing & Employment Services,USD,1968302.0,EDT,us_market
ADPT,Adaptive Biotechnologies Corpor,Healthcare,Biotechnology,USD,1747590.0,EDT,us_market
ADRA,Invesco BLDRS Asia 50,,,USD,1691.0,EDT,us_market
ADS,Alliance Data Systems Corporati,Financial Services,Credit Services,USD,628949.0,EDT,us_market
ADSK,"Autodesk, Inc.",Technology,Software—Application,USD,799813.0,EDT,us_market
ADT,ADT Inc.,Industrials,Security & Protection Services,USD,2373458.0,EDT,us_market
ADTN,"ADTRAN, Inc.",Technology,Communication Equipment,USD,610101.0,EDT,us_market
ADTX,"ADiTx Therapeutics, Inc.",Healthcare,Biotechnology,USD,174534.0,EDT,us_market
ADUS,Addus HomeCare Corporation,Healthcare,Medical Care Facilities,USD,74691.0,EDT,us_market
ADV,Advantage Solutions Inc.,Communication Services,Advertising Agencies,USD,253000.0,EDT,us_market
ADVM,"Adverum Biotechnologies, Inc.",Healthcare,Biotechnology,USD,3347478.0,EDT,us_market
ADVWW,Advantage Solutions Inc.,,,USD,21595.0,EDT,us_market
ADX,Adams Diversified Equity Fund I,Financial Services,Asset Management,USD,154861.0,EDT,us_market
ADXN,Addex Therapeutics Ltd,Healthcare,Biotechnology,USD,7408.0,EDT,us_market
ADXS,"Advaxis, Inc.",Healthcare,Biotechnology,USD,7011806.0,EDT,us_market
AE,"Adams Resources & Energy, Inc.",Energy,Oil & Gas Integrated,USD,20731.0,EDT,us_market
AEAC,Authentic Equity Acquisition Co,Financial Services,Shell Companies,USD,30156.0,EDT,us_market
AEACU,Authentic Equity Acquisition Co,Financial Services,Shell Companies,USD,12543.0,EDT,us_market
AEACW,Authentic Equity Acquisition Co,,,USD,8160.0,EDT,us_market
AEB,AEGON N.V. Perp. Cap. Secs. Flo,,,,,EDT,us_market
AEE,Ameren Corporation,Utilities,Utilities—Regulated Electric,USD,1198900.0,EDT,us_market
AEF,27762,Financial Services,Asset Management,USD,59425.0,EDT,us_market
AEFC,Aegon Funding Company LLC 5.10%,,,USD,48110.0,EDT,us_market
AEG,AEGON N.V.,Financial Services,Insurance—Diversified,USD,2006705.0,EDT,us_market
AEGN,Aegion Corp,Industrials,Engineering & Construction,USD,115812.0,EDT,us_market
AEHL,Antelope Enterprise Holdings Li,Industrials,Building Products & Equipment,USD,283714.0,EDT,us_market
AEHR,Aehr Test Systems,Technology,Semiconductor Equipment & Materials,USD,123123.0,EDT,us_market
AEI,Alset EHome International Inc.,Real Estate,Real Estate—Development,USD,622446.0,EDT,us_market
AEIS,"Advanced Energy Industries, Inc",Industrials,Electrical Equipment & Parts,USD,588780.0,EDT,us_market
AEL,American Equity Investment Life,Financial Services,Insurance—Life,USD,285895.0,EDT,us_market
AEM,Agnico Eagle Mines Limited,Basic Materials,Gold,USD,1922801.0,EDT,us_market
AEMD,"Aethlon Medical, Inc.",Healthcare,Medical Devices,USD,91761.0,EDT,us_market
AENZ,Aenza S.A.A.,Industrials,Engineering & Construction,USD,103984.0,EDT,us_market
AEO,"American Eagle Outfitters, Inc.",Consumer Cyclical,Apparel Retail,USD,1525801.0,EDT,us_market
AEP,American Electric Power Company,Utilities,Utilities—Regulated Electric,USD,2617123.0,EDT,us_market
AEPPL,American Electric Power Company,,,USD,12457.0,EDT,us_market
AEPPZ,American Electric Power Company,Utilities,Utilities—Regulated Electric,USD,12251.0,EDT,us_market
AER,AerCap Holdings N.V.,Industrials,Airports & Air Services,USD,1502166.0,EDT,us_market
AERI,"Aerie Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers—Specialty & Generic,USD,706492.0,EDT,us_market
AES,The AES Corporation,Utilities,Utilities—Diversified,USD,16044037.0,EDT,us_market
AESC,The AES Corporation Corporate,Utilities,Utilities—Diversified,USD,90538.0,EDT,us_market
AESE,"Allied Esports Entertainment, I",Communication Services,Entertainment,USD,373388.0,EDT,us_market
AESR,Anfield U.S. Equity Sector Rota,,,USD,5147.0,EDT,us_market
AEVA,"Aeva Technologies, Inc.",Consumer Cyclical,Auto Parts,USD,838386.0,EDT,us_market
AEY,"ADDvantage Technologies Group, ",Technology,Electronics & Computer Distribution,USD,83759.0,EDT,us_market
AEYE,"AudioEye, Inc.",Technology,Software—Application,USD,100325.0,EDT,us_market
AEZS,Aeterna Zentaris Inc.,Healthcare,Biotechnology,USD,1340137.0,EDT,us_market
AFAQU,AF Acquisition Corp.,Financial Services,Shell Companies,USD,64904.0,EDT,us_market
AFB,AllianceBernstein National Muni,Financial Services,Asset Management,USD,51988.0,EDT,us_market
AFBI,"Affinity Bancshares, Inc.",Financial Services,Banks—Regional,USD,21451.0,EDT,us_market
AFCG,"AFC Gamma, Inc.",Real Estate,REIT—Specialty,USD,59541.0,EDT,us_market
AFG,"American Financial Group, Inc.",Financial Services,Insurance—Property & Casualty,USD,348973.0,EDT,us_market
AFGB,"American Financial Group, Inc. ",,,USD,4847.0,EDT,us_market
AFGC,"American Financial Group, Inc. ",,,USD,15300.0,EDT,us_market
AFGD,"American Financial Group, Inc. ",,,USD,4311.0,EDT,us_market
AFGE,"American Financial Group, Inc. ",,,USD,683.0,EDT,us_market
AFI,"Armstrong Flooring, Inc.",Industrials,Building Products & Equipment,USD,129799.0,EDT,us_market
AFIB,"Acutus Medical, Inc.",Healthcare,Medical Devices,USD,165650.0,EDT,us_market
AFIN,"American Finance Trust, Inc.",Real Estate,REIT—Diversified,USD,347138.0,EDT,us_market
AFINO,"American Finance Trust, Inc. - ",Real Estate,REIT—Diversified,USD,13519.0,EDT,us_market
AFINP,"American Finance Trust, Inc. - ",Real Estate,REIT—Diversified,USD,5645.0,EDT,us_market
AFL,AFLAC Incorporated,Financial Services,Insurance—Life,USD,2597243.0,EDT,us_market
AFMD,Affimed N.V.,Healthcare,Biotechnology,USD,2717997.0,EDT,us_market
AFRM,"Affirm Holdings, Inc.",Technology,Information Technology Services,USD,3332294.0,EDT,us_market
AFT,Apollo Senior Floating Rate Fun,Financial Services,Asset Management,USD,28787.0,EDT,us_market
AFYA,Afya Limited,Consumer Defensive,Education & Training Services,USD,269299.0,EDT,us_market
AG,First Majestic Silver Corp.,Basic Materials,Silver,USD,5694206.0,EDT,us_market
AGAC,African Gold Acquisition Corpor,Financial Services,Shell Companies,USD,76553.0,EDT,us_market
AGBA,AGBA Acquisition Limited,Financial Services,Shell Companies,USD,2038.0,EDT,us_market
AGBAR,AGBA Acquisition Limited,,,USD,172520.0,EDT,us_market
AGBAW,AGBA Acquisition Limited,,,USD,19311.0,EDT,us_market
AGC,Altimeter Growth Corp.,Financial Services,Shell Companies,USD,3187237.0,EDT,us_market
AGCB,Altimeter Growth Corp. 2,Financial Services,Shell Companies,USD,95361.0,EDT,us_market
AGCO,AGCO Corporation,Industrials,Farm & Heavy Construction Machinery,USD,536450.0,EDT,us_market
AGCUU,Altimeter Growth Corp.,Financial Services,Shell Companies,USD,45912.0,EDT,us_market
AGCWW,Altimeter Growth Corp.,,,USD,149608.0,EDT,us_market
AGD,Aberdeen Global Dynamic Dividen,,,USD,55765.0,EDT,us_market
AGE,"AgeX Therapeutics, Inc.",Healthcare,Biotechnology,USD,299097.0,EDT,us_market
AGEN,Agenus Inc.,Healthcare,Biotechnology,USD,2280608.0,EDT,us_market
AGFS,"AgroFresh Solutions, Inc.",Consumer Defensive,Farm Products,USD,113752.0,EDT,us_market
AGFY,Agrify Corporation,Industrials,Specialty Business Services,USD,488612.0,EDT,us_market
AGGRU,Agile Growth Corp.,Financial Services,Shell Companies,USD,267.0,EDT,us_market
AGI,Alamos Gold Inc.,Basic Materials,Gold,USD,2176238.0,EDT,us_market
AGIO,"Agios Pharmaceuticals, Inc.",Healthcare,Biotechnology,USD,519670.0,EDT,us_market
AGL,"agilon health, inc.",Healthcare,Medical Care Facilities,USD,222747.0,EDT,us_market
AGLE,"Aeglea BioTherapeutics, Inc.",Healthcare,Biotechnology,USD,43478.0,EDT,us_market
AGM,Federal Agricultural Mortgage C,Financial Services,Credit Services,USD,139663.0,EDT,us_market
AGMH,AGM Group Holdings Inc.,Technology,Software—Application,USD,499.0,EDT,us_market
AGNC,AGNC Investment Corp.,Real Estate,REIT—Mortgage,USD,4850909.0,EDT,us_market
AGNCM,AGNC Investment Corp. - Deposit,Real Estate,REIT—Mortgage,USD,9793.0,EDT,us_market
AGNCN,AGNC Investment Corp. - Deposit,Real Estate,REIT—Mortgage,USD,8127.0,EDT,us_market
AGNCO,AGNC Investment Corp. - Deposit,Real Estate,REIT—Mortgage,USD,36582.0,EDT,us_market
AGNCP,AGNC Investment Corp. - Deposit,Real Estate,REIT—Mortgage,USD,89145.0,EDT,us_market
AGO,Assured Guaranty Ltd.,Financial Services,Insurance—Specialty,USD,895537.0,EDT,us_market
AGR,"Avangrid, Inc.",Utilities,Utilities—Regulated Electric,USD,312709.0,EDT,us_market
AGRO,Adecoagro S.A.,Consumer Defensive,Farm Products,USD,1332577.0,EDT,us_market
AGRX,"Agile Therapeutics, Inc.",Healthcare,Drug Manufacturers—Specialty & Generic,USD,1200117.0,EDT,us_market
AGS,"PlayAGS, Inc.",Consumer Cyclical,Gambling,USD,999144.0,EDT,us_market
AGTC,Applied Genetic Technologies Co,Healthcare,Biotechnology,USD,1598491.0,EDT,us_market
AGTI,"Agiliti, Inc.",Healthcare,Health Information Services,USD,435219.0,EDT,us_market
AGX,"Argan, Inc.",Industrials,Engineering & Construction,USD,47730.0,EDT,us_market
AGYS,"Agilysys, Inc.",Technology,Software—Application,USD,75399.0,EDT,us_market
AHAC,Alpha Healthcare Acquisition Co,Financial Services,Shell Companies,USD,87082.0,EDT,us_market
AHACU,Alpha Healthcare Acquisition Co,Financial Services,Shell Companies,USD,602.0,EDT,us_market
AHACW,Alpha Healthcare Acquisition Co,,,USD,9906.0,EDT,us_market
AHC,A.H. Belo Corporation (TX),Communication Services,Publishing,USD,279771.0,EDT,us_market
AHCO,AdaptHealth Corp.,Healthcare,Medical Devices,USD,3339526.0,EDT,us_market
AHH,"Armada Hoffler Properties, Inc.",Real Estate,REIT—Diversified,USD,424730.0,EDT,us_market
AHL,144614,,,,,EDT,us_market
AHPI,"Allied Healthcare Products, Inc",Healthcare,Medical Devices,USD,45775.0,EDT,us_market
AHT,Ashford Hospitality Trust Inc,Real Estate,REIT—Hotel & Motel,USD,23651361.0,EDT,us_market
AI,"C3.ai, Inc.",Technology,Information Technology Services,USD,2707514.0,EDT,us_market
AIC,Arlington Asset Investment Corp,,,USD,1060.0,EDT,us_market
AIF,Apollo Tactical Income Fund Inc,Financial Services,Asset Management,USD,12649.0,EDT,us_market
AIG,"American International Group, I",Financial Services,Insurance—Diversified,USD,5582252.0,EDT,us_market
AIH,Aesthetic Medical International,Healthcare,Medical Care Facilities,USD,193055.0,EDT,us_market
AIHS,Senmiao Technology Limited,Financial Services,Credit Services,USD,883384.0,EDT,us_market
AIKI,AIkido Pharma Inc.,Healthcare,Biotechnology,USD,917697.0,EDT,us_market
AIM,AIM ImmunoTech Inc.,Healthcare,Biotechnology,USD,612571.0,EDT,us_market
AIMC,Altra Industrial Motion Corp.,Industrials,Specialty Industrial Machinery,USD,355757.0,EDT,us_market
AIN,Albany International Corporatio,Consumer Cyclical,Textile Manufacturing,USD,108859.0,EDT,us_market
AINC,Ashford Inc. (Holding Company),Financial Services,Asset Management,USD,110393.0,EDT,us_market
AINV,Apollo Investment Corporation -,Financial Services,Asset Management,USD,503979.0,EDT,us_market
AIO,AllianzGI Artificial Intelligen,,,USD,79315.0,EDT,us_market
AIR,AAR Corp.,Industrials,Aerospace & Defense,USD,271232.0,EDT,us_market
AIRC,Apartment Income REIT Corp.,Real Estate,REIT—Residential,USD,344638.0,EDT,us_market
AIRG,"Airgain, Inc.",Technology,Communication Equipment,USD,97279.0,EDT,us_market
AIRI,Air Industries Group,Industrials,Aerospace & Defense,USD,219478.0,EDT,us_market
AIRT,"Air T, Inc.",Industrials,Integrated Freight & Logistics,USD,20740.0,EDT,us_market
AIRTP,"Air T, Inc. - Trust Preferred S",Industrials,Integrated Freight & Logistics,USD,134.0,EDT,us_market
AIRTW,"Air T, Inc. - Air T Funding",,,USD,3152.0,EDT,us_market
AIT,Applied Industrial Technologies,Industrials,Industrial Distribution,USD,166733.0,EDT,us_market
AIV,Apartment Investment and Manage,Real Estate,REIT—Residential,USD,1513141.0,EDT,us_market
AIW,Arlington Asset Investment Corp,,,USD,848.0,EDT,us_market
AIZ,"Assurant, Inc.",Financial Services,Insurance—Specialty,USD,254514.0,EDT,us_market
AIZN,"Assurant, Inc. 5.25% Subordinat",,,USD,6010.0,EDT,us_market
AJAX,Ajax I,Financial Services,Shell Companies,USD,1280638.0,EDT,us_market
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,USD,644770.0,EDT,us_market
AJRD,"Aerojet Rocketdyne Holdings, In",Industrials,Aerospace & Defense,USD,641983.0,EDT,us_market
AJX,Great Ajax Corp.,Real Estate,REIT—Mortgage,USD,126797.0,EDT,us_market
AJXA,Great Ajax Corp. 7.25% Converti,,,,,EDT,us_market
AKAM,"Akamai Technologies, Inc.",Technology,Software—Infrastructure,USD,1411061.0,EDT,us_market
AKBA,"Akebia Therapeutics, Inc.",Healthcare,Biotechnology,USD,2759748.0,EDT,us_market
AKIC,Sports Ventures Acquisition Cor,Financial Services,Shell Companies,USD,9131.0,EDT,us_market
AKICU,Sports Ventures Acquisition Cor,Financial Services,Shell Companies,USD,5231.0,EDT,us_market
AKICW,Sports Ventures Acquisition Cor,,,USD,612.0,EDT,us_market
AKO-A,Embotelladora Andina S.A.,Consumer Defensive,Beverages—Non-Alcoholic,USD,6824.0,EDT,us_market
AKO-B,Embotelladora Andina S.A.,Consumer Defensive,Beverages—Non-Alcoholic,USD,7300.0,EDT,us_market
AKR,Acadia Realty Trust,Real Estate,REIT—Retail,USD,577059.0,EDT,us_market
AKRO,"Akero Therapeutics, Inc.",Healthcare,Biotechnology,USD,244487.0,EDT,us_market
AKTS,"Akoustis Technologies, Inc.",Technology,Communication Equipment,USD,805125.0,EDT,us_market
AKTX,Akari Therapeutics Plc,Healthcare,Biotechnology,USD,691732.0,EDT,us_market
AKU,Akumin Inc.,Healthcare,Diagnostics & Research,USD,19291.0,EDT,us_market
AKUS,"Akouos, Inc.",Healthcare,Biotechnology,USD,56985.0,EDT,us_market
AKYA,"Akoya BioSciences, Inc.",Healthcare,Medical Instruments & Supplies,USD,45876.0,EDT,us_market
AL,Air Lease Corporation,Industrials,Rental & Leasing Services,USD,2232718.0,EDT,us_market
ALAC,Alberton Acquisition Corporatio,Financial Services,Shell Companies,USD,10788.0,EDT,us_market
ALACR,Alberton Acquisition Corporatio,,,USD,102.0,EDT,us_market
ALACW,Alberton Acquisition Corporatio,,,USD,48084.0,EDT,us_market
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,USD,1115906.0,EDT,us_market
ALBO,"Albireo Pharma, Inc.",Healthcare,Biotechnology,USD,129339.0,EDT,us_market
ALC,Alcon Inc.,Healthcare,Medical Instruments & Supplies,USD,1550420.0,EDT,us_market
ALCO,"Alico, Inc.",Consumer Defensive,Farm Products,USD,19280.0,EDT,us_market
ALDX,"Aldeyra Therapeutics, Inc.",Healthcare,Biotechnology,USD,1319170.0,EDT,us_market
ALE,"Allete, Inc.",Utilities,Utilities—Diversified,USD,207377.0,EDT,us_market
ALEC,"Alector, Inc.",Healthcare,Biotechnology,USD,800445.0,EDT,us_market
ALEX,"Alexander & Baldwin, Inc.",Real Estate,REIT—Diversified,USD,223763.0,EDT,us_market
ALG,"Alamo Group, Inc.",Industrials,Farm & Heavy Construction Machinery,USD,28713.0,EDT,us_market
ALGM,"Allegro MicroSystems, Inc.",Technology,Semiconductors,USD,459056.0,EDT,us_market
ALGN,"Align Technology, Inc.",Healthcare,Medical Devices,USD,694786.0,EDT,us_market
ALGS,"Aligos Therapeutics, Inc.",Healthcare,Biotechnology,USD,47720.0,EDT,us_market
