,GS
2000-10-24,101.125
2000-10-25,96.1875
2000-10-26,92.9375
2000-10-27,93.0
2000-10-30,96.5
2000-10-31,99.8125
2000-11-01,96.6875
2000-11-02,99.25
2000-11-03,100.4375
2000-11-06,96.0625
2000-11-07,93.75
2000-11-08,92.4375
2000-11-09,91.875
2000-11-10,89.1875
2000-11-13,86.375
2000-11-14,88.875
2000-11-15,90.0625
2000-11-16,91.4375
2000-11-17,88.0625
2000-11-20,83.0
2000-11-21,84.1875
2000-11-22,79.9375
2000-11-24,81.5
2000-11-27,82.5
2000-11-28,80.5
2000-11-29,82.875
2000-11-30,82.125
2000-12-01,82.0
2000-12-04,81.75
2000-12-05,88.75
2000-12-06,87.75
2000-12-07,85.875
2000-12-08,91.875
2000-12-11,96.0
2000-12-12,92.4375
2000-12-13,94.0625
2000-12-14,87.4375
2000-12-15,86.6875
2000-12-18,85.9375
2000-12-19,89.375
2000-12-20,90.0
2000-12-21,93.8125
2000-12-22,98.8125
2000-12-26,101.8125
2000-12-27,101.875
2000-12-28,107.125
2000-12-29,106.9375
2001-01-02,100.25
2001-01-03,115.5
2001-01-04,112.75
2001-01-05,107.875
2001-01-08,106.375
2001-01-09,104.75
2001-01-10,108.5
2001-01-11,110.5
2001-01-12,108.75
2001-01-16,110.0
2001-01-17,110.0
2001-01-18,107.5
2001-01-19,110.9375
2001-01-22,113.125
2001-01-23,116.0
2001-01-24,117.875
2001-01-25,113.5625
2001-01-26,114.6875
2001-01-29,115.91000366210938
2001-01-30,118.62000274658203
2001-01-31,113.75
2001-02-01,118.19999694824219
2001-02-02,113.95999908447266
2001-02-05,112.0999984741211
2001-02-06,108.94999694824219
2001-02-07,105.19999694824219
2001-02-08,105.94999694824219
2001-02-09,107.75
2001-02-12,109.5
2001-02-13,105.9000015258789
2001-02-14,104.25
2001-02-15,107.19999694824219
2001-02-16,101.5
2001-02-20,96.0
2001-02-21,94.4000015258789
2001-02-22,97.19999694824219
2001-02-23,96.04000091552734
2001-02-26,98.30000305175781
2001-02-27,98.33999633789062
2001-02-28,91.75
2001-03-01,91.61000061035156
2001-03-02,91.4000015258789
2001-03-05,92.1500015258789
2001-03-06,95.3499984741211
2001-03-07,94.94999694824219
2001-03-08,91.75
2001-03-09,87.0
2001-03-12,82.48999786376953
2001-03-13,87.51000213623047
2001-03-14,83.91000366210938
2001-03-15,87.94999694824219
2001-03-16,87.55000305175781
2001-03-19,90.94000244140625
2001-03-20,87.05999755859375
2001-03-21,85.0
2001-03-22,85.91000366210938
2001-03-23,89.80999755859375
2001-03-26,89.23999786376953
2001-03-27,93.5
2001-03-28,87.25
2001-03-29,88.0999984741211
2001-03-30,85.0999984741211
2001-04-02,84.16000366210938
2001-04-03,81.30999755859375
2001-04-04,77.52999877929688
2001-04-05,86.0
2001-04-06,84.19999694824219
2001-04-09,84.0
2001-04-10,87.80999755859375
2001-04-11,91.30000305175781
2001-04-12,94.0
2001-04-16,91.77999877929688
2001-04-17,93.0999984741211
2001-04-18,99.6500015258789
2001-04-19,97.69000244140625
2001-04-20,95.66000366210938
2001-04-23,92.95999908447266
2001-04-24,91.4000015258789
2001-04-25,92.81999969482422
2001-04-26,92.48999786376953
2001-04-27,92.94000244140625
2001-04-30,91.0999984741211
2001-05-01,92.6500015258789
2001-05-02,98.0
2001-05-03,96.0
2001-05-04,97.19999694824219
2001-05-07,96.01000213623047
2001-05-08,95.25
2001-05-09,94.66000366210938
2001-05-10,94.51000213623047
2001-05-11,92.8499984741211
2001-05-14,94.0999984741211
2001-05-15,94.8499984741211
2001-05-16,99.94999694824219
2001-05-17,97.94999694824219
2001-05-18,97.25
2001-05-21,101.9000015258789
2001-05-22,103.29000091552734
2001-05-23,99.30000305175781
2001-05-24,99.8499984741211
2001-05-25,97.95999908447266
2001-05-29,96.87999725341797
2001-05-30,94.76000213623047
2001-05-31,95.0999984741211
2001-06-01,96.69999694824219
2001-06-04,96.51000213623047
2001-06-05,97.3499984741211
2001-06-06,95.54000091552734
2001-06-07,96.9000015258789
2001-06-08,95.36000061035156
2001-06-11,92.01000213623047
2001-06-12,91.86000061035156
2001-06-13,89.16000366210938
2001-06-14,87.01000213623047
2001-06-15,89.29000091552734
2001-06-18,88.6500015258789
2001-06-19,88.18000030517578
2001-06-20,88.4000015258789
2001-06-21,93.0
2001-06-22,92.0999984741211
2001-06-25,90.94999694824219
2001-06-26,90.30000305175781
2001-06-27,87.5
2001-06-28,86.5999984741211
2001-06-29,85.80000305175781
2001-07-02,84.5999984741211
2001-07-03,84.0
2001-07-05,84.0
2001-07-06,83.0999984741211
2001-07-09,81.91000366210938
2001-07-10,81.5999984741211
2001-07-11,81.5999984741211
2001-07-12,86.55000305175781
2001-07-13,86.1500015258789
2001-07-16,83.4000015258789
2001-07-17,85.8499984741211
2001-07-18,84.0
2001-07-19,83.0
2001-07-20,82.94999694824219
2001-07-23,81.73999786376953
2001-07-24,81.8499984741211
2001-07-25,83.19999694824219
2001-07-26,84.63999938964844
2001-07-27,84.81999969482422
2001-07-30,82.69000244140625
2001-07-31,83.16000366210938
2001-08-01,85.3499984741211
2001-08-02,86.30000305175781
2001-08-03,85.5
2001-08-06,83.94999694824219
2001-08-07,83.54000091552734
2001-08-08,81.80000305175781
2001-08-09,80.05000305175781
2001-08-10,80.80000305175781
2001-08-13,82.19999694824219
2001-08-14,81.30000305175781
2001-08-15,81.8499984741211
2001-08-16,81.0999984741211
2001-08-17,77.25
2001-08-20,77.83999633789062
2001-08-21,75.4000015258789
2001-08-22,77.5
2001-08-23,77.69999694824219
2001-08-24,81.30000305175781
2001-08-27,81.9000015258789
2001-08-28,81.05000305175781
2001-08-29,80.80000305175781
2001-08-30,79.61000061035156
2001-08-31,80.0999984741211
2001-09-04,79.62000274658203
2001-09-05,78.55000305175781
2001-09-06,77.0999984741211
2001-09-07,74.4800033569336
2001-09-10,76.19999694824219
2001-09-17,69.4000015258789
2001-09-18,67.5
2001-09-19,67.51000213623047
2001-09-20,65.75
2001-09-21,67.69000244140625
2001-09-24,70.51000213623047
2001-09-25,70.02999877929688
2001-09-26,69.8499984741211
2001-09-27,68.9000015258789
2001-09-28,71.3499984741211
2001-10-01,73.5
2001-10-02,73.5999984741211
2001-10-03,76.69000244140625
2001-10-04,79.0
2001-10-05,76.25
2001-10-08,75.30000305175781
2001-10-09,77.93000030517578
2001-10-10,80.70999908447266
2001-10-11,83.8499984741211
2001-10-12,82.80000305175781
2001-10-15,84.4000015258789
2001-10-16,84.25
2001-10-17,82.06999969482422
2001-10-18,81.41000366210938
2001-10-19,79.75
2001-10-22,81.5999984741211
2001-10-23,81.5999984741211
2001-10-24,80.5
2001-10-25,81.4000015258789
2001-10-26,83.12000274658203
2001-10-29,80.8499984741211
2001-10-30,80.05000305175781
2001-10-31,78.16000366210938
2001-11-01,80.69999694824219
2001-11-02,82.25
2001-11-05,84.70999908447266
2001-11-06,86.5
2001-11-07,87.5
2001-11-08,86.69999694824219
2001-11-09,86.86000061035156
2001-11-12,88.0999984741211
2001-11-13,91.05000305175781
2001-11-14,91.5
2001-11-15,88.69999694824219
2001-11-16,87.75
2001-11-19,90.55000305175781
2001-11-20,89.75
2001-11-21,88.1500015258789
2001-11-23,90.1500015258789
2001-11-26,91.44000244140625
2001-11-27,90.0
2001-11-28,86.80999755859375
2001-11-29,89.3499984741211
2001-11-30,89.0
2001-12-03,86.01000213623047
2001-12-04,87.16999816894531
2001-12-05,92.4000015258789
2001-12-06,93.9000015258789
2001-12-07,91.61000061035156
2001-12-10,91.3499984741211
2001-12-11,91.81999969482422
2001-12-12,92.7300033569336
2001-12-13,91.0
2001-12-14,89.66000366210938
2001-12-17,89.13999938964844
2001-12-18,90.80000305175781
2001-12-19,94.41000366210938
2001-12-20,92.30999755859375
2001-12-21,92.30999755859375
2001-12-24,92.47000122070312
2001-12-26,92.80000305175781
2001-12-27,92.12000274658203
2001-12-28,93.2699966430664
2001-12-31,92.75
2002-01-02,91.06999969482422
2002-01-03,92.44999694824219
2002-01-04,96.75
2002-01-07,95.75
2002-01-08,92.5
2002-01-09,93.75
2002-01-10,93.0
2002-01-11,91.1500015258789
2002-01-14,89.97000122070312
2002-01-15,89.9000015258789
2002-01-16,88.62999725341797
2002-01-17,89.86000061035156
2002-01-18,89.20999908447266
2002-01-22,86.9800033569336
2002-01-23,87.25
2002-01-24,85.5
2002-01-25,87.30000305175781
2002-01-28,87.8499984741211
2002-01-29,84.4800033569336
2002-01-30,86.0
2002-01-31,86.9800033569336
2002-02-01,85.4000015258789
2002-02-04,82.5
2002-02-05,81.04000091552734
2002-02-06,81.9000015258789
2002-02-07,81.11000061035156
2002-02-08,83.80000305175781
2002-02-11,84.8499984741211
2002-02-12,83.5
2002-02-13,84.58000183105469
2002-02-14,85.11000061035156
2002-02-15,82.76000213623047
2002-02-19,78.5199966430664
2002-02-20,80.5999984741211
2002-02-21,79.47000122070312
2002-02-22,79.0
2002-02-25,81.95999908447266
2002-02-26,81.4000015258789
2002-02-27,80.88999938964844
2002-02-28,80.94000244140625
2002-03-01,83.47000122070312
2002-03-04,89.0999984741211
2002-03-05,89.5199966430664
2002-03-06,90.87000274658203
2002-03-07,89.95999908447266
2002-03-08,90.29000091552734
2002-03-11,90.69999694824219
2002-03-12,89.80000305175781
2002-03-13,88.0
2002-03-14,88.4000015258789
2002-03-15,90.0
2002-03-18,89.19999694824219
2002-03-19,91.05000305175781
2002-03-20,89.8499984741211
2002-03-21,90.3499984741211
2002-03-22,89.7300033569336
2002-03-25,88.02999877929688
2002-03-26,88.8499984741211
2002-03-27,89.30000305175781
2002-03-28,90.25
2002-04-01,88.47000122070312
2002-04-02,87.52999877929688
2002-04-03,86.45999908447266
2002-04-04,86.55000305175781
2002-04-05,86.1500015258789
2002-04-08,86.05999755859375
2002-04-09,84.5999984741211
2002-04-10,84.48999786376953
2002-04-11,81.23999786376953
2002-04-12,83.0
2002-04-15,81.5999984741211
2002-04-16,84.58999633789062
2002-04-17,85.05000305175781
2002-04-18,84.5199966430664
2002-04-19,86.30999755859375
2002-04-22,84.0999984741211
2002-04-23,81.5999984741211
2002-04-24,79.48999786376953
2002-04-25,77.20999908447266
2002-04-26,79.1500015258789
2002-04-29,78.5
2002-04-30,78.75
2002-05-01,79.20999908447266
2002-05-02,80.70999908447266
2002-05-03,78.55000305175781
2002-05-06,75.16000366210938
2002-05-07,74.8499984741211
2002-05-08,79.5
2002-05-09,78.63999938964844
2002-05-10,76.75
2002-05-13,78.11000061035156
2002-05-14,79.30000305175781
2002-05-15,79.45999908447266
2002-05-16,80.05000305175781
2002-05-17,80.5
2002-05-20,80.23999786376953
2002-05-21,79.19999694824219
2002-05-22,78.19999694824219
2002-05-23,79.16999816894531
2002-05-24,78.19000244140625
2002-05-28,76.9000015258789
2002-05-29,76.1500015258789
2002-05-30,75.08000183105469
2002-05-31,75.44999694824219
2002-06-03,73.79000091552734
2002-06-04,73.80000305175781
2002-06-05,75.75
2002-06-06,73.94999694824219
2002-06-07,73.94999694824219
2002-06-10,74.73999786376953
2002-06-11,72.0999984741211
2002-06-12,72.5
2002-06-13,71.30000305175781
2002-06-14,72.8499984741211
2002-06-17,75.33999633789062
2002-06-18,75.77999877929688
2002-06-19,74.44999694824219
2002-06-20,72.69999694824219
2002-06-21,70.55000305175781
2002-06-24,71.44999694824219
2002-06-25,71.3499984741211
2002-06-26,70.80000305175781
2002-06-27,73.0
2002-06-28,73.3499984741211
2002-07-01,71.13999938964844
2002-07-02,70.69999694824219
2002-07-03,70.19999694824219
2002-07-05,73.94999694824219
2002-07-08,73.5999984741211
2002-07-09,70.91000366210938
2002-07-10,71.55000305175781
2002-07-11,73.25
2002-07-12,73.1500015258789
2002-07-15,72.94999694824219
2002-07-16,72.6500015258789
2002-07-17,74.4800033569336
2002-07-18,75.5999984741211
2002-07-19,77.0
2002-07-22,72.0
2002-07-23,67.7300033569336
2002-07-24,70.8499984741211
2002-07-25,69.30999755859375
2002-07-26,69.58000183105469
2002-07-29,72.69999694824219
2002-07-30,73.9000015258789
2002-07-31,73.1500015258789
2002-08-01,71.98999786376953
2002-08-02,70.48999786376953
2002-08-05,68.05000305175781
2002-08-06,69.9000015258789
2002-08-07,70.94999694824219
2002-08-08,74.30000305175781
2002-08-09,75.44999694824219
2002-08-12,75.3499984741211
2002-08-13,74.79000091552734
2002-08-14,78.5
2002-08-15,79.55000305175781
2002-08-16,79.52999877929688
2002-08-19,81.5
2002-08-20,80.51000213623047
2002-08-21,79.87999725341797
2002-08-22,79.91000366210938
2002-08-23,78.30000305175781
2002-08-26,79.75
2002-08-27,79.0999984741211
2002-08-28,77.08000183105469
2002-08-29,77.37999725341797
2002-08-30,77.30000305175781
2002-09-03,73.75
2002-09-04,75.5
2002-09-05,72.88999938964844
2002-09-06,72.33999633789062
2002-09-09,74.30000305175781
2002-09-10,73.41000366210938
2002-09-11,73.69000244140625
2002-09-12,72.19999694824219
2002-09-13,73.0
2002-09-16,72.5999984741211
2002-09-17,70.87000274658203
2002-09-18,70.41000366210938
2002-09-19,67.1500015258789
2002-09-20,67.36000061035156
2002-09-23,65.66999816894531
2002-09-24,66.30999755859375
2002-09-25,67.44999694824219
2002-09-26,68.04000091552734
2002-09-27,66.12999725341797
2002-09-30,66.02999877929688
2002-10-01,68.44999694824219
2002-10-02,65.55000305175781
2002-10-03,62.900001525878906
2002-10-04,62.04999923706055
2002-10-07,59.529998779296875
2002-10-08,61.599998474121094
2002-10-09,59.279998779296875
2002-10-10,61.08000183105469
2002-10-11,64.19999694824219
2002-10-14,65.30000305175781
2002-10-15,70.0
2002-10-16,68.0
2002-10-17,72.4800033569336
2002-10-18,70.55000305175781
2002-10-21,74.69999694824219
2002-10-22,72.5
2002-10-23,74.2699966430664
2002-10-24,72.5
2002-10-25,73.98999786376953
2002-10-28,73.58000183105469
2002-10-29,72.37000274658203
2002-10-30,72.36000061035156
2002-10-31,71.5999984741211
2002-11-01,73.44999694824219
2002-11-04,75.95999908447266
2002-11-05,76.73999786376953
2002-11-06,76.55000305175781
2002-11-07,74.05000305175781
2002-11-08,73.08000183105469
2002-11-11,71.77999877929688
2002-11-12,72.06999969482422
2002-11-13,72.48999786376953
2002-11-14,74.98999786376953
2002-11-15,75.25
2002-11-18,75.41999816894531
2002-11-19,75.08000183105469
2002-11-20,77.41000366210938
2002-11-21,79.94999694824219
2002-11-22,79.11000061035156
2002-11-25,79.0
2002-11-26,76.83000183105469
2002-11-27,79.63999938964844
2002-11-29,78.87000274658203
2002-12-02,78.77999877929688
2002-12-03,78.5
2002-12-04,76.3499984741211
2002-12-05,74.44999694824219
2002-12-06,74.5
2002-12-09,73.44999694824219
2002-12-10,74.0
2002-12-11,73.47000122070312
2002-12-12,74.2300033569336
2002-12-13,73.0999984741211
2002-12-16,74.52999877929688
2002-12-17,74.69000244140625
2002-12-18,73.69999694824219
2002-12-19,70.30000305175781
2002-12-20,71.86000061035156
2002-12-23,70.6500015258789
2002-12-24,69.37000274658203
2002-12-26,69.55000305175781
2002-12-27,67.91999816894531
2002-12-30,68.13999938964844
2002-12-31,68.0999984741211
2003-01-02,69.6500015258789
2003-01-03,70.37999725341797
2003-01-06,73.0
2003-01-07,72.69999694824219
2003-01-08,70.91999816894531
2003-01-09,73.72000122070312
2003-01-10,74.91999816894531
2003-01-13,74.41999816894531
2003-01-14,74.69999694824219
2003-01-15,73.51000213623047
2003-01-16,73.62000274658203
2003-01-17,72.58000183105469
2003-01-21,71.0
2003-01-22,70.25
2003-01-23,71.91999816894531
2003-01-24,69.1500015258789
2003-01-27,68.4000015258789
2003-01-28,69.05000305175781
2003-01-29,69.51000213623047
2003-01-30,67.4000015258789
2003-01-31,68.0999984741211
2003-02-03,69.25
2003-02-04,67.5199966430664
2003-02-05,67.41000366210938
2003-02-06,66.6500015258789
2003-02-07,65.69999694824219
2003-02-10,65.73999786376953
2003-02-11,65.05000305175781
2003-02-12,64.30000305175781
2003-02-13,64.91999816894531
2003-02-14,66.69999694824219
2003-02-18,68.0
2003-02-19,68.2300033569336
2003-02-20,67.73999786376953
2003-02-21,68.5
2003-02-24,66.19999694824219
2003-02-25,66.58999633789062
2003-02-26,66.4800033569336
2003-02-27,67.69000244140625
2003-02-28,69.44999694824219
2003-03-03,68.0199966430664
2003-03-04,65.69000244140625
2003-03-05,66.30000305175781
2003-03-06,65.5999984741211
2003-03-07,66.68000030517578
2003-03-10,64.33999633789062
2003-03-11,62.95000076293945
2003-03-12,62.849998474121094
2003-03-13,66.77999877929688
2003-03-14,66.62000274658203
2003-03-17,68.9000015258789
2003-03-18,69.58000183105469
2003-03-19,70.2699966430664
2003-03-20,70.08000183105469
2003-03-21,72.0999984741211
2003-03-24,69.91999816894531
2003-03-25,70.69000244140625
2003-03-26,71.05000305175781
2003-03-27,70.58000183105469
2003-03-28,70.11000061035156
2003-03-31,68.08000183105469
2003-04-01,69.62000274658203
2003-04-02,72.4000015258789
2003-04-03,72.3499984741211
2003-04-04,72.05999755859375
2003-04-07,72.30999755859375
2003-04-08,72.69999694824219
2003-04-09,71.91000366210938
2003-04-10,72.3499984741211
2003-04-11,72.41999816894531
2003-04-14,74.48999786376953
2003-04-15,76.54000091552734
2003-04-16,75.19999694824219
2003-04-17,76.0999984741211
2003-04-21,76.3499984741211
2003-04-22,78.33000183105469
2003-04-23,78.43000030517578
2003-04-24,77.3499984741211
2003-04-25,75.87000274658203
2003-04-28,76.51000213623047
2003-04-29,76.44999694824219
2003-04-30,75.9000015258789
2003-05-01,75.33000183105469
2003-05-02,76.5999984741211
2003-05-05,76.48999786376953
2003-05-06,77.19999694824219
2003-05-07,77.19999694824219
2003-05-08,74.05999755859375
2003-05-09,75.0
2003-05-12,75.48999786376953
2003-05-13,74.94999694824219
2003-05-14,74.94999694824219
2003-05-15,76.0999984741211
2003-05-16,76.69999694824219
2003-05-19,74.3499984741211
2003-05-20,74.44999694824219
2003-05-21,75.0999984741211
2003-05-22,76.02999877929688
2003-05-23,76.1500015258789
2003-05-27,78.4800033569336
2003-05-28,79.9000015258789
2003-05-29,79.58999633789062
2003-05-30,81.5
2003-06-02,83.54000091552734
2003-06-03,83.0
2003-06-04,85.25
2003-06-05,87.30000305175781
2003-06-06,88.69999694824219
2003-06-09,87.54000091552734
2003-06-10,88.69999694824219
2003-06-11,89.73999786376953
2003-06-12,90.3499984741211
2003-06-13,89.16999816894531
2003-06-16,91.5
2003-06-17,91.5
2003-06-18,88.9000015258789
2003-06-19,85.91999816894531
2003-06-20,86.25
2003-06-23,85.27999877929688
2003-06-24,86.5999984741211
2003-06-25,84.77999877929688
2003-06-26,84.1500015258789
2003-06-27,82.37999725341797
2003-06-30,83.75
2003-07-01,85.8499984741211
2003-07-02,85.4000015258789
2003-07-03,84.69999694824219
2003-07-07,87.73999786376953
2003-07-08,88.05999755859375
2003-07-09,88.2300033569336
2003-07-10,86.55000305175781
2003-07-11,87.31999969482422
2003-07-14,89.44000244140625
2003-07-15,88.0199966430664
2003-07-16,87.26000213623047
2003-07-17,86.44000244140625
2003-07-18,87.69000244140625
2003-07-21,85.69999694824219
2003-07-22,86.16000366210938
2003-07-23,86.0999984741211
2003-07-24,85.4000015258789
2003-07-25,86.41999816894531
2003-07-28,86.5
2003-07-29,86.83000183105469
