,ACOR
2009-09-08,129.66000366210938
2009-09-09,129.9600067138672
2009-09-10,136.86000061035156
2009-09-11,140.94000244140625
2009-09-14,145.1999969482422
2009-09-15,150.4199981689453
2009-09-16,150.89999389648438
2009-09-17,150.3000030517578
2009-09-18,148.02000427246094
2009-09-21,146.8800048828125
2009-09-22,146.33999633789062
2009-09-23,145.44000244140625
2009-09-24,142.6199951171875
2009-09-25,141.36000061035156
2009-09-28,142.86000061035156
2009-09-29,141.60000610351562
2009-09-30,139.67999267578125
2009-10-01,133.55999755859375
2009-10-02,135.77999877929688
2009-10-05,135.47999572753906
2009-10-06,137.52000427246094
2009-10-07,137.6999969482422
2009-10-08,133.67999267578125
2009-10-09,105.12000274658203
2009-10-12,103.37999725341797
2009-10-13,100.44000244140625
2009-10-14,100.44000244140625
2009-10-15,147.89999389648438
2009-10-16,149.39999389648438
2009-10-19,146.75999450683594
2009-10-20,142.02000427246094
2009-10-21,142.0800018310547
2009-10-22,142.86000061035156
2009-10-23,139.8000030517578
2009-10-26,136.6199951171875
2009-10-27,136.1999969482422
2009-10-28,131.75999450683594
2009-10-29,135.3000030517578
2009-10-30,130.3800048828125
2009-11-02,131.94000244140625
2009-11-03,136.6199951171875
2009-11-04,136.5
2009-11-05,140.75999450683594
2009-11-06,142.67999267578125
2009-11-09,143.8800048828125
2009-11-10,144.0
2009-11-11,144.72000122070312
2009-11-12,141.24000549316406
2009-11-13,140.52000427246094
2009-11-16,143.39999389648438
2009-11-17,145.67999267578125
2009-11-18,143.4600067138672
2009-11-19,141.89999389648438
2009-11-20,143.39999389648438
2009-11-23,145.55999755859375
2009-11-24,145.8000030517578
2009-11-25,146.22000122070312
2009-11-27,144.77999877929688
2009-11-30,144.47999572753906
2009-12-01,147.60000610351562
2009-12-02,148.5
2009-12-03,144.05999755859375
2009-12-04,145.86000061035156
2009-12-07,145.0800018310547
2009-12-08,143.5800018310547
2009-12-09,142.74000549316406
2009-12-10,145.13999938964844
2009-12-11,145.32000732421875
2009-12-14,146.39999389648438
2009-12-15,144.89999389648438
2009-12-16,145.6199951171875
2009-12-17,145.74000549316406
2009-12-18,150.36000061035156
2009-12-21,151.1999969482422
2009-12-22,152.0399932861328
2009-12-23,153.77999877929688
2009-12-24,154.97999572753906
2009-12-28,153.0
2009-12-29,152.39999389648438
2009-12-30,153.0
2009-12-31,151.1999969482422
2010-01-04,152.6999969482422
2010-01-05,155.8800048828125
2010-01-06,155.6999969482422
2010-01-07,154.13999938964844
2010-01-08,157.6199951171875
2010-01-11,157.44000244140625
2010-01-12,158.22000122070312
2010-01-13,155.75999450683594
2010-01-14,155.6999969482422
2010-01-15,151.55999755859375
2010-01-19,156.1199951171875
2010-01-20,153.0
2010-01-21,153.72000122070312
2010-01-22,168.72000122070312
2010-01-25,167.82000732421875
2010-01-26,164.8800048828125
2010-01-27,169.9199981689453
2010-01-28,165.36000061035156
2010-01-29,167.8800048828125
2010-02-01,174.5399932861328
2010-02-02,182.52000427246094
2010-02-03,186.0
2010-02-04,183.77999877929688
2010-02-05,183.72000122070312
2010-02-08,179.52000427246094
2010-02-09,179.94000244140625
2010-02-10,178.55999755859375
2010-02-11,183.47999572753906
2010-02-12,187.86000061035156
2010-02-16,187.8000030517578
2010-02-17,191.4600067138672
2010-02-18,191.63999938964844
2010-02-19,190.25999450683594
2010-02-22,190.6199951171875
2010-02-23,184.8000030517578
2010-02-24,184.02000427246094
2010-02-25,181.5
2010-02-26,181.0800018310547
2010-03-01,193.9199981689453
2010-03-02,193.6199951171875
2010-03-03,199.6199951171875
2010-03-04,192.60000610351562
2010-03-05,198.17999267578125
2010-03-08,199.25999450683594
2010-03-09,202.86000061035156
2010-03-10,206.94000244140625
2010-03-11,217.55999755859375
2010-03-12,215.22000122070312
2010-03-15,212.82000732421875
2010-03-16,216.66000366210938
2010-03-17,215.16000366210938
2010-03-18,211.74000549316406
2010-03-19,209.0399932861328
2010-03-22,213.47999572753906
2010-03-23,213.77999877929688
2010-03-24,212.5800018310547
2010-03-25,215.5800018310547
2010-03-26,215.39999389648438
2010-03-29,215.6999969482422
2010-03-30,210.17999267578125
2010-03-31,205.1999969482422
2010-04-01,206.10000610351562
2010-04-05,216.89999389648438
2010-04-06,219.4199981689453
2010-04-07,216.1199951171875
2010-04-08,214.44000244140625
2010-04-09,211.97999572753906
2010-04-12,210.0
2010-04-13,211.1999969482422
2010-04-14,227.39999389648438
2010-04-15,230.94000244140625
2010-04-16,227.10000610351562
2010-04-19,223.13999938964844
2010-04-20,230.22000122070312
2010-04-21,229.32000732421875
2010-04-22,233.0399932861328
2010-04-23,230.4600067138672
2010-04-26,231.47999572753906
2010-04-27,229.74000549316406
2010-04-28,233.33999633789062
2010-04-29,237.4199981689453
2010-04-30,232.5
2010-05-03,238.1999969482422
2010-05-04,232.6199951171875
2010-05-05,229.74000549316406
2010-05-06,216.9600067138672
2010-05-07,206.75999450683594
2010-05-10,216.1199951171875
2010-05-11,217.74000549316406
2010-05-12,227.22000122070312
2010-05-13,223.6199951171875
2010-05-14,222.5399932861328
2010-05-17,219.83999633789062
2010-05-18,216.66000366210938
2010-05-19,216.60000610351562
2010-05-20,205.0800018310547
2010-05-21,207.5399932861328
2010-05-24,200.6999969482422
2010-05-25,200.4600067138672
2010-05-26,198.3000030517578
2010-05-27,205.13999938964844
2010-05-28,206.27999877929688
2010-06-01,210.72000122070312
2010-06-02,220.1999969482422
2010-06-03,226.44000244140625
2010-06-04,210.1199951171875
2010-06-07,200.33999633789062
2010-06-08,190.5
2010-06-09,189.66000366210938
2010-06-10,194.10000610351562
2010-06-11,201.36000061035156
2010-06-14,197.8800048828125
2010-06-15,200.22000122070312
2010-06-16,197.16000366210938
2010-06-17,194.5800018310547
2010-06-18,200.39999389648438
2010-06-21,195.36000061035156
2010-06-22,194.5800018310547
2010-06-23,195.1199951171875
2010-06-24,192.24000549316406
2010-06-25,196.44000244140625
2010-06-28,193.13999938964844
2010-06-29,185.6999969482422
2010-06-30,186.66000366210938
2010-07-01,178.86000061035156
2010-07-02,179.4600067138672
2010-07-06,178.02000427246094
2010-07-07,184.13999938964844
