,ESGRP
2019-07-19,26.709999084472656
2019-07-22,26.479999542236328
2019-07-23,26.700000762939453
2019-07-24,26.670000076293945
2019-07-25,26.40999984741211
2019-07-26,26.520000457763672
2019-07-29,26.59000015258789
2019-07-30,26.579999923706055
2019-07-31,26.489999771118164
2019-08-01,26.68000030517578
2019-08-02,26.899999618530273
2019-08-05,26.68000030517578
2019-08-06,26.690000534057617
2019-08-07,26.520000457763672
2019-08-08,26.639999389648438
2019-08-09,26.690000534057617
2019-08-12,26.780000686645508
2019-08-13,26.860000610351562
2019-08-14,26.489999771118164
2019-08-15,26.59000015258789
2019-08-16,26.3799991607666
2019-08-19,26.459999084472656
2019-08-20,26.56999969482422
2019-08-21,26.760000228881836
2019-08-22,26.860000610351562
2019-08-23,26.6200008392334
2019-08-26,26.579999923706055
2019-08-27,26.65999984741211
2019-08-28,26.84000015258789
2019-08-29,26.75
2019-08-30,26.690000534057617
2019-09-03,26.760000228881836
2019-09-04,26.950000762939453
2019-09-05,27.049999237060547
2019-09-06,27.3799991607666
2019-09-09,27.049999237060547
2019-09-10,26.989999771118164
2019-09-11,27.170000076293945
2019-09-12,27.190000534057617
2019-09-13,26.850000381469727
2019-09-16,26.899999618530273
2019-09-17,26.959999084472656
2019-09-18,26.899999618530273
2019-09-19,27.049999237060547
2019-09-20,27.1299991607666
2019-09-23,27.219999313354492
2019-09-24,27.149999618530273
2019-09-25,27.139999389648438
2019-09-26,27.139999389648438
2019-09-27,27.110000610351562
2019-09-30,27.1200008392334
2019-10-01,27.3799991607666
2019-10-02,27.1200008392334
2019-10-03,27.06999969482422
2019-10-04,27.09000015258789
2019-10-07,27.200000762939453
2019-10-08,27.15999984741211
2019-10-09,27.1200008392334
2019-10-10,27.040000915527344
2019-10-11,27.1299991607666
2019-10-14,27.450000762939453
2019-10-15,27.260000228881836
2019-10-16,27.43000030517578
2019-10-17,27.280000686645508
2019-10-18,27.010000228881836
2019-10-21,26.940000534057617
2019-10-22,27.010000228881836
2019-10-23,27.100000381469727
2019-10-24,27.34000015258789
2019-10-25,27.309999465942383
2019-10-28,27.389999389648438
2019-10-29,27.399999618530273
2019-10-30,27.350000381469727
2019-10-31,27.360000610351562
2019-11-01,27.549999237060547
2019-11-04,27.559999465942383
2019-11-05,27.520000457763672
2019-11-06,27.399999618530273
2019-11-07,27.399999618530273
2019-11-08,27.530000686645508
2019-11-11,27.530000686645508
2019-11-12,27.489999771118164
2019-11-13,27.59000015258789
2019-11-14,27.149999618530273
2019-11-15,27.100000381469727
2019-11-18,26.950000762939453
2019-11-19,26.950000762939453
2019-11-20,26.920000076293945
2019-11-21,26.929000854492188
2019-11-22,27.059999465942383
2019-11-25,27.06999969482422
2019-11-26,27.110000610351562
2019-11-27,27.0
2019-11-29,26.719999313354492
2019-12-02,26.690000534057617
2019-12-03,26.790000915527344
2019-12-04,26.860000610351562
2019-12-05,26.8700008392334
2019-12-06,26.920000076293945
2019-12-09,26.969999313354492
2019-12-10,26.90999984741211
2019-12-11,27.049999237060547
2019-12-12,26.8799991607666
2019-12-13,27.059999465942383
2019-12-16,27.219999313354492
2019-12-17,27.280000686645508
2019-12-18,27.520000457763672
2019-12-19,27.40999984741211
2019-12-20,27.424999237060547
2019-12-23,27.530000686645508
2019-12-24,27.520000457763672
2019-12-26,27.450000762939453
2019-12-27,27.760000228881836
2019-12-30,27.90999984741211
