,AFINP
2020-04-16,19.290000915527344
2020-04-17,19.790000915527344
2020-04-20,19.0
2020-04-21,18.5
2020-04-22,18.110000610351562
2020-04-23,18.450000762939453
2020-04-24,18.010000228881836
2020-04-27,18.299999237060547
2020-04-28,18.799999237060547
2020-04-29,19.610000610351562
2020-04-30,19.90999984741211
2020-05-01,19.219999313354492
2020-05-04,18.950000762939453
2020-05-05,19.1200008392334
2020-05-06,19.229999542236328
2020-05-07,19.110000610351562
2020-05-08,19.2450008392334
2020-05-11,19.56999969482422
2020-05-12,19.450000762939453
2020-05-13,18.90999984741211
2020-05-14,17.81999969482422
2020-05-15,17.799999237060547
2020-05-18,18.950000762939453
2020-05-19,18.829999923706055
2020-05-20,18.829999923706055
2020-05-21,19.049999237060547
2020-05-22,19.219999313354492
2020-05-26,19.600000381469727
2020-05-27,20.0
2020-05-28,19.850000381469727
2020-05-29,20.0
2020-06-01,19.950000762939453
2020-06-02,20.18000030517578
2020-06-03,20.350000381469727
2020-06-04,20.299999237060547
2020-06-05,21.829999923706055
2020-06-08,22.926000595092773
2020-06-09,22.729999542236328
2020-06-10,22.700000762939453
2020-06-11,21.399999618530273
2020-06-12,22.229999542236328
2020-06-15,22.399999618530273
2020-06-16,22.549999237060547
2020-06-17,22.200000762939453
2020-06-18,22.399999618530273
2020-06-19,22.329999923706055
2020-06-22,23.290000915527344
2020-06-23,23.6299991607666
2020-06-24,23.309999465942383
2020-06-25,23.260000228881836
2020-06-26,23.079999923706055
2020-06-29,23.65999984741211
2020-06-30,23.469999313354492
2020-07-01,23.280000686645508
2020-07-02,23.059999465942383
2020-07-06,23.18000030517578
2020-07-07,22.979999542236328
2020-07-08,22.93000030517578
2020-07-09,22.149999618530273
2020-07-10,21.719999313354492
2020-07-13,21.920000076293945
2020-07-14,21.68000030517578
2020-07-15,22.079999923706055
2020-07-16,22.149999618530273
2020-07-17,22.299999237060547
2020-07-20,22.149999618530273
2020-07-21,22.0
2020-07-22,22.040000915527344
2020-07-23,22.170000076293945
2020-07-24,22.049999237060547
2020-07-27,22.219999313354492
2020-07-28,22.520000457763672
2020-07-29,22.969999313354492
2020-07-30,23.049999237060547
2020-07-31,23.299999237060547
2020-08-03,23.100000381469727
2020-08-04,23.09000015258789
2020-08-05,23.280000686645508
2020-08-06,23.100000381469727
2020-08-07,23.270000457763672
2020-08-10,23.350000381469727
2020-08-11,23.299999237060547
2020-08-12,23.6200008392334
2020-08-13,23.850000381469727
2020-08-14,23.670000076293945
2020-08-17,23.8799991607666
2020-08-18,24.06999969482422
2020-08-19,24.270000457763672
2020-08-20,24.299999237060547
2020-08-21,24.270000457763672
2020-08-24,23.700000762939453
2020-08-25,23.110000610351562
2020-08-26,23.360000610351562
2020-08-27,23.68000030517578
2020-08-28,23.790000915527344
2020-08-31,23.729999542236328
2020-09-01,23.6200008392334
2020-09-02,23.40999984741211
2020-09-03,23.139999389648438
2020-09-04,23.18000030517578
2020-09-08,23.2450008392334
2020-09-09,23.299999237060547
2020-09-10,23.350000381469727
2020-09-11,23.469999313354492
2020-09-14,23.600000381469727
2020-09-15,23.700000762939453
2020-09-16,24.139999389648438
2020-09-17,24.110000610351562
2020-09-18,24.1200008392334
2020-09-21,24.1200008392334
2020-09-22,24.3700008392334
2020-09-23,24.149999618530273
2020-09-24,24.100000381469727
2020-09-25,24.1200008392334
2020-09-28,24.420000076293945
2020-09-29,24.450000762939453
2020-09-30,24.280000686645508
2020-10-01,24.530000686645508
2020-10-02,24.280000686645508
2020-10-05,24.030000686645508
2020-10-06,24.239999771118164
2020-10-07,24.049999237060547
2020-10-08,24.229999542236328
2020-10-09,24.1299991607666
2020-10-12,24.010000228881836
2020-10-13,24.110000610351562
2020-10-14,24.047000885009766
2020-10-15,24.040000915527344
2020-10-16,24.100000381469727
2020-10-19,24.09000015258789
2020-10-20,24.170000076293945
2020-10-21,24.219999313354492
2020-10-22,24.25
2020-10-23,24.110000610351562
2020-10-26,24.0
2020-10-27,23.889999389648438
2020-10-28,23.540000915527344
2020-10-29,23.450000762939453
2020-10-30,23.850000381469727
2020-11-02,23.809999465942383
2020-11-03,23.959999084472656
2020-11-04,23.989999771118164
2020-11-05,24.0
2020-11-06,23.889999389648438
2020-11-09,24.459999084472656
2020-11-10,24.940000534057617
2020-11-11,24.950000762939453
2020-11-12,24.969999313354492
2020-11-13,24.940000534057617
2020-11-16,24.959999084472656
2020-11-17,24.93000030517578
2020-11-18,24.90999984741211
2020-11-19,24.889999389648438
2020-11-20,24.829999923706055
2020-11-23,24.8799991607666
2020-11-24,24.889999389648438
2020-11-25,24.84000015258789
2020-11-27,24.905000686645508
2020-11-30,24.889999389648438
2020-12-01,24.954999923706055
2020-12-02,24.889999389648438
2020-12-03,24.900999069213867
2020-12-04,25.049999237060547
2020-12-07,25.149999618530273
2020-12-08,25.1299991607666
2020-12-09,25.360000610351562
2020-12-10,25.149999618530273
2020-12-11,25.040000915527344
2020-12-14,25.350000381469727
2020-12-15,25.360000610351562
2020-12-16,25.450000762939453
2020-12-17,25.360000610351562
2020-12-18,25.520000457763672
2020-12-21,25.489999771118164
2020-12-22,25.399999618530273
2020-12-23,25.299999237060547
2020-12-24,25.479999542236328
2020-12-28,25.700000762939453
2020-12-29,25.56999969482422
2020-12-30,25.5
2020-12-31,25.59000015258789
2021-01-04,25.25
2021-01-05,25.34000015258789
2021-01-06,25.09000015258789
2021-01-07,25.1299991607666
2021-01-08,25.31999969482422
2021-01-11,25.31999969482422
2021-01-12,25.299999237060547
2021-01-13,25.329999923706055
2021-01-14,25.040000915527344
2021-01-15,25.040000915527344
2021-01-19,25.170000076293945
2021-01-20,25.260000228881836
2021-01-21,25.309999465942383
2021-01-22,25.270000457763672
2021-01-25,25.260000228881836
2021-01-26,25.280000686645508
2021-01-27,25.0
2021-01-28,25.0
2021-01-29,25.209999084472656
2021-02-01,25.18000030517578
2021-02-02,25.200000762939453
2021-02-03,25.200000762939453
2021-02-04,25.18000030517578
2021-02-05,25.389999389648438
2021-02-08,25.18000030517578
2021-02-09,25.34000015258789
2021-02-10,25.229999542236328
2021-02-11,25.200000762939453
2021-02-12,25.17300033569336
2021-02-16,25.28499984741211
2021-02-17,25.239999771118164
2021-02-18,25.0
2021-02-19,25.110000610351562
2021-02-22,25.329999923706055
2021-02-23,25.34000015258789
2021-02-24,25.31999969482422
2021-02-25,25.3700008392334
2021-02-26,25.3700008392334
2021-03-01,25.34000015258789
2021-03-02,25.34000015258789
2021-03-03,25.399999618530273
2021-03-04,25.469999313354492
2021-03-05,25.5
2021-03-08,25.489999771118164
2021-03-09,25.540000915527344
2021-03-10,25.559999465942383
2021-03-11,25.530000686645508
2021-03-12,25.549999237060547
2021-03-15,25.610000610351562
2021-03-16,25.68000030517578
2021-03-17,25.520000457763672
2021-03-18,25.639999389648438
2021-03-19,25.56399917602539
2021-03-22,25.530000686645508
2021-03-23,25.59000015258789
2021-03-24,25.8799991607666
2021-03-25,25.700000762939453
2021-03-26,25.899999618530273
2021-03-29,26.229999542236328
2021-03-30,26.299999237060547
2021-03-31,26.200000762939453
2021-04-01,26.690000534057617
2021-04-05,26.75
2021-04-06,25.969999313354492
2021-04-07,25.84000015258789
2021-04-08,25.799999237060547
2021-04-09,25.65999984741211
2021-04-12,25.760000228881836
2021-04-13,25.6200008392334
2021-04-14,25.510000228881836
2021-04-15,25.549999237060547
2021-04-16,25.600000381469727
2021-04-19,25.399999618530273
2021-04-20,25.579999923706055
2021-04-21,25.799999237060547
2021-04-22,25.790000915527344
2021-04-23,25.829999923706055
2021-04-26,25.940000534057617
2021-04-27,26.1299991607666
2021-04-28,26.209999084472656
2021-04-29,26.101999282836914
2021-04-30,26.09000015258789
2021-05-03,26.079999923706055
2021-05-04,25.950000762939453
2021-05-05,26.079999923706055
2021-05-06,25.979999542236328
2021-05-07,26.079999923706055
2021-05-10,26.239999771118164
2021-05-11,26.1299991607666
2021-05-12,25.709999084472656
2021-05-13,25.670000076293945
2021-05-14,25.885000228881836
