,FITB
1980-07-21,0.487731009721756
1980-07-22,0.487731009721756
1980-07-23,0.487731009721756
1980-07-24,0.487731009721756
1980-07-25,0.487731009721756
1980-07-28,0.487731009721756
1980-07-29,0.487731009721756
1980-07-30,0.487731009721756
1980-07-31,0.487731009721756
1980-08-01,0.487731009721756
1980-08-04,0.487731009721756
1980-08-05,0.487731009721756
1980-08-06,0.487731009721756
1980-08-07,0.487731009721756
1980-08-08,0.487731009721756
1980-08-11,0.487731009721756
1980-08-12,0.487731009721756
1980-08-13,0.487731009721756
1980-08-14,0.487731009721756
1980-08-15,0.487731009721756
1980-08-18,0.487731009721756
1980-08-19,0.487731009721756
1980-08-20,0.487731009721756
1980-08-21,0.487731009721756
1980-08-22,0.4909819960594177
1980-08-25,0.4909819960594177
1980-08-26,0.4909819960594177
1980-08-27,0.49423399567604065
1980-08-28,0.49423399567604065
1980-08-29,0.49423399567604065
1980-09-02,0.49423399567604065
1980-09-03,0.49423399567604065
1980-09-04,0.49423399567604065
1980-09-05,0.49423399567604065
1980-09-08,0.49423399567604065
1980-09-09,0.49423399567604065
1980-09-10,0.49423399567604065
1980-09-11,0.49423399567604065
1980-09-12,0.49423399567604065
1980-09-15,0.49423399567604065
1980-09-16,0.49423399567604065
1980-09-17,0.4909819960594177
1980-09-18,0.4909819960594177
1980-09-19,0.4909819960594177
1980-09-22,0.4909819960594177
1980-09-23,0.4909819960594177
1980-09-24,0.487731009721756
1980-09-25,0.487731009721756
1980-09-26,0.487731009721756
1980-09-29,0.487731009721756
1980-09-30,0.487731009721756
1980-10-01,0.487731009721756
1980-10-02,0.487731009721756
1980-10-03,0.487731009721756
1980-10-06,0.487731009721756
1980-10-07,0.487731009721756
1980-10-08,0.487731009721756
1980-10-09,0.487731009721756
1980-10-10,0.487731009721756
1980-10-13,0.487731009721756
1980-10-14,0.487731009721756
1980-10-15,0.487731009721756
1980-10-16,0.487731009721756
1980-10-17,0.487731009721756
1980-10-20,0.487731009721756
1980-10-21,0.48447901010513306
1980-10-22,0.48447901010513306
1980-10-23,0.48447901010513306
1980-10-24,0.48447901010513306
1980-10-27,0.48447901010513306
1980-10-28,0.48122701048851013
1980-10-29,0.48122701048851013
1980-10-30,0.48122701048851013
1980-10-31,0.48122701048851013
1980-11-03,0.48122701048851013
1980-11-05,0.48122701048851013
1980-11-06,0.477975994348526
1980-11-07,0.477975994348526
1980-11-10,0.477975994348526
1980-11-11,0.477975994348526
1980-11-12,0.477975994348526
1980-11-13,0.477975994348526
1980-11-14,0.48447901010513306
1980-11-17,0.487731009721756
1980-11-18,0.487731009721756
1980-11-19,0.487731009721756
1980-11-20,0.4909819960594177
1980-11-21,0.49423399567604065
1980-11-24,0.49423399567604065
1980-11-25,0.4974850118160248
1980-11-26,0.4974850118160248
1980-11-28,0.5007370114326477
1980-12-01,0.5072399973869324
1980-12-02,0.5072399973869324
