,EBON
2020-10-28,9.239999771118164
2020-10-29,8.989999771118164
2020-10-30,8.960000038146973
2020-11-02,8.739999771118164
2020-11-03,8.470000267028809
2020-11-04,8.220000267028809
2020-11-05,8.25
2020-11-06,8.210000038146973
2020-11-09,8.109999656677246
2020-11-10,7.230000019073486
2020-11-11,7.940000057220459
2020-11-12,7.300000190734863
2020-11-13,7.360000133514404
2020-11-16,7.590000152587891
2020-11-17,7.53000020980835
2020-11-18,7.21999979019165
2020-11-19,5.340000152587891
2020-11-20,5.199999809265137
2020-11-23,5.25
2020-11-24,4.920000076293945
2020-11-25,5.150000095367432
2020-11-27,4.789999961853027
2020-11-30,4.880000114440918
2020-12-01,4.550000190734863
2020-12-02,4.139999866485596
2020-12-03,4.619999885559082
2020-12-04,4.449999809265137
2020-12-07,4.170000076293945
2020-12-08,4.170000076293945
2020-12-09,4.090000152587891
2020-12-10,4.050000190734863
2020-12-11,3.950000047683716
2020-12-14,3.950000047683716
2020-12-15,4.010000228881836
2020-12-16,4.269999980926514
2020-12-17,4.380000114440918
2020-12-18,4.53000020980835
2020-12-21,4.650000095367432
2020-12-22,4.889999866485596
2020-12-23,4.809999942779541
2020-12-24,4.679999828338623
2020-12-28,4.860000133514404
2020-12-29,5.190000057220459
2020-12-30,4.920000076293945
2020-12-31,6.070000171661377
2021-01-04,7.139999866485596
2021-01-05,6.199999809265137
2021-01-06,6.110000133514404
2021-01-07,7.739999771118164
2021-01-08,6.900000095367432
2021-01-11,5.980000019073486
2021-01-12,5.949999809265137
2021-01-13,5.71999979019165
2021-01-14,5.934999942779541
2021-01-15,5.300000190734863
2021-01-19,5.289999961853027
2021-01-20,4.989999771118164
2021-01-21,5.119999885559082
2021-01-22,5.150000095367432
2021-01-25,5.0
2021-01-26,4.889999866485596
2021-01-27,4.539999961853027
2021-01-28,5.21999979019165
2021-01-29,5.130000114440918
2021-02-01,5.050000190734863
2021-02-02,5.260000228881836
2021-02-03,5.510000228881836
2021-02-04,6.260000228881836
2021-02-05,5.829999923706055
2021-02-08,6.21999979019165
2021-02-09,6.329999923706055
2021-02-10,5.909999847412109
2021-02-11,5.420000076293945
2021-02-12,6.690000057220459
2021-02-16,7.880000114440918
2021-02-17,10.479999542236328
2021-02-18,11.289999961853027
2021-02-19,11.0600004196167
2021-02-22,8.40999984741211
2021-02-23,6.699999809265137
2021-02-24,7.360000133514404
2021-02-25,7.460000038146973
2021-02-26,6.900000095367432
2021-03-01,7.980000019073486
2021-03-02,7.230000019073486
2021-03-03,7.150000095367432
2021-03-04,5.889999866485596
2021-03-05,6.159999847412109
2021-03-08,5.619999885559082
2021-03-09,7.090000152587891
2021-03-10,6.880000114440918
2021-03-11,7.690000057220459
2021-03-12,10.399999618530273
2021-03-15,11.289999961853027
2021-03-16,10.449999809265137
2021-03-17,11.779999732971191
2021-03-18,10.529999732971191
2021-03-19,10.600000381469727
2021-03-22,9.140000343322754
2021-03-23,8.84000015258789
2021-03-24,7.760000228881836
2021-03-25,7.739999771118164
2021-03-26,7.800000190734863
2021-03-29,7.199999809265137
2021-03-30,7.900000095367432
2021-03-31,7.949999809265137
2021-04-01,7.03000020980835
2021-04-05,6.349999904632568
2021-04-06,5.53000020980835
2021-04-07,5.409999847412109
2021-04-08,5.03000020980835
2021-04-09,5.074999809265137
2021-04-12,4.769999980926514
2021-04-13,5.070000171661377
2021-04-14,4.670000076293945
2021-04-15,4.21999979019165
2021-04-16,4.820000171661377
2021-04-19,4.329999923706055
2021-04-20,4.159999847412109
2021-04-21,4.28000020980835
2021-04-22,4.25
2021-04-23,4.190000057220459
2021-04-26,4.360000133514404
2021-04-27,4.489999771118164
2021-04-28,4.429999828338623
2021-04-29,4.130000114440918
2021-04-30,4.090000152587891
2021-05-03,3.819999933242798
2021-05-04,3.6500000953674316
2021-05-05,3.759999990463257
2021-05-06,3.309999942779541
2021-05-07,3.450000047683716
2021-05-10,3.069999933242798
2021-05-11,3.009999990463257
2021-05-12,2.890000104904175
2021-05-13,2.4100000858306885
2021-05-14,2.75
