,BOWXU
2020-11-20,10.149999618530273
2020-11-23,10.1899995803833
2020-11-24,10.199999809265137
2020-11-25,10.239999771118164
2020-11-27,10.239999771118164
2020-11-30,10.3100004196167
2020-12-01,10.390000343322754
2020-12-02,10.430000305175781
2020-12-03,10.510000228881836
2020-12-04,10.380000114440918
2020-12-07,10.460000038146973
2020-12-08,10.550000190734863
2020-12-09,10.569999694824219
2020-12-10,10.430000305175781
2020-12-11,10.399999618530273
2020-12-14,10.569999694824219
2020-12-15,10.420000076293945
2020-12-16,10.680000305175781
2020-12-17,10.649999618530273
2020-12-18,10.600000381469727
2020-12-21,10.600000381469727
2020-12-22,10.600000381469727
2020-12-23,10.765000343322754
2020-12-24,10.75
2020-12-28,10.829999923706055
2020-12-29,10.680000305175781
2020-12-30,10.800000190734863
2020-12-31,10.699999809265137
2021-01-04,10.880000114440918
2021-01-05,10.850000381469727
2021-01-06,11.010000228881836
2021-01-07,10.960000038146973
2021-01-08,10.989999771118164
2021-01-11,10.920000076293945
2021-01-12,11.130000114440918
2021-01-13,11.180000305175781
2021-01-14,11.229999542236328
2021-01-15,11.029999732971191
2021-01-19,11.399999618530273
2021-01-20,11.300000190734863
2021-01-21,11.75
2021-01-22,11.739999771118164
2021-01-25,11.609999656677246
2021-01-26,11.220000267028809
2021-01-27,10.979999542236328
2021-01-28,11.210000038146973
2021-01-29,11.34000015258789
2021-02-01,11.5600004196167
2021-02-02,11.569999694824219
2021-02-03,11.5
2021-02-04,11.390000343322754
2021-02-05,11.359999656677246
2021-02-08,11.420000076293945
2021-02-09,11.359999656677246
2021-02-10,11.380000114440918
2021-02-11,11.329999923706055
2021-02-12,11.25
2021-02-16,11.470000267028809
2021-02-17,11.369999885559082
2021-02-18,11.4399995803833
2021-02-19,11.680000305175781
2021-02-22,11.529999732971191
2021-02-23,11.635000228881836
2021-02-24,11.630000114440918
2021-02-25,11.100000381469727
2021-02-26,11.039999961853027
2021-03-01,10.90999984741211
2021-03-02,10.6899995803833
2021-03-03,10.550000190734863
2021-03-04,10.329999923706055
2021-03-05,10.449999809265137
2021-03-08,10.5
2021-03-09,10.359999656677246
2021-03-10,10.300000190734863
2021-03-11,10.449999809265137
2021-03-12,10.600000381469727
2021-03-15,10.630999565124512
2021-03-16,10.550000190734863
2021-03-17,10.380000114440918
2021-03-18,10.5
2021-03-19,10.5600004196167
2021-03-22,10.710000038146973
2021-03-23,10.281000137329102
2021-03-24,10.09000015258789
2021-03-25,9.975000381469727
2021-03-26,12.329999923706055
2021-03-29,11.350000381469727
2021-03-30,11.90999984741211
2021-03-31,12.369999885559082
2021-04-01,13.869999885559082
2021-04-05,14.729999542236328
2021-04-06,14.199999809265137
2021-04-07,13.300000190734863
2021-04-08,13.779999732971191
2021-04-09,13.935999870300293
2021-04-12,14.770000457763672
2021-04-13,14.779999732971191
2021-04-14,13.4399995803833
2021-04-15,14.140000343322754
2021-04-16,13.130000114440918
2021-04-19,12.760000228881836
2021-04-20,12.399999618530273
2021-04-21,12.880000114440918
2021-04-22,12.930000305175781
2021-04-23,12.90999984741211
2021-04-26,12.390000343322754
2021-04-27,12.5600004196167
2021-04-28,12.430000305175781
2021-04-29,13.119999885559082
2021-04-30,13.25
2021-05-03,13.180000305175781
2021-05-04,13.300000190734863
2021-05-05,13.079999923706055
2021-05-06,13.0
2021-05-07,12.90999984741211
2021-05-10,12.899999618530273
2021-05-11,12.75
2021-05-12,13.140000343322754
2021-05-13,13.246999740600586
2021-05-14,13.5
