,ACHV
1997-03-10,1123650.0
1997-03-11,1148400.0
1997-03-12,1232550.0
1997-03-13,1188000.0
1997-03-14,1188000.0
1997-03-17,1197900.0
1997-03-18,1140975.0
1997-03-19,1138500.0
1997-03-20,1118700.0
1997-03-21,1123650.0
1997-03-24,1153350.0
1997-03-25,1128600.0
1997-03-26,1108800.0
1997-03-27,1093950.0
1997-03-31,1044450.0
1997-04-01,1039500.0
1997-04-02,1059300.0
1997-04-03,1079100.0
1997-04-04,1059300.0
1997-04-07,1103850.0
1997-04-08,1158300.0
1997-04-09,1178100.0
1997-04-10,1178100.0
1997-04-11,1168200.0
1997-04-14,1148400.0
1997-04-15,1108800.0
1997-04-16,1093950.0
1997-04-17,1084050.0
1997-04-18,1093950.0
1997-04-21,1049400.0
1997-04-22,915750.0
1997-04-23,950400.0
1997-04-24,940500.0
1997-04-25,876150.0
1997-04-28,881100.0
1997-04-29,910800.0
1997-04-30,940500.0
1997-05-01,940500.0
1997-05-02,935550.0
1997-05-05,930600.0
1997-05-06,950400.0
1997-05-07,980100.0
1997-05-08,1029600.0
1997-05-09,1009800.0
1997-05-12,994950.0
1997-05-13,1009800.0
1997-05-14,1084050.0
1997-05-15,1113750.0
1997-05-16,1069200.0
1997-05-19,1049400.0
1997-05-20,1079100.0
1997-05-21,1103850.0
1997-05-22,1089000.0
1997-05-23,1089000.0
1997-05-27,1054350.0
1997-05-28,1029600.0
1997-05-29,1029600.0
1997-05-30,1059300.0
1997-06-02,1049400.0
1997-06-03,1049400.0
1997-06-04,1079100.0
1997-06-05,1019700.0
1997-06-06,999900.0
1997-06-09,994950.0
1997-06-10,990000.0
1997-06-11,950400.0
1997-06-12,935550.0
1997-06-13,900900.0
1997-06-16,950400.0
1997-06-17,955350.0
1997-06-18,955350.0
1997-06-19,1009800.0
1997-06-20,1024650.0
1997-06-23,1118700.0
1997-06-24,1118700.0
1997-06-25,1098900.0
1997-06-26,1143450.0
1997-06-27,1049400.0
1997-06-30,1113750.0
1997-07-01,1059300.0
1997-07-02,1049400.0
1997-07-03,1049400.0
1997-07-07,1111275.0
1997-07-08,1118700.0
1997-07-09,1143450.0
1997-07-10,1217700.0
1997-07-11,1202850.0
1997-07-14,1192950.0
1997-07-15,1217700.0
1997-07-16,1188000.0
1997-07-17,1212750.0
1997-07-18,1148400.0
1997-07-21,1098900.0
1997-07-22,1128600.0
1997-07-23,1108800.0
1997-07-24,1138500.0
1997-07-25,1148400.0
1997-07-28,1217700.0
1997-07-29,1366200.0
1997-07-30,1282050.0
1997-07-31,1267200.0
1997-08-01,1247400.0
1997-08-04,1306800.0
1997-08-05,1346400.0
1997-08-06,1376100.0
1997-08-07,1489950.0
1997-08-08,1524600.0
1997-08-11,1584000.0
1997-08-12,1437975.0
1997-08-13,1435500.0
1997-08-14,1445400.0
1997-08-15,1410750.0
1997-08-18,1425600.0
1997-08-19,1455300.0
1997-08-20,1480050.0
1997-08-21,1460250.0
1997-08-22,1494900.0
1997-08-25,1584000.0
1997-08-26,1623600.0
1997-08-27,1584000.0
1997-08-28,1569150.0
1997-08-29,1579050.0
1997-09-02,1588950.0
1997-09-03,1588950.0
1997-09-04,1584000.0
1997-09-05,1608750.0
1997-09-08,1591425.0
1997-09-09,1559250.0
1997-09-10,1569150.0
1997-09-11,1564200.0
1997-09-12,1544400.0
1997-09-15,1524600.0
1997-09-16,1475100.0
1997-09-17,1460250.0
1997-09-18,1514700.0
1997-09-19,1544400.0
1997-09-22,1524600.0
1997-09-23,1727550.0
1997-09-24,1767150.0
1997-09-25,1658250.0
1997-09-26,1702800.0
1997-09-29,1678050.0
1997-09-30,1663200.0
1997-10-01,1623600.0
1997-10-02,1757250.0
1997-10-03,1737450.0
1997-10-06,1732500.0
1997-10-07,1796850.0
1997-10-08,1821600.0
1997-10-09,1772100.0
1997-10-10,1742400.0
1997-10-13,1762200.0
1997-10-14,1749825.0
1997-10-15,1722600.0
1997-10-16,1643400.0
1997-10-17,1633500.0
1997-10-20,1618650.0
1997-10-21,1618650.0
1997-10-22,1588950.0
1997-10-23,1574100.0
1997-10-24,1544400.0
1997-10-27,1445400.0
1997-10-28,1430550.0
1997-10-29,1574100.0
1997-10-30,1445400.0
1997-10-31,1507275.0
1997-11-03,1564200.0
1997-11-04,1504800.0
1997-11-05,1509750.0
1997-11-06,1524600.0
1997-11-07,1462725.0
1997-11-10,1465200.0
1997-11-11,1465200.0
1997-11-12,1435500.0
1997-11-13,1440450.0
1997-11-14,1485000.0
1997-11-17,1514700.0
1997-11-18,1480050.0
1997-11-19,1485000.0
1997-11-20,1509750.0
1997-11-21,1494900.0
1997-11-24,1524600.0
1997-11-25,1584000.0
1997-11-26,1534500.0
1997-11-28,1524600.0
1997-12-01,1519650.0
1997-12-02,1517175.0
1997-12-03,1524600.0
1997-12-04,1524600.0
1997-12-05,1554300.0
1997-12-08,1524600.0
1997-12-09,1529550.0
1997-12-10,1509750.0
1997-12-11,1455300.0
1997-12-12,1376100.0
1997-12-15,1395900.0
1997-12-16,1420650.0
1997-12-17,1420650.0
1997-12-18,1410750.0
1997-12-19,1321650.0
1997-12-22,1341450.0
1997-12-23,1311750.0
