,BRLI
2021-01-21,10.170000076293945
2021-01-22,10.199999809265137
2021-01-25,10.210000038146973
2021-01-26,10.220000267028809
2021-01-27,10.029999732971191
2021-01-28,10.039999961853027
2021-01-29,10.09000015258789
2021-02-01,10.09000015258789
2021-02-02,10.210000038146973
2021-02-03,10.25
2021-02-04,10.3100004196167
2021-02-05,10.270000457763672
2021-02-08,10.350000381469727
2021-02-09,10.359999656677246
2021-02-10,10.369999885559082
2021-02-11,10.300000190734863
2021-02-12,10.319999694824219
2021-02-16,10.289999961853027
2021-02-17,10.399999618530273
2021-02-18,10.350000381469727
2021-02-19,10.350000381469727
2021-02-22,10.380000114440918
2021-02-23,10.300000190734863
2021-02-24,10.329999923706055
2021-02-25,10.350000381469727
2021-02-26,10.260000228881836
2021-03-01,10.170000076293945
2021-03-02,10.130000114440918
2021-03-03,10.010000228881836
2021-03-04,9.899999618530273
2021-03-05,9.930000305175781
2021-03-08,10.199999809265137
2021-03-09,9.979999542236328
2021-03-10,9.979999542236328
2021-03-11,10.010000228881836
2021-03-12,9.9399995803833
2021-03-15,9.9399995803833
2021-03-16,9.9399995803833
2021-03-17,9.930000305175781
2021-03-18,9.9399995803833
2021-03-19,9.930000305175781
2021-03-22,9.930000305175781
2021-03-23,9.890000343322754
2021-03-24,9.960000038146973
2021-03-25,9.920000076293945
2021-03-26,9.899999618530273
2021-03-29,9.920000076293945
2021-03-30,9.9399995803833
2021-03-31,9.9399995803833
2021-04-01,9.9399995803833
2021-04-05,9.949999809265137
2021-04-06,9.954999923706055
2021-04-07,9.949999809265137
2021-04-08,9.960000038146973
2021-04-09,10.0600004196167
2021-04-12,10.050000190734863
2021-04-13,9.979999542236328
2021-04-14,10.100000381469727
2021-04-15,10.100000381469727
2021-04-16,10.0
2021-04-19,10.050000190734863
2021-04-20,10.039999961853027
2021-04-21,10.012999534606934
2021-04-22,10.012999534606934
2021-04-23,10.050000190734863
2021-04-26,10.050000190734863
2021-04-27,9.989999771118164
2021-04-28,10.029999732971191
2021-04-29,10.020000457763672
2021-04-30,10.029999732971191
2021-05-03,10.029999732971191
2021-05-04,10.020000457763672
2021-05-05,10.0
2021-05-06,10.029999732971191
2021-05-07,10.029999732971191
2021-05-10,10.020000457763672
2021-05-11,9.949999809265137
2021-05-12,9.960000038146973
2021-05-13,9.960000038146973
2021-05-14,9.960000038146973
