,FIVE
2015-02-24,32.09000015258789
2015-02-25,32.400001525878906
2015-02-26,32.099998474121094
2015-02-27,31.739999771118164
2015-03-02,31.75
2015-03-03,31.40999984741211
2015-03-04,30.959999084472656
2015-03-05,29.90999984741211
2015-03-06,29.100000381469727
2015-03-09,28.8799991607666
2015-03-10,28.579999923706055
2015-03-11,28.979999542236328
2015-03-12,30.690000534057617
2015-03-13,31.09000015258789
2015-03-16,30.600000381469727
2015-03-17,30.649999618530273
2015-03-18,30.420000076293945
2015-03-19,31.3700008392334
2015-03-20,31.860000610351562
2015-03-23,33.16999816894531
2015-03-24,32.689998626708984
2015-03-25,32.220001220703125
2015-03-26,35.54999923706055
2015-03-27,35.2400016784668
2015-03-30,35.4900016784668
2015-03-31,35.56999969482422
2015-04-01,36.29999923706055
2015-04-02,35.90999984741211
2015-04-06,36.650001525878906
2015-04-07,36.439998626708984
2015-04-08,36.95000076293945
2015-04-09,36.91999816894531
2015-04-10,36.279998779296875
2015-04-13,36.15999984741211
2015-04-14,36.310001373291016
2015-04-15,36.29999923706055
2015-04-16,36.279998779296875
2015-04-17,35.33000183105469
2015-04-20,35.2400016784668
2015-04-21,35.279998779296875
2015-04-22,35.27000045776367
2015-04-23,35.939998626708984
2015-04-24,36.040000915527344
2015-04-27,35.0
2015-04-28,34.81999969482422
2015-04-29,33.81999969482422
2015-04-30,33.720001220703125
2015-05-01,34.459999084472656
2015-05-04,34.52000045776367
2015-05-05,34.63999938964844
2015-05-06,34.34000015258789
2015-05-07,34.4900016784668
2015-05-08,34.369998931884766
2015-05-11,34.7599983215332
2015-05-12,34.310001373291016
2015-05-13,33.86000061035156
2015-05-14,34.209999084472656
2015-05-15,34.2599983215332
2015-05-18,34.779998779296875
2015-05-19,34.290000915527344
2015-05-20,33.7599983215332
2015-05-21,34.22999954223633
2015-05-22,34.709999084472656
2015-05-26,34.41999816894531
2015-05-27,34.63999938964844
2015-05-28,34.0099983215332
2015-05-29,33.25
2015-06-01,33.869998931884766
2015-06-02,34.2599983215332
2015-06-03,35.099998474121094
2015-06-04,37.77000045776367
2015-06-05,38.29999923706055
2015-06-08,38.68000030517578
2015-06-09,38.810001373291016
2015-06-10,39.119998931884766
2015-06-11,38.900001525878906
2015-06-12,39.029998779296875
2015-06-15,38.970001220703125
2015-06-16,39.27000045776367
2015-06-17,39.0
2015-06-18,39.619998931884766
2015-06-19,39.810001373291016
2015-06-22,39.880001068115234
2015-06-23,40.40999984741211
2015-06-24,39.779998779296875
2015-06-25,40.31999969482422
2015-06-26,40.689998626708984
2015-06-29,39.560001373291016
2015-06-30,39.529998779296875
2015-07-01,39.72999954223633
2015-07-02,39.41999816894531
2015-07-06,39.130001068115234
2015-07-07,38.91999816894531
2015-07-08,39.2400016784668
2015-07-09,39.5099983215332
2015-07-10,39.529998779296875
2015-07-13,39.5099983215332
2015-07-14,38.650001525878906
2015-07-15,38.439998626708984
2015-07-16,38.369998931884766
2015-07-17,38.470001220703125
2015-07-20,37.900001525878906
2015-07-21,37.34000015258789
2015-07-22,37.38999938964844
2015-07-23,37.41999816894531
