,ACGLO
2018-04-24,24.190000534057617
2018-04-25,23.950000762939453
2018-04-26,24.030000686645508
2018-04-27,23.899999618530273
2018-04-30,24.1299991607666
2018-05-01,24.06999969482422
2018-05-02,24.030000686645508
2018-05-03,23.969999313354492
2018-05-04,24.079999923706055
2018-05-07,24.1200008392334
2018-05-08,24.110000610351562
2018-05-09,24.100000381469727
2018-05-10,24.049999237060547
2018-05-11,24.299999237060547
2018-05-14,24.16200065612793
2018-05-15,24.149999618530273
2018-05-16,24.06999969482422
2018-05-17,24.010000228881836
2018-05-18,23.950000762939453
2018-05-21,23.979999542236328
2018-05-22,24.0
2018-05-23,23.940000534057617
2018-05-24,24.040000915527344
2018-05-25,24.100000381469727
2018-05-29,24.040000915527344
2018-05-30,24.229999542236328
2018-05-31,24.31999969482422
2018-06-01,24.6200008392334
2018-06-04,24.6200008392334
2018-06-05,24.889999389648438
2018-06-06,24.940000534057617
2018-06-07,24.889999389648438
2018-06-08,24.799999237060547
2018-06-11,24.760000228881836
2018-06-12,24.719999313354492
2018-06-13,24.700000762939453
2018-06-14,24.260000228881836
2018-06-15,24.3700008392334
2018-06-18,24.3799991607666
2018-06-19,24.510000228881836
2018-06-20,24.280000686645508
2018-06-21,24.31999969482422
2018-06-22,24.43000030517578
2018-06-25,24.360000610351562
2018-06-26,24.399999618530273
2018-06-27,24.459999084472656
2018-06-28,24.469999313354492
2018-06-29,24.40999984741211
2018-07-02,24.700000762939453
2018-07-03,24.739999771118164
2018-07-05,24.799999237060547
2018-07-06,25.040000915527344
2018-07-09,24.940000534057617
2018-07-10,24.979999542236328
2018-07-11,24.760000228881836
2018-07-12,24.93000030517578
2018-07-13,24.84000015258789
2018-07-16,24.799999237060547
2018-07-17,24.510000228881836
2018-07-18,24.6200008392334
2018-07-19,24.649999618530273
2018-07-20,24.84000015258789
2018-07-23,24.719999313354492
2018-07-24,24.65999984741211
2018-07-25,24.829999923706055
2018-07-26,24.809999465942383
2018-07-27,24.672000885009766
2018-07-30,24.725000381469727
2018-07-31,24.677000045776367
2018-08-01,24.510000228881836
2018-08-02,24.579999923706055
2018-08-03,24.5
2018-08-06,24.549999237060547
2018-08-07,24.559999465942383
2018-08-08,24.600000381469727
2018-08-09,24.450000762939453
2018-08-10,24.399999618530273
2018-08-13,24.5
2018-08-14,24.56999969482422
2018-08-15,24.610000610351562
2018-08-16,24.56999969482422
2018-08-17,24.56999969482422
2018-08-20,24.670000076293945
2018-08-21,24.649999618530273
2018-08-22,24.719999313354492
2018-08-23,24.719999313354492
2018-08-24,24.729999542236328
2018-08-27,24.799999237060547
2018-08-28,24.790000915527344
2018-08-29,24.739999771118164
2018-08-30,24.84000015258789
2018-08-31,24.790000915527344
2018-09-04,24.68000030517578
2018-09-05,24.43000030517578
2018-09-06,24.320999145507812
2018-09-07,24.079999923706055
2018-09-10,24.280000686645508
2018-09-11,24.2810001373291
2018-09-12,24.389999389648438
2018-09-13,24.084999084472656
2018-09-14,24.013999938964844
2018-09-17,23.850000381469727
2018-09-18,23.860000610351562
2018-09-19,23.600000381469727
2018-09-20,23.65999984741211
2018-09-21,23.670000076293945
2018-09-24,23.75
2018-09-25,23.700000762939453
2018-09-26,23.572999954223633
2018-09-27,23.5
2018-09-28,23.56999969482422
2018-10-01,23.200000762939453
2018-10-02,23.100000381469727
2018-10-03,22.75
2018-10-04,22.360000610351562
2018-10-05,22.17300033569336
2018-10-08,22.229999542236328
2018-10-09,22.440000534057617
2018-10-10,22.290000915527344
2018-10-11,22.214000701904297
2018-10-12,22.15999984741211
2018-10-15,22.270000457763672
2018-10-16,22.260000228881836
2018-10-17,22.31999969482422
2018-10-18,22.329999923706055
2018-10-19,22.440000534057617
2018-10-22,22.40999984741211
2018-10-23,22.329999923706055
2018-10-24,22.260000228881836
2018-10-25,22.440000534057617
2018-10-26,22.510000228881836
2018-10-29,22.670000076293945
2018-10-30,22.520000457763672
2018-10-31,22.540000915527344
2018-11-01,22.6200008392334
2018-11-02,22.399999618530273
2018-11-05,22.489999771118164
2018-11-06,22.579999923706055
2018-11-07,22.610000610351562
2018-11-08,22.600000381469727
2018-11-09,22.549999237060547
2018-11-12,22.559999465942383
2018-11-13,22.579999923706055
2018-11-14,22.540000915527344
2018-11-15,22.31999969482422
2018-11-16,22.200000762939453
2018-11-19,22.149999618530273
2018-11-20,22.020000457763672
2018-11-21,22.1200008392334
2018-11-23,22.100000381469727
2018-11-26,21.93000030517578
2018-11-27,21.84000015258789
2018-11-28,21.875
2018-11-29,21.829999923706055
2018-11-30,21.700000762939453
2018-12-03,21.790000915527344
2018-12-04,21.610000610351562
2018-12-06,21.520000457763672
2018-12-07,21.482999801635742
2018-12-10,21.329999923706055
2018-12-11,21.31999969482422
2018-12-12,21.360000610351562
2018-12-13,21.049999237060547
2018-12-14,21.06999969482422
2018-12-17,20.93000030517578
2018-12-18,20.850000381469727
2018-12-19,20.690000534057617
2018-12-20,20.68000030517578
2018-12-21,20.549999237060547
2018-12-24,20.3799991607666
2018-12-26,20.177000045776367
2018-12-27,20.030000686645508
2018-12-28,20.18000030517578
2018-12-31,20.329999923706055
2019-01-02,20.809999465942383
2019-01-03,20.770000457763672
2019-01-04,21.479999542236328
2019-01-07,21.850000381469727
2019-01-08,22.1299991607666
2019-01-09,22.1299991607666
2019-01-10,22.149999618530273
2019-01-11,22.389999389648438
2019-01-14,22.59000015258789
2019-01-15,22.6200008392334
2019-01-16,22.3700008392334
2019-01-17,22.540000915527344
2019-01-18,22.690000534057617
2019-01-22,22.56999969482422
2019-01-23,22.540000915527344
2019-01-24,22.549999237060547
2019-01-25,22.6200008392334
2019-01-28,22.6299991607666
2019-01-29,22.559999465942383
2019-01-30,22.790000915527344
2019-01-31,23.049999237060547
2019-02-01,23.059999465942383
2019-02-04,23.149999618530273
2019-02-05,23.190000534057617
2019-02-06,23.139999389648438
2019-02-07,22.969999313354492
2019-02-08,22.989999771118164
2019-02-11,23.0
2019-02-12,23.149999618530273
2019-02-13,23.190000534057617
2019-02-14,23.149999618530273
2019-02-15,23.3700008392334
2019-02-19,23.31999969482422
2019-02-20,23.639999389648438
2019-02-21,23.579999923706055
2019-02-22,23.6200008392334
2019-02-25,23.6200008392334
2019-02-26,23.639999389648438
2019-02-27,23.56999969482422
2019-02-28,23.149999618530273
2019-03-01,23.469999313354492
2019-03-04,23.469999313354492
2019-03-05,23.670000076293945
2019-03-06,23.81999969482422
2019-03-07,23.700000762939453
2019-03-08,23.610000610351562
2019-03-11,23.639999389648438
2019-03-12,23.670000076293945
2019-03-13,23.829999923706055
2019-03-14,23.690000534057617
2019-03-15,23.559999465942383
2019-03-18,23.719999313354492
2019-03-19,23.610000610351562
2019-03-20,23.700000762939453
2019-03-21,23.709999084472656
2019-03-22,23.719999313354492
2019-03-25,23.81999969482422
2019-03-26,23.940000534057617
2019-03-27,23.8700008392334
2019-03-28,23.920000076293945
2019-03-29,24.239999771118164
2019-04-01,24.31999969482422
2019-04-02,24.420000076293945
2019-04-03,24.486000061035156
2019-04-04,24.579999923706055
2019-04-05,24.68000030517578
2019-04-08,24.549999237060547
2019-04-09,24.600000381469727
2019-04-10,24.600000381469727
2019-04-11,24.621000289916992
2019-04-12,24.65999984741211
2019-04-15,24.719999313354492
2019-04-16,24.780000686645508
2019-04-17,24.84000015258789
2019-04-18,24.719999313354492
2019-04-22,24.700000762939453
2019-04-23,24.729999542236328
2019-04-24,24.719999313354492
2019-04-25,24.649999618530273
2019-04-26,24.549999237060547
2019-04-29,24.610000610351562
2019-04-30,24.459999084472656
2019-05-01,24.579999923706055
2019-05-02,24.56999969482422
2019-05-03,24.540000915527344
2019-05-06,24.56999969482422
2019-05-07,24.520000457763672
2019-05-08,24.440000534057617
2019-05-09,24.459999084472656
2019-05-10,24.469999313354492
2019-05-13,24.399999618530273
2019-05-14,24.399999618530273
2019-05-15,24.549999237060547
2019-05-16,24.56999969482422
2019-05-17,24.520000457763672
2019-05-20,24.469999313354492
2019-05-21,24.479999542236328
2019-05-22,24.520000457763672
2019-05-23,24.56999969482422
2019-05-24,24.6299991607666
2019-05-28,24.56999969482422
2019-05-29,24.600000381469727
2019-05-30,24.579999923706055
2019-05-31,24.459999084472656
2019-06-03,24.56999969482422
2019-06-04,24.639999389648438
2019-06-05,24.610000610351562
2019-06-06,24.610000610351562
2019-06-07,24.770000457763672
2019-06-10,24.809999465942383
2019-06-11,24.899999618530273
2019-06-12,24.920000076293945
2019-06-13,24.740999221801758
2019-06-14,24.799999237060547
2019-06-17,24.990999221801758
2019-06-18,25.06999969482422
2019-06-19,25.100000381469727
2019-06-20,25.094999313354492
2019-06-21,25.134000778198242
2019-06-24,25.125999450683594
2019-06-25,25.139999389648438
2019-06-26,25.110000610351562
2019-06-27,25.15999984741211
2019-06-28,24.780000686645508
2019-07-01,24.920000076293945
2019-07-02,25.049999237060547
2019-07-03,25.040000915527344
2019-07-05,25.030000686645508
2019-07-08,25.06999969482422
2019-07-09,25.010000228881836
2019-07-10,25.0
2019-07-11,25.059999465942383
2019-07-12,25.059999465942383
2019-07-15,25.1200008392334
2019-07-16,25.100000381469727
2019-07-17,25.170000076293945
2019-07-18,25.239999771118164
2019-07-19,25.280000686645508
2019-07-22,25.270000457763672
2019-07-23,25.3700008392334
2019-07-24,25.329999923706055
2019-07-25,25.200000762939453
2019-07-26,25.290000915527344
2019-07-29,25.56999969482422
2019-07-30,25.610000610351562
2019-07-31,25.75
2019-08-01,25.709999084472656
2019-08-02,25.649999618530273
2019-08-05,25.479999542236328
2019-08-06,25.40999984741211
2019-08-07,25.309999465942383
2019-08-08,25.40999984741211
2019-08-09,25.479999542236328
2019-08-12,25.440000534057617
2019-08-13,25.649999618530273
2019-08-14,25.670000076293945
2019-08-15,25.850000381469727
2019-08-16,25.81999969482422
2019-08-19,25.68000030517578
2019-08-20,25.809999465942383
2019-08-21,25.8700008392334
2019-08-22,25.959999084472656
2019-08-23,25.850000381469727
2019-08-26,25.709999084472656
2019-08-27,25.729999542236328
2019-08-28,25.770000457763672
2019-08-29,25.579999923706055
2019-08-30,25.350000381469727
2019-09-03,25.540000915527344
2019-09-04,25.75
2019-09-05,25.799999237060547
2019-09-06,25.93000030517578
2019-09-09,25.850000381469727
