,FEYE
2017-02-09,11.260000228881836
2017-02-10,11.460000038146973
2017-02-13,11.760000228881836
2017-02-14,11.890000343322754
2017-02-15,11.729999542236328
2017-02-16,11.350000381469727
2017-02-17,11.829999923706055
2017-02-21,11.800000190734863
2017-02-22,11.229999542236328
2017-02-23,11.3100004196167
2017-02-24,11.239999771118164
2017-02-27,11.5
2017-02-28,11.260000228881836
2017-03-01,11.079999923706055
2017-03-02,11.0
2017-03-03,11.0600004196167
2017-03-06,10.850000381469727
2017-03-07,10.619999885559082
2017-03-08,10.600000381469727
2017-03-09,10.4399995803833
2017-03-10,10.649999618530273
2017-03-13,10.760000228881836
2017-03-14,10.399999618530273
2017-03-15,10.680000305175781
2017-03-16,10.800000190734863
2017-03-17,10.729999542236328
2017-03-20,11.609999656677246
2017-03-21,11.4399995803833
2017-03-22,11.489999771118164
2017-03-23,12.1899995803833
2017-03-24,12.279999732971191
2017-03-27,12.329999923706055
2017-03-28,12.510000228881836
2017-03-29,12.760000228881836
2017-03-30,12.819999694824219
2017-03-31,12.609999656677246
2017-04-03,12.489999771118164
2017-04-04,12.359999656677246
2017-04-05,12.229999542236328
2017-04-06,12.359999656677246
2017-04-07,12.390000343322754
2017-04-10,12.319999694824219
2017-04-11,12.130000114440918
2017-04-12,12.039999961853027
2017-04-13,12.0
2017-04-17,12.300000190734863
2017-04-18,12.399999618530273
2017-04-19,12.1899995803833
2017-04-20,12.149999618530273
2017-04-21,12.329999923706055
2017-04-24,12.449999809265137
2017-04-25,12.65999984741211
2017-04-26,12.5600004196167
2017-04-27,12.449999809265137
2017-04-28,12.510000228881836
2017-05-01,12.479999542236328
2017-05-02,12.210000038146973
2017-05-03,13.779999732971191
2017-05-04,14.279999732971191
2017-05-05,14.819999694824219
2017-05-08,14.539999961853027
2017-05-09,14.489999771118164
2017-05-10,14.850000381469727
2017-05-11,14.449999809265137
2017-05-12,14.789999961853027
2017-05-15,15.899999618530273
2017-05-16,15.649999618530273
2017-05-17,14.989999771118164
2017-05-18,15.15999984741211
2017-05-19,14.9399995803833
2017-05-22,15.25
2017-05-23,15.25
2017-05-24,15.0600004196167
2017-05-25,14.739999771118164
2017-05-26,14.859999656677246
2017-05-30,14.960000038146973
2017-05-31,14.989999771118164
2017-06-01,15.369999885559082
2017-06-02,15.40999984741211
2017-06-05,15.470000267028809
2017-06-06,15.789999961853027
2017-06-07,15.539999961853027
2017-06-08,15.819999694824219
2017-06-09,15.260000228881836
2017-06-12,14.989999771118164
2017-06-13,15.130000114440918
2017-06-14,15.170000076293945
2017-06-15,14.989999771118164
2017-06-16,15.130000114440918
2017-06-19,15.180000305175781
2017-06-20,15.09000015258789
2017-06-21,15.010000228881836
2017-06-22,15.59000015258789
2017-06-23,15.670000076293945
2017-06-26,15.670000076293945
2017-06-27,15.40999984741211
2017-06-28,15.739999771118164
2017-06-29,15.479999542236328
2017-06-30,15.210000038146973
2017-07-03,14.984999656677246
2017-07-05,14.960000038146973
2017-07-06,14.720000267028809
2017-07-07,15.380000114440918
2017-07-10,15.430000305175781
2017-07-11,15.359999656677246
2017-07-12,15.489999771118164
2017-07-13,15.5
2017-07-14,15.489999771118164
2017-07-17,15.5
2017-07-18,15.619999885559082
2017-07-19,15.930000305175781
2017-07-20,15.859999656677246
2017-07-21,15.760000228881836
2017-07-24,15.949999809265137
2017-07-25,16.079999923706055
2017-07-26,15.859999656677246
2017-07-27,15.529999732971191
2017-07-28,15.279999732971191
2017-07-31,14.630000114440918
2017-08-01,14.6899995803833
2017-08-02,14.800000190734863
2017-08-03,14.520000457763672
2017-08-04,14.359999656677246
2017-08-07,14.390000343322754
2017-08-08,14.140000343322754
2017-08-09,14.210000038146973
2017-08-10,13.890000343322754
2017-08-11,14.010000228881836
2017-08-14,14.199999809265137
2017-08-15,13.90999984741211
2017-08-16,14.0600004196167
2017-08-17,13.989999771118164
2017-08-18,13.979999542236328
2017-08-21,13.770000457763672
2017-08-22,14.270000457763672
2017-08-23,14.399999618530273
2017-08-24,14.479999542236328
2017-08-25,14.5
2017-08-28,14.460000038146973
