,CATB
2016-04-15,52.5
2016-04-18,56.70000076293945
2016-04-19,53.29999923706055
2016-04-20,51.29999923706055
2016-04-21,50.5
2016-04-22,50.0
2016-04-25,49.599998474121094
2016-04-26,50.0
2016-04-27,45.20000076293945
2016-04-28,46.099998474121094
2016-04-29,44.099998474121094
2016-05-02,49.0
2016-05-03,44.79999923706055
2016-05-04,42.599998474121094
2016-05-05,40.900001525878906
2016-05-06,43.29999923706055
2016-05-09,46.400001525878906
2016-05-10,47.400001525878906
2016-05-11,46.29999923706055
2016-05-12,44.5
2016-05-13,49.099998474121094
2016-05-16,50.0
2016-05-17,50.599998474121094
2016-05-18,49.599998474121094
2016-05-19,51.400001525878906
2016-05-20,55.599998474121094
2016-05-23,64.5
2016-05-24,62.29999923706055
2016-05-25,69.0999984741211
2016-05-26,69.4000015258789
2016-05-27,64.69999694824219
2016-05-31,67.5
2016-06-01,68.5999984741211
2016-06-02,68.5
2016-06-03,68.19999694824219
2016-06-06,71.19999694824219
2016-06-07,68.5
2016-06-08,50.5
2016-06-09,48.900001525878906
2016-06-10,45.20000076293945
2016-06-13,42.0
2016-06-14,41.70000076293945
2016-06-15,40.5
2016-06-16,41.0
2016-06-17,40.70000076293945
2016-06-20,41.20000076293945
2016-06-21,40.599998474121094
2016-06-22,38.79999923706055
2016-06-23,40.0
2016-06-24,40.79999923706055
2016-06-27,38.900001525878906
2016-06-28,40.79999923706055
2016-06-29,40.099998474121094
2016-06-30,37.0
2016-07-01,37.900001525878906
2016-07-05,35.400001525878906
2016-07-06,34.79999923706055
2016-07-07,35.29999923706055
2016-07-08,36.900001525878906
2016-07-11,37.599998474121094
2016-07-12,37.0
2016-07-13,34.70000076293945
2016-07-14,38.599998474121094
2016-07-15,37.099998474121094
2016-07-18,36.599998474121094
2016-07-19,35.5
2016-07-20,34.599998474121094
2016-07-21,35.0
2016-07-22,35.5
2016-07-25,36.45000076293945
2016-07-26,34.79999923706055
2016-07-27,36.20000076293945
2016-07-28,37.5
2016-07-29,38.70000076293945
2016-08-01,40.79999923706055
2016-08-02,40.599998474121094
2016-08-03,45.5
2016-08-04,54.5
2016-08-05,50.70000076293945
2016-08-08,47.400001525878906
2016-08-09,48.29999923706055
2016-08-10,51.900001525878906
2016-08-11,53.400001525878906
2016-08-12,50.5
2016-08-15,50.599998474121094
2016-08-16,49.400001525878906
2016-08-17,50.0
2016-08-18,50.900001525878906
2016-08-19,49.599998474121094
2016-08-22,50.0
2016-08-23,49.79999923706055
2016-08-24,49.099998474121094
2016-08-25,49.70000076293945
2016-08-26,49.5
2016-08-29,49.5
2016-08-30,50.0
2016-08-31,49.900001525878906
2016-09-01,47.5
2016-09-02,48.20000076293945
2016-09-06,48.70000076293945
2016-09-07,43.0
2016-09-08,43.06999969482422
2016-09-09,42.400001525878906
2016-09-12,38.79999923706055
2016-09-13,39.400001525878906
2016-09-14,41.0
2016-09-15,41.29999923706055
2016-09-16,39.900001525878906
2016-09-19,39.599998474121094
2016-09-20,41.400001525878906
2016-09-21,44.79999923706055
2016-09-22,50.0
2016-09-23,43.599998474121094
2016-09-26,46.400001525878906
2016-09-27,44.79999923706055
2016-09-28,44.79999923706055
2016-09-29,62.5
2016-09-30,61.599998474121094
2016-10-03,57.900001525878906
2016-10-04,54.0
2016-10-05,54.29999923706055
2016-10-06,54.400001525878906
2016-10-07,50.900001525878906
2016-10-10,52.29999923706055
2016-10-11,49.900001525878906
2016-10-12,47.099998474121094
2016-10-13,48.599998474121094
2016-10-14,48.70000076293945
2016-10-17,47.599998474121094
2016-10-18,47.79999923706055
2016-10-19,47.5
2016-10-20,48.400001525878906
2016-10-21,48.79999923706055
2016-10-24,47.0
2016-10-25,43.5
2016-10-26,41.29999923706055
2016-10-27,35.79999923706055
2016-10-28,35.70000076293945
2016-10-31,34.5
2016-11-01,35.20000076293945
2016-11-02,34.20000076293945
2016-11-03,32.5
2016-11-04,33.29999923706055
2016-11-07,35.099998474121094
2016-11-08,35.0
2016-11-09,38.90999984741211
2016-11-10,42.20000076293945
2016-11-11,44.5
2016-11-14,44.599998474121094
2016-11-15,45.20000076293945
2016-11-16,43.79999923706055
2016-11-17,43.099998474121094
2016-11-18,44.79999923706055
2016-11-21,42.0
2016-11-22,40.0
2016-11-23,38.0
2016-11-25,38.5
2016-11-28,38.5
2016-11-29,37.900001525878906
2016-11-30,35.70000076293945
2016-12-01,34.5
2016-12-02,34.599998474121094
2016-12-05,34.099998474121094
2016-12-06,37.099998474121094
2016-12-07,35.599998474121094
2016-12-08,35.20000076293945
2016-12-09,36.099998474121094
2016-12-12,35.0
2016-12-13,34.70000076293945
2016-12-14,33.79999923706055
2016-12-15,33.5
2016-12-16,36.20000076293945
2016-12-19,37.20000076293945
2016-12-20,37.209999084472656
2016-12-21,35.900001525878906
2016-12-22,38.5
2016-12-23,37.5
2016-12-27,38.0
2016-12-28,36.5
2016-12-29,33.099998474121094
2016-12-30,36.099998474121094
2017-01-03,37.0
2017-01-04,40.79999923706055
2017-01-05,44.5
2017-01-06,42.400001525878906
2017-01-09,41.29999923706055
2017-01-10,44.099998474121094
2017-01-11,43.599998474121094
2017-01-12,42.400001525878906
2017-01-13,42.900001525878906
2017-01-17,42.900001525878906
2017-01-18,41.5
2017-01-19,49.70000076293945
2017-01-20,45.0
2017-01-23,41.599998474121094
2017-01-24,45.599998474121094
2017-01-25,45.0
2017-01-26,42.70000076293945
2017-01-27,40.400001525878906
2017-01-30,39.29999923706055
2017-01-31,40.400001525878906
2017-02-01,11.800000190734863
2017-02-02,12.0
2017-02-03,12.399999618530273
2017-02-06,12.300000190734863
2017-02-07,12.199999809265137
2017-02-08,12.399999618530273
2017-02-09,12.300000190734863
2017-02-10,12.199999809265137
2017-02-13,12.5
2017-02-14,12.399999618530273
2017-02-15,12.300000190734863
2017-02-16,12.5
2017-02-17,12.5
2017-02-21,12.300000190734863
2017-02-22,12.100000381469727
2017-02-23,11.899999618530273
2017-02-24,12.199999809265137
2017-02-27,12.399999618530273
2017-02-28,12.0
2017-03-01,11.899999618530273
2017-03-02,11.699999809265137
2017-03-03,11.300000190734863
2017-03-06,11.800000190734863
2017-03-07,11.5
2017-03-08,11.600000381469727
2017-03-09,13.300000190734863
2017-03-10,20.399999618530273
2017-03-13,16.700000762939453
2017-03-14,16.100000381469727
2017-03-15,17.5
2017-03-16,17.0
2017-03-17,15.5
2017-03-20,14.5
2017-03-21,15.100000381469727
2017-03-22,14.050000190734863
2017-03-23,13.199999809265137
2017-03-24,14.699999809265137
