,ARCT
2014-09-08,117.25
2014-09-09,117.25
2014-09-10,116.83000183105469
2014-09-11,116.19999694824219
2014-09-12,116.19999694824219
2014-09-15,115.36000061035156
2014-09-16,120.61000061035156
2014-09-17,126.7699966430664
2014-09-18,125.72000122070312
2014-09-19,122.1500015258789
2014-09-22,141.82000732421875
2014-09-23,142.58999633789062
2014-09-24,139.64999389648438
2014-09-25,131.60000610351562
2014-09-26,136.57000732421875
2014-09-29,111.37000274658203
2014-09-30,108.08000183105469
2014-10-01,92.75
2014-10-02,106.61000061035156
2014-10-03,98.7699966430664
2014-10-06,42.84000015258789
2014-10-07,45.56999969482422
2014-10-08,47.25
2014-10-09,45.709999084472656
2014-10-10,42.41999816894531
2014-10-13,38.290000915527344
2014-10-14,38.56999969482422
2014-10-15,38.150001525878906
2014-10-16,39.060001373291016
2014-10-17,37.79999923706055
2014-10-20,37.2400016784668
2014-10-21,35.84000015258789
2014-10-22,39.7599983215332
2014-10-23,29.399999618530273
2014-10-24,25.40999984741211
2014-10-27,24.709999084472656
2014-10-28,24.639999389648438
2014-10-29,24.5
2014-10-30,25.690000534057617
2014-10-31,25.34000015258789
2014-11-03,24.56999969482422
2014-11-04,24.43000030517578
2014-11-05,25.479999542236328
2014-11-06,27.09000015258789
2014-11-07,26.25
2014-11-10,25.690000534057617
2014-11-11,25.34000015258789
2014-11-12,25.34000015258789
2014-11-13,25.200000762939453
2014-11-14,25.6200008392334
2014-11-17,24.149999618530273
2014-11-18,22.68000030517578
2014-11-19,22.959999084472656
2014-11-20,23.59000015258789
2014-11-21,24.639999389648438
2014-11-24,24.290000915527344
2014-11-25,24.219999313354492
2014-11-26,25.34000015258789
2014-11-28,25.899999618530273
2014-12-01,24.850000381469727
2014-12-02,23.59000015258789
2014-12-03,23.450000762939453
2014-12-04,22.75
2014-12-05,22.889999389648438
2014-12-08,22.75
2014-12-09,23.100000381469727
2014-12-10,22.540000915527344
2014-12-11,22.75
2014-12-12,23.8700008392334
2014-12-15,23.030000686645508
2014-12-16,24.920000076293945
2014-12-17,26.739999771118164
2014-12-18,30.520000457763672
2014-12-19,30.65999984741211
2014-12-22,27.09000015258789
2014-12-23,26.31999969482422
2014-12-24,28.0
2014-12-26,27.579999923706055
2014-12-29,26.389999389648438
2014-12-30,26.25
2014-12-31,26.110000610351562
2015-01-02,26.670000076293945
2015-01-05,27.649999618530273
2015-01-06,27.790000915527344
2015-01-07,28.0
2015-01-08,29.75
2015-01-09,37.029998779296875
2015-01-12,39.20000076293945
2015-01-13,42.349998474121094
2015-01-14,46.970001220703125
2015-01-15,44.939998626708984
2015-01-16,48.86000061035156
2015-01-20,49.90999984741211
2015-01-21,47.18000030517578
2015-01-22,45.709999084472656
2015-01-23,44.79999923706055
2015-01-26,44.869998931884766
2015-01-27,47.11000061035156
2015-01-28,43.470001220703125
2015-01-29,44.72999954223633
2015-01-30,43.189998626708984
2015-02-02,40.18000030517578
2015-02-03,41.650001525878906
2015-02-04,42.630001068115234
2015-02-05,45.150001525878906
2015-02-06,45.08000183105469
2015-02-09,43.33000183105469
2015-02-10,42.560001373291016
2015-02-11,40.95000076293945
2015-02-12,43.33000183105469
2015-02-13,48.439998626708984
2015-02-17,52.36000061035156
2015-02-18,50.540000915527344
2015-02-19,50.33000183105469
2015-02-20,52.0099983215332
2015-02-23,52.43000030517578
2015-02-24,51.029998779296875
2015-02-25,50.959999084472656
2015-02-26,53.20000076293945
2015-02-27,52.709999084472656
2015-03-02,51.310001373291016
2015-03-03,50.400001525878906
2015-03-04,51.869998931884766
2015-03-05,50.959999084472656
2015-03-06,49.349998474121094
2015-03-09,49.279998779296875
2015-03-10,49.77000045776367
2015-03-11,48.86000061035156
2015-03-12,48.790000915527344
2015-03-13,44.79999923706055
2015-03-16,40.529998779296875
2015-03-17,36.959999084472656
2015-03-18,38.220001220703125
2015-03-19,39.83000183105469
2015-03-20,38.779998779296875
2015-03-23,38.220001220703125
2015-03-24,40.31999969482422
2015-03-25,41.09000015258789
2015-03-26,41.29999923706055
2015-03-27,42.4900016784668
2015-03-30,41.86000061035156
2015-03-31,39.40999984741211
2015-04-01,39.47999954223633
2015-04-02,39.83000183105469
2015-04-06,39.54999923706055
2015-04-07,39.7599983215332
2015-04-08,39.34000015258789
2015-04-09,38.5
2015-04-10,39.900001525878906
