,AMTBB
2019-11-22,14.75
2019-11-25,14.899999618530273
2019-11-26,14.75
2019-11-27,14.760000228881836
2019-11-29,14.760000228881836
2019-12-02,15.0
2019-12-03,14.399999618530273
2019-12-04,14.579999923706055
2019-12-05,14.579999923706055
2019-12-06,14.949999809265137
2019-12-09,15.0
2019-12-10,15.449999809265137
2019-12-11,15.630000114440918
2019-12-12,17.0
2019-12-13,16.5
2019-12-16,17.0
2019-12-17,16.600000381469727
2019-12-18,16.510000228881836
2019-12-19,16.510000228881836
2019-12-20,16.270000457763672
2019-12-23,16.270000457763672
2019-12-24,16.270000457763672
2019-12-26,15.890000343322754
2019-12-27,15.890000343322754
2019-12-30,15.890000343322754
2019-12-31,16.25
2020-01-02,16.5
2020-01-03,16.06999969482422
2020-01-06,16.06999969482422
2020-01-07,16.1200008392334
2020-01-08,16.0
2020-01-09,16.0
2020-01-10,16.0
2020-01-13,16.0
2020-01-14,15.770000457763672
2020-01-15,15.5
2020-01-16,15.300000190734863
2020-01-17,15.5
2020-01-21,15.0
2020-01-22,15.869999885559082
2020-01-23,15.65999984741211
2020-01-24,14.170000076293945
2020-01-27,14.170000076293945
2020-01-28,15.329999923706055
2020-01-29,16.0
2020-01-30,14.199999809265137
2020-01-31,14.260000228881836
2020-02-03,14.649999618530273
2020-02-04,14.739999771118164
2020-02-05,14.739999771118164
2020-02-06,14.649999618530273
2020-02-07,14.359999656677246
2020-02-10,14.319999694824219
2020-02-11,14.5
2020-02-12,14.5
2020-02-13,14.3100004196167
2020-02-14,14.380000114440918
2020-02-18,15.039999961853027
2020-02-19,15.25
2020-02-20,15.25
2020-02-21,15.399999618530273
2020-02-24,15.319999694824219
2020-02-25,15.600000381469727
2020-02-26,15.0
2020-02-27,15.0
2020-02-28,14.420000076293945
2020-03-02,14.5
2020-03-03,14.199999809265137
2020-03-04,14.079999923706055
2020-03-05,14.0
2020-03-06,13.399999618530273
2020-03-09,13.050000190734863
2020-03-10,13.199999809265137
2020-03-11,12.800000190734863
2020-03-12,12.09000015258789
2020-03-13,11.270000457763672
2020-03-16,9.050000190734863
2020-03-17,9.890000343322754
2020-03-18,8.899999618530273
2020-03-19,9.6899995803833
2020-03-20,8.949999809265137
2020-03-23,9.800000190734863
2020-03-24,9.380000114440918
2020-03-25,9.0
2020-03-26,10.0
2020-03-27,10.0
2020-03-30,10.0
2020-03-31,10.0
2020-04-01,9.3100004196167
2020-04-02,9.5
2020-04-03,9.5600004196167
2020-04-06,9.609999656677246
2020-04-07,9.25
2020-04-08,9.5
2020-04-09,9.5
2020-04-13,9.069999694824219
2020-04-14,9.5
2020-04-15,9.0
2020-04-16,8.899999618530273
2020-04-17,9.0
2020-04-20,9.0
2020-04-21,8.789999961853027
2020-04-22,8.800000190734863
2020-04-23,8.789999961853027
2020-04-24,8.789999961853027
2020-04-27,9.010000228881836
2020-04-28,9.449999809265137
2020-04-29,9.399999618530273
2020-04-30,8.84000015258789
2020-05-01,9.0
2020-05-04,9.319999694824219
2020-05-05,9.0
2020-05-06,8.949999809265137
2020-05-07,8.84000015258789
2020-05-08,9.399999618530273
2020-05-11,9.399999618530273
2020-05-12,8.800000190734863
2020-05-13,8.800000190734863
2020-05-14,8.800000190734863
2020-05-15,8.800000190734863
2020-05-18,9.25
2020-05-19,9.25
2020-05-20,8.850000381469727
2020-05-21,9.279999732971191
2020-05-22,9.279999732971191
2020-05-26,8.630000114440918
2020-05-27,9.109999656677246
2020-05-28,9.420000076293945
2020-05-29,9.199999809265137
2020-06-01,9.199999809265137
2020-06-02,9.199999809265137
2020-06-03,9.399999618530273
2020-06-04,9.40999984741211
2020-06-05,9.989999771118164
2020-06-08,10.510000228881836
2020-06-09,11.260000228881836
2020-06-10,10.609999656677246
2020-06-11,9.800000190734863
2020-06-12,10.0
2020-06-15,11.489999771118164
2020-06-16,11.9399995803833
2020-06-17,10.600000381469727
2020-06-18,11.670000076293945
2020-06-19,11.0
2020-06-22,11.720000267028809
2020-06-23,11.770000457763672
2020-06-24,10.5
2020-06-25,11.010000228881836
2020-06-26,10.949999809265137
2020-06-29,10.949999809265137
2020-06-30,11.0
2020-07-01,10.770000457763672
2020-07-02,10.640000343322754
2020-07-06,11.199999809265137
2020-07-07,9.75
2020-07-08,9.770000457763672
2020-07-09,9.5
2020-07-10,9.75
2020-07-13,9.5
2020-07-14,9.5
2020-07-15,10.399999618530273
2020-07-16,10.289999961853027
2020-07-17,10.289999961853027
2020-07-20,9.25
2020-07-21,9.5
2020-07-22,10.0
2020-07-23,9.25
2020-07-24,9.300000190734863
2020-07-27,9.25
2020-07-28,9.25
2020-07-29,9.430000305175781
2020-07-30,9.25
2020-07-31,9.5
2020-08-03,9.5
2020-08-04,9.720000267028809
2020-08-05,9.5
2020-08-06,9.5
2020-08-07,9.899999618530273
2020-08-10,9.5
2020-08-11,9.510000228881836
2020-08-12,9.899999618530273
2020-08-13,9.5
2020-08-14,9.520000457763672
2020-08-17,9.699999809265137
2020-08-18,9.510000228881836
2020-08-19,9.5
2020-08-20,9.40999984741211
2020-08-21,9.40999984741211
2020-08-24,9.449999809265137
2020-08-25,9.449999809265137
2020-08-26,9.25
2020-08-27,9.199999809265137
2020-08-28,9.050000190734863
2020-08-31,9.25
2020-09-01,8.979999542236328
2020-09-02,8.90999984741211
2020-09-03,9.0
2020-09-04,9.0
2020-09-08,8.9399995803833
2020-09-09,8.920000076293945
2020-09-10,8.920000076293945
2020-09-11,9.0
2020-09-14,8.75
2020-09-15,8.75
2020-09-16,8.899999618530273
2020-09-17,8.5600004196167
2020-09-18,8.800000190734863
2020-09-21,8.850000381469727
2020-09-22,8.100000381469727
2020-09-23,8.609999656677246
2020-09-24,8.1899995803833
2020-09-25,8.15999984741211
2020-09-28,8.199999809265137
2020-09-29,8.199999809265137
2020-09-30,7.53000020980835
2020-10-01,7.900000095367432
2020-10-02,8.100000381469727
2020-10-05,8.069999694824219
2020-10-06,8.40999984741211
2020-10-07,8.0
2020-10-08,8.0
2020-10-09,8.0
2020-10-12,8.0
2020-10-13,8.0
2020-10-14,8.34000015258789
2020-10-15,8.25
2020-10-16,8.0
2020-10-19,8.149999618530273
2020-10-20,8.199999809265137
2020-10-21,7.989999771118164
2020-10-22,8.0
2020-10-23,8.0
2020-10-26,8.0
2020-10-27,7.989999771118164
2020-10-28,7.75
2020-10-29,7.75
2020-10-30,7.989999771118164
2020-11-02,7.989999771118164
2020-11-03,8.270000457763672
2020-11-04,7.980000019073486
2020-11-05,7.880000114440918
2020-11-06,8.0
2020-11-09,9.130000114440918
2020-11-10,9.989999771118164
2020-11-11,9.979999542236328
2020-11-12,9.979999542236328
2020-11-13,9.979999542236328
2020-11-16,11.489999771118164
2020-11-17,11.390000343322754
2020-11-18,11.859999656677246
2020-11-19,11.899999618530273
2020-11-20,12.399999618530273
2020-11-23,12.029999732971191
2020-11-24,12.550000190734863
2020-11-25,12.550000190734863
2020-11-27,12.550000190734863
2020-11-30,12.390000343322754
2020-12-01,12.390000343322754
2020-12-02,12.34000015258789
2020-12-03,12.369999885559082
2020-12-04,12.300000190734863
2020-12-07,12.050000190734863
2020-12-08,11.979999542236328
2020-12-09,11.960000038146973
2020-12-10,11.989999771118164
2020-12-11,11.90999984741211
2020-12-14,11.930000305175781
2020-12-15,12.0
2020-12-16,11.970000267028809
2020-12-17,12.279999732971191
2020-12-18,12.079999923706055
2020-12-21,11.399999618530273
2020-12-22,11.710000038146973
2020-12-23,11.699999809265137
2020-12-24,11.600000381469727
2020-12-28,11.869999885559082
2020-12-29,11.619999885559082
2020-12-30,11.649999618530273
2020-12-31,11.630000114440918
2021-01-04,11.619999885559082
2021-01-05,11.630000114440918
2021-01-06,12.399999618530273
2021-01-07,12.520000457763672
2021-01-08,12.5
2021-01-11,12.0600004196167
2021-01-12,12.5
2021-01-13,12.199999809265137
2021-01-14,12.1899995803833
2021-01-15,12.5
2021-01-19,12.489999771118164
2021-01-20,12.170000076293945
2021-01-21,12.25
2021-01-22,12.5
2021-01-25,12.5
2021-01-26,12.699999809265137
2021-01-27,12.699999809265137
2021-01-28,12.699999809265137
2021-01-29,12.399999618530273
2021-02-01,12.5
2021-02-02,12.5
2021-02-03,12.5
2021-02-04,12.5
2021-02-05,12.5
2021-02-08,12.5600004196167
2021-02-09,12.640000343322754
2021-02-10,13.020000457763672
2021-02-11,13.0
2021-02-12,12.680000305175781
2021-02-16,13.029999732971191
2021-02-17,12.600000381469727
2021-02-18,12.529999732971191
2021-02-19,12.529999732971191
2021-02-22,12.649999618530273
2021-02-23,12.600000381469727
2021-02-24,12.869999885559082
2021-02-25,12.550000190734863
2021-02-26,12.699999809265137
2021-03-01,12.600000381469727
2021-03-02,12.760000228881836
2021-03-03,12.899999618530273
2021-03-04,12.75
2021-03-05,13.0
2021-03-08,13.84000015258789
2021-03-09,14.25
2021-03-10,14.600000381469727
2021-03-11,14.930000305175781
2021-03-12,15.899999618530273
2021-03-15,15.960000038146973
2021-03-16,16.0
2021-03-17,16.389999389648438
2021-03-18,16.389999389648438
2021-03-19,16.09000015258789
2021-03-22,15.989999771118164
2021-03-23,15.479999542236328
2021-03-24,15.579999923706055
2021-03-25,15.850000381469727
2021-03-26,16.149999618530273
2021-03-29,16.450000762939453
2021-03-30,16.5
2021-03-31,16.450000762939453
2021-04-01,16.440000534057617
2021-04-05,16.450000762939453
2021-04-06,16.360000610351562
2021-04-07,15.949999809265137
2021-04-08,16.290000915527344
2021-04-09,16.25
2021-04-12,16.139999389648438
2021-04-13,15.9399995803833
2021-04-14,16.0
2021-04-15,15.890000343322754
2021-04-16,16.239999771118164
2021-04-19,16.020000457763672
2021-04-20,15.600000381469727
2021-04-21,15.869999885559082
2021-04-22,15.75
2021-04-23,15.8100004196167
2021-04-26,15.899999618530273
2021-04-27,15.539999961853027
2021-04-28,15.6899995803833
2021-04-29,15.699999809265137
2021-04-30,16.059999465942383
2021-05-03,16.3799991607666
2021-05-04,16.700000762939453
2021-05-05,16.850000381469727
2021-05-06,16.670000076293945
2021-05-07,16.56999969482422
2021-05-10,16.5
2021-05-11,16.059999465942383
2021-05-12,16.09000015258789
2021-05-13,16.479999542236328
2021-05-14,16.950000762939453
