,RNK
2013-01-23,11.020000457763672
2013-01-24,11.470000267028809
2013-01-25,11.319999694824219
2013-01-28,11.300000190734863
2013-01-29,11.449999809265137
2013-01-30,11.569999694824219
2013-01-31,11.550000190734863
2013-02-01,11.600000381469727
2013-02-04,11.5
2013-02-05,11.399999618530273
2013-02-06,11.300000190734863
2013-02-07,11.300000190734863
2013-02-08,11.300000190734863
2013-02-11,11.0
2013-02-12,10.449999809265137
2013-02-13,10.529999732971191
2013-02-14,10.350000381469727
2013-02-15,10.449999809265137
2013-02-19,10.680000305175781
2013-02-20,10.40999984741211
2013-02-21,10.520000457763672
2013-02-22,10.1899995803833
2013-02-25,10.260000228881836
2013-02-26,10.210000038146973
2013-02-27,10.300000190734863
2013-02-28,10.4399995803833
2013-03-01,10.329999923706055
2013-03-04,9.800000190734863
2013-03-05,9.399999618530273
2013-03-06,9.600000381469727
2013-03-07,9.460000038146973
2013-03-08,9.550000190734863
2013-03-11,10.0
2013-03-12,10.40999984741211
2013-03-13,10.699999809265137
2013-03-14,11.0
2013-03-15,11.0
2013-03-18,10.880000114440918
2013-03-19,10.399999618530273
2013-03-20,10.0
2013-03-21,9.989999771118164
2013-03-22,9.520000457763672
2013-03-25,9.859999656677246
2013-03-26,9.779999732971191
2013-03-27,9.989999771118164
2013-03-28,10.140000343322754
2013-04-01,10.140000343322754
2013-04-02,9.930000305175781
2013-04-03,9.430000305175781
2013-04-04,9.34000015258789
2013-04-05,9.220000267028809
2013-04-08,9.5600004196167
2013-04-09,9.510000228881836
2013-04-10,9.550000190734863
2013-04-11,9.489999771118164
2013-04-12,9.489999771118164
2013-04-15,8.90999984741211
2013-04-16,8.90999984741211
2013-04-17,8.520000457763672
2013-04-18,8.420000076293945
2013-04-19,8.399999618530273
2013-04-22,8.069999694824219
2013-04-23,8.300000190734863
2013-04-24,8.890000343322754
2013-04-25,8.8100004196167
2013-04-26,8.800000190734863
2013-04-29,8.930000305175781
2013-04-30,8.100000381469727
2013-05-01,8.930000305175781
2013-05-02,8.449999809265137
2013-05-03,8.449999809265137
2013-05-06,8.0
2013-05-07,7.849999904632568
2013-05-08,7.989999771118164
2013-05-09,7.610000133514404
2013-05-10,7.409999847412109
2013-05-13,7.170000076293945
2013-05-14,7.480000019073486
2013-05-15,7.829999923706055
2013-05-16,7.849999904632568
2013-05-17,7.960000038146973
2013-05-20,8.369999885559082
2013-05-21,8.380000114440918
2013-05-22,8.0
2013-05-23,8.289999961853027
2013-05-24,8.40999984741211
2013-05-28,8.949999809265137
2013-05-29,8.949999809265137
2013-05-30,8.949999809265137
2013-05-31,8.920000076293945
2013-06-03,8.789999961853027
2013-06-04,8.539999961853027
2013-06-05,8.4399995803833
2013-06-06,8.199999809265137
2013-06-07,8.770000457763672
2013-06-10,8.579999923706055
2013-06-11,8.729999542236328
2013-06-12,8.989999771118164
2013-06-13,8.960000038146973
2013-06-14,9.079999923706055
2013-06-17,9.140000343322754
2013-06-18,9.489999771118164
2013-06-19,9.449999809265137
2013-06-20,8.970000267028809
2013-06-21,8.819999694824219
2013-06-24,8.649999618530273
2013-06-25,8.819999694824219
2013-06-26,8.699999809265137
2013-06-27,8.449999809265137
2013-06-28,8.539999961853027
2013-07-01,8.510000228881836
2013-07-02,8.640000343322754
2013-07-03,8.569999694824219
2013-07-05,8.529999732971191
2013-07-08,8.319999694824219
2013-07-09,8.050000190734863
2013-07-10,8.229999542236328
2013-07-11,8.420000076293945
2013-07-12,8.350000381469727
2013-07-15,8.180000305175781
2013-07-16,8.180000305175781
2013-07-17,8.140000343322754
2013-07-18,8.039999961853027
2013-07-19,7.980000019073486
2013-07-22,7.920000076293945
2013-07-23,7.920000076293945
2013-07-24,7.980000019073486
2013-07-25,7.949999809265137
2013-07-26,8.0
2013-07-29,7.900000095367432
2013-07-30,7.699999809265137
2013-07-31,7.880000114440918
2013-08-01,7.880000114440918
2013-08-02,7.849999904632568
2013-08-05,7.670000076293945
2013-08-06,7.849999904632568
2013-08-07,7.699999809265137
2013-08-08,7.849999904632568
2013-08-09,7.710000038146973
2013-08-12,7.650000095367432
2013-08-13,7.690000057220459
2013-08-14,7.659999847412109
2013-08-15,7.659999847412109
2013-08-16,7.809999942779541
2013-08-19,7.800000190734863
2013-08-20,7.800000190734863
2013-08-21,7.590000152587891
2013-08-22,7.599999904632568
2013-08-23,7.440000057220459
2013-08-26,7.510000228881836
2013-08-27,7.260000228881836
2013-08-28,7.159999847412109
2013-08-29,7.159999847412109
2013-08-30,7.099999904632568
2013-09-03,6.349999904632568
2013-09-04,5.980000019073486
2013-09-05,6.0
2013-09-06,6.639999866485596
2013-09-09,6.800000190734863
2013-09-10,7.329999923706055
2013-09-11,7.050000190734863
2013-09-12,7.380000114440918
2013-09-13,7.349999904632568
2013-09-16,7.409999847412109
2013-09-17,7.460000038146973
2013-09-18,7.449999809265137
2013-09-19,7.5
2013-09-20,7.550000190734863
2013-09-23,7.630000114440918
2013-09-24,7.610000133514404
2013-09-25,7.550000190734863
2013-09-26,7.46999979019165
2013-09-27,7.550000190734863
2013-09-30,7.550000190734863
2013-10-01,7.460000038146973
2013-10-02,7.340000152587891
2013-10-03,7.260000228881836
2013-10-04,7.239999771118164
2013-10-07,7.239999771118164
2013-10-08,7.400000095367432
2013-10-09,7.400000095367432
2013-10-10,7.539999961853027
2013-10-11,7.489999771118164
2013-10-14,7.860000133514404
2013-10-15,8.09000015258789
2013-10-16,8.09000015258789
2013-10-17,8.149999618530273
2013-10-18,8.470000267028809
2013-10-21,8.609999656677246
2013-10-22,8.399999618530273
2013-10-23,8.550000190734863
2013-10-24,8.489999771118164
2013-10-25,8.4399995803833
2013-10-28,8.5
2013-10-29,8.350000381469727
2013-10-30,8.289999961853027
2013-10-31,8.109999656677246
2013-11-01,8.109999656677246
2013-11-04,8.289999961853027
2013-11-05,8.1899995803833
2013-11-06,8.350000381469727
2013-11-07,8.390000343322754
2013-11-08,8.34000015258789
2013-11-11,8.34000015258789
2013-11-12,8.329999923706055
2013-11-13,8.300000190734863
2013-11-14,8.300000190734863
2013-11-15,8.100000381469727
2013-11-18,8.289999961853027
2013-11-19,8.350000381469727
2013-11-20,8.130000114440918
2013-11-21,7.989999771118164
2013-11-22,7.699999809265137
2013-11-25,7.0
2013-11-26,6.900000095367432
2013-11-27,6.739999771118164
2013-11-29,6.610000133514404
2013-12-02,6.28000020980835
2013-12-03,6.059999942779541
2013-12-04,6.0
2013-12-05,6.800000190734863
2013-12-06,6.940000057220459
2013-12-09,6.21999979019165
2013-12-10,6.050000190734863
2013-12-11,5.900000095367432
2013-12-12,5.769999980926514
2013-12-13,6.099999904632568
2013-12-16,5.989999771118164
2013-12-17,6.090000152587891
2013-12-18,6.199999809265137
2013-12-19,6.170000076293945
2013-12-20,6.190000057220459
2013-12-23,6.190000057220459
2013-12-24,6.190000057220459
2013-12-26,6.190000057220459
2013-12-27,6.179999828338623
2013-12-30,6.300000190734863
2013-12-31,6.300000190734863
2014-01-02,6.210000038146973
2014-01-03,6.21999979019165
2014-01-06,6.21999979019165
2014-01-07,6.190000057220459
2014-01-08,6.099999904632568
2014-01-09,6.090000152587891
2014-01-10,6.0
2014-01-13,6.0
2014-01-14,5.989999771118164
2014-01-15,5.96999979019165
2014-01-16,6.199999809265137
2014-01-17,6.090000152587891
2014-01-21,6.079999923706055
2014-01-22,6.179999828338623
2014-01-23,6.239999771118164
2014-01-24,6.190000057220459
2014-01-27,6.150000095367432
2014-01-28,6.170000076293945
2014-01-29,6.159999847412109
2014-01-30,6.139999866485596
2014-01-31,6.269999980926514
2014-02-03,6.300000190734863
2014-02-04,6.789999961853027
2014-02-05,6.900000095367432
2014-02-06,6.940000057220459
2014-02-07,6.889999866485596
2014-02-10,6.300000190734863
2014-02-11,5.989999771118164
2014-02-12,5.900000095367432
2014-02-13,5.940000057220459
2014-02-14,6.0
2014-02-18,6.039999961853027
2014-02-19,6.059999942779541
2014-02-20,6.019999980926514
2014-02-21,6.010000228881836
2014-02-24,6.010000228881836
2014-02-25,5.929999828338623
2014-02-26,5.940000057220459
2014-02-27,5.96999979019165
2014-02-28,6.0
2014-03-03,5.880000114440918
2014-03-04,5.900000095367432
2014-03-05,5.900000095367432
2014-03-06,5.710000038146973
2014-03-07,5.849999904632568
2014-03-10,5.829999923706055
2014-03-11,5.78000020980835
2014-03-12,5.789999961853027
2014-03-13,5.78000020980835
2014-03-14,5.730000019073486
2014-03-17,5.869999885559082
2014-03-18,5.849999904632568
2014-03-19,5.789999961853027
2014-03-20,5.789999961853027
2014-03-21,5.800000190734863
2014-03-24,5.760000228881836
2014-03-25,5.800000190734863
2014-03-26,6.090000152587891
2014-03-27,6.110000133514404
2014-03-28,6.170000076293945
2014-03-31,6.340000152587891
2014-04-01,6.389999866485596
2014-04-02,6.349999904632568
2014-04-03,6.099999904632568
2014-04-04,6.070000171661377
2014-04-07,6.019999980926514
2014-04-08,6.130000114440918
2014-04-09,5.960000038146973
2014-04-10,6.059999942779541
2014-04-11,6.099999904632568
2014-04-14,6.079999923706055
2014-04-15,6.059999942779541
2014-04-16,6.0
2014-04-17,6.260000228881836
2014-04-21,6.260000228881836
2014-04-22,6.25
2014-04-23,6.130000114440918
2014-04-24,5.949999809265137
2014-04-25,6.0
2014-04-28,6.099999904632568
2014-04-29,6.079999923706055
2014-04-30,6.010000228881836
2014-05-01,6.010000228881836
2014-05-02,6.300000190734863
2014-05-05,6.599999904632568
2014-05-06,6.400000095367432
2014-05-07,6.329999923706055
2014-05-08,6.449999809265137
2014-05-09,6.349999904632568
2014-05-12,6.340000152587891
2014-05-13,6.28000020980835
2014-05-14,6.25
2014-05-15,6.199999809265137
2014-05-16,6.099999904632568
2014-05-19,5.909999847412109
2014-05-20,5.840000152587891
2014-05-21,5.900000095367432
2014-05-22,5.849999904632568
2014-05-23,5.639999866485596
2014-05-27,5.599999904632568
2014-05-28,5.449999809265137
2014-05-29,5.449999809265137
2014-05-30,5.639999866485596
2014-06-02,5.659999847412109
2014-06-03,5.550000190734863
2014-06-04,5.5
2014-06-05,5.5
2014-06-06,5.579999923706055
2014-06-09,5.570000171661377
2014-06-10,5.53000020980835
2014-06-11,5.53000020980835
2014-06-12,5.699999809265137
2014-06-13,5.510000228881836
2014-06-16,5.510000228881836
2014-06-17,5.690000057220459
2014-06-18,5.679999828338623
2014-06-19,5.679999828338623
2014-06-20,5.670000076293945
2014-06-23,5.639999866485596
2014-06-24,5.400000095367432
2014-06-25,5.5
2014-06-26,5.480000019073486
2014-06-27,5.440000057220459
2014-06-30,5.489999771118164
2014-07-01,5.440000057220459
2014-07-02,5.349999904632568
2014-07-03,5.300000190734863
2014-07-07,5.170000076293945
2014-07-08,5.099999904632568
2014-07-09,5.25
2014-07-10,5.179999828338623
2014-07-11,5.150000095367432
2014-07-14,5.150000095367432
2014-07-15,5.090000152587891
2014-07-16,5.199999809265137
2014-07-17,5.179999828338623
2014-07-18,5.179999828338623
2014-07-21,5.179999828338623
2014-07-22,5.0
2014-07-23,5.0
2014-07-24,4.900000095367432
2014-07-25,5.0
2014-07-28,5.099999904632568
2014-07-29,4.96999979019165
2014-07-30,4.900000095367432
2014-07-31,4.760000228881836
2014-08-01,4.710000038146973
2014-08-04,4.710000038146973
2014-08-05,4.789999961853027
2014-08-06,4.889999866485596
2014-08-07,4.75
2014-08-08,4.639999866485596
2014-08-11,4.730000019073486
2014-08-12,4.699999809265137
2014-08-13,4.699999809265137
2014-08-14,4.599999904632568
2014-08-15,4.599999904632568
2014-08-18,4.650000095367432
2014-08-19,4.570000171661377
2014-08-20,4.599999904632568
2014-08-21,4.630000114440918
2014-08-22,4.599999904632568
2014-08-25,4.599999904632568
2014-08-26,4.599999904632568
2014-08-27,4.829999923706055
2014-08-28,4.860000133514404
2014-08-29,4.849999904632568
2014-09-02,4.599999904632568
2014-09-03,4.699999809265137
2014-09-04,4.730000019073486
2014-09-05,4.690000057220459
2014-09-08,4.710000038146973
2014-09-09,4.800000190734863
2014-09-10,4.789999961853027
2014-09-11,4.800000190734863
2014-09-12,4.800000190734863
2014-09-15,4.800000190734863
2014-09-16,4.800000190734863
2014-09-17,4.789999961853027
2014-09-18,4.550000190734863
2014-09-19,4.550000190734863
2014-09-22,4.599999904632568
2014-09-23,4.659999847412109
2014-09-24,4.300000190734863
2014-09-25,4.340000152587891
2014-09-26,4.329999923706055
2014-09-29,4.329999923706055
2014-09-30,4.289999961853027
2014-10-01,4.25
2014-10-02,4.25
2014-10-03,4.389999866485596
2014-10-06,4.340000152587891
2014-10-07,4.340000152587891
2014-10-08,4.340000152587891
2014-10-09,4.340000152587891
2014-10-10,4.050000190734863
2014-10-13,3.950000047683716
2014-10-14,4.119999885559082
2014-10-15,4.059999942779541
2014-10-16,4.03000020980835
2014-10-17,4.039999961853027
2014-10-20,3.9100000858306885
2014-10-21,3.9100000858306885
2014-10-22,3.809999942779541
2014-10-23,3.450000047683716
2014-10-24,0.18000000715255737
2014-10-27,3.190000057220459
2014-10-28,3.1700000762939453
2014-10-29,3.2799999713897705
2014-10-30,3.450000047683716
2014-10-31,3.5299999713897705
2014-11-03,3.490000009536743
2014-11-04,3.190000057220459
2014-11-05,3.0999999046325684
2014-11-06,3.0999999046325684
2014-11-07,3.069999933242798
2014-11-10,3.009999990463257
2014-11-11,3.009999990463257
2014-11-12,0.1899999976158142
2014-11-13,3.0899999141693115
2014-11-14,0.1899999976158142
2014-11-17,0.1899999976158142
2014-11-18,0.1899999976158142
2014-11-19,3.130000114440918
2014-11-20,0.1899999976158142
2014-11-21,3.0999999046325684
2014-11-24,3.0199999809265137
2014-11-25,0.22499999403953552
2014-11-26,0.19499999284744263
2014-11-28,2.990000009536743
2014-12-01,2.9800000190734863
2014-12-02,2.930000066757202
2014-12-03,2.9000000953674316
2014-12-04,2.819999933242798
2014-12-05,2.950000047683716
2014-12-08,2.940000057220459
2014-12-09,2.9100000858306885
2014-12-10,2.9100000858306885
2014-12-11,2.9000000953674316
2014-12-12,2.9200000762939453
2014-12-15,2.880000114440918
2014-12-16,2.880000114440918
2014-12-17,2.880000114440918
2014-12-18,2.8399999141693115
2014-12-19,2.7699999809265137
2014-12-22,2.559999942779541
2014-12-23,2.390000104904175
2014-12-24,2.390000104904175
2014-12-26,2.390000104904175
2014-12-29,2.450000047683716
2014-12-30,2.5899999141693115
2014-12-31,2.5899999141693115
2015-01-02,2.5
2015-01-05,2.5299999713897705
2015-01-06,2.5299999713897705
2015-01-07,2.549999952316284
2015-01-08,2.5
2015-01-09,2.450000047683716
2015-01-12,2.5399999618530273
2015-01-13,2.5399999618530273
2015-01-14,2.5399999618530273
2015-01-15,2.369999885559082
2015-01-16,2.3399999141693115
2015-01-20,2.1700000762939453
2015-01-21,2.180000066757202
2015-01-22,2.1700000762939453
2015-01-23,2.3499999046325684
2015-01-26,2.2799999713897705
2015-01-27,2.240000009536743
2015-01-28,2.2300000190734863
2015-01-29,2.440000057220459
2015-01-30,2.450000047683716
2015-02-02,2.2100000381469727
2015-02-03,2.2200000286102295
2015-02-04,2.2200000286102295
2015-02-05,2.2200000286102295
2015-02-06,2.2100000381469727
2015-02-09,2.190000057220459
2015-02-10,2.190000057220459
2015-02-11,2.190000057220459
2015-02-12,2.2300000190734863
2015-02-13,2.200000047683716
2015-02-17,2.2200000286102295
2015-02-18,2.390000104904175
2015-02-19,2.5199999809265137
2015-02-20,2.5399999618530273
2015-02-23,2.559999942779541
2015-02-24,2.700000047683716
2015-02-25,2.7899999618530273
2015-02-26,2.75
2015-02-27,2.6500000953674316
2015-03-02,2.6700000762939453
2015-03-03,2.5199999809265137
2015-03-04,2.740000009536743
2015-03-05,2.6700000762939453
2015-03-06,2.8299999237060547
2015-03-09,2.930000066757202
2015-03-10,2.799999952316284
2015-03-11,2.7200000286102295
2015-03-12,2.619999885559082
2015-03-13,2.640000104904175
2015-03-16,2.75
2015-03-17,2.799999952316284
2015-03-18,2.8399999141693115
2015-03-19,2.7799999713897705
2015-03-20,2.8299999237060547
2015-03-23,2.869999885559082
2015-03-24,2.869999885559082
2015-03-25,2.809999942779541
2015-03-26,2.6500000953674316
2015-03-27,2.7100000381469727
2015-03-30,2.799999952316284
2015-03-31,2.799999952316284
2015-04-01,2.759999990463257
2015-04-02,2.7699999809265137
2015-04-06,2.7699999809265137
2015-04-07,2.680000066757202
2015-04-08,2.700000047683716
2015-04-09,0.3499999940395355
2015-04-10,2.640000104904175
2015-04-13,2.6700000762939453
2015-04-14,2.559999942779541
2015-04-15,2.5999999046325684
2015-04-16,2.7100000381469727
2015-04-17,2.690000057220459
2015-04-20,2.640000104904175
2015-04-21,2.6500000953674316
2015-04-22,2.630000114440918
2015-04-23,2.690000057220459
2015-04-24,2.740000009536743
2015-04-27,2.7100000381469727
2015-04-28,2.6700000762939453
2015-04-29,2.640000104904175
2015-04-30,2.609999895095825
2015-05-01,2.609999895095825
2015-05-04,2.450000047683716
2015-05-05,2.5
2015-05-06,2.559999942779541
2015-05-07,2.549999952316284
2015-05-08,2.5199999809265137
2015-05-11,2.490000009536743
2015-05-12,2.5
2015-05-13,2.4700000286102295
2015-05-14,2.4800000190734863
2015-05-15,2.490000009536743
2015-05-18,2.4700000286102295
2015-05-19,2.4700000286102295
2015-05-20,2.5
2015-05-21,2.4700000286102295
2015-05-22,2.700000047683716
2015-05-26,2.7100000381469727
2015-05-27,2.809999942779541
2015-05-28,2.9700000286102295
2015-05-29,2.930000066757202
2015-06-01,2.9200000762939453
2015-06-02,2.9000000953674316
2015-06-03,2.9000000953674316
2015-06-04,2.9000000953674316
2015-06-05,2.759999990463257
2015-06-08,2.7100000381469727
2015-06-09,2.630000114440918
2015-06-10,2.690000057220459
2015-06-11,2.609999895095825
2015-06-12,2.569999933242798
2015-06-15,2.630000114440918
2015-06-16,2.630000114440918
2015-06-17,2.559999942779541
2015-06-18,2.5999999046325684
2015-06-19,2.569999933242798
2015-06-22,2.5799999237060547
2015-06-23,2.5999999046325684
2015-06-24,2.799999952316284
2015-06-25,3.109999895095825
2015-06-26,3.049999952316284
2015-06-29,3.009999990463257
2015-06-30,3.109999895095825
2015-07-01,3.2799999713897705
2015-07-02,3.369999885559082
2015-07-06,3.130000114440918
2015-07-07,3.049999952316284
2015-07-08,3.0
2015-07-09,2.8299999237060547
2015-07-10,2.819999933242798
2015-07-13,2.9600000381469727
2015-07-14,2.9600000381469727
2015-07-15,2.9700000286102295
2015-07-16,3.1700000762939453
2015-07-17,3.1700000762939453
2015-07-20,3.0799999237060547
2015-07-21,3.069999933242798
2015-07-22,3.2699999809265137
2015-07-23,3.440000057220459
2015-07-24,3.3399999141693115
2015-07-27,3.1600000858306885
2015-07-28,2.9700000286102295
2015-07-29,2.9000000953674316
2015-07-30,2.940000057220459
2015-07-31,2.940000057220459
2015-08-03,2.890000104904175
2015-08-04,2.9700000286102295
2015-08-05,3.049999952316284
2015-08-06,2.950000047683716
2015-08-07,2.950000047683716
2015-08-10,0.20999999344348907
2015-08-11,0.20999999344348907
2015-08-12,2.809999942779541
2015-08-13,2.809999942779541
2015-08-14,2.740000009536743
2015-08-17,2.700000047683716
2015-08-18,2.700000047683716
2015-08-19,2.7100000381469727
2015-08-20,2.7799999713897705
2015-08-21,2.7799999713897705
2015-08-24,2.4000000953674316
2015-08-25,2.5299999713897705
2015-08-26,2.450000047683716
2015-08-27,2.490000009536743
2015-08-28,2.450000047683716
2015-08-31,2.2100000381469727
2015-09-01,2.25
2015-09-02,2.0999999046325684
2015-09-03,2.109999895095825
2015-09-04,2.0199999809265137
2015-09-08,1.7799999713897705
2015-09-09,1.8799999952316284
2015-09-10,1.8799999952316284
2015-09-11,1.809999942779541
2015-09-14,1.7899999618530273
2015-09-15,1.8200000524520874
2015-09-16,1.7599999904632568
2015-09-17,1.8700000047683716
2015-09-18,1.809999942779541
2015-09-21,1.850000023841858
2015-09-22,1.8200000524520874
2015-09-23,1.7899999618530273
2015-09-24,1.8300000429153442
2015-09-25,1.7899999618530273
2015-09-28,1.7899999618530273
2015-09-29,1.7899999618530273
2015-09-30,1.75
2015-10-01,1.7000000476837158
2015-10-02,1.7000000476837158
2015-10-05,1.7000000476837158
2015-10-06,1.690000057220459
2015-10-07,1.690000057220459
2015-10-08,1.690000057220459
2015-10-09,1.600000023841858
2015-10-12,1.5800000429153442
2015-10-13,1.5700000524520874
2015-10-14,1.5700000524520874
2015-10-15,1.600000023841858
2015-10-16,1.600000023841858
2015-10-19,1.5499999523162842
2015-10-20,1.590000033378601
2015-10-21,1.5499999523162842
2015-10-22,1.5
2015-10-23,1.4299999475479126
2015-10-26,1.350000023841858
2015-10-27,1.2999999523162842
2015-10-28,1.2200000286102295
2015-10-29,1.0700000524520874
2015-10-30,1.0299999713897705
2015-11-02,0.8500000238418579
2015-11-03,0.7799999713897705
2015-11-04,0.8199999928474426
2015-11-05,0.7900000214576721
2015-11-06,0.8199999928474426
2015-11-09,0.6899999976158142
2015-11-10,0.699999988079071
2015-11-11,0.699999988079071
2015-11-12,0.7300000190734863
2015-11-13,0.7300000190734863
2015-11-16,0.7400000095367432
2015-11-17,0.9200000166893005
2015-11-18,1.0199999809265137
2015-11-19,1.0800000429153442
2015-11-20,1.090000033378601
2015-11-23,0.9399999976158142
2015-11-24,0.9200000166893005
2015-11-25,0.9399999976158142
2015-11-27,0.9700000286102295
2015-11-30,0.949999988079071
2015-12-01,0.9200000166893005
2015-12-02,0.8500000238418579
2015-12-03,0.8399999737739563
2015-12-04,0.8299999833106995
2015-12-07,0.8500000238418579
2015-12-08,0.800000011920929
2015-12-09,0.8100000023841858
2015-12-10,0.8100000023841858
2015-12-11,0.7599999904632568
2015-12-14,0.75
2015-12-15,0.7300000190734863
2015-12-16,0.8199999928474426
2015-12-17,0.8799999952316284
2015-12-18,0.8799999952316284
2015-12-21,0.8500000238418579
2015-12-22,0.8700000047683716
2015-12-23,0.8799999952316284
2015-12-24,0.8799999952316284
2015-12-28,0.8799999952316284
2015-12-29,1.0099999904632568
2015-12-30,1.0199999809265137
2015-12-31,1.0199999809265137
2016-01-04,1.0
2016-01-05,0.9800000190734863
2016-01-06,0.9800000190734863
2016-01-07,0.9100000262260437
2016-01-08,0.9399999976158142
2016-01-11,0.9399999976158142
2016-01-12,0.8299999833106995
2016-01-13,0.8399999737739563
2016-01-14,0.8100000023841858
2016-01-15,0.8299999833106995
2016-01-19,0.800000011920929
2016-01-20,0.7699999809265137
2016-01-21,0.7400000095367432
2016-01-22,0.7599999904632568
2016-01-25,0.6899999976158142
2016-01-26,0.5899999737739563
2016-01-27,0.5600000023841858
2016-01-28,0.5899999737739563
2016-01-29,0.5899999737739563
2016-02-01,
2016-02-02,0.5600000023841858
2016-02-03,0.5699999928474426
2016-02-04,0.5600000023841858
2016-02-05,0.550000011920929
2016-02-08,0.6200000047683716
2016-02-09,0.75
2016-02-10,
2016-02-11,
2016-02-12,
2016-02-16,0.7599999904632568
2016-02-17,0.7300000190734863
2016-02-18,0.7099999785423279
2016-02-19,
2016-02-22,0.6399999856948853
2016-02-23,0.6399999856948853
2016-02-24,0.6299999952316284
2016-02-25,0.6200000047683716
2016-02-26,0.6299999952316284
2016-02-29,0.6399999856948853
2016-03-01,
2016-03-02,0.7099999785423279
2016-03-03,0.6800000071525574
2016-03-04,0.6700000166893005
2016-03-07,0.6899999976158142
2016-03-08,
2016-03-09,
2016-03-10,0.7300000190734863
2016-03-11,
2016-03-14,0.75
2016-03-15,0.75
2016-03-16,0.75
2016-03-17,0.7599999904632568
2016-03-18,
2016-03-21,
2016-03-22,0.8799999952316284
2016-03-23,
2016-03-24,
2016-03-28,1.25
2016-03-29,1.7000000476837158
2016-03-30,2.1600000858306885
2016-03-31,2.490000009536743
2016-04-01,2.440000057220459
2016-04-04,
2016-04-05,
2016-04-06,2.5799999237060547
2016-04-07,
2016-04-08,2.059999942779541
2016-04-11,
2016-04-12,
2016-04-13,2.3299999237060547
2016-04-14,2.359999895095825
2016-04-15,2.3399999141693115
2016-04-18,2.4100000858306885
2016-04-19,2.880000114440918
2016-04-20,
2016-04-21,3.0
2016-04-22,3.069999933242798
2016-04-25,
2016-04-26,2.7300000190734863
2016-04-27,2.7100000381469727
2016-04-28,
2016-04-29,
2016-05-02,
2016-05-03,
2016-05-04,2.799999952316284
2016-05-05,
2016-05-06,
2016-05-09,
2016-05-10,
2016-05-11,
2016-05-12,
2016-05-13,
2016-05-16,3.869999885559082
2016-05-17,
2016-05-18,
2016-05-19,
2016-05-20,
2016-05-23,3.7899999618530273
2016-05-24,
2016-05-25,
2016-05-26,3.5999999046325684
2016-05-27,3.630000114440918
2016-05-31,3.259999990463257
2016-06-01,3.0899999141693115
2016-06-02,2.990000009536743
2016-06-03,3.0199999809265137
2016-06-06,3.0199999809265137
2016-06-07,2.9200000762939453
2016-06-08,3.0299999713897705
2016-06-09,3.450000047683716
2016-06-10,3.2699999809265137
2016-06-13,2.930000066757202
2016-06-14,3.0199999809265137
2016-06-15,2.890000104904175
2016-06-16,2.7100000381469727
2016-06-17,2.759999990463257
2016-06-20,2.9700000286102295
2016-06-21,2.740000009536743
2016-06-22,2.7799999713897705
2016-06-23,2.930000066757202
2016-06-24,2.6600000858306885
2016-06-27,2.4600000381469727
2016-06-28,2.359999895095825
2016-06-29,2.4000000953674316
2016-06-30,2.4000000953674316
2016-07-01,2.200000047683716
2016-07-05,2.1600000858306885
2016-07-06,2.25
2016-07-07,2.200000047683716
2016-07-08,2.130000114440918
2016-07-11,2.180000066757202
2016-07-12,2.140000104904175
2016-07-13,2.059999942779541
2016-07-14,2.0399999618530273
2016-07-15,2.0299999713897705
2016-07-18,2.0399999618530273
2016-07-19,2.069999933242798
2016-07-20,2.0799999237060547
2016-07-21,2.130000114440918
2016-07-22,2.190000057220459
2016-07-25,2.3499999046325684
2016-07-26,2.2799999713897705
2016-07-27,2.2100000381469727
2016-07-28,2.2200000286102295
2016-07-29,2.2100000381469727
2016-08-01,2.049999952316284
2016-08-02,2.0799999237060547
2016-08-03,1.9500000476837158
2016-08-04,1.9800000190734863
2016-08-05,2.0199999809265137
2016-08-08,2.0299999713897705
2016-08-09,2.0199999809265137
2016-08-10,2.009999990463257
2016-08-11,1.9800000190734863
2016-08-12,2.0199999809265137
2016-08-15,2.0199999809265137
2016-08-16,2.069999933242798
2016-08-17,2.0199999809265137
2016-08-18,1.9900000095367432
2016-08-19,1.9600000381469727
2016-08-22,1.9600000381469727
2016-08-23,1.9700000286102295
2016-08-24,2.190000057220459
2016-08-25,1.9600000381469727
2016-08-26,1.9500000476837158
2016-08-29,2.0899999141693115
2016-08-30,2.259999990463257
2016-08-31,2.1700000762939453
2016-09-01,2.25
2016-09-02,2.0899999141693115
2016-09-06,2.059999942779541
2016-09-07,2.0399999618530273
2016-09-08,2.0299999713897705
2016-09-09,2.009999990463257
2016-09-12,1.8899999856948853
2016-09-13,2.2300000190734863
2016-09-14,2.140000104904175
2016-09-15,2.309999942779541
2016-09-16,2.1600000858306885
2016-09-19,2.1500000953674316
2016-09-20,2.0899999141693115
2016-09-21,2.0399999618530273
2016-09-22,2.0
2016-09-23,2.009999990463257
2016-09-26,1.9500000476837158
2016-09-27,1.899999976158142
2016-09-28,1.9199999570846558
2016-09-29,1.9299999475479126
2016-09-30,1.899999976158142
2016-10-03,1.899999976158142
2016-10-04,1.9299999475479126
2016-10-05,1.9199999570846558
2016-10-06,0.05000000074505806
2016-10-07,1.9500000476837158
2016-10-10,0.05000000074505806
2016-10-11,1.940000057220459
2016-10-12,1.9500000476837158
2016-10-13,1.9199999570846558
2016-10-14,1.9299999475479126
2016-10-17,1.9299999475479126
2016-10-18,1.909999966621399
2016-10-19,1.8700000047683716
2016-10-20,1.8799999952316284
