,PSN
2021-01-12,38.310001373291016
2021-01-13,38.349998474121094
2021-01-14,39.0099983215332
2021-01-15,38.7599983215332
2021-01-19,39.290000915527344
2021-01-20,39.0
2021-01-21,38.220001220703125
2021-01-22,38.560001373291016
2021-01-25,39.0
2021-01-26,38.650001525878906
2021-01-27,38.0099983215332
2021-01-28,36.470001220703125
2021-01-29,35.65999984741211
2021-02-01,36.279998779296875
2021-02-02,36.56999969482422
2021-02-03,36.369998931884766
2021-02-04,37.560001373291016
2021-02-05,38.099998474121094
2021-02-08,38.779998779296875
2021-02-09,39.13999938964844
2021-02-10,39.13999938964844
2021-02-11,39.459999084472656
2021-02-12,39.459999084472656
2021-02-16,39.38999938964844
2021-02-17,39.95000076293945
2021-02-18,39.36000061035156
2021-02-19,39.619998931884766
2021-02-22,39.369998931884766
2021-02-23,39.790000915527344
2021-02-24,36.77000045776367
2021-02-25,36.2599983215332
2021-02-26,35.7400016784668
2021-03-01,35.33000183105469
2021-03-02,35.43000030517578
2021-03-03,35.54999923706055
2021-03-04,36.02000045776367
2021-03-05,36.52000045776367
2021-03-08,36.790000915527344
2021-03-09,36.56999969482422
2021-03-10,36.650001525878906
2021-03-11,37.75
2021-03-12,37.41999816894531
2021-03-15,37.4900016784668
2021-03-16,37.5099983215332
2021-03-17,37.650001525878906
2021-03-18,37.5
2021-03-19,37.70000076293945
2021-03-22,38.25
2021-03-23,38.459999084472656
2021-03-24,38.290000915527344
2021-03-25,38.459999084472656
2021-03-26,39.16999816894531
2021-03-29,39.41999816894531
2021-03-30,40.279998779296875
2021-03-31,40.439998626708984
2021-04-01,40.470001220703125
2021-04-05,40.84000015258789
2021-04-06,41.220001220703125
2021-04-07,41.0099983215332
2021-04-08,41.13999938964844
2021-04-09,41.79999923706055
2021-04-12,41.88999938964844
2021-04-13,41.41999816894531
2021-04-14,40.97999954223633
2021-04-15,41.77000045776367
2021-04-16,42.439998626708984
2021-04-19,43.0099983215332
2021-04-20,42.88999938964844
2021-04-21,43.41999816894531
2021-04-22,42.65999984741211
2021-04-23,42.689998626708984
2021-04-26,42.68000030517578
2021-04-27,43.16999816894531
2021-04-28,43.900001525878906
2021-04-29,44.86000061035156
2021-04-30,44.33000183105469
2021-05-03,43.68000030517578
2021-05-04,43.70000076293945
2021-05-05,41.90999984741211
2021-05-06,42.369998931884766
2021-05-07,43.11000061035156
2021-05-10,42.79999923706055
2021-05-11,41.939998626708984
2021-05-12,41.06999969482422
2021-05-13,41.720001220703125
2021-05-14,42.27000045776367
