,EMG
2009-04-16,0.17170999944210052
2009-04-17,0.16407999396324158
2009-04-20,0.20604999363422394
2009-04-21,0.20604999363422394
2009-04-22,0.21367999911308289
2009-04-23,0.18316000699996948
2009-04-24,0.18316000699996948
2009-04-27,0.18316000699996948
2009-04-28,0.19078999757766724
2009-04-29,0.19078999757766724
2009-04-30,0.2022400051355362
2009-05-01,0.19842000305652618
2009-05-04,0.19842000305652618
2009-05-05,0.19460999965667725
2009-05-06,0.18316000699996948
2009-05-07,0.19460999965667725
2009-05-08,0.17553000152111053
2009-05-11,0.19460999965667725
2009-05-12,0.19078999757766724
2009-05-13,0.19842000305652618
2009-05-14,0.19460999965667725
2009-05-15,0.19460999965667725
2009-05-18,0.19460999965667725
2009-05-19,0.18316000699996948
2009-05-20,0.18316000699996948
