,CIGI
1995-10-02,1.1291329860687256
1995-10-03,1.1291329860687256
1995-10-04,1.1291329860687256
1995-10-05,1.1291329860687256
1995-10-06,1.1291329860687256
1995-10-09,1.1291329860687256
1995-10-10,1.1291329860687256
1995-10-11,1.1291329860687256
1995-10-12,1.1291329860687256
1995-10-13,1.1291329860687256
1995-10-16,1.1291329860687256
1995-10-17,1.1291329860687256
1995-10-18,1.1291329860687256
1995-10-19,1.1291329860687256
1995-10-20,1.1291329860687256
1995-10-23,1.1291329860687256
1995-10-24,1.1291329860687256
1995-10-25,1.1291329860687256
1995-10-26,1.1291329860687256
1995-10-27,1.1291329860687256
1995-10-30,1.1291329860687256
1995-10-31,1.1291329860687256
1995-11-01,1.1291329860687256
1995-11-02,1.1291329860687256
1995-11-03,1.1291329860687256
