,CINF
1990-07-13,7.564291954040527
1990-07-16,7.701408863067627
1990-07-17,7.792820930480957
1990-07-18,7.769968032836914
1990-07-19,7.735689163208008
1990-07-20,7.769968032836914
1990-07-23,7.747115135192871
1990-07-24,7.838525772094727
1990-07-25,8.112760543823242
1990-07-26,8.135613441467285
1990-07-27,7.998496055603027
1990-07-30,7.838525772094727
1990-07-31,7.907084941864014
1990-08-01,7.861379146575928
1990-08-02,7.907084941864014
1990-08-03,7.907084941864014
1990-08-06,7.80424690246582
1990-08-07,7.747115135192871
1990-08-08,7.724262237548828
1990-08-09,7.872806072235107
1990-08-10,7.907084941864014
1990-08-13,7.861379146575928
1990-08-14,7.861379146575928
1990-08-15,7.929937839508057
1990-08-16,7.884232044219971
1990-08-17,7.884232044219971
1990-08-20,7.838525772094727
1990-08-21,7.678555965423584
1990-08-22,7.6328511238098145
1990-08-23,7.438601970672607
1990-08-24,7.450027942657471
1990-08-27,7.495734214782715
1990-08-28,7.541439056396484
1990-08-29,7.541439056396484
1990-08-30,7.541439056396484
1990-08-31,7.6099982261657715
1990-09-04,7.655704021453857
1990-09-05,7.815673828125
1990-09-06,7.792820930480957
1990-09-07,7.907084941864014
1990-09-10,8.044201850891113
1990-09-11,8.169893264770508
1990-09-12,8.044201850891113
1990-09-13,7.861379146575928
1990-09-14,7.815673828125
1990-09-17,7.884232044219971
1990-09-18,7.929937839508057
1990-09-19,7.952791213989258
1990-09-20,7.987070083618164
1990-09-21,7.6328511238098145
1990-09-24,7.358616828918457
1990-09-25,7.141514778137207
1990-09-26,6.6958842277526855
1990-09-27,6.673030853271484
1990-09-28,6.593046188354492
1990-10-01,6.673030853271484
1990-10-02,6.398797035217285
1990-10-03,6.398797035217285
1990-10-04,6.353090763092041
1990-10-05,5.987445831298828
1990-10-08,6.101709842681885
1990-10-09,6.147416114807129
1990-10-10,6.147416114807129
1990-10-11,5.941740036010742
1990-10-12,6.033151149749756
1990-10-15,6.513061046600342
1990-10-16,6.878706932067871
1990-10-17,6.6958842277526855
1990-10-18,6.627325057983398
1990-10-19,6.535913944244385
1990-10-22,6.513061046600342
1990-10-23,6.650177955627441
1990-10-24,6.673030853271484
1990-10-25,6.5244879722595215
1990-10-26,6.3073859214782715
1990-10-29,6.2616801261901855
1990-10-30,6.147416114807129
1990-10-31,6.353090763092041
1990-11-01,6.375944137573242
1990-11-02,6.558766841888428
1990-11-05,6.673030853271484
1990-11-06,6.650177955627441
1990-11-07,6.581620216369629
1990-11-08,6.627325057983398
1990-11-09,6.855854034423828
1990-11-12,6.970118045806885
1990-11-13,7.038677215576172
1990-11-14,7.107234954833984
1990-11-15,7.038677215576172
1990-11-16,6.992970943450928
1990-11-19,7.1757941246032715
1990-11-20,7.335763931274414
1990-11-21,7.267205238342285
1990-11-23,7.267205238342285
1990-11-26,7.267205238342285
1990-11-27,7.450027942657471
1990-11-28,7.450027942657471
1990-11-29,7.290058135986328
1990-11-30,7.290058135986328
1990-12-03,7.347189903259277
1990-12-04,7.404322147369385
1990-12-05,7.6328511238098145
1990-12-06,7.724262237548828
1990-12-07,7.701408863067627
1990-12-10,7.644277095794678
1990-12-11,7.6099982261657715
1990-12-12,7.747115135192871
1990-12-13,7.952791213989258
1990-12-14,7.861379146575928
1990-12-17,7.747115135192871
1990-12-18,7.838525772094727
1990-12-19,7.758541107177734
1990-12-20,7.724262237548828
1990-12-21,7.655704021453857
1990-12-24,7.655704021453857
1990-12-26,7.655704021453857
1990-12-27,7.655704021453857
1990-12-28,7.792820930480957
1990-12-31,7.678555965423584
1991-01-02,7.518587112426758
1991-01-03,7.312911033630371
1991-01-04,7.290058135986328
1991-01-07,7.244351863861084
1991-01-08,7.221499919891357
1991-01-09,7.130087852478027
1991-01-10,7.221499919891357
1991-01-11,7.1529412269592285
1991-01-14,7.107234954833984
1991-01-15,7.107234954833984
1991-01-16,7.221499919891357
1991-01-17,7.404322147369385
1991-01-18,7.404322147369385
1991-01-21,7.541439056396484
1991-01-22,7.655704021453857
1991-01-23,7.678555965423584
1991-01-24,7.815673828125
1991-01-25,7.769968032836914
1991-01-28,7.724262237548828
1991-01-29,7.838525772094727
1991-01-30,7.792820930480957
1991-01-31,7.907084941864014
1991-02-01,8.044201850891113
1991-02-04,8.318435668945312
1991-02-05,8.592670440673828
1991-02-06,8.569816589355469
1991-02-07,8.181319236755371
1991-02-08,8.227025032043457
1991-02-11,8.181319236755371
1991-02-12,8.2498779296875
1991-02-13,8.4098482131958
1991-02-14,8.45555305480957
1991-02-15,8.592670440673828
1991-02-19,8.501258850097656
1991-02-20,8.46697998046875
1991-02-21,8.5241117477417
1991-02-22,8.501258850097656
1991-02-25,8.68408203125
1991-02-26,8.592670440673828
1991-02-27,8.72978687286377
1991-02-28,8.775492668151855
1991-03-01,8.68408203125
1991-03-04,8.72978687286377
1991-03-05,9.004021644592285
1991-03-06,8.912610054016113
1991-03-07,8.866904258728027
1991-03-08,9.095433235168457
1991-03-11,8.935462951660156
1991-03-12,8.798345565795898
1991-03-13,8.8440523147583
1991-03-14,8.68408203125
1991-03-15,8.649802207946777
1991-03-18,8.649802207946777
1991-03-19,8.341288566589355
1991-03-20,8.51268482208252
1991-03-21,8.592670440673828
1991-03-22,8.638376235961914
1991-03-25,8.638376235961914
1991-03-26,8.638376235961914
1991-03-27,9.004021644592285
1991-03-28,8.9583158493042
1991-04-01,9.015447616577148
1991-04-02,9.3925199508667
1991-04-03,9.2782564163208
1991-04-04,9.461077690124512
1991-04-05,9.141139030456543
1991-04-08,9.141139030456543
1991-04-09,9.004021644592285
1991-04-10,8.912610054016113
1991-04-11,9.004021644592285
1991-04-12,9.095433235168457
1991-04-15,9.232549667358398
