,ALXO
2020-11-24,75.20999908447266
2020-11-25,67.87000274658203
2020-11-27,68.51000213623047
2020-11-30,76.93000030517578
2020-12-01,75.4000015258789
2020-12-02,77.16000366210938
2020-12-03,72.9000015258789
2020-12-04,73.22000122070312
2020-12-07,70.20999908447266
2020-12-08,73.5999984741211
2020-12-09,81.7300033569336
2020-12-10,112.26000213623047
2020-12-11,80.4000015258789
2020-12-14,80.0
2020-12-15,81.05000305175781
2020-12-16,87.0
2020-12-17,90.30000305175781
2020-12-18,83.16000366210938
2020-12-21,83.45999908447266
2020-12-22,92.63999938964844
2020-12-23,90.52999877929688
2020-12-24,88.63999938964844
2020-12-28,83.69999694824219
2020-12-29,84.38999938964844
2020-12-30,88.1500015258789
2020-12-31,86.19999694824219
2021-01-04,80.81999969482422
2021-01-05,85.81999969482422
2021-01-06,87.47000122070312
2021-01-07,83.94999694824219
2021-01-08,86.0
2021-01-11,85.97000122070312
2021-01-12,86.19999694824219
2021-01-13,82.16999816894531
2021-01-14,83.01000213623047
2021-01-15,83.33000183105469
2021-01-19,83.87000274658203
2021-01-20,82.41999816894531
2021-01-21,80.98999786376953
2021-01-22,81.47000122070312
2021-01-25,81.44000244140625
2021-01-26,80.95999908447266
2021-01-27,79.5999984741211
2021-01-28,77.63999938964844
2021-01-29,79.25
2021-02-01,81.01000213623047
2021-02-02,79.63999938964844
2021-02-03,77.25
2021-02-04,79.97000122070312
2021-02-05,80.12000274658203
2021-02-08,84.69999694824219
2021-02-09,82.18000030517578
2021-02-10,80.41999816894531
2021-02-11,80.93000030517578
2021-02-12,81.7699966430664
2021-02-16,81.54000091552734
2021-02-17,85.06999969482422
2021-02-18,85.98999786376953
2021-02-19,87.55000305175781
2021-02-22,76.72000122070312
2021-02-23,75.58000183105469
2021-02-24,76.75
2021-02-25,82.66999816894531
2021-02-26,80.29000091552734
2021-03-01,87.68000030517578
2021-03-02,83.33999633789062
2021-03-03,83.86000061035156
2021-03-04,81.22000122070312
2021-03-05,68.62000274658203
2021-03-08,69.58999633789062
2021-03-09,73.54000091552734
2021-03-10,74.38999938964844
2021-03-11,76.33000183105469
2021-03-12,77.1500015258789
2021-03-15,76.77999877929688
2021-03-16,78.58999633789062
2021-03-17,80.76000213623047
2021-03-18,72.86000061035156
2021-03-19,63.06999969482422
2021-03-22,69.93000030517578
2021-03-23,65.08999633789062
2021-03-24,62.84000015258789
2021-03-25,67.76000213623047
2021-03-26,65.80000305175781
2021-03-29,66.20999908447266
2021-03-30,68.31999969482422
2021-03-31,73.73999786376953
2021-04-01,74.18000030517578
2021-04-05,75.2300033569336
2021-04-06,74.61000061035156
2021-04-07,69.18000030517578
2021-04-08,72.18000030517578
2021-04-09,63.77000045776367
2021-04-12,57.95000076293945
2021-04-13,57.09000015258789
2021-04-14,59.79999923706055
2021-04-15,60.349998474121094
2021-04-16,60.72999954223633
2021-04-19,56.459999084472656
2021-04-20,54.439998626708984
2021-04-21,58.0
2021-04-22,62.65999984741211
2021-04-23,62.869998931884766
2021-04-26,67.44999694824219
2021-04-27,66.30000305175781
2021-04-28,69.33000183105469
2021-04-29,71.66000366210938
2021-04-30,62.65999984741211
2021-05-03,62.83000183105469
2021-05-04,62.529998779296875
2021-05-05,62.59000015258789
2021-05-06,62.79999923706055
2021-05-07,64.9800033569336
2021-05-10,61.709999084472656
2021-05-11,60.599998474121094
2021-05-12,54.68000030517578
2021-05-13,52.59000015258789
2021-05-14,55.400001525878906
