,CRSA
2020-01-17,10.069999694824219
2020-01-21,10.069999694824219
2020-01-22,10.079999923706055
2020-01-23,10.079999923706055
2020-01-24,10.081000328063965
2020-01-27,10.081000328063965
2020-01-28,10.081000328063965
2020-01-29,10.071999549865723
2020-01-30,10.119999885559082
2020-01-31,10.119999885559082
2020-02-03,10.140000343322754
2020-02-04,10.100000381469727
2020-02-05,10.119999885559082
2020-02-06,10.119999885559082
2020-02-07,10.119999885559082
2020-02-10,10.119999885559082
2020-02-11,10.130000114440918
2020-02-12,10.149999618530273
2020-02-13,10.119999885559082
2020-02-14,10.119999885559082
2020-02-18,10.130000114440918
2020-02-19,10.149999618530273
2020-02-20,10.149999618530273
2020-02-21,10.149999618530273
2020-02-24,10.15999984741211
2020-02-25,10.170000076293945
2020-02-26,10.170000076293945
2020-02-27,10.079999923706055
2020-02-28,10.119999885559082
2020-03-02,10.050000190734863
2020-03-03,10.050000190734863
2020-03-04,10.050000190734863
2020-03-05,10.050000190734863
2020-03-06,10.050000190734863
2020-03-09,10.010000228881836
2020-03-10,10.020000457763672
2020-03-11,9.970000267028809
2020-03-12,9.899999618530273
2020-03-13,9.850000381469727
2020-03-16,9.550000190734863
2020-03-17,9.6899995803833
2020-03-18,9.58899974822998
2020-03-19,9.505000114440918
2020-03-20,9.600000381469727
2020-03-23,9.600000381469727
2020-03-24,9.670000076293945
2020-03-25,9.8100004196167
2020-03-26,9.899999618530273
2020-03-27,9.899999618530273
2020-03-30,9.859999656677246
2020-03-31,9.850000381469727
2020-04-01,9.829999923706055
2020-04-02,9.899999618530273
2020-04-03,9.930000305175781
2020-04-06,9.819999694824219
2020-04-07,9.819999694824219
2020-04-08,9.899999618530273
2020-04-09,10.0
2020-04-13,9.880000114440918
2020-04-14,9.9399995803833
2020-04-15,9.9399995803833
2020-04-16,9.9399995803833
2020-04-17,9.970000267028809
2020-04-20,9.960000038146973
2020-04-21,9.970000267028809
2020-04-22,9.920000076293945
2020-04-23,9.949999809265137
2020-04-24,9.960000038146973
2020-04-27,9.960000038146973
