,ECHO
2015-04-01,26.899999618530273
2015-04-02,26.010000228881836
2015-04-06,25.110000610351562
2015-04-07,24.68000030517578
2015-04-08,24.889999389648438
2015-04-09,24.309999465942383
2015-04-10,24.459999084472656
2015-04-13,24.469999313354492
2015-04-14,24.5
2015-04-15,24.739999771118164
2015-04-16,24.780000686645508
2015-04-17,25.5
2015-04-20,25.389999389648438
2015-04-21,32.02000045776367
2015-04-22,33.38999938964844
2015-04-23,33.81999969482422
2015-04-24,32.68000030517578
2015-04-27,30.270000457763672
2015-04-28,30.18000030517578
2015-04-29,29.639999389648438
2015-04-30,28.899999618530273
2015-05-01,28.90999984741211
2015-05-04,29.25
2015-05-05,29.079999923706055
2015-05-06,29.09000015258789
2015-05-07,29.610000610351562
2015-05-08,30.559999465942383
2015-05-11,31.020000457763672
2015-05-12,30.850000381469727
2015-05-13,30.8700008392334
2015-05-14,31.219999313354492
2015-05-15,30.8700008392334
2015-05-18,31.0
2015-05-19,30.979999542236328
2015-05-20,30.81999969482422
2015-05-21,31.229999542236328
2015-05-22,31.68000030517578
2015-05-26,31.59000015258789
2015-05-27,32.95000076293945
2015-05-28,32.83000183105469
2015-05-29,32.18000030517578
2015-06-01,32.52000045776367
2015-06-02,32.36000061035156
2015-06-03,32.869998931884766
2015-06-04,32.38999938964844
2015-06-05,32.630001068115234
2015-06-08,32.310001373291016
2015-06-09,32.34000015258789
2015-06-10,32.220001220703125
2015-06-11,32.27000045776367
2015-06-12,31.979999542236328
2015-06-15,32.459999084472656
2015-06-16,32.43000030517578
2015-06-17,32.810001373291016
2015-06-18,32.63999938964844
2015-06-19,33.189998626708984
2015-06-22,33.369998931884766
2015-06-23,34.13999938964844
2015-06-24,33.029998779296875
2015-06-25,32.709999084472656
2015-06-26,32.529998779296875
2015-06-29,32.5099983215332
2015-06-30,32.65999984741211
2015-07-01,33.08000183105469
2015-07-02,33.060001373291016
2015-07-06,33.5
2015-07-07,33.209999084472656
2015-07-08,32.68000030517578
2015-07-09,32.0
2015-07-10,32.779998779296875
2015-07-13,32.93000030517578
2015-07-14,32.93000030517578
2015-07-15,32.41999816894531
2015-07-16,33.0099983215332
2015-07-17,33.09000015258789
2015-07-20,32.77000045776367
2015-07-21,32.75
2015-07-22,33.02000045776367
2015-07-23,32.22999954223633
2015-07-24,31.3700008392334
2015-07-27,30.420000076293945
2015-07-28,31.1299991607666
2015-07-29,31.600000381469727
2015-07-30,31.360000610351562
2015-07-31,32.29999923706055
2015-08-03,32.22999954223633
2015-08-04,32.31999969482422
2015-08-05,32.84000015258789
2015-08-06,26.3799991607666
2015-08-07,25.18000030517578
2015-08-10,25.270000457763672
2015-08-11,25.559999465942383
2015-08-12,25.309999465942383
2015-08-13,24.520000457763672
2015-08-14,25.209999084472656
2015-08-17,25.079999923706055
2015-08-18,25.799999237060547
2015-08-19,25.68000030517578
2015-08-20,25.350000381469727
2015-08-21,24.81999969482422
2015-08-24,23.700000762939453
2015-08-25,22.93000030517578
