,CRTX
2020-07-29,41.04999923706055
2020-07-30,40.2599983215332
2020-07-31,39.849998474121094
2020-08-03,41.04999923706055
2020-08-04,40.84000015258789
2020-08-05,41.7400016784668
2020-08-06,41.97999954223633
2020-08-07,44.130001068115234
2020-08-10,44.38999938964844
2020-08-11,43.81999969482422
2020-08-12,44.0
2020-08-13,45.119998931884766
2020-08-14,44.560001373291016
2020-08-17,45.150001525878906
2020-08-18,44.36000061035156
2020-08-19,43.65999984741211
2020-08-20,42.970001220703125
2020-08-21,42.0
2020-08-24,42.11000061035156
2020-08-25,42.849998474121094
2020-08-26,42.36000061035156
2020-08-27,43.88999938964844
2020-08-28,43.650001525878906
2020-08-31,43.970001220703125
2020-09-01,43.9900016784668
2020-09-02,45.25
2020-09-03,43.849998474121094
2020-09-04,43.45000076293945
2020-09-08,44.459999084472656
2020-09-09,47.25
2020-09-10,48.380001068115234
2020-09-11,47.58000183105469
2020-09-14,53.349998474121094
2020-09-15,52.36000061035156
2020-09-16,53.41999816894531
2020-09-17,55.599998474121094
2020-09-18,57.29999923706055
2020-09-21,52.7400016784668
2020-09-22,50.0
2020-09-23,48.310001373291016
2020-09-24,48.189998626708984
2020-09-25,48.84000015258789
2020-09-28,49.72999954223633
2020-09-29,50.31999969482422
2020-09-30,50.0
2020-10-01,51.40999984741211
2020-10-02,49.470001220703125
2020-10-05,51.16999816894531
2020-10-06,50.150001525878906
2020-10-07,51.29999923706055
2020-10-08,50.790000915527344
2020-10-09,50.97999954223633
2020-10-12,50.970001220703125
2020-10-13,51.5
2020-10-14,48.90999984741211
2020-10-15,46.709999084472656
2020-10-16,49.470001220703125
2020-10-19,50.599998474121094
2020-10-20,50.38999938964844
2020-10-21,48.279998779296875
2020-10-22,48.83000183105469
2020-10-23,49.790000915527344
2020-10-26,49.33000183105469
2020-10-27,50.70000076293945
2020-10-28,49.66999816894531
2020-10-29,50.150001525878906
2020-10-30,47.869998931884766
2020-11-02,44.279998779296875
2020-11-03,44.75
2020-11-04,46.54999923706055
2020-11-05,49.20000076293945
2020-11-06,48.029998779296875
2020-11-09,46.22999954223633
2020-11-10,46.560001373291016
2020-11-11,48.06999969482422
2020-11-12,47.470001220703125
2020-11-13,48.220001220703125
2020-11-16,51.40999984741211
2020-11-17,51.5
2020-11-18,51.91999816894531
2020-11-19,55.36000061035156
2020-11-20,56.93000030517578
2020-11-23,54.18000030517578
2020-11-24,50.75
2020-11-25,48.61000061035156
2020-11-27,49.41999816894531
2020-11-30,48.599998474121094
2020-12-01,49.220001220703125
2020-12-02,47.189998626708984
2020-12-03,47.95000076293945
2020-12-04,38.540000915527344
2020-12-07,40.20000076293945
2020-12-08,40.33000183105469
2020-12-09,36.189998626708984
2020-12-10,36.79999923706055
2020-12-11,29.600000381469727
2020-12-14,30.09000015258789
2020-12-15,31.5
2020-12-16,31.440000534057617
2020-12-17,30.18000030517578
2020-12-18,28.75
2020-12-21,30.829999923706055
2020-12-22,28.950000762939453
2020-12-23,29.5
2020-12-24,29.0
2020-12-28,27.829999923706055
2020-12-29,28.329999923706055
2020-12-30,28.6299991607666
2020-12-31,27.780000686645508
2021-01-04,28.600000381469727
2021-01-05,28.760000228881836
2021-01-06,29.790000915527344
2021-01-07,30.84000015258789
2021-01-08,30.440000534057617
2021-01-11,30.520000457763672
2021-01-12,30.209999084472656
2021-01-13,29.3700008392334
2021-01-14,31.90999984741211
2021-01-15,32.61000061035156
2021-01-19,33.04999923706055
2021-01-20,31.219999313354492
2021-01-21,31.760000228881836
2021-01-22,32.099998474121094
2021-01-25,31.65999984741211
2021-01-26,37.36000061035156
2021-01-27,39.790000915527344
2021-01-28,38.880001068115234
2021-01-29,39.220001220703125
2021-02-01,36.65999984741211
2021-02-02,36.11000061035156
2021-02-03,45.15999984741211
2021-02-04,47.619998931884766
2021-02-05,43.849998474121094
2021-02-08,45.90999984741211
2021-02-09,46.099998474121094
2021-02-10,49.209999084472656
2021-02-11,46.4900016784668
2021-02-12,47.470001220703125
2021-02-16,30.719999313354492
2021-02-17,31.149999618530273
2021-02-18,31.459999084472656
2021-02-19,32.470001220703125
2021-02-22,31.829999923706055
2021-02-23,32.349998474121094
2021-02-24,32.869998931884766
2021-02-25,32.869998931884766
2021-02-26,34.06999969482422
2021-03-01,36.43000030517578
2021-03-02,36.40999984741211
2021-03-03,35.189998626708984
2021-03-04,36.369998931884766
2021-03-05,37.9900016784668
2021-03-08,36.72999954223633
2021-03-09,40.060001373291016
2021-03-10,42.97999954223633
2021-03-11,41.0
2021-03-12,39.66999816894531
2021-03-15,39.2599983215332
2021-03-16,39.0
2021-03-17,36.959999084472656
2021-03-18,34.9900016784668
2021-03-19,36.5
2021-03-22,35.939998626708984
2021-03-23,34.38999938964844
2021-03-24,33.31999969482422
2021-03-25,32.869998931884766
2021-03-26,33.630001068115234
2021-03-29,32.5099983215332
2021-03-30,33.91999816894531
2021-03-31,36.029998779296875
2021-04-01,37.34000015258789
2021-04-05,35.599998474121094
2021-04-06,35.0099983215332
2021-04-07,32.939998626708984
2021-04-08,35.900001525878906
2021-04-09,33.59000015258789
2021-04-12,31.8799991607666
2021-04-13,35.68000030517578
2021-04-14,36.400001525878906
2021-04-15,38.65999984741211
2021-04-16,38.70000076293945
2021-04-19,36.75
2021-04-20,37.119998931884766
2021-04-21,36.720001220703125
2021-04-22,38.400001525878906
2021-04-23,38.2599983215332
2021-04-26,38.91999816894531
2021-04-27,38.79999923706055
2021-04-28,39.77000045776367
2021-04-29,38.810001373291016
2021-04-30,39.16999816894531
2021-05-03,38.70000076293945
2021-05-04,35.619998931884766
2021-05-05,36.599998474121094
2021-05-06,36.68000030517578
2021-05-07,37.099998474121094
2021-05-10,33.459999084472656
2021-05-11,36.349998474121094
2021-05-12,36.56999969482422
2021-05-13,34.33000183105469
2021-05-14,36.77000045776367
