,CDMO
1998-12-02,35.0
1998-12-03,35.0
1998-12-04,35.0
1998-12-07,41.5625
1998-12-08,43.75
1998-12-09,41.5625
1998-12-10,39.375
1998-12-11,41.5625
1998-12-14,45.9375
1998-12-15,52.5
1998-12-16,47.03125
1998-12-17,43.75
1998-12-18,43.75
1998-12-21,43.75
1998-12-22,42.65625
1998-12-23,40.46875
1998-12-24,36.09375
1998-12-28,39.375
1998-12-29,38.28125
1998-12-30,39.375
1998-12-31,38.28125
1999-01-04,42.65625
1999-01-05,47.03125
1999-01-06,49.21875
1999-01-07,49.21875
1999-01-08,52.5
1999-01-11,50.3125
1999-01-12,44.84375
1999-01-13,43.75
1999-01-14,44.84375
1999-01-15,47.03125
1999-01-19,45.9375
1999-01-20,43.75
1999-01-21,45.9375
1999-01-22,44.84375
1999-01-25,43.75
1999-01-26,42.65625
1999-01-27,42.65625
1999-01-28,39.921875
1999-01-29,39.375
1999-02-01,37.734375
1999-02-02,41.5625
1999-02-03,44.84375
1999-02-04,43.75
