,IHP
2010-07-07,
2010-07-08,
2010-07-09,1.5
2010-07-12,
2010-07-13,
2010-07-14,1.4500000476837158
2010-07-15,1.5
2010-07-16,1.5
2010-07-19,1.5
2010-07-20,
2010-07-21,
2010-07-22,1.399999976158142
2010-07-23,1.4700000286102295
2010-07-26,1.399999976158142
2010-07-27,1.4700000286102295
2010-07-28,
2010-07-29,1.399999976158142
2010-07-30,
2010-08-02,1.4700000286102295
2010-08-03,
2010-08-04,
2010-08-05,1.2699999809265137
2010-08-06,
2010-08-09,
2010-08-10,1.100000023841858
2010-08-11,1.0499999523162842
2010-08-12,1.0
2010-08-13,
2010-08-16,
2010-08-17,
2010-08-18,1.0700000524520874
2010-08-19,
2010-08-20,1.1699999570846558
2010-08-23,1.2200000286102295
2010-08-24,
2010-08-25,1.2799999713897705
2010-08-26,1.2400000095367432
2010-08-27,
2010-08-30,1.2300000190734863
2010-08-31,1.1699999570846558
2010-09-01,1.2000000476837158
2010-09-02,1.1399999856948853
2010-09-03,
2010-09-07,
2010-09-08,
2010-09-09,
2010-09-10,
2010-09-13,1.149999976158142
2010-09-14,
2010-09-15,1.2400000095367432
2010-09-16,1.190000057220459
2010-09-17,1.2000000476837158
2010-09-20,1.2599999904632568
2010-09-21,
2010-09-22,1.2300000190734863
2010-09-23,1.1699999570846558
2010-09-24,1.1200000047683716
2010-09-27,1.0700000524520874
2010-09-28,1.0499999523162842
2010-09-29,1.100000023841858
2010-09-30,
2010-10-01,
2010-10-04,
2010-10-05,
2010-10-06,1.3200000524520874
2010-10-07,
2010-10-08,
2010-10-11,1.3600000143051147
2010-10-12,
2010-10-13,1.350000023841858
2010-10-14,1.3799999952316284
2010-10-15,1.3200000524520874
2010-10-18,1.3799999952316284
2010-10-19,1.440000057220459
2010-10-20,
2010-10-21,1.4900000095367432
2010-10-22,
2010-10-25,1.559999942779541
2010-10-26,1.6200000047683716
2010-10-27,1.5399999618530273
2010-10-28,1.5099999904632568
2010-10-29,1.5499999523162842
2010-11-01,1.6200000047683716
2010-11-02,1.559999942779541
2010-11-03,1.5800000429153442
2010-11-04,1.5299999713897705
2010-11-05,
2010-11-08,
2010-11-09,1.5199999809265137
