,APXTU
2020-08-28,10.640000343322754
2020-08-31,10.600000381469727
2020-09-01,10.609999656677246
2020-09-02,10.850000381469727
2020-09-03,10.850000381469727
2020-09-04,10.75
2020-09-08,10.850000381469727
2020-09-09,11.0
2020-09-10,11.0
2020-09-11,11.0
2020-09-14,11.0
2020-09-15,11.0
2020-09-16,11.0
2020-09-17,12.0
2020-09-18,11.965999603271484
2020-09-21,11.965999603271484
2020-09-22,11.84000015258789
2020-09-23,11.895999908447266
2020-09-24,11.699999809265137
2020-09-25,11.600000381469727
2020-09-28,11.600000381469727
2020-09-29,11.420000076293945
2020-09-30,11.800000190734863
2020-10-01,11.449999809265137
2020-10-02,11.678000450134277
2020-10-05,11.699999809265137
2020-10-06,11.470000267028809
2020-10-07,11.470000267028809
2020-10-08,11.470000267028809
2020-10-09,11.25
2020-10-12,11.25
2020-10-13,11.25
2020-10-14,11.25
2020-10-15,11.25
2020-10-16,11.699999809265137
2020-10-19,11.699999809265137
2020-10-20,11.699999809265137
2020-10-21,11.699999809265137
2020-10-22,11.699999809265137
2020-10-23,11.5
2020-10-26,11.239999771118164
2020-10-27,11.239999771118164
2020-10-28,11.239999771118164
2020-10-29,11.239999771118164
2020-10-30,11.239999771118164
2020-11-02,11.239999771118164
2020-11-03,11.239999771118164
2020-11-04,11.239999771118164
2020-11-05,11.239999771118164
2020-11-06,11.239999771118164
2020-11-09,11.239999771118164
2020-11-10,11.239999771118164
2020-11-11,11.239999771118164
2020-11-12,11.239999771118164
2020-11-13,11.239999771118164
2020-11-16,11.239999771118164
2020-11-17,11.239999771118164
2020-11-18,10.928000450134277
2020-11-19,11.0
2020-11-20,11.0
2020-11-23,11.682000160217285
2020-11-24,12.892000198364258
2020-11-25,13.100000381469727
2020-11-27,15.78600025177002
2020-11-30,17.75
2020-12-01,15.420000076293945
2020-12-02,14.65999984741211
2020-12-03,15.300000190734863
2020-12-04,16.0
2020-12-07,16.200000762939453
2020-12-08,16.533000946044922
2020-12-09,16.030000686645508
2020-12-10,16.110000610351562
2020-12-11,15.979999542236328
2020-12-14,15.829999923706055
2020-12-15,15.1899995803833
2020-12-16,15.75
2020-12-17,15.819999694824219
2020-12-18,16.020000457763672
2020-12-21,16.600000381469727
2020-12-22,16.5
2020-12-23,17.299999237060547
2020-12-24,18.450000762939453
2020-12-28,18.760000228881836
2020-12-29,17.940000534057617
2020-12-30,17.5
2020-12-31,17.1299991607666
2021-01-04,16.6200008392334
2021-01-05,17.440000534057617
2021-01-06,16.260000228881836
2021-01-07,16.229999542236328
2021-01-08,16.5
2021-01-11,16.729999542236328
2021-01-12,18.649999618530273
2021-01-13,19.0
2021-01-14,19.25
2021-01-15,18.496999740600586
2021-01-19,18.0
2021-01-20,18.0
2021-01-21,17.850000381469727
2021-01-22,17.93000030517578
2021-01-25,17.540000915527344
2021-01-26,17.312999725341797
2021-01-27,17.040000915527344
2021-01-28,16.540000915527344
2021-01-29,16.649999618530273
2021-02-01,18.149999618530273
2021-02-02,18.0
2021-02-03,18.0
2021-02-04,18.420000076293945
2021-02-05,18.489999771118164
2021-02-08,17.83099937438965
2021-02-09,17.079999923706055
2021-02-10,16.610000610351562
2021-02-11,16.530000686645508
2021-02-12,17.18000030517578
2021-02-16,16.600000381469727
2021-02-17,16.8700008392334
2021-02-18,16.450000762939453
2021-02-19,16.670000076293945
2021-02-22,15.850000381469727
2021-02-23,14.460000038146973
2021-02-24,15.15999984741211
2021-02-25,15.493000030517578
2021-02-26,15.493000030517578
2021-03-01,15.493000030517578
2021-03-02,15.039999961853027
2021-03-03,15.039999961853027
2021-03-04,12.220000267028809
2021-03-05,13.359999656677246
2021-03-08,13.34000015258789
2021-03-09,13.020000457763672
2021-03-10,13.020000457763672
2021-03-11,13.1899995803833
2021-03-12,13.260000228881836
2021-03-15,14.130000114440918
2021-03-16,14.34000015258789
2021-03-17,15.479999542236328
2021-03-18,15.479999542236328
2021-03-19,15.479999542236328
2021-03-22,15.479999542236328
2021-03-23,15.479999542236328
2021-03-24,15.479999542236328
2021-03-25,12.3100004196167
2021-03-26,12.3100004196167
2021-03-29,12.744999885559082
2021-03-30,12.744999885559082
2021-03-31,12.744999885559082
2021-04-01,12.744999885559082
2021-04-05,12.800000190734863
2021-04-06,12.600000381469727
2021-04-07,12.899999618530273
2021-04-08,12.899999618530273
2021-04-09,12.899999618530273
2021-04-12,12.899999618530273
2021-04-13,12.5
2021-04-14,12.119999885559082
2021-04-15,12.600000381469727
2021-04-16,12.600000381469727
2021-04-19,11.680000305175781
2021-04-20,11.4399995803833
2021-04-21,11.920000076293945
2021-04-22,11.920000076293945
2021-04-23,11.920000076293945
2021-04-26,12.079999923706055
2021-04-27,12.039999961853027
2021-04-28,12.039999961853027
2021-04-29,12.039999961853027
2021-04-30,12.039999961853027
2021-05-03,12.039999961853027
2021-05-04,11.470000267028809
2021-05-05,11.470000267028809
2021-05-06,11.34000015258789
2021-05-07,11.34000015258789
2021-05-10,11.079999923706055
2021-05-11,11.145999908447266
2021-05-12,11.010000228881836
2021-05-13,11.010000228881836
2021-05-14,11.010000228881836
