,BIDU
2008-03-05,24.222000122070312
2008-03-06,24.242000579833984
2008-03-07,24.292999267578125
2008-03-10,24.1299991607666
2008-03-11,26.038999557495117
2008-03-12,27.36400032043457
2008-03-13,26.80900001525879
2008-03-14,26.80500030517578
2008-03-17,24.709999084472656
2008-03-18,24.652999877929688
2008-03-19,22.020999908447266
2008-03-20,20.790000915527344
2008-03-24,24.0
2008-03-25,23.56100082397461
2008-03-26,24.149999618530273
2008-03-27,23.7549991607666
2008-03-28,24.72100067138672
2008-03-31,23.96299934387207
2008-04-01,27.325000762939453
2008-04-02,28.148000717163086
2008-04-03,28.663999557495117
2008-04-04,29.388999938964844
2008-04-07,30.0
2008-04-08,29.594999313354492
2008-04-09,28.881000518798828
2008-04-10,29.200000762939453
2008-04-11,28.42300033569336
2008-04-14,28.916000366210938
2008-04-15,28.83799934387207
2008-04-16,31.774999618530273
2008-04-17,30.975000381469727
2008-04-18,34.099998474121094
2008-04-21,35.750999450683594
2008-04-22,35.0099983215332
2008-04-23,34.965999603271484
2008-04-24,34.20000076293945
2008-04-25,36.36899948120117
2008-04-28,36.0359992980957
2008-04-29,37.38100051879883
2008-04-30,36.560001373291016
2008-05-01,37.0
2008-05-02,36.150001525878906
2008-05-05,37.3849983215332
2008-05-06,37.04199981689453
2008-05-07,35.91299819946289
2008-05-08,35.516998291015625
2008-05-09,34.62799835205078
2008-05-12,36.6870002746582
2008-05-13,36.84000015258789
2008-05-14,36.117000579833984
2008-05-15,36.426998138427734
2008-05-16,36.45899963378906
2008-05-19,37.099998474121094
2008-05-20,37.2130012512207
2008-05-21,35.499000549316406
2008-05-22,33.500999450683594
2008-05-23,32.87099838256836
2008-05-27,33.650001525878906
2008-05-28,34.49399948120117
2008-05-29,34.49300003051758
2008-05-30,34.50600051879883
2008-06-02,33.775001525878906
2008-06-03,34.20899963378906
2008-06-04,34.45199966430664
2008-06-05,36.180999755859375
2008-06-06,34.50400161743164
2008-06-09,33.20000076293945
2008-06-10,32.63399887084961
2008-06-11,31.898000717163086
2008-06-12,31.54199981689453
2008-06-13,32.683998107910156
2008-06-16,33.590999603271484
2008-06-17,33.263999938964844
2008-06-18,33.249000549316406
2008-06-19,33.48099899291992
2008-06-20,32.28900146484375
2008-06-23,31.88599967956543
2008-06-24,30.672000885009766
2008-06-25,33.20899963378906
2008-06-26,31.47599983215332
2008-06-27,31.323999404907227
2008-06-30,31.29599952697754
2008-07-01,31.768999099731445
2008-07-02,31.20400047302246
2008-07-03,31.600000381469727
2008-07-07,32.78900146484375
2008-07-08,33.45600128173828
2008-07-09,33.28300094604492
2008-07-10,32.930999755859375
2008-07-11,30.507999420166016
2008-07-14,29.139999389648438
2008-07-15,28.20400047302246
2008-07-16,29.893999099731445
2008-07-17,30.290000915527344
2008-07-18,29.15399932861328
2008-07-21,29.700000762939453
2008-07-22,29.236000061035156
2008-07-23,28.8700008392334
2008-07-24,33.507999420166016
2008-07-25,33.2400016784668
2008-07-28,33.43600082397461
2008-07-29,34.8120002746582
2008-07-30,35.02399826049805
2008-07-31,34.71500015258789
2008-08-01,34.41699981689453
2008-08-04,33.02000045776367
2008-08-05,33.02899932861328
2008-08-06,33.880001068115234
2008-08-07,32.762001037597656
2008-08-08,31.926000595092773
2008-08-11,30.440000534057617
2008-08-12,31.152999877929688
2008-08-13,31.55699920654297
2008-08-14,32.486000061035156
2008-08-15,32.10100173950195
2008-08-18,30.725000381469727
2008-08-19,30.884000778198242
2008-08-20,32.12200164794922
2008-08-21,32.33000183105469
2008-08-22,32.402000427246094
2008-08-25,32.242000579833984
2008-08-26,31.013999938964844
2008-08-27,31.572999954223633
2008-08-28,31.65399932861328
2008-08-29,31.371999740600586
2008-09-02,30.854000091552734
2008-09-03,29.325000762939453
2008-09-04,27.11400032043457
2008-09-05,27.06599998474121
2008-09-08,27.437999725341797
