,AKUS
2021-01-22,16.950000762939453
2021-01-25,17.100000381469727
2021-01-26,16.81999969482422
2021-01-27,15.880000114440918
2021-01-28,15.630000114440918
2021-01-29,15.920000076293945
2021-02-01,15.819999694824219
2021-02-02,16.68000030517578
2021-02-03,16.239999771118164
2021-02-04,16.510000228881836
2021-02-05,16.40999984741211
2021-02-08,17.139999389648438
2021-02-09,18.290000915527344
2021-02-10,18.799999237060547
2021-02-11,18.459999084472656
2021-02-12,17.969999313354492
2021-02-16,18.65999984741211
2021-02-17,18.979999542236328
2021-02-18,18.639999389648438
2021-02-19,19.190000534057617
2021-02-22,19.450000762939453
2021-02-23,17.670000076293945
2021-02-24,18.579999923706055
2021-02-25,19.950000762939453
2021-02-26,20.3700008392334
2021-03-01,21.040000915527344
2021-03-02,21.0
2021-03-03,20.81999969482422
2021-03-04,18.75
2021-03-05,17.329999923706055
2021-03-08,18.170000076293945
2021-03-09,18.899999618530273
2021-03-10,20.200000762939453
2021-03-11,19.799999237060547
2021-03-12,19.1299991607666
2021-03-15,21.0
2021-03-16,20.8700008392334
2021-03-17,20.760000228881836
2021-03-18,19.860000610351562
2021-03-19,19.219999313354492
2021-03-22,19.059999465942383
2021-03-23,18.190000534057617
2021-03-24,18.299999237060547
2021-03-25,17.90999984741211
2021-03-26,17.40999984741211
2021-03-29,15.59000015258789
2021-03-30,14.59000015258789
2021-03-31,13.869999885559082
2021-04-01,13.9399995803833
2021-04-05,14.880000114440918
2021-04-06,14.40999984741211
2021-04-07,13.470000267028809
2021-04-08,14.0600004196167
2021-04-09,13.869999885559082
2021-04-12,14.510000228881836
2021-04-13,14.180000305175781
2021-04-14,14.359999656677246
2021-04-15,15.520000457763672
2021-04-16,13.760000228881836
2021-04-19,14.25
2021-04-20,14.600000381469727
2021-04-21,14.010000228881836
2021-04-22,13.59000015258789
2021-04-23,13.979999542236328
2021-04-26,15.029999732971191
2021-04-27,14.029999732971191
2021-04-28,15.960000038146973
2021-04-29,14.920000076293945
2021-04-30,14.220000267028809
2021-05-03,14.050000190734863
2021-05-04,13.569999694824219
2021-05-05,13.170000076293945
2021-05-06,12.979999542236328
2021-05-07,13.170000076293945
2021-05-10,12.510000228881836
2021-05-11,12.979999542236328
2021-05-12,12.390000343322754
2021-05-13,12.149999618530273
2021-05-14,12.399999618530273
