,ACGLP
2017-08-03,24.5
2017-08-04,24.469999313354492
2017-08-07,24.489999771118164
2017-08-08,24.469999313354492
2017-08-09,24.469999313354492
2017-08-10,24.270000457763672
2017-08-11,24.360000610351562
2017-08-14,24.299999237060547
2017-08-15,24.43000030517578
2017-08-16,24.43000030517578
2017-08-17,24.5
2017-08-18,24.600000381469727
2017-08-21,24.540000915527344
2017-08-22,24.600000381469727
2017-08-23,24.6200008392334
2017-08-24,24.6200008392334
2017-08-25,24.68000030517578
2017-08-28,24.639999389648438
2017-08-29,24.600000381469727
2017-08-30,24.65999984741211
2017-08-31,24.739999771118164
2017-09-01,24.690000534057617
2017-09-05,24.639999389648438
2017-09-06,24.690000534057617
2017-09-07,24.639999389648438
2017-09-08,24.610000610351562
2017-09-11,24.90999984741211
2017-09-12,24.899999618530273
2017-09-13,24.920000076293945
2017-09-14,24.59000015258789
2017-09-15,24.645000457763672
2017-09-18,24.6200008392334
2017-09-19,24.549999237060547
2017-09-20,24.649999618530273
2017-09-21,24.700000762939453
2017-09-22,24.649999618530273
2017-09-25,24.65999984741211
2017-09-26,24.635000228881836
2017-09-27,24.6299991607666
2017-09-28,24.68000030517578
2017-09-29,24.700000762939453
2017-10-02,24.75
2017-10-03,24.809999465942383
2017-10-04,24.809999465942383
2017-10-05,24.829999923706055
2017-10-06,24.799999237060547
2017-10-09,24.729999542236328
2017-10-10,24.68000030517578
2017-10-11,24.829999923706055
2017-10-12,24.790000915527344
2017-10-13,24.829999923706055
2017-10-16,24.889999389648438
2017-10-17,24.860000610351562
2017-10-18,24.90999984741211
2017-10-19,24.93000030517578
2017-10-20,24.969999313354492
2017-10-23,24.950000762939453
2017-10-24,24.950000762939453
2017-10-25,24.760000228881836
2017-10-26,24.809999465942383
2017-10-27,24.829999923706055
2017-10-30,24.850000381469727
2017-10-31,24.90999984741211
2017-11-01,24.959999084472656
2017-11-02,24.90999984741211
2017-11-03,24.93000030517578
2017-11-06,24.8799991607666
2017-11-07,24.799999237060547
2017-11-08,24.799999237060547
2017-11-09,24.700000762939453
2017-11-10,24.799999237060547
2017-11-13,24.809999465942383
2017-11-14,24.84000015258789
2017-11-15,24.84000015258789
2017-11-16,24.84000015258789
2017-11-17,24.950000762939453
2017-11-20,24.989999771118164
2017-11-21,25.02400016784668
2017-11-22,25.139999389648438
2017-11-24,25.1200008392334
2017-11-27,25.059999465942383
2017-11-28,25.049999237060547
2017-11-29,25.010000228881836
2017-11-30,25.030000686645508
2017-12-01,25.040000915527344
2017-12-04,25.149999618530273
2017-12-05,25.110000610351562
2017-12-06,25.170000076293945
2017-12-07,25.209999084472656
2017-12-08,25.209999084472656
2017-12-11,25.15999984741211
2017-12-12,25.149999618530273
2017-12-13,25.18000030517578
2017-12-14,25.079999923706055
2017-12-15,25.110000610351562
2017-12-18,25.110000610351562
2017-12-19,25.1299991607666
2017-12-20,25.010000228881836
2017-12-21,24.959999084472656
2017-12-22,25.030000686645508
2017-12-26,25.059999465942383
2017-12-27,25.100000381469727
2017-12-28,25.110000610351562
2017-12-29,25.1200008392334
2018-01-02,24.84000015258789
2018-01-03,24.860000610351562
2018-01-04,24.940000534057617
2018-01-05,24.959999084472656
2018-01-08,24.989999771118164
2018-01-09,24.979999542236328
2018-01-10,24.979999542236328
2018-01-11,25.06999969482422
2018-01-12,24.989999771118164
2018-01-16,24.959999084472656
2018-01-17,24.84000015258789
2018-01-18,24.690000534057617
2018-01-19,24.860000610351562
2018-01-22,24.8700008392334
2018-01-23,24.790000915527344
2018-01-24,24.40999984741211
2018-01-25,24.299999237060547
2018-01-26,24.1200008392334
2018-01-29,23.5
2018-01-30,23.06999969482422
2018-01-31,23.309999465942383
2018-02-01,23.34000015258789
2018-02-02,23.1200008392334
2018-02-05,23.0
2018-02-06,23.079999923706055
2018-02-07,23.139999389648438
2018-02-08,23.06999969482422
2018-02-09,23.040000915527344
2018-02-12,23.1299991607666
2018-02-13,23.18000030517578
2018-02-14,22.969999313354492
2018-02-15,22.899999618530273
2018-02-16,22.94499969482422
2018-02-20,22.899999618530273
2018-02-21,23.020000457763672
2018-02-22,23.079999923706055
2018-02-23,23.260000228881836
2018-02-26,23.1200008392334
2018-02-27,23.270000457763672
2018-02-28,23.31999969482422
2018-03-01,23.479999542236328
2018-03-02,23.540000915527344
2018-03-05,23.860000610351562
2018-03-06,23.860000610351562
2018-03-07,23.969999313354492
2018-03-08,24.18000030517578
2018-03-09,24.389999389648438
2018-03-12,24.399999618530273
2018-03-13,24.360000610351562
2018-03-14,24.239999771118164
2018-03-15,24.229999542236328
2018-03-16,24.25
2018-03-19,24.209999084472656
2018-03-20,24.190000534057617
2018-03-21,24.209999084472656
