,ADV
2020-10-06,10.020000457763672
2020-10-07,10.039999961853027
2020-10-08,10.0600004196167
2020-10-09,10.050000190734863
2020-10-12,10.010000228881836
2020-10-13,10.050000190734863
2020-10-14,10.020000457763672
2020-10-15,10.010000228881836
2020-10-16,10.020000457763672
2020-10-19,10.0600004196167
2020-10-20,10.039999961853027
2020-10-21,10.050000190734863
2020-10-22,10.029999732971191
2020-10-23,9.84000015258789
2020-10-26,9.579999923706055
2020-10-27,8.65999984741211
2020-10-28,8.859999656677246
2020-10-29,9.5
2020-10-30,8.989999771118164
2020-11-02,8.779999732971191
2020-11-03,8.300000190734863
2020-11-04,8.210000038146973
2020-11-05,8.350000381469727
2020-11-06,8.739999771118164
2020-11-09,8.880000114440918
2020-11-10,8.699999809265137
2020-11-11,8.789999961853027
