,BSML
2020-01-06,25.100000381469727
2020-01-07,25.100000381469727
2020-01-08,25.125
2020-01-09,25.1299991607666
2020-01-10,25.114999771118164
2020-01-13,25.1200008392334
2020-01-14,25.1200008392334
2020-01-15,25.1299991607666
2020-01-16,25.1299991607666
2020-01-17,25.1200008392334
2020-01-21,25.1200008392334
2020-01-22,25.1200008392334
2020-01-23,25.1299991607666
2020-01-24,25.1299991607666
2020-01-27,25.1299991607666
2020-01-28,25.1299991607666
2020-01-29,25.15999984741211
2020-01-30,25.158000946044922
2020-01-31,25.139999389648438
2020-02-03,25.15999984741211
2020-02-04,25.149999618530273
2020-02-05,25.125
2020-02-06,25.145000457763672
2020-02-07,25.135000228881836
2020-02-10,25.1299991607666
2020-02-11,25.139999389648438
2020-02-12,25.1299991607666
2020-02-13,25.135000228881836
2020-02-14,25.135000228881836
2020-02-18,25.149999618530273
2020-02-19,25.135000228881836
2020-02-20,25.15999984741211
2020-02-21,25.149999618530273
2020-02-24,25.139999389648438
2020-02-25,25.139999389648438
2020-02-26,25.139999389648438
2020-02-27,25.15999984741211
2020-02-28,25.13800048828125
2020-03-02,25.149999618530273
2020-03-03,25.18000030517578
2020-03-04,25.18000030517578
2020-03-05,25.190000534057617
2020-03-06,25.209999084472656
2020-03-09,25.25
2020-03-10,25.190000534057617
2020-03-11,25.190000534057617
2020-03-12,24.96299934387207
2020-03-13,25.045000076293945
2020-03-16,24.969999313354492
2020-03-17,24.90999984741211
2020-03-18,24.90999984741211
2020-03-19,24.475000381469727
2020-03-20,24.475000381469727
2020-03-23,24.40999984741211
2020-03-24,24.40999984741211
2020-03-25,24.760000228881836
2020-03-26,25.040000915527344
2020-03-27,24.895000457763672
2020-03-30,24.985000610351562
2020-03-31,24.84000015258789
2020-04-01,24.75
2020-04-02,24.93000030517578
2020-04-03,24.93000030517578
2020-04-06,24.93000030517578
2020-04-07,24.950000762939453
2020-04-08,24.950000762939453
2020-04-09,25.020000457763672
2020-04-13,24.9950008392334
2020-04-14,25.014999389648438
2020-04-15,25.014999389648438
2020-04-16,25.014999389648438
2020-04-17,25.100000381469727
2020-04-20,25.06999969482422
2020-04-21,25.06999969482422
2020-04-22,25.065000534057617
2020-04-23,25.065000534057617
2020-04-24,25.049999237060547
2020-04-27,25.049999237060547
2020-04-28,25.06999969482422
2020-04-29,25.040000915527344
2020-04-30,25.045000076293945
2020-05-01,25.045000076293945
2020-05-04,25.190000534057617
2020-05-05,25.065000534057617
2020-05-06,25.065000534057617
2020-05-07,25.09000015258789
2020-05-08,25.125
2020-05-11,25.1299991607666
2020-05-12,25.174999237060547
2020-05-13,25.184999465942383
2020-05-14,25.19499969482422
2020-05-15,25.19499969482422
2020-05-18,25.21500015258789
2020-05-19,25.225000381469727
2020-05-20,25.260000228881836
2020-05-21,25.235000610351562
2020-05-22,25.239999771118164
2020-05-26,25.2450008392334
2020-05-27,25.264999389648438
2020-05-28,25.2549991607666
2020-05-29,25.290000915527344
2020-06-01,25.253999710083008
2020-06-02,25.299999237060547
2020-06-03,25.260000228881836
2020-06-04,25.260000228881836
2020-06-05,25.260000228881836
2020-06-08,25.31999969482422
2020-06-09,25.334999084472656
2020-06-10,25.344999313354492
2020-06-11,25.344999313354492
2020-06-12,25.329999923706055
2020-06-15,25.3700008392334
2020-06-16,25.3700008392334
2020-06-17,25.350000381469727
2020-06-18,25.3700008392334
2020-06-19,25.3700008392334
2020-06-22,25.34000015258789
2020-06-23,25.325000762939453
2020-06-24,25.329999923706055
2020-06-25,25.329999923706055
2020-06-26,25.325000762939453
2020-06-29,25.329999923706055
2020-06-30,25.329999923706055
2020-07-01,25.329999923706055
2020-07-02,25.31999969482422
2020-07-06,25.329999923706055
2020-07-07,25.350000381469727
2020-07-08,25.350000381469727
2020-07-09,25.315000534057617
2020-07-10,25.31999969482422
2020-07-13,25.325000762939453
2020-07-14,25.34000015258789
2020-07-15,25.34000015258789
2020-07-16,25.360000610351562
2020-07-17,25.375
2020-07-20,25.360000610351562
2020-07-21,25.34000015258789
2020-07-22,25.299999237060547
2020-07-23,25.290000915527344
2020-07-24,25.30500030517578
2020-07-27,25.30500030517578
2020-07-28,25.30500030517578
2020-07-29,25.325000762939453
2020-07-30,25.31999969482422
2020-07-31,25.360000610351562
2020-08-03,25.325000762939453
2020-08-04,25.329999923706055
2020-08-05,25.329999923706055
2020-08-06,25.334999084472656
2020-08-07,25.334999084472656
2020-08-10,25.385000228881836
2020-08-11,25.385000228881836
2020-08-12,25.375
2020-08-13,25.3700008392334
2020-08-14,25.364999771118164
2020-08-17,25.364999771118164
2020-08-18,25.364999771118164
2020-08-19,25.364999771118164
2020-08-20,25.364999771118164
2020-08-21,25.364999771118164
2020-08-24,25.350000381469727
2020-08-25,25.350000381469727
2020-08-26,25.350000381469727
2020-08-27,25.3700008392334
2020-08-28,25.350000381469727
2020-08-31,25.350000381469727
2020-09-01,25.350000381469727
2020-09-02,25.350000381469727
2020-09-03,25.344999313354492
2020-09-04,25.344999313354492
2020-09-08,25.344999313354492
2020-09-09,25.350000381469727
2020-09-10,25.344999313354492
2020-09-11,25.344999313354492
2020-09-14,25.344999313354492
2020-09-15,25.344999313354492
2020-09-16,25.344999313354492
2020-09-17,25.344999313354492
2020-09-18,25.344999313354492
2020-09-21,25.336000442504883
2020-09-22,25.334999084472656
2020-09-23,25.334999084472656
2020-09-24,25.34000015258789
2020-09-25,25.329999923706055
2020-09-28,25.329999923706055
2020-09-29,25.329999923706055
2020-09-30,25.34000015258789
2020-10-01,25.329999923706055
2020-10-02,25.34000015258789
2020-10-05,25.334999084472656
2020-10-06,25.329999923706055
2020-10-07,25.329999923706055
2020-10-08,25.329999923706055
2020-10-09,25.329999923706055
2020-10-12,25.309999465942383
2020-10-13,25.329999923706055
2020-10-14,25.329999923706055
2020-10-15,25.329999923706055
2020-10-16,25.325000762939453
2020-10-19,25.309999465942383
2020-10-20,25.309999465942383
2020-10-21,25.30500030517578
2020-10-22,25.30500030517578
2020-10-23,25.329999923706055
2020-10-26,25.329999923706055
2020-10-27,25.329999923706055
2020-10-28,25.31999969482422
2020-10-29,25.329999923706055
2020-10-30,25.31999969482422
2020-11-02,25.329999923706055
2020-11-03,25.329999923706055
2020-11-04,25.34000015258789
2020-11-05,25.34000015258789
2020-11-06,25.329999923706055
2020-11-09,25.350000381469727
2020-11-10,25.34000015258789
2020-11-11,25.350000381469727
2020-11-12,25.350000381469727
2020-11-13,25.34000015258789
2020-11-16,25.34000015258789
2020-11-17,25.34000015258789
2020-11-18,25.34000015258789
2020-11-19,25.350000381469727
2020-11-20,25.34000015258789
2020-11-23,25.309999465942383
2020-11-24,25.309999465942383
2020-11-25,25.30500030517578
2020-11-27,25.309999465942383
2020-11-30,25.30500030517578
2020-12-01,25.30500030517578
2020-12-02,25.34000015258789
2020-12-03,25.309999465942383
2020-12-04,25.30500030517578
2020-12-07,25.30500030517578
2020-12-08,25.309999465942383
2020-12-09,25.343000411987305
2020-12-10,25.323999404907227
2020-12-11,25.315000534057617
2020-12-14,25.34000015258789
2020-12-15,25.309999465942383
2020-12-16,25.304000854492188
2020-12-17,25.315000534057617
2020-12-18,25.315000534057617
2020-12-21,25.34000015258789
2020-12-22,25.309999465942383
2020-12-23,25.309999465942383
2020-12-24,25.309999465942383
2020-12-28,25.334999084472656
2020-12-29,25.315000534057617
2020-12-30,25.315000534057617
2020-12-31,25.315000534057617
2021-01-04,25.350000381469727
2021-01-05,25.350000381469727
2021-01-06,25.329999923706055
2021-01-07,25.315000534057617
2021-01-08,25.315000534057617
2021-01-11,25.350000381469727
2021-01-12,25.315000534057617
2021-01-13,25.315000534057617
2021-01-14,25.315000534057617
2021-01-15,25.325000762939453
2021-01-19,25.315000534057617
2021-01-20,25.315000534057617
2021-01-21,25.315000534057617
2021-01-22,25.333999633789062
2021-01-25,25.315000534057617
2021-01-26,25.290000915527344
2021-01-27,25.329999923706055
2021-01-28,25.309999465942383
2021-01-29,25.349000930786133
2021-02-01,25.329999923706055
2021-02-02,25.3700008392334
2021-02-03,25.334999084472656
2021-02-04,25.3700008392334
2021-02-05,25.34000015258789
2021-02-08,25.334999084472656
2021-02-09,25.334999084472656
2021-02-10,25.334999084472656
2021-02-11,25.3700008392334
2021-02-12,25.329999923706055
2021-02-16,25.299999237060547
