,AMAL
2018-12-19,17.40999984741211
2018-12-20,16.969999313354492
2018-12-21,16.84000015258789
2018-12-24,16.59000015258789
2018-12-26,17.459999084472656
2018-12-27,18.75
2018-12-28,19.469999313354492
2018-12-31,19.5
2019-01-02,19.479999542236328
2019-01-03,19.290000915527344
2019-01-04,19.139999389648438
2019-01-07,19.709999084472656
2019-01-08,19.360000610351562
2019-01-09,19.229999542236328
2019-01-10,19.200000762939453
2019-01-11,18.860000610351562
2019-01-14,18.809999465942383
2019-01-15,18.65999984741211
2019-01-16,19.149999618530273
2019-01-17,19.280000686645508
2019-01-18,19.450000762939453
2019-01-22,19.260000228881836
2019-01-23,19.729999542236328
2019-01-24,19.790000915527344
2019-01-25,19.8700008392334
2019-01-28,19.450000762939453
2019-01-29,19.3700008392334
2019-01-30,18.90999984741211
2019-01-31,17.940000534057617
2019-02-01,18.799999237060547
2019-02-04,18.530000686645508
2019-02-05,18.65999984741211
2019-02-06,18.59000015258789
2019-02-07,18.209999084472656
2019-02-08,18.43000030517578
2019-02-11,18.110000610351562
2019-02-12,18.360000610351562
2019-02-13,18.59000015258789
2019-02-14,18.389999389648438
2019-02-15,18.25
2019-02-19,18.5
2019-02-20,18.309999465942383
2019-02-21,18.299999237060547
2019-02-22,18.3799991607666
2019-02-25,18.1299991607666
2019-02-26,17.8799991607666
2019-02-27,17.940000534057617
2019-02-28,17.709999084472656
2019-03-01,17.850000381469727
2019-03-04,17.610000610351562
2019-03-05,17.010000228881836
2019-03-06,16.989999771118164
2019-03-07,16.989999771118164
2019-03-08,16.649999618530273
2019-03-11,16.829999923706055
2019-03-12,16.59000015258789
2019-03-13,16.780000686645508
2019-03-14,16.799999237060547
2019-03-15,16.600000381469727
2019-03-18,16.600000381469727
2019-03-19,16.5
2019-03-20,16.6200008392334
2019-03-21,16.459999084472656
2019-03-22,15.0
2019-03-25,14.989999771118164
2019-03-26,15.34000015258789
2019-03-27,15.199999809265137
2019-03-28,15.40999984741211
2019-03-29,15.649999618530273
2019-04-01,15.390000343322754
2019-04-02,15.520000457763672
2019-04-03,15.569999694824219
2019-04-04,15.640000343322754
2019-04-05,15.510000228881836
2019-04-08,15.520000457763672
2019-04-09,15.5600004196167
2019-04-10,15.739999771118164
2019-04-11,16.06999969482422
2019-04-12,16.0
2019-04-15,15.739999771118164
2019-04-16,15.760000228881836
2019-04-17,15.859999656677246
2019-04-18,15.699999809265137
2019-04-22,15.6899995803833
2019-04-23,15.819999694824219
2019-04-24,15.75
2019-04-25,15.619999885559082
2019-04-26,15.84000015258789
2019-04-29,16.709999084472656
2019-04-30,16.950000762939453
2019-05-01,17.1299991607666
2019-05-02,17.209999084472656
2019-05-03,17.5
2019-05-06,17.780000686645508
2019-05-07,17.950000762939453
2019-05-08,17.860000610351562
2019-05-09,17.790000915527344
2019-05-10,18.139999389648438
2019-05-13,17.450000762939453
2019-05-14,17.90999984741211
2019-05-15,17.799999237060547
2019-05-16,17.68000030517578
2019-05-17,17.670000076293945
2019-05-20,17.75
2019-05-21,17.829999923706055
2019-05-22,17.729999542236328
2019-05-23,17.149999618530273
2019-05-24,17.709999084472656
2019-05-28,17.68000030517578
2019-05-29,17.190000534057617
2019-05-30,16.75
2019-05-31,16.5
2019-06-03,16.600000381469727
2019-06-04,16.940000534057617
2019-06-05,16.5
2019-06-06,16.420000076293945
2019-06-07,16.420000076293945
2019-06-10,16.540000915527344
2019-06-11,16.420000076293945
2019-06-12,16.899999618530273
2019-06-13,17.139999389648438
2019-06-14,17.0
2019-06-17,16.799999237060547
2019-06-18,17.18000030517578
2019-06-19,17.229999542236328
2019-06-20,17.010000228881836
2019-06-21,16.829999923706055
2019-06-24,16.5
2019-06-25,16.600000381469727
2019-06-26,16.68000030517578
2019-06-27,17.329999923706055
2019-06-28,17.450000762939453
2019-07-01,17.65999984741211
2019-07-02,17.770000457763672
2019-07-03,17.700000762939453
2019-07-05,17.81999969482422
2019-07-08,17.559999465942383
2019-07-09,17.75
2019-07-10,17.6200008392334
2019-07-11,17.68000030517578
2019-07-12,17.530000686645508
2019-07-15,17.34000015258789
2019-07-16,17.200000762939453
2019-07-17,16.93000030517578
2019-07-18,17.15999984741211
2019-07-19,17.200000762939453
2019-07-22,17.1299991607666
2019-07-23,16.850000381469727
2019-07-24,17.270000457763672
2019-07-25,17.1200008392334
2019-07-26,16.90999984741211
2019-07-29,17.010000228881836
2019-07-30,17.100000381469727
2019-07-31,17.15999984741211
2019-08-01,17.06999969482422
2019-08-02,16.6200008392334
2019-08-05,15.970000267028809
2019-08-06,16.059999465942383
2019-08-07,16.020000457763672
2019-08-08,16.100000381469727
2019-08-09,15.890000343322754
2019-08-12,15.65999984741211
2019-08-13,15.510000228881836
2019-08-14,15.300000190734863
2019-08-15,15.0
2019-08-16,15.489999771118164
2019-08-19,15.800000190734863
2019-08-20,15.569999694824219
2019-08-21,15.699999809265137
2019-08-22,15.779999732971191
2019-08-23,15.210000038146973
2019-08-26,15.600000381469727
2019-08-27,15.369999885559082
2019-08-28,15.920000076293945
2019-08-29,16.149999618530273
2019-08-30,16.049999237060547
2019-09-03,15.670000076293945
2019-09-04,15.569999694824219
2019-09-05,15.75
2019-09-06,16.010000228881836
2019-09-09,16.030000686645508
2019-09-10,15.829999923706055
2019-09-11,15.65999984741211
2019-09-12,15.680000305175781
2019-09-13,15.289999961853027
2019-09-16,15.649999618530273
2019-09-17,15.609999656677246
2019-09-18,15.760000228881836
2019-09-19,15.649999618530273
2019-09-20,15.569999694824219
2019-09-23,15.710000038146973
2019-09-24,15.569999694824219
2019-09-25,16.15999984741211
2019-09-26,16.100000381469727
2019-09-27,16.170000076293945
2019-09-30,16.020000457763672
2019-10-01,16.030000686645508
2019-10-02,16.149999618530273
2019-10-03,16.229999542236328
2019-10-04,16.280000686645508
2019-10-07,16.309999465942383
2019-10-08,16.09000015258789
2019-10-09,16.09000015258789
2019-10-10,16.299999237060547
2019-10-11,17.110000610351562
2019-10-14,16.989999771118164
2019-10-15,17.219999313354492
2019-10-16,17.170000076293945
2019-10-17,17.399999618530273
2019-10-18,17.389999389648438
2019-10-21,17.360000610351562
2019-10-22,17.329999923706055
2019-10-23,17.25
2019-10-24,17.149999618530273
2019-10-25,17.290000915527344
2019-10-28,17.010000228881836
2019-10-29,17.34000015258789
2019-10-30,17.709999084472656
2019-10-31,18.209999084472656
2019-11-01,18.59000015258789
2019-11-04,18.579999923706055
2019-11-05,18.540000915527344
2019-11-06,18.549999237060547
2019-11-07,18.600000381469727
2019-11-08,18.450000762939453
2019-11-11,18.739999771118164
2019-11-12,18.959999084472656
2019-11-13,18.969999313354492
2019-11-14,18.84000015258789
2019-11-15,19.030000686645508
2019-11-18,19.100000381469727
2019-11-19,19.079999923706055
2019-11-20,18.969999313354492
2019-11-21,18.93000030517578
2019-11-22,19.0
2019-11-25,19.34000015258789
2019-11-26,19.31999969482422
2019-11-27,19.270000457763672
2019-11-29,19.1200008392334
2019-12-02,19.049999237060547
2019-12-03,18.920000076293945
2019-12-04,19.100000381469727
2019-12-05,19.309999465942383
2019-12-06,19.649999618530273
2019-12-09,19.6299991607666
2019-12-10,19.790000915527344
2019-12-11,19.670000076293945
2019-12-12,19.850000381469727
2019-12-13,19.75
2019-12-16,19.850000381469727
2019-12-17,19.84000015258789
2019-12-18,19.8799991607666
2019-12-19,19.850000381469727
2019-12-20,19.940000534057617
2019-12-23,19.709999084472656
2019-12-24,19.760000228881836
2019-12-26,19.690000534057617
2019-12-27,19.59000015258789
2019-12-30,19.56999969482422
2019-12-31,19.450000762939453
2020-01-02,19.25
2020-01-03,19.18000030517578
2020-01-06,18.889999389648438
2020-01-07,18.639999389648438
2020-01-08,19.0
2020-01-09,19.020000457763672
2020-01-10,19.040000915527344
2020-01-13,19.18000030517578
2020-01-14,19.149999618530273
2020-01-15,19.110000610351562
2020-01-16,19.100000381469727
2020-01-17,18.950000762939453
2020-01-21,18.739999771118164
2020-01-22,18.540000915527344
2020-01-23,18.5
