,ASLE
2019-11-29,10.050000190734863
2019-12-02,10.050000190734863
2019-12-03,10.020000457763672
2019-12-04,10.050000190734863
2019-12-05,10.050000190734863
2019-12-06,10.0600004196167
2019-12-09,10.1899995803833
2019-12-10,10.199999809265137
2019-12-11,10.1899995803833
2019-12-12,10.1899995803833
2019-12-13,10.15999984741211
2019-12-16,10.1899995803833
2019-12-17,10.1899995803833
2019-12-18,10.1899995803833
2019-12-19,10.180000305175781
2019-12-20,10.1899995803833
2019-12-23,10.180000305175781
2019-12-24,10.180000305175781
2019-12-26,10.180000305175781
2019-12-27,10.15999984741211
2019-12-30,10.15999984741211
2019-12-31,10.180000305175781
2020-01-02,10.199999809265137
2020-01-03,10.199999809265137
2020-01-06,10.199999809265137
2020-01-07,10.15999984741211
