,BLNK
2010-11-08,1250.0
2010-11-09,1362.5
2010-11-10,1325.0
2010-11-11,1375.0
2010-11-12,1400.0
2010-11-15,1450.0
2010-11-16,1275.0
2010-11-17,1425.0
2010-11-18,1300.0
2010-11-19,1425.0
2010-11-22,1425.0
2010-11-23,1300.0
2010-11-24,1500.0
2010-11-26,1375.0
2010-11-29,1375.0
2010-11-30,1325.0
2010-12-01,1425.0
2010-12-02,1375.0
2010-12-03,1375.0
2010-12-06,1475.0
2010-12-07,1325.0
2010-12-08,1450.0
2010-12-09,1425.0
2010-12-10,1350.0
2010-12-13,1450.0
2010-12-14,1325.0
2010-12-15,1300.0
2010-12-16,1300.0
2010-12-17,1500.0
2010-12-20,1400.0
2010-12-21,1375.0
2010-12-22,1375.0
2010-12-23,1400.0
2010-12-27,1375.0
2010-12-28,1125.0
2010-12-29,1150.0
2010-12-30,1250.0
2010-12-31,1300.0
2011-01-03,1250.0
2011-01-04,1127.5
2011-01-05,1050.0
2011-01-06,952.5
2011-01-07,902.5
2011-01-10,950.0
2011-01-11,1000.0
2011-01-12,975.0
2011-01-13,975.0
2011-01-14,900.0
2011-01-18,675.0
2011-01-19,600.0
2011-01-20,500.0
2011-01-21,587.5
2011-01-24,512.5
2011-01-25,525.0
2011-01-26,462.5
2011-01-27,455.0
2011-01-28,462.5
2011-01-31,450.0
2011-02-01,250.0
2011-02-02,300.0
2011-02-03,300.0
2011-02-04,325.0
2011-02-07,325.0
2011-02-08,287.5
2011-02-09,277.5
2011-02-10,275.0
2011-02-11,275.0
2011-02-14,292.5
2011-02-15,300.0
2011-02-16,297.5
2011-02-17,280.0
2011-02-18,282.5
2011-02-22,282.5
2011-02-23,290.0
2011-02-24,240.0
2011-02-25,267.5
2011-02-28,270.0
2011-03-01,206.5
2011-03-02,206.5
2011-03-03,270.0
2011-03-04,200.0
2011-03-07,300.0
2011-03-08,250.0
2011-03-09,225.0
2011-03-10,206.5
2011-03-11,206.5
2011-03-14,190.0
2011-03-15,177.5
2011-03-16,172.5
2011-03-17,157.5
2011-03-18,175.0
2011-03-21,150.0
2011-03-22,158.0
2011-03-23,158.0
2011-03-24,150.0
2011-03-25,145.0
2011-03-28,127.5
2011-03-29,125.0
2011-03-30,140.0
2011-03-31,177.5
2011-04-01,188.0
2011-04-04,187.5
2011-04-05,165.0
2011-04-06,172.5
2011-04-07,200.0
2011-04-08,200.0
2011-04-11,197.5
2011-04-12,167.5
2011-04-13,140.0
2011-04-14,125.0
2011-04-15,127.5
2011-04-18,112.5
2011-04-19,115.0
2011-04-20,125.0
2011-04-21,140.0
2011-04-25,190.0
2011-04-26,167.3000030517578
2011-04-27,175.0
2011-04-28,175.0
2011-04-29,175.0
2011-05-02,175.0
2011-05-03,160.0
2011-05-04,175.0
2011-05-05,140.5
2011-05-06,172.5
2011-05-09,149.0
2011-05-10,130.5
2011-05-11,107.5
2011-05-12,110.5
2011-05-13,110.0
2011-05-16,120.0
2011-05-17,137.5
2011-05-18,150.0
2011-05-19,144.5
2011-05-20,125.0
2011-05-23,151.0
2011-05-24,145.0
2011-05-25,150.0
2011-05-26,142.0
2011-05-27,126.5
2011-05-31,143.0
2011-06-01,145.0
2011-06-02,128.5
2011-06-03,142.5
2011-06-06,142.5
2011-06-07,142.5
2011-06-08,135.0
2011-06-09,142.5
2011-06-10,140.0
2011-06-13,144.5
2011-06-14,138.0
2011-06-15,137.5
2011-06-16,137.0
2011-06-17,137.0
2011-06-20,135.0
2011-06-21,134.0
2011-06-22,128.5
2011-06-23,132.5
2011-06-24,132.5
2011-06-27,130.0
2011-06-28,132.5
2011-06-29,137.5
2011-06-30,111.0
2011-07-01,111.0
2011-07-05,115.0
2011-07-06,115.0
2011-07-07,111.0
2011-07-08,132.5
2011-07-11,136.0
2011-07-12,136.0
2011-07-13,120.0
2011-07-14,119.0
2011-07-15,119.0
2011-07-18,83.0
2011-07-19,100.0
2011-07-20,90.0
2011-07-21,90.0
2011-07-22,92.5
2011-07-25,82.0
2011-07-26,92.5
2011-07-27,80.0
2011-07-28,85.5
2011-07-29,82.0
2011-08-01,82.5
2011-08-02,81.0
2011-08-03,82.0
2011-08-04,80.0
2011-08-05,78.5
2011-08-08,75.5
2011-08-09,77.0
2011-08-10,62.5
2011-08-11,110.0
2011-08-12,87.5
2011-08-15,77.5
2011-08-16,77.5
2011-08-17,92.5
2011-08-18,77.5
2011-08-19,74.0
2011-08-22,74.0
2011-08-23,74.0
2011-08-24,75.0
2011-08-25,82.5
2011-08-26,60.5
2011-08-29,65.0
2011-08-30,65.0
2011-08-31,71.5
2011-09-01,67.0
2011-09-02,62.5
2011-09-06,64.0
2011-09-07,62.0
2011-09-08,59.5
2011-09-09,60.0
2011-09-12,58.5
2011-09-13,62.5
2011-09-14,61.0
2011-09-15,62.5
2011-09-16,62.5
2011-09-19,57.5
2011-09-20,61.5
2011-09-21,61.0
2011-09-22,62.0
2011-09-23,60.0
2011-09-26,62.5
2011-09-27,77.0
2011-09-28,60.5
2011-09-29,60.0
2011-09-30,60.0
2011-10-03,65.0
2011-10-04,50.0
2011-10-05,50.0
2011-10-06,50.5
2011-10-07,60.0
2011-10-10,75.0
2011-10-11,80.0
2011-10-12,82.5
2011-10-13,90.0
2011-10-14,87.5
2011-10-17,89.0
2011-10-18,88.5
2011-10-19,77.5
2011-10-20,77.5
2011-10-21,72.5
2011-10-24,75.0
2011-10-25,82.5
2011-10-26,81.5
2011-10-27,82.5
2011-10-28,84.0
2011-10-31,80.5
2011-11-01,76.0
2011-11-02,83.5
2011-11-03,76.0
2011-11-04,75.0
2011-11-07,75.0
2011-11-08,75.0
2011-11-09,72.5
2011-11-10,72.5
2011-11-11,70.0
2011-11-14,67.5
2011-11-15,60.5
2011-11-16,59.0
2011-11-17,60.0
2011-11-18,62.0
2011-11-21,62.5
2011-11-22,65.5
2011-11-23,68.0
2011-11-25,68.0
2011-11-28,70.0
2011-11-29,65.0
2011-11-30,62.5
2011-12-01,70.0
2011-12-02,70.0
2011-12-05,70.0
2011-12-06,65.5
2011-12-07,68.5
2011-12-08,66.0
2011-12-09,109.5
2011-12-12,80.0
2011-12-13,87.5
2011-12-14,90.0
2011-12-15,80.5
2011-12-16,80.0
2011-12-19,87.5
2011-12-20,91.0
2011-12-21,80.5
2011-12-22,84.0
2011-12-23,85.0
2011-12-27,80.0
2011-12-28,72.5
2011-12-29,69.0
2011-12-30,68.0
2012-01-03,77.5
2012-01-04,82.5
2012-01-05,86.0
2012-01-06,86.0
2012-01-09,77.5
2012-01-10,77.5
2012-01-11,76.5
2012-01-12,86.0
2012-01-13,77.5
2012-01-17,84.5
2012-01-18,80.5
2012-01-19,85.0
2012-01-20,80.0
2012-01-23,82.5
2012-01-24,79.5
2012-01-25,80.0
2012-01-26,80.0
2012-01-27,80.0
2012-01-30,76.0
2012-01-31,76.5
2012-02-01,80.0
2012-02-02,76.0
2012-02-03,76.0
2012-02-06,80.0
2012-02-07,82.5
2012-02-08,80.0
2012-02-09,77.5
2012-02-10,75.0
2012-02-13,75.5
2012-02-14,66.0
2012-02-15,72.0
2012-02-16,70.0
2012-02-17,90.0
2012-02-21,97.5
2012-02-22,92.5
2012-02-23,85.5
2012-02-24,97.5
2012-02-27,97.5
2012-02-28,90.0
2012-02-29,90.0
2012-03-01,95.0
2012-03-02,95.0
2012-03-05,90.0
2012-03-06,97.5
2012-03-07,85.5
2012-03-08,99.0
2012-03-09,102.0
2012-03-12,95.0
2012-03-13,94.5
2012-03-14,100.0
2012-03-15,100.0
2012-03-16,96.5
2012-03-19,87.5
2012-03-20,87.0
2012-03-21,92.0
2012-03-22,91.0
2012-03-23,85.0
2012-03-26,87.5
2012-03-27,82.5
2012-03-28,82.5
2012-03-29,77.5
2012-03-30,87.5
2012-04-02,85.0
2012-04-03,85.0
2012-04-04,87.5
2012-04-05,86.0
2012-04-09,78.5
2012-04-10,77.5
2012-04-11,80.0
2012-04-12,80.0
2012-04-13,82.5
2012-04-16,92.5
2012-04-17,80.5
2012-04-18,80.0
2012-04-19,82.5
2012-04-20,87.5
2012-04-23,86.0
2012-04-24,75.0
2012-04-25,82.0
2012-04-26,71.5
2012-04-27,75.0
2012-04-30,75.0
2012-05-01,74.5
2012-05-02,72.5
2012-05-03,78.5
2012-05-04,69.5
2012-05-07,69.5
2012-05-08,60.5
2012-05-09,68.5
2012-05-10,68.5
2012-05-11,73.5
2012-05-14,70.0
2012-05-15,65.0
2012-05-16,65.0
2012-05-17,55.0
2012-05-18,67.5
2012-05-21,62.5
2012-05-22,56.0
2012-05-23,56.0
2012-05-24,56.0
2012-05-25,57.5
2012-05-29,51.0
2012-05-30,47.5
2012-05-31,54.0
2012-06-01,50.0
2012-06-04,56.0
2012-06-05,57.5
2012-06-06,57.5
2012-06-07,57.5
2012-06-08,62.5
2012-06-11,55.0
2012-06-12,56.0
2012-06-13,56.0
2012-06-14,56.0
2012-06-15,51.0
2012-06-18,51.5
2012-06-19,51.0
2012-06-20,50.0
2012-06-21,50.0
2012-06-22,55.0
2012-06-25,47.5
2012-06-26,52.5
2012-06-27,50.0
2012-06-28,52.5
2012-06-29,55.0
2012-07-02,50.0
2012-07-03,50.0
2012-07-05,52.0
2012-07-06,50.0
2012-07-09,51.5
2012-07-10,52.5
2012-07-11,50.5
2012-07-12,52.5
2012-07-13,55.0
2012-07-16,56.5
2012-07-17,64.0
2012-07-18,65.0
2012-07-19,72.0
2012-07-20,74.5
2012-07-23,74.5
2012-07-24,70.0
2012-07-25,70.0
2012-07-26,65.0
2012-07-27,65.0
2012-07-30,65.0
2012-07-31,60.0
2012-08-01,65.0
2012-08-02,60.0
2012-08-03,65.0
2012-08-06,62.5
2012-08-07,57.5
2012-08-08,60.0
2012-08-09,61.0
2012-08-10,57.5
2012-08-13,58.0
2012-08-14,55.0
2012-08-15,60.5
2012-08-16,60.0
2012-08-17,60.0
2012-08-20,62.5
2012-08-21,55.0
2012-08-22,54.5
2012-08-23,50.5
2012-08-24,52.0
2012-08-27,50.5
2012-08-28,51.5
2012-08-29,51.0
2012-08-30,51.0
2012-08-31,60.0
2012-09-04,56.0
2012-09-05,51.5
2012-09-06,50.5
2012-09-07,50.0
2012-09-10,50.0
2012-09-11,47.5
2012-09-12,50.5
2012-09-13,51.5
2012-09-14,51.5
2012-09-17,51.0
2012-09-18,54.5
2012-09-19,52.5
2012-09-20,52.5
2012-09-21,55.0
2012-09-24,58.5
2012-09-25,62.5
2012-09-26,62.5
2012-09-27,62.5
2012-09-28,62.5
2012-10-01,69.5
2012-10-02,65.0
2012-10-03,69.5
2012-10-04,70.0
2012-10-05,73.5
2012-10-08,80.0
2012-10-09,75.0
2012-10-10,76.0
2012-10-11,80.0
2012-10-12,80.0
2012-10-15,80.0
2012-10-16,75.0
2012-10-17,75.0
2012-10-18,72.5
2012-10-19,70.5
2012-10-22,75.0
2012-10-23,72.5
2012-10-24,70.5
2012-10-25,74.5
2012-10-26,80.5
2012-10-31,77.5
2012-11-01,77.5
2012-11-02,82.5
2012-11-05,81.0
2012-11-06,88.0
2012-11-07,86.5
2012-11-08,89.0
2012-11-09,100.0
2012-11-12,95.5
2012-11-13,82.5
2012-11-14,80.0
2012-11-15,90.0
2012-11-16,89.0
2012-11-19,79.5
2012-11-20,75.0
2012-11-21,77.5
2012-11-23,80.0
2012-11-26,79.5
2012-11-27,72.5
2012-11-28,78.5
2012-11-29,93.5
2012-11-30,89.5
2012-12-03,84.0
2012-12-04,80.0
2012-12-05,77.5
2012-12-06,75.5
2012-12-07,78.5
2012-12-10,81.5
2012-12-11,75.5
2012-12-12,82.5
2012-12-13,79.0
2012-12-14,79.0
2012-12-17,77.5
2012-12-18,77.5
2012-12-19,75.0
2012-12-20,80.0
2012-12-21,73.0
2012-12-24,75.0
2012-12-26,75.0
2012-12-27,72.5
2012-12-28,73.0
2012-12-31,80.0
2013-01-02,70.5
2013-01-03,75.0
2013-01-04,72.5
2013-01-07,73.0
2013-01-08,72.5
2013-01-09,70.0
2013-01-10,67.5
2013-01-11,74.5
2013-01-14,74.5
2013-01-15,68.5
2013-01-16,68.0
2013-01-17,75.0
2013-01-18,80.0
2013-01-22,73.5
2013-01-23,70.0
2013-01-24,72.0
2013-01-25,72.5
2013-01-28,75.0
2013-01-29,75.0
2013-01-30,72.5
2013-01-31,70.0
2013-02-01,70.0
2013-02-04,72.5
2013-02-05,70.0
2013-02-06,70.5
2013-02-07,72.5
2013-02-08,72.5
2013-02-11,73.0
2013-02-12,70.0
2013-02-13,70.0
2013-02-14,68.0
2013-02-15,66.0
2013-02-19,71.0
2013-02-20,70.0
2013-02-21,66.0
2013-02-22,73.5
2013-02-25,73.0
2013-02-26,65.0
2013-02-27,56.5
2013-02-28,62.5
2013-03-01,62.5
2013-03-04,65.0
2013-03-05,70.5
2013-03-06,62.5
2013-03-07,62.5
2013-03-08,64.0
2013-03-11,61.5
2013-03-12,67.0
2013-03-13,67.5
2013-03-14,67.5
2013-03-15,66.5
2013-03-18,65.0
2013-03-19,65.5
2013-03-20,67.5
2013-03-21,64.5
2013-03-22,66.5
2013-03-25,66.0
2013-03-26,63.0
2013-03-27,63.0
2013-03-28,65.0
2013-04-01,63.0
2013-04-02,60.0
2013-04-03,59.0
2013-04-04,60.0
2013-04-05,62.5
2013-04-08,65.0
2013-04-09,65.0
2013-04-10,62.5
2013-04-11,60.0
2013-04-12,64.5
2013-04-15,60.0
2013-04-16,57.5
2013-04-17,62.0
2013-04-18,57.5
2013-04-19,57.5
2013-04-22,59.5
2013-04-23,65.0
2013-04-24,65.0
2013-04-25,68.5
2013-04-26,68.5
2013-04-29,65.0
2013-04-30,67.5
2013-05-01,66.5
2013-05-02,65.5
2013-05-03,61.5
2013-05-06,62.5
2013-05-07,60.0
2013-05-08,62.5
2013-05-09,56.5
2013-05-10,60.0
2013-05-13,58.5
2013-05-14,65.0
2013-05-15,67.0
2013-05-16,65.0
2013-05-17,63.0
2013-05-20,58.0
2013-05-21,63.0
2013-05-22,63.0
2013-05-23,60.0
2013-05-24,63.0
2013-05-28,62.5
2013-05-29,61.5
2013-05-30,65.0
2013-05-31,67.0
2013-06-03,68.5
2013-06-04,65.0
2013-06-05,64.0
2013-06-06,64.0
2013-06-07,63.0
2013-06-10,63.5
2013-06-11,61.0
2013-06-12,61.0
2013-06-13,63.5
2013-06-14,65.0
2013-06-17,65.0
2013-06-18,68.0
2013-06-19,67.5
2013-06-20,61.0
2013-06-21,62.0
2013-06-24,60.0
2013-06-25,65.0
2013-06-26,65.0
2013-06-27,67.0
2013-06-28,65.0
2013-07-01,60.5
2013-07-02,65.0
2013-07-03,72.5
2013-07-05,70.0
2013-07-08,73.0
2013-07-09,73.5
2013-07-10,70.0
2013-07-11,75.0
2013-07-12,71.5
2013-07-15,73.0
2013-07-16,70.5
2013-07-17,74.5
2013-07-18,74.5
2013-07-19,74.5
2013-07-22,78.0
2013-07-23,77.0
2013-07-24,71.5
2013-07-25,74.5
2013-07-26,71.5
2013-07-29,77.5
2013-07-30,78.5
2013-07-31,92.5
2013-08-01,95.0
2013-08-02,94.0
2013-08-05,92.0
2013-08-06,87.5
2013-08-07,81.5
2013-08-08,85.0
2013-08-09,84.5
2013-08-12,75.0
2013-08-13,71.5
2013-08-14,64.5
2013-08-15,63.5
2013-08-16,67.5
2013-08-19,72.0
2013-08-20,72.0
2013-08-21,59.5
2013-08-22,62.0
2013-08-23,60.0
2013-08-26,64.0
2013-08-27,60.5
2013-08-28,62.5
2013-08-29,63.0
2013-08-30,65.0
2013-09-03,64.0
2013-09-04,64.0
2013-09-05,63.5
2013-09-06,65.0
2013-09-09,65.0
2013-09-10,65.5
2013-09-11,67.5
2013-09-12,65.0
2013-09-13,61.0
2013-09-16,61.0
2013-09-17,60.5
2013-09-18,61.5
2013-09-19,60.5
2013-09-20,60.0
2013-09-23,60.0
2013-09-24,58.5
2013-09-25,57.5
2013-09-26,59.0
2013-09-27,56.5
2013-09-30,56.5
2013-10-01,55.0
2013-10-02,50.5
2013-10-03,47.5
2013-10-04,52.5
2013-10-07,49.0
2013-10-08,47.5
2013-10-09,40.5
2013-10-10,44.5
2013-10-11,57.5
2013-10-14,57.0
2013-10-15,59.5
2013-10-16,60.5
2013-10-17,62.5
2013-10-18,63.0
2013-10-21,67.0
2013-10-22,63.0
2013-10-23,63.5
2013-10-24,64.0
2013-10-25,63.0
2013-10-28,65.5
2013-10-29,63.5
2013-10-30,63.5
2013-10-31,65.0
2013-11-01,62.0
2013-11-04,59.0
2013-11-05,60.0
2013-11-06,61.0
2013-11-07,61.0
2013-11-08,61.0
2013-11-11,69.5
2013-11-12,71.0
2013-11-13,77.5
2013-11-14,77.5
2013-11-15,90.5
2013-11-18,81.0
2013-11-19,81.0
2013-11-20,76.5
2013-11-21,79.0
2013-11-22,77.0
2013-11-25,83.5
2013-11-26,85.5
2013-11-27,85.0
2013-11-29,85.0
2013-12-02,89.0
2013-12-03,89.5
2013-12-04,92.5
2013-12-05,88.0
2013-12-06,85.5
2013-12-09,85.5
2013-12-10,81.5
2013-12-11,84.5
2013-12-12,82.5
2013-12-13,77.5
2013-12-16,72.0
2013-12-17,67.0
2013-12-18,71.5
2013-12-19,68.5
2013-12-20,66.0
2013-12-23,62.5
2013-12-24,63.0
2013-12-26,62.5
2013-12-27,62.0
2013-12-30,63.5
2013-12-31,62.5
2014-01-02,62.5
2014-01-03,63.0
2014-01-06,61.5
2014-01-07,62.5
2014-01-08,63.0
2014-01-09,68.0
2014-01-10,71.5
2014-01-13,68.0
2014-01-14,65.0
2014-01-15,60.0
2014-01-16,70.0
2014-01-17,68.0
2014-01-21,64.5
2014-01-22,66.5
2014-01-23,63.5
2014-01-24,64.5
2014-01-27,65.5
2014-01-28,63.0
2014-01-29,60.0
2014-01-30,60.0
2014-01-31,61.0
2014-02-03,57.5
2014-02-04,58.5
2014-02-05,60.5
2014-02-06,64.0
2014-02-07,68.0
2014-02-10,66.0
2014-02-11,61.5
2014-02-12,61.5
2014-02-13,62.5
2014-02-14,61.5
2014-02-18,61.5
2014-02-19,59.5
2014-02-20,59.0
2014-02-21,59.5
2014-02-24,59.0
2014-02-25,60.5
2014-02-26,59.0
2014-02-27,60.5
2014-02-28,59.5
2014-03-03,59.0
2014-03-04,59.0
2014-03-05,57.0
2014-03-06,57.5
2014-03-07,59.5
2014-03-10,57.5
2014-03-11,56.5
2014-03-12,59.0
2014-03-13,56.5
2014-03-14,56.0
2014-03-17,56.0
2014-03-18,54.5
2014-03-19,46.5
2014-03-20,49.5
2014-03-21,49.0
2014-03-24,45.5
2014-03-25,45.0
2014-03-26,46.0
2014-03-27,44.5
2014-03-28,40.0
2014-03-31,39.0
2014-04-01,40.0
2014-04-02,40.0
2014-04-03,40.0
2014-04-04,39.0
2014-04-07,40.5
2014-04-08,49.0
2014-04-09,55.0
2014-04-10,49.0
2014-04-11,51.0
2014-04-14,53.0
2014-04-15,52.5
2014-04-16,47.5
2014-04-17,50.0
2014-04-21,47.5
2014-04-22,52.5
2014-04-23,53.5
2014-04-24,52.5
2014-04-25,52.0
2014-04-28,55.0
2014-04-29,50.0
2014-04-30,50.0
2014-05-01,51.0
2014-05-02,51.0
2014-05-05,48.5
2014-05-06,49.0
2014-05-07,50.5
2014-05-08,47.5
2014-05-09,47.5
2014-05-12,48.5
2014-05-13,47.5
2014-05-14,45.0
2014-05-15,46.5
2014-05-16,48.0
2014-05-19,46.5
2014-05-20,45.5
2014-05-21,47.5
2014-05-22,47.0
2014-05-23,47.0
2014-05-27,44.5
2014-05-28,45.0
2014-05-29,45.0
2014-05-30,46.5
2014-06-02,45.0
2014-06-03,44.0
2014-06-04,45.5
2014-06-05,46.0
2014-06-06,47.0
2014-06-09,45.0
2014-06-10,44.0
2014-06-11,44.0
2014-06-12,42.5
2014-06-13,44.5
2014-06-16,42.5
2014-06-17,44.5
2014-06-18,44.0
2014-06-19,47.0
2014-06-20,47.5
2014-06-23,47.5
2014-06-24,45.5
2014-06-25,44.5
2014-06-26,42.5
2014-06-27,41.54999923706055
2014-06-30,40.5
2014-07-01,41.0
2014-07-02,39.0
2014-07-03,39.5
2014-07-07,36.5
2014-07-08,34.0
2014-07-09,34.5
2014-07-10,32.5
2014-07-11,34.0
2014-07-14,32.5
2014-07-15,34.0
2014-07-16,32.5
2014-07-17,32.5
2014-07-18,34.0
2014-07-21,33.0
2014-07-22,34.5
2014-07-23,33.5
2014-07-24,33.0
2014-07-25,33.0
2014-07-28,31.0
2014-07-29,24.5
2014-07-30,26.0
2014-07-31,27.450000762939453
2014-08-01,25.0
2014-08-04,25.0
2014-08-05,25.0
2014-08-06,25.5
2014-08-07,25.0
2014-08-08,25.5
2014-08-11,25.5
2014-08-12,25.0
2014-08-13,25.0
2014-08-14,25.0
2014-08-15,24.5
2014-08-18,26.799999237060547
2014-08-19,27.0
2014-08-20,27.0
2014-08-21,26.5
2014-08-22,29.0
2014-08-25,34.25
2014-08-26,35.0
2014-08-27,32.599998474121094
2014-08-28,32.5
2014-08-29,32.5
2014-09-02,32.5
2014-09-03,31.5
2014-09-04,31.0
2014-09-05,33.0
2014-09-08,35.0
2014-09-09,35.0
2014-09-10,33.5
2014-09-11,35.0
2014-09-12,34.0
2014-09-15,32.0
2014-09-16,30.0
2014-09-17,29.5
2014-09-18,28.0
2014-09-19,30.0
2014-09-22,30.0
2014-09-23,29.5
2014-09-24,29.0
2014-09-25,29.0
2014-09-26,30.0
2014-09-29,29.5
2014-09-30,30.0
2014-10-01,28.0
2014-10-02,30.0
2014-10-03,29.0
2014-10-06,28.0
2014-10-07,27.5
2014-10-08,26.0
2014-10-09,26.5
2014-10-10,26.5
2014-10-13,26.0
2014-10-14,26.0
2014-10-15,26.5
2014-10-16,26.0
2014-10-17,26.0
2014-10-20,24.0
2014-10-21,26.0
2014-10-22,24.5
2014-10-23,26.0
2014-10-24,23.5
2014-10-27,23.5
2014-10-28,24.0
2014-10-29,23.0
2014-10-30,24.5
2014-10-31,24.0
2014-11-03,23.5
2014-11-04,23.5
2014-11-05,22.5
2014-11-06,22.5
2014-11-07,22.5
2014-11-10,22.5
2014-11-11,22.0
2014-11-12,21.5
2014-11-13,21.0
2014-11-14,21.5
2014-11-17,21.5
2014-11-18,21.0
2014-11-19,21.5
2014-11-20,20.5
2014-11-21,20.5
2014-11-24,19.5
2014-11-25,20.5
2014-11-26,21.5
2014-11-28,22.5
2014-12-01,22.25
2014-12-02,22.0
