,FMB
2015-03-31,52.22999954223633
2015-04-01,52.20199966430664
2015-04-02,52.11000061035156
2015-04-06,52.189998626708984
2015-04-07,52.04999923706055
2015-04-08,52.029998779296875
2015-04-09,52.150001525878906
2015-04-10,51.9900016784668
2015-04-13,51.9900016784668
2015-04-14,52.310001373291016
2015-04-15,52.209999084472656
2015-04-16,52.290000915527344
2015-04-17,52.22999954223633
2015-04-20,52.154998779296875
2015-04-21,52.13999938964844
2015-04-22,52.13999938964844
2015-04-23,52.005001068115234
2015-04-24,52.005001068115234
2015-04-27,52.099998474121094
2015-04-28,52.099998474121094
2015-04-29,51.939998626708984
2015-04-30,51.84000015258789
2015-05-01,51.672000885009766
2015-05-04,51.70000076293945
2015-05-05,51.676998138427734
2015-05-06,51.529998779296875
2015-05-07,51.71500015258789
2015-05-08,51.79399871826172
2015-05-11,51.45000076293945
2015-05-12,51.65999984741211
2015-05-13,51.45000076293945
2015-05-14,51.45000076293945
2015-05-15,51.7599983215332
2015-05-18,51.698001861572266
2015-05-19,51.58000183105469
2015-05-20,51.70199966430664
2015-05-21,51.56399917602539
2015-05-22,51.56399917602539
2015-05-26,51.61000061035156
2015-05-27,51.599998474121094
2015-05-28,51.439998626708984
2015-05-29,51.61000061035156
2015-06-01,51.625
2015-06-02,51.340999603271484
2015-06-03,51.435001373291016
2015-06-04,51.54800033569336
2015-06-05,51.38999938964844
2015-06-08,51.38999938964844
2015-06-09,51.369998931884766
2015-06-10,51.165000915527344
2015-06-11,51.369998931884766
2015-06-12,51.11000061035156
2015-06-15,51.263999938964844
2015-06-16,51.25
2015-06-17,51.25
2015-06-18,51.32500076293945
2015-06-19,51.459999084472656
2015-06-22,51.150001525878906
2015-06-23,51.209999084472656
2015-06-24,51.270999908447266
2015-06-25,51.25
2015-06-26,51.11000061035156
2015-06-29,51.11000061035156
2015-06-30,51.16999816894531
2015-07-01,51.07500076293945
2015-07-02,51.150001525878906
2015-07-06,51.27799987792969
2015-07-07,51.2400016784668
2015-07-08,51.33000183105469
2015-07-09,51.154998779296875
2015-07-10,51.02000045776367
2015-07-13,50.95000076293945
2015-07-14,51.06999969482422
2015-07-15,50.959999084472656
2015-07-16,50.95000076293945
2015-07-17,50.95000076293945
2015-07-20,51.189998626708984
2015-07-21,51.189998626708984
2015-07-22,51.18199920654297
2015-07-23,51.27000045776367
2015-07-24,51.27000045776367
2015-07-27,51.0
2015-07-28,51.207000732421875
2015-07-29,50.939998626708984
