,ARLP
2002-03-11,6.0625
2002-03-12,6.007500171661377
2002-03-13,6.042500019073486
2002-03-14,6.047500133514404
2002-03-15,6.175000190734863
2002-03-18,6.072500228881836
2002-03-19,6.025000095367432
2002-03-20,6.067500114440918
2002-03-21,6.127500057220459
2002-03-22,6.162499904632568
2002-03-25,6.135000228881836
2002-03-26,6.0
2002-03-27,5.949999809265137
2002-03-28,6.045000076293945
2002-04-01,6.0
2002-04-02,6.052499771118164
2002-04-03,6.054999828338623
2002-04-04,6.0
2002-04-05,6.102499961853027
2002-04-08,6.097499847412109
2002-04-09,6.059999942779541
2002-04-10,5.952499866485596
2002-04-11,6.074999809265137
2002-04-12,6.110000133514404
2002-04-15,6.099999904632568
2002-04-16,6.110000133514404
2002-04-17,6.125
2002-04-18,6.102499961853027
2002-04-19,6.175000190734863
2002-04-22,6.172500133514404
2002-04-23,6.175000190734863
2002-04-24,6.164999961853027
2002-04-25,6.087500095367432
2002-04-26,6.112500190734863
2002-04-29,6.112500190734863
2002-04-30,6.125
2002-05-01,5.972499847412109
2002-05-02,6.087500095367432
2002-05-03,6.074999809265137
2002-05-06,6.072500228881836
2002-05-07,6.017499923706055
2002-05-08,6.072500228881836
2002-05-09,6.002500057220459
2002-05-10,6.027500152587891
2002-05-13,6.0625
2002-05-14,6.034999847412109
2002-05-15,6.034999847412109
2002-05-16,6.047500133514404
2002-05-17,6.059999942779541
2002-05-20,6.012499809265137
2002-05-21,5.949999809265137
2002-05-22,5.994999885559082
2002-05-23,5.980000019073486
2002-05-24,5.9375
2002-05-28,5.849999904632568
2002-05-29,6.0
2002-05-30,5.965000152587891
2002-05-31,5.994999885559082
2002-06-03,5.940000057220459
2002-06-04,5.917500019073486
2002-06-05,5.880000114440918
2002-06-06,5.752500057220459
2002-06-07,5.775000095367432
2002-06-10,5.807499885559082
2002-06-11,5.727499961853027
2002-06-12,5.612500190734863
2002-06-13,5.599999904632568
2002-06-14,5.599999904632568
2002-06-17,5.567500114440918
2002-06-18,5.712500095367432
2002-06-19,5.807499885559082
2002-06-20,5.889999866485596
2002-06-21,5.912499904632568
2002-06-24,5.952499866485596
2002-06-25,5.960000038146973
2002-06-26,5.934999942779541
2002-06-27,5.954999923706055
2002-06-28,5.934999942779541
2002-07-01,5.875
2002-07-02,5.90500020980835
2002-07-03,5.9375
2002-07-05,5.8125
2002-07-08,5.809999942779541
2002-07-09,5.795000076293945
2002-07-10,5.885000228881836
2002-07-11,5.894999980926514
2002-07-12,5.875
2002-07-15,5.900000095367432
2002-07-16,5.875
2002-07-17,5.90749979019165
2002-07-18,5.902500152587891
2002-07-19,5.744999885559082
2002-07-22,5.057499885559082
2002-07-23,4.962500095367432
2002-07-24,4.684999942779541
2002-07-25,4.792500019073486
2002-07-26,5.425000190734863
2002-07-29,5.534999847412109
2002-07-30,5.497499942779541
2002-07-31,5.400000095367432
2002-08-01,5.289999961853027
2002-08-02,5.375
2002-08-05,5.422500133514404
2002-08-06,5.599999904632568
2002-08-07,5.587500095367432
2002-08-08,5.78000020980835
2002-08-09,5.747499942779541
2002-08-12,5.84250020980835
2002-08-13,5.800000190734863
2002-08-14,5.929999828338623
2002-08-15,5.852499961853027
2002-08-16,5.875
2002-08-19,5.960000038146973
2002-08-20,6.027500152587891
2002-08-21,6.065000057220459
2002-08-22,6.15749979019165
2002-08-23,6.144999980926514
2002-08-26,6.179999828338623
2002-08-27,6.09499979019165
2002-08-28,6.184999942779541
2002-08-29,6.097499847412109
2002-08-30,6.150000095367432
2002-09-03,6.03249979019165
2002-09-04,5.96999979019165
2002-09-05,6.002500057220459
2002-09-06,6.067500114440918
2002-09-09,6.085000038146973
2002-09-10,6.142499923706055
2002-09-11,6.162499904632568
2002-09-12,6.090000152587891
2002-09-13,6.125
2002-09-16,6.079999923706055
2002-09-17,6.057499885559082
2002-09-18,6.087500095367432
2002-09-19,6.079999923706055
2002-09-20,6.010000228881836
2002-09-23,5.820000171661377
2002-09-24,5.474999904632568
2002-09-25,5.760000228881836
2002-09-26,5.795000076293945
2002-09-27,5.872499942779541
2002-09-30,5.802499771118164
2002-10-01,5.849999904632568
2002-10-02,5.934999942779541
2002-10-03,5.625
2002-10-04,5.59250020980835
2002-10-07,5.670000076293945
2002-10-08,5.397500038146973
2002-10-09,5.074999809265137
2002-10-10,5.292500019073486
2002-10-11,5.570000171661377
2002-10-14,5.502500057220459
2002-10-15,5.792500019073486
2002-10-16,5.727499961853027
2002-10-17,5.84250020980835
2002-10-18,5.847499847412109
2002-10-21,5.764999866485596
2002-10-22,5.8125
2002-10-23,5.777500152587891
2002-10-24,5.8125
2002-10-25,5.875
2002-10-28,5.875
2002-10-29,5.920000076293945
2002-10-30,5.875
2002-10-31,5.949999809265137
2002-11-01,5.90749979019165
2002-11-04,5.929999828338623
2002-11-05,5.954999923706055
2002-11-06,5.922500133514404
2002-11-07,5.927499771118164
2002-11-08,5.9375
2002-11-11,5.942500114440918
2002-11-12,5.90500020980835
2002-11-13,5.987500190734863
2002-11-14,6.025000095367432
2002-11-15,6.002500057220459
2002-11-18,5.985000133514404
2002-11-19,5.940000057220459
2002-11-20,5.929999828338623
2002-11-21,5.90500020980835
2002-11-22,5.949999809265137
2002-11-25,5.885000228881836
2002-11-26,5.925000190734863
2002-11-27,5.897500038146973
2002-11-29,5.974999904632568
2002-12-02,6.054999828338623
2002-12-03,5.917500019073486
2002-12-04,5.940000057220459
2002-12-05,5.96750020980835
2002-12-06,5.932499885559082
2002-12-09,5.920000076293945
2002-12-10,5.864999771118164
2002-12-11,5.84499979019165
2002-12-12,5.875
2002-12-13,5.912499904632568
2002-12-16,5.992499828338623
2002-12-17,5.952499866485596
2002-12-18,5.925000190734863
2002-12-19,5.920000076293945
2002-12-20,5.989999771118164
2002-12-23,6.005000114440918
2002-12-24,5.982500076293945
2002-12-26,6.0
2002-12-27,6.012499809265137
2002-12-30,5.994999885559082
2002-12-31,6.054999828338623
2003-01-02,6.139999866485596
2003-01-03,6.077499866485596
2003-01-06,6.190000057220459
2003-01-07,6.039999961853027
2003-01-08,6.037499904632568
2003-01-09,6.039999961853027
2003-01-10,6.125
2003-01-13,6.110000133514404
2003-01-14,6.117499828338623
2003-01-15,6.137499809265137
2003-01-16,6.247499942779541
2003-01-17,6.244999885559082
2003-01-21,6.222499847412109
2003-01-22,6.164999961853027
2003-01-23,6.045000076293945
2003-01-24,6.074999809265137
2003-01-27,6.09250020980835
2003-01-28,6.150000095367432
2003-01-29,6.25
2003-01-30,6.127500057220459
2003-01-31,6.142499923706055
2003-02-03,6.059999942779541
2003-02-04,6.130000114440918
2003-02-05,6.072500228881836
2003-02-06,5.889999866485596
2003-02-07,5.887499809265137
2003-02-10,5.627500057220459
2003-02-11,5.71999979019165
2003-02-12,5.702499866485596
2003-02-13,5.675000190734863
2003-02-14,5.650000095367432
2003-02-18,5.659999847412109
2003-02-19,5.637499809265137
2003-02-20,5.6875
2003-02-21,5.737500190734863
2003-02-24,5.722499847412109
2003-02-25,5.722499847412109
2003-02-26,5.679999828338623
2003-02-27,5.707499980926514
2003-02-28,5.722499847412109
2003-03-03,5.677499771118164
2003-03-04,5.670000076293945
2003-03-05,5.65749979019165
2003-03-06,5.679999828338623
2003-03-07,5.715000152587891
2003-03-10,5.662499904632568
2003-03-11,5.65500020980835
2003-03-12,5.619999885559082
2003-03-13,5.574999809265137
2003-03-14,5.550000190734863
2003-03-17,5.494999885559082
2003-03-18,5.46999979019165
2003-03-19,5.552499771118164
2003-03-20,5.625
2003-03-21,5.735000133514404
2003-03-24,5.622499942779541
2003-03-25,5.579999923706055
2003-03-26,5.632500171661377
2003-03-27,5.617499828338623
2003-03-28,5.574999809265137
2003-03-31,5.597499847412109
2003-04-01,5.599999904632568
2003-04-02,5.5625
2003-04-03,5.632500171661377
2003-04-04,5.637499809265137
2003-04-07,5.644999980926514
2003-04-08,5.627500057220459
2003-04-09,5.690000057220459
2003-04-10,5.847499847412109
2003-04-11,5.815000057220459
2003-04-14,5.840000152587891
2003-04-15,5.887499809265137
2003-04-16,5.914999961853027
2003-04-17,5.947500228881836
2003-04-21,5.994999885559082
2003-04-22,6.010000228881836
2003-04-23,6.079999923706055
2003-04-24,6.087500095367432
2003-04-25,6.125
2003-04-28,6.21999979019165
2003-04-29,6.287499904632568
2003-04-30,6.227499961853027
2003-05-01,6.127500057220459
2003-05-02,6.142499923706055
2003-05-05,6.085000038146973
2003-05-06,6.125
2003-05-07,6.142499923706055
2003-05-08,6.15749979019165
2003-05-09,6.090000152587891
2003-05-12,6.210000038146973
2003-05-13,6.197500228881836
2003-05-14,6.25
2003-05-15,6.324999809265137
2003-05-16,6.40500020980835
2003-05-19,6.367499828338623
2003-05-20,6.480000019073486
2003-05-21,6.577499866485596
2003-05-22,6.505000114440918
2003-05-23,6.525000095367432
2003-05-27,6.59250020980835
2003-05-28,6.599999904632568
2003-05-29,6.53000020980835
2003-05-30,6.525000095367432
2003-06-02,6.559999942779541
2003-06-03,6.5625
2003-06-04,6.675000190734863
2003-06-05,6.795000076293945
2003-06-06,6.820000171661377
2003-06-09,6.775000095367432
2003-06-10,6.900000095367432
2003-06-11,6.954999923706055
2003-06-12,6.927499771118164
2003-06-13,6.965000152587891
2003-06-16,6.880000114440918
2003-06-17,6.817500114440918
2003-06-18,6.75
2003-06-19,6.5
2003-06-20,6.71999979019165
2003-06-23,6.742499828338623
2003-06-24,6.835000038146973
2003-06-25,6.829999923706055
2003-06-26,6.5625
2003-06-27,6.875
2003-06-30,6.8125
2003-07-01,6.789999961853027
2003-07-02,6.987500190734863
2003-07-03,6.887499809265137
2003-07-07,7.130000114440918
2003-07-08,7.215000152587891
2003-07-09,7.057499885559082
2003-07-10,7.34250020980835
2003-07-11,7.175000190734863
2003-07-14,7.244999885559082
2003-07-15,7.247499942779541
2003-07-16,7.235000133514404
2003-07-17,7.079999923706055
2003-07-18,7.09499979019165
2003-07-21,7.175000190734863
2003-07-22,7.287499904632568
2003-07-23,7.232500076293945
2003-07-24,7.262499809265137
2003-07-25,7.1875
2003-07-28,7.15500020980835
2003-07-29,7.122499942779541
2003-07-30,7.175000190734863
2003-07-31,7.275000095367432
2003-08-01,7.037499904632568
2003-08-04,6.762499809265137
2003-08-05,6.587500095367432
2003-08-06,6.5625
2003-08-07,6.65749979019165
2003-08-08,6.900000095367432
2003-08-11,6.997499942779541
2003-08-12,7.09499979019165
2003-08-13,6.9375
2003-08-14,6.877500057220459
2003-08-15,6.997499942779541
2003-08-18,6.974999904632568
2003-08-19,6.800000190734863
2003-08-20,6.644999980926514
2003-08-21,6.9375
2003-08-22,6.952499866485596
2003-08-25,6.925000190734863
2003-08-26,7.045000076293945
2003-08-27,7.074999809265137
2003-08-28,7.195000171661377
2003-08-29,7.179999828338623
2003-09-02,7.195000171661377
2003-09-03,7.162499904632568
2003-09-04,7.179999828338623
2003-09-05,7.105000019073486
2003-09-08,7.059999942779541
2003-09-09,7.125
2003-09-10,7.122499942779541
2003-09-11,7.1875
2003-09-12,7.125
2003-09-15,7.070000171661377
2003-09-16,7.047500133514404
2003-09-17,7.050000190734863
2003-09-18,7.050000190734863
2003-09-19,7.039999961853027
2003-09-22,7.25
2003-09-23,7.199999809265137
2003-09-24,7.239999771118164
2003-09-25,7.204999923706055
2003-09-26,7.300000190734863
2003-09-29,7.284999847412109
2003-09-30,7.414999961853027
2003-10-01,7.5
2003-10-02,7.482500076293945
2003-10-03,7.317500114440918
2003-10-06,7.487500190734863
2003-10-07,7.614999771118164
2003-10-08,7.71999979019165
2003-10-09,7.539999961853027
2003-10-10,7.614999771118164
2003-10-13,7.525000095367432
