,BATRK
2016-11-16,19.18000030517578
2016-11-17,18.989999771118164
2016-11-18,18.8700008392334
2016-11-21,19.399999618530273
2016-11-22,19.75
2016-11-23,20.59000015258789
2016-11-25,20.3700008392334
2016-11-28,19.90999984741211
2016-11-29,19.899999618530273
2016-11-30,19.8700008392334
2016-12-01,19.600000381469727
2016-12-02,19.5
2016-12-05,19.780000686645508
2016-12-06,19.799999237060547
2016-12-07,19.959999084472656
2016-12-08,20.3700008392334
2016-12-09,20.56999969482422
2016-12-12,20.1299991607666
2016-12-13,20.260000228881836
2016-12-14,20.459999084472656
2016-12-15,19.90999984741211
2016-12-16,20.0
2016-12-19,20.739999771118164
2016-12-20,20.760000228881836
2016-12-21,20.579999923706055
2016-12-22,20.549999237060547
2016-12-23,21.010000228881836
2016-12-27,20.6299991607666
2016-12-28,20.639999389648438
2016-12-29,20.729999542236328
2016-12-30,20.59000015258789
2017-01-03,20.639999389648438
2017-01-04,20.899999618530273
2017-01-05,20.770000457763672
2017-01-06,20.649999618530273
2017-01-09,20.489999771118164
2017-01-10,20.469999313354492
2017-01-11,20.270000457763672
2017-01-12,19.860000610351562
2017-01-13,19.860000610351562
2017-01-17,19.540000915527344
2017-01-18,20.360000610351562
2017-01-19,20.709999084472656
2017-01-20,21.170000076293945
2017-01-23,21.700000762939453
2017-01-24,21.280000686645508
2017-01-25,21.1200008392334
2017-01-26,20.8799991607666
2017-01-27,20.829999923706055
2017-01-30,20.31999969482422
2017-01-31,19.979999542236328
2017-02-01,19.979999542236328
2017-02-02,19.780000686645508
2017-02-03,19.780000686645508
2017-02-06,19.6299991607666
2017-02-07,19.559999465942383
2017-02-08,19.450000762939453
2017-02-09,19.969999313354492
2017-02-10,21.709999084472656
2017-02-13,21.459999084472656
2017-02-14,21.209999084472656
2017-02-15,21.239999771118164
2017-02-16,21.040000915527344
2017-02-17,21.190000534057617
2017-02-21,21.3700008392334
2017-02-22,22.219999313354492
2017-02-23,21.5
2017-02-24,21.260000228881836
2017-02-27,21.34000015258789
2017-02-28,21.989999771118164
2017-03-01,22.700000762939453
2017-03-02,22.469999313354492
2017-03-03,21.850000381469727
2017-03-06,21.68000030517578
2017-03-07,21.860000610351562
2017-03-08,21.520000457763672
2017-03-09,21.420000076293945
2017-03-10,21.809999465942383
2017-03-13,22.93000030517578
2017-03-14,22.639999389648438
2017-03-15,22.489999771118164
2017-03-16,22.540000915527344
2017-03-17,22.700000762939453
2017-03-20,22.959999084472656
2017-03-21,22.309999465942383
2017-03-22,22.3799991607666
2017-03-23,22.360000610351562
2017-03-24,22.3700008392334
2017-03-27,22.3799991607666
2017-03-28,22.899999618530273
2017-03-29,23.56999969482422
2017-03-30,23.510000228881836
2017-03-31,23.649999618530273
2017-04-03,23.31999969482422
2017-04-04,23.649999618530273
2017-04-05,23.280000686645508
2017-04-06,23.170000076293945
2017-04-07,23.1299991607666
2017-04-10,22.940000534057617
2017-04-11,23.31999969482422
2017-04-12,23.469999313354492
2017-04-13,23.93000030517578
2017-04-17,23.760000228881836
2017-04-18,24.0
2017-04-19,23.989999771118164
2017-04-20,24.6200008392334
2017-04-21,24.280000686645508
2017-04-24,24.479999542236328
2017-04-25,24.610000610351562
2017-04-26,24.979999542236328
2017-04-27,24.739999771118164
2017-04-28,24.520000457763672
2017-05-01,24.670000076293945
2017-05-02,24.6200008392334
2017-05-03,23.75
2017-05-04,23.719999313354492
2017-05-05,24.479999542236328
2017-05-08,24.059999465942383
2017-05-09,24.040000915527344
2017-05-10,24.0
2017-05-11,24.079999923706055
2017-05-12,23.8700008392334
2017-05-15,24.020000457763672
2017-05-16,24.040000915527344
2017-05-17,23.440000534057617
2017-05-18,23.459999084472656
2017-05-19,23.6299991607666
2017-05-22,24.040000915527344
2017-05-23,23.889999389648438
2017-05-24,23.81999969482422
2017-05-25,23.790000915527344
2017-05-26,24.079999923706055
2017-05-30,23.639999389648438
2017-05-31,23.31999969482422
2017-06-01,24.229999542236328
2017-06-02,24.239999771118164
2017-06-05,24.079999923706055
2017-06-06,24.05500030517578
2017-06-07,23.989999771118164
2017-06-08,24.18000030517578
2017-06-09,23.979999542236328
2017-06-12,23.8700008392334
2017-06-13,23.850000381469727
2017-06-14,24.020000457763672
2017-06-15,24.049999237060547
2017-06-16,23.90999984741211
2017-06-19,23.920000076293945
2017-06-20,23.18000030517578
2017-06-21,22.90999984741211
2017-06-22,23.030000686645508
2017-06-23,23.059999465942383
2017-06-26,23.8799991607666
2017-06-27,23.889999389648438
2017-06-28,24.1299991607666
2017-06-29,23.889999389648438
2017-06-30,23.969999313354492
2017-07-03,23.829999923706055
2017-07-05,23.56999969482422
2017-07-06,23.25
2017-07-07,23.8700008392334
2017-07-10,23.559999465942383
2017-07-11,23.670000076293945
2017-07-12,23.260000228881836
2017-07-13,23.579999923706055
2017-07-14,23.8799991607666
2017-07-17,23.600000381469727
2017-07-18,23.920000076293945
2017-07-19,24.239999771118164
2017-07-20,25.18000030517578
2017-07-21,25.229999542236328
2017-07-24,24.979999542236328
2017-07-25,24.920000076293945
2017-07-26,25.239999771118164
2017-07-27,25.139999389648438
2017-07-28,25.700000762939453
2017-07-31,25.229999542236328
2017-08-01,25.5
2017-08-02,25.030000686645508
2017-08-03,25.1299991607666
2017-08-04,25.31999969482422
2017-08-07,24.8799991607666
2017-08-08,24.809999465942383
2017-08-09,24.770000457763672
2017-08-10,24.75
2017-08-11,24.520000457763672
2017-08-14,25.139999389648438
2017-08-15,25.0
2017-08-16,24.829999923706055
2017-08-17,24.3799991607666
2017-08-18,24.350000381469727
2017-08-21,24.020000457763672
2017-08-22,24.149999618530273
2017-08-23,23.559999465942383
2017-08-24,23.8799991607666
2017-08-25,23.68000030517578
2017-08-28,23.969999313354492
2017-08-29,23.729999542236328
2017-08-30,23.860000610351562
2017-08-31,24.469999313354492
2017-09-01,24.770000457763672
2017-09-05,24.770000457763672
2017-09-06,25.25
2017-09-07,25.110000610351562
2017-09-08,25.229999542236328
2017-09-11,25.450000762939453
2017-09-12,25.290000915527344
2017-09-13,25.299999237060547
2017-09-14,24.899999618530273
2017-09-15,24.93000030517578
2017-09-18,25.030000686645508
2017-09-19,24.899999618530273
2017-09-20,25.200000762939453
2017-09-21,25.809999465942383
2017-09-22,26.049999237060547
2017-09-25,25.68000030517578
2017-09-26,25.299999237060547
2017-09-27,25.979999542236328
2017-09-28,25.420000076293945
2017-09-29,25.270000457763672
2017-10-02,26.0
2017-10-03,26.079999923706055
2017-10-04,25.65999984741211
2017-10-05,25.6200008392334
2017-10-06,25.510000228881836
2017-10-09,25.3700008392334
2017-10-10,25.200000762939453
2017-10-11,25.040000915527344
2017-10-12,24.610000610351562
2017-10-13,25.010000228881836
2017-10-16,24.739999771118164
2017-10-17,24.68000030517578
2017-10-18,24.860000610351562
2017-10-19,24.760000228881836
2017-10-20,24.829999923706055
2017-10-23,24.6299991607666
2017-10-24,24.520000457763672
2017-10-25,24.639999389648438
2017-10-26,24.399999618530273
2017-10-27,24.520000457763672
2017-10-30,23.969999313354492
