,DWEQ
2020-08-12,22.979000091552734
2020-08-13,22.979000091552734
2020-08-14,23.18000030517578
2020-08-17,23.479999542236328
2020-08-18,23.479999542236328
2020-08-19,23.5310001373291
2020-08-20,23.679000854492188
2020-08-21,23.679000854492188
2020-08-24,23.73699951171875
2020-08-25,23.822999954223633
2020-08-26,23.822999954223633
2020-08-27,24.15999984741211
2020-08-28,24.15999984741211
2020-08-31,24.322999954223633
2020-09-01,24.757999420166016
2020-09-02,24.92300033569336
2020-09-03,23.3799991607666
2020-09-04,22.990999221801758
2020-09-08,22.305999755859375
2020-09-09,22.881000518798828
2020-09-10,22.711999893188477
2020-09-11,22.527999877929688
2020-09-14,22.850000381469727
2020-09-15,23.29800033569336
2020-09-16,23.29800033569336
2020-09-17,22.780000686645508
2020-09-18,22.6299991607666
2020-09-21,22.94099998474121
2020-09-22,23.58799934387207
2020-09-23,22.929000854492188
2020-09-24,22.90999984741211
2020-09-25,23.33300018310547
2020-09-28,23.729999542236328
2020-09-29,24.06999969482422
2020-09-30,23.950000762939453
2020-10-01,24.70400047302246
2020-10-02,24.260000228881836
2020-10-05,24.719999313354492
2020-10-06,24.368000030517578
2020-10-07,24.780000686645508
2020-10-08,24.780000686645508
2020-10-09,24.981000900268555
2020-10-12,25.320999145507812
2020-10-13,25.600000381469727
2020-10-14,25.52400016784668
2020-10-15,25.48900032043457
2020-10-16,25.30699920654297
2020-10-19,24.98699951171875
2020-10-20,24.909000396728516
2020-10-21,24.99799919128418
2020-10-22,24.902999877929688
2020-10-23,25.256999969482422
2020-10-26,24.72599983215332
2020-10-27,24.8799991607666
2020-10-28,24.158000946044922
2020-10-29,24.594999313354492
2020-10-30,24.1299991607666
2020-11-02,23.94099998474121
2020-11-03,24.45800018310547
2020-11-04,25.54199981689453
2020-11-05,26.10700035095215
2020-11-06,26.6200008392334
2020-11-09,25.10099983215332
2020-11-10,24.579999923706055
2020-11-11,25.298999786376953
2020-11-12,25.195999145507812
2020-11-13,25.332000732421875
2020-11-16,25.350000381469727
2020-11-17,25.520000457763672
2020-11-18,25.43400001525879
2020-11-19,25.972000122070312
2020-11-20,26.08099937438965
2020-11-23,26.19300079345703
2020-11-24,26.059999465942383
2020-11-25,26.371000289916992
2020-11-27,26.687000274658203
2020-11-30,26.79599952697754
2020-12-01,26.97100067138672
2020-12-02,26.6200008392334
2020-12-03,26.64900016784668
2020-12-04,26.940000534057617
2020-12-07,27.059999465942383
2020-12-08,27.17799949645996
2020-12-09,26.610000610351562
2020-12-10,26.75
2020-12-11,26.68899917602539
2020-12-14,26.920000076293945
2020-12-15,27.200000762939453
2020-12-16,27.333999633789062
2020-12-17,27.65399932861328
2020-12-18,27.84000015258789
2020-12-21,27.850000381469727
2020-12-22,28.1200008392334
2020-12-23,28.010000228881836
2020-12-24,28.077999114990234
2020-12-28,27.843000411987305
2020-12-29,27.572999954223633
2020-12-30,27.809999465942383
2020-12-31,27.739999771118164
2021-01-04,27.219999313354492
2021-01-05,27.437999725341797
2021-01-06,27.780000686645508
2021-01-07,28.270000457763672
2021-01-08,28.479999542236328
2021-01-11,28.479999542236328
2021-01-12,28.604999542236328
2021-01-13,28.49799919128418
2021-01-14,28.35300064086914
2021-01-15,28.051000595092773
2021-01-19,28.31999969482422
2021-01-20,28.9060001373291
2021-01-21,29.006999969482422
2021-01-22,29.000999450683594
2021-01-25,28.823999404907227
2021-01-26,28.368999481201172
2021-01-27,27.336999893188477
2021-01-28,27.9689998626709
2021-01-29,27.65999984741211
2021-02-01,28.082000732421875
2021-02-02,28.780000686645508
2021-02-03,28.409000396728516
2021-02-04,28.83099937438965
2021-02-05,29.113000869750977
2021-02-08,29.20400047302246
2021-02-09,29.291000366210938
2021-02-10,29.26799964904785
2021-02-11,29.44499969482422
2021-02-12,29.799999237060547
