,BUSE
1999-04-15,37.5
1999-04-16,37.5
1999-04-19,37.0
1999-04-20,37.25
1999-04-21,37.5
1999-04-22,38.0
1999-04-23,37.875
1999-04-26,37.5
1999-04-27,38.0
1999-04-28,38.0
1999-04-29,37.875
1999-04-30,38.125
1999-05-03,37.5
1999-05-04,38.0
1999-05-05,38.25
1999-05-06,38.25
1999-05-07,38.25
1999-05-10,38.5
1999-05-11,38.375
1999-05-12,39.0
1999-05-13,40.0
1999-05-14,39.0
1999-05-17,38.875
1999-05-18,39.0
1999-05-19,39.875
1999-05-20,39.875
1999-05-21,39.875
1999-05-24,40.0
1999-05-25,40.5
1999-05-26,41.0
1999-05-27,40.5
1999-05-28,42.0
1999-06-01,45.0
1999-06-02,44.0
1999-06-03,42.0
1999-06-04,43.5
1999-06-07,44.0
1999-06-08,43.0
1999-06-09,44.0
1999-06-10,47.75
1999-06-11,50.0
1999-06-14,49.125
1999-06-15,49.5
1999-06-16,49.5
1999-06-17,48.75
1999-06-18,49.0
1999-06-21,48.5
1999-06-22,47.875
1999-06-23,48.25
1999-06-24,48.125
1999-06-25,48.0
1999-06-28,47.875
1999-06-29,49.375
1999-06-30,51.75
1999-07-01,43.5
1999-07-02,44.875
1999-07-06,48.0
1999-07-07,49.625
1999-07-08,50.0
1999-07-09,46.0
1999-07-12,48.75
1999-07-13,47.0
1999-07-14,46.25
1999-07-15,46.25
1999-07-16,46.875
1999-07-19,47.25
1999-07-20,46.625
1999-07-21,47.0
1999-07-22,46.375
1999-07-23,46.625
1999-07-26,47.125
1999-07-27,45.75
1999-07-28,46.0
1999-07-29,45.5625
1999-07-30,44.875
1999-08-02,46.75
1999-08-03,45.75
1999-08-04,45.25
1999-08-05,45.25
1999-08-06,43.0
1999-08-09,44.0
1999-08-10,45.25
1999-08-11,45.25
1999-08-12,44.5
1999-08-13,43.5
1999-08-16,45.25
1999-08-17,43.25
1999-08-18,44.0
1999-08-19,44.0
1999-08-20,43.0
1999-08-23,43.75
1999-08-24,43.75
1999-08-25,43.0
1999-08-26,43.0
1999-08-27,43.25
1999-08-30,42.75
1999-08-31,42.375
1999-09-01,42.5
1999-09-02,42.5
1999-09-03,42.25
1999-09-07,42.5
1999-09-08,42.5
1999-09-09,42.0
1999-09-10,42.0
1999-09-13,40.75
1999-09-14,40.75
1999-09-15,41.75
1999-09-16,40.0
1999-09-17,40.5
1999-09-20,40.75
1999-09-21,40.5
1999-09-22,40.5
1999-09-23,40.0
1999-09-24,39.5
1999-09-27,39.5
1999-09-28,40.875
1999-09-29,42.75
1999-09-30,46.0
1999-10-01,46.25
1999-10-04,45.75
1999-10-05,45.75
1999-10-06,45.5
1999-10-07,45.0
1999-10-08,44.75
1999-10-11,44.75
1999-10-12,43.25
1999-10-13,43.625
1999-10-14,44.5
1999-10-15,43.875
1999-10-18,44.5
1999-10-19,44.0
1999-10-20,43.25
1999-10-21,44.0
1999-10-22,43.25
1999-10-25,45.5
1999-10-26,45.5
1999-10-27,46.0
1999-10-28,47.375
1999-10-29,47.0
1999-11-01,47.75
1999-11-02,47.875
1999-11-03,48.25
1999-11-04,47.125
1999-11-05,48.125
1999-11-08,47.25
1999-11-09,48.25
1999-11-10,47.25
1999-11-11,47.25
1999-11-12,47.25
1999-11-15,47.5
1999-11-16,46.75
1999-11-17,46.75
1999-11-18,47.375
1999-11-19,47.5
1999-11-22,47.375
1999-11-23,46.125
1999-11-24,45.75
1999-11-26,47.125
1999-11-29,46.0
1999-11-30,44.75
1999-12-01,46.25
1999-12-02,46.1875
1999-12-03,45.0
1999-12-06,45.25
1999-12-07,45.5
1999-12-08,46.0
1999-12-09,46.125
1999-12-10,46.0
1999-12-13,47.75
1999-12-14,47.875
1999-12-15,46.75
1999-12-16,46.5
1999-12-17,47.625
1999-12-20,42.0
1999-12-21,44.25
1999-12-22,44.25
1999-12-23,44.875
1999-12-27,45.0625
1999-12-28,43.0
1999-12-29,44.0
1999-12-30,44.5
1999-12-31,45.25
2000-01-03,45.25
2000-01-04,44.5
2000-01-05,44.0
2000-01-06,44.125
2000-01-07,44.0
2000-01-10,44.125
2000-01-11,43.0
2000-01-12,43.0
2000-01-13,43.0
2000-01-14,43.0
2000-01-18,46.0
2000-01-19,46.0
2000-01-20,44.5
2000-01-21,44.5
2000-01-24,44.0
2000-01-25,42.625
2000-01-26,44.5
2000-01-27,42.125
2000-01-28,42.875
2000-01-31,42.0
2000-02-01,41.375
2000-02-02,40.0
2000-02-03,40.25
2000-02-04,41.25
2000-02-07,41.0
2000-02-08,39.75
2000-02-09,39.75
2000-02-10,40.5
2000-02-11,40.5
2000-02-14,40.75
2000-02-15,40.125
2000-02-16,39.125
2000-02-17,39.0
2000-02-18,39.0
2000-02-22,38.75
2000-02-23,38.75
2000-02-24,38.75
2000-02-25,38.5
2000-02-28,37.8125
2000-02-29,37.875
2000-03-01,39.5
2000-03-02,38.53125
2000-03-03,40.25
2000-03-06,40.75
2000-03-07,40.75
2000-03-08,40.75
2000-03-09,39.625
2000-03-10,38.875
2000-03-13,39.25
2000-03-14,38.75
2000-03-15,37.0
2000-03-16,42.25
2000-03-17,40.5
2000-03-20,41.0
2000-03-21,41.0
2000-03-22,41.4375
2000-03-23,41.5
2000-03-24,39.5
2000-03-27,40.0
2000-03-28,40.0
2000-03-29,39.25
2000-03-30,40.125
2000-03-31,40.125
2000-04-03,41.75
2000-04-04,38.375
2000-04-05,41.75
2000-04-06,40.0
2000-04-07,38.75
2000-04-10,38.75
2000-04-11,38.75
2000-04-12,40.0
2000-04-13,40.0
2000-04-14,40.25
2000-04-17,38.0
2000-04-18,40.75
2000-04-19,41.75
2000-04-20,41.0
2000-04-24,41.0
2000-04-25,42.0
2000-04-26,40.0
2000-04-27,38.0
2000-04-28,38.5
2000-05-01,41.0
2000-05-02,39.375
2000-05-03,39.375
2000-05-04,40.0
2000-05-05,40.0
2000-05-08,39.375
2000-05-09,38.375
2000-05-10,38.0
2000-05-11,38.0
2000-05-12,38.875
2000-05-15,38.0
2000-05-16,38.0
2000-05-17,37.75
2000-05-18,37.625
2000-05-19,38.0
2000-05-22,39.25
2000-05-23,37.75
2000-05-24,38.0
2000-05-25,39.0
2000-05-26,40.0
2000-05-30,39.875
2000-05-31,40.0
2000-06-01,40.0
2000-06-02,39.0
2000-06-05,38.625
2000-06-06,39.0
2000-06-07,38.75
2000-06-08,38.75
2000-06-09,38.75
2000-06-12,39.625
2000-06-13,40.0
2000-06-14,38.25
2000-06-15,37.0
2000-06-16,37.375
2000-06-19,36.65625
2000-06-20,36.375
2000-06-21,36.8125
2000-06-22,38.0
2000-06-23,38.75
2000-06-26,39.1875
2000-06-27,37.25
2000-06-28,36.625
2000-06-29,38.0
2000-06-30,32.875
2000-07-03,35.25
2000-07-05,38.0
2000-07-06,37.5
2000-07-07,45.0
2000-07-10,39.75
2000-07-11,40.0
2000-07-12,39.75
2000-07-13,39.5
2000-07-14,38.5
2000-07-17,38.75
2000-07-18,39.0
2000-07-19,38.25
2000-07-20,37.25
2000-07-21,38.5
2000-07-24,36.125
2000-07-25,35.8125
2000-07-26,35.875
2000-07-27,35.875
2000-07-28,36.5
2000-07-31,40.0
2000-08-01,37.375
2000-08-02,37.375
2000-08-03,38.0
2000-08-04,36.5
2000-08-07,37.0
2000-08-08,36.625
2000-08-09,36.125
2000-08-10,36.25
2000-08-11,36.375
2000-08-14,36.75
2000-08-15,38.0
2000-08-16,38.0
2000-08-17,37.25
2000-08-18,38.5
2000-08-21,37.375
2000-08-22,37.25
2000-08-23,36.5
2000-08-24,36.5
2000-08-25,37.625
2000-08-28,37.625
2000-08-29,37.625
2000-08-30,37.625
2000-08-31,37.0
2000-09-01,36.375
2000-09-05,36.375
2000-09-06,37.0
2000-09-07,36.5
2000-09-08,36.125
2000-09-11,36.125
2000-09-12,36.75
2000-09-13,36.75
2000-09-14,36.5
2000-09-15,36.75
2000-09-18,36.625
2000-09-19,35.75
2000-09-20,35.75
2000-09-21,36.5
2000-09-22,36.125
2000-09-25,36.125
2000-09-26,36.125
2000-09-27,36.875
2000-09-28,37.0
2000-09-29,37.0
2000-10-02,36.25
2000-10-03,36.5
2000-10-04,36.0
2000-10-05,37.0
2000-10-06,36.75
2000-10-09,35.65625
2000-10-10,37.125
2000-10-11,37.25
2000-10-12,36.34375
2000-10-13,36.375
2000-10-16,36.5
2000-10-17,35.5
2000-10-18,35.625
2000-10-19,36.5
2000-10-20,36.75
2000-10-23,36.75
2000-10-24,37.625
2000-10-25,37.0
2000-10-26,36.5
2000-10-27,36.5
2000-10-30,35.25
2000-10-31,36.625
2000-11-01,34.65625
2000-11-02,34.65625
2000-11-03,36.625
2000-11-06,34.75
2000-11-07,36.875
2000-11-08,37.5
2000-11-09,36.875
2000-11-10,35.375
2000-11-13,37.125
2000-11-14,36.5
2000-11-15,37.0
2000-11-16,37.0
2000-11-17,36.125
2000-11-20,36.0
2000-11-21,35.75
2000-11-22,35.71875
2000-11-24,35.75
2000-11-27,35.0
2000-11-28,35.84375
2000-11-29,35.84375
2000-11-30,37.0
2000-12-01,37.5
2000-12-04,35.5
2000-12-05,35.75
2000-12-06,35.375
2000-12-07,36.625
2000-12-08,36.75
2000-12-11,36.875
2000-12-12,36.875
2000-12-13,36.75
2000-12-14,36.75
2000-12-15,36.125
2000-12-18,35.5
2000-12-19,37.0
2000-12-20,36.875
2000-12-21,36.125
2000-12-22,37.0625
2000-12-26,37.375
2000-12-27,39.5
2000-12-28,40.875
2000-12-29,39.875
2001-01-02,36.875
2001-01-03,38.875
2001-01-04,39.875
2001-01-05,37.375
2001-01-08,38.0
2001-01-09,38.65625
2001-01-10,40.5
2001-01-11,39.0
2001-01-12,39.75
2001-01-16,39.875
2001-01-17,39.25
2001-01-18,39.0625
2001-01-19,39.875
2001-01-22,40.125
2001-01-23,40.5
2001-01-24,40.25
2001-01-25,39.46875
2001-01-26,39.9375
2001-01-29,39.875
2001-01-30,40.0
2001-01-31,40.34375
2001-02-01,37.75
2001-02-02,38.4375
2001-02-05,36.625
2001-02-06,36.5
2001-02-07,38.25
2001-02-08,37.0
2001-02-09,37.53125
2001-02-12,37.875
2001-02-13,38.375
2001-02-14,37.15625
2001-02-15,38.375
2001-02-16,37.125
2001-02-20,35.75
2001-02-21,35.90625
2001-02-22,35.625
2001-02-23,37.875
2001-02-26,37.875
2001-02-27,37.0
2001-02-28,36.0
2001-03-01,36.0
2001-03-02,37.75
2001-03-05,36.25
2001-03-06,38.0
2001-03-07,37.46875
2001-03-08,37.0
2001-03-09,36.25
2001-03-12,36.25
2001-03-13,37.5
2001-03-14,37.0
2001-03-15,36.25
2001-03-16,36.5625
2001-03-19,37.84375
2001-03-20,36.25
2001-03-21,36.25
2001-03-22,39.625
2001-03-23,39.5
2001-03-26,39.875
2001-03-27,39.75
2001-03-28,39.625
2001-03-29,40.0
2001-03-30,40.0
2001-04-02,39.5
2001-04-03,40.375
2001-04-04,39.9375
2001-04-05,40.125
2001-04-06,40.625
2001-04-09,40.400001525878906
2001-04-10,40.20000076293945
2001-04-11,40.599998474121094
2001-04-12,40.47999954223633
2001-04-16,39.79999923706055
2001-04-17,40.29999923706055
2001-04-18,40.47999954223633
2001-04-19,39.7599983215332
2001-04-20,40.2400016784668
2001-04-23,40.2400016784668
2001-04-24,40.2400016784668
2001-04-25,40.41999816894531
2001-04-26,40.41999816894531
2001-04-27,40.15999984741211
2001-04-30,41.65999984741211
2001-05-01,40.86000061035156
2001-05-02,41.0
2001-05-03,40.2400016784668
2001-05-04,41.70000076293945
2001-05-07,40.2599983215332
2001-05-08,40.2599983215332
2001-05-09,40.2599983215332
2001-05-10,40.599998474121094
2001-05-11,40.400001525878906
2001-05-14,40.900001525878906
2001-05-15,40.68000030517578
2001-05-16,41.2599983215332
2001-05-17,40.15999984741211
2001-05-18,40.20000076293945
2001-05-21,41.29999923706055
2001-05-22,40.34000015258789
2001-05-23,40.900001525878906
2001-05-24,40.97999954223633
2001-05-25,40.959999084472656
2001-05-29,40.619998931884766
2001-05-30,40.2599983215332
2001-05-31,40.599998474121094
2001-06-01,40.599998474121094
2001-06-04,40.97999954223633
2001-06-05,40.97999954223633
2001-06-06,41.099998474121094
2001-06-07,40.97999954223633
2001-06-08,40.68000030517578
2001-06-11,40.2599983215332
2001-06-12,40.900001525878906
2001-06-13,40.599998474121094
2001-06-14,40.18000030517578
2001-06-15,40.70000076293945
2001-06-18,40.18000030517578
2001-06-19,40.18000030517578
2001-06-20,40.79999923706055
2001-06-21,41.18000030517578
2001-06-22,40.29999923706055
2001-06-25,40.18000030517578
2001-06-26,41.119998931884766
2001-06-27,41.18000030517578
2001-06-28,41.400001525878906
2001-06-29,42.86000061035156
2001-07-02,42.400001525878906
2001-07-03,43.97999954223633
2001-07-05,42.63999938964844
2001-07-06,43.5
2001-07-09,43.5
2001-07-10,44.0
2001-07-11,42.0
2001-07-12,44.0
2001-07-13,43.81999969482422
2001-07-16,43.47999954223633
2001-07-17,42.79999923706055
2001-07-18,41.29999923706055
2001-07-19,43.2400016784668
2001-07-20,43.29999923706055
2001-07-23,42.79999923706055
2001-07-24,41.900001525878906
2001-07-25,42.0
2001-07-26,43.20000076293945
2001-07-27,43.5
2001-07-30,42.560001373291016
2001-07-31,41.099998474121094
2001-08-01,41.099998474121094
2001-08-02,41.5
2001-08-03,42.060001373291016
2001-08-06,43.13999938964844
2001-08-07,43.08000183105469
2001-08-08,39.7400016784668
2001-08-09,41.400001525878906
2001-08-10,42.959999084472656
2001-08-13,41.97999954223633
2001-08-14,41.65999984741211
2001-08-15,39.959999084472656
2001-08-16,40.97999954223633
2001-08-17,40.79999923706055
2001-08-20,40.97999954223633
2001-08-21,39.29999923706055
2001-08-22,40.939998626708984
2001-08-23,40.439998626708984
2001-08-24,40.880001068115234
2001-08-27,40.91999816894531
2001-08-28,39.20000076293945
2001-08-29,39.20000076293945
2001-08-30,39.959999084472656
2001-08-31,40.0
2001-09-04,39.79999923706055
2001-09-05,39.20000076293945
2001-09-06,39.0
2001-09-07,38.15999984741211
2001-09-10,39.29999923706055
2001-09-17,39.459999084472656
2001-09-18,38.119998931884766
2001-09-19,38.79999923706055
2001-09-20,38.0
2001-09-21,39.47999954223633
2001-09-24,39.380001068115234
2001-09-25,39.41999816894531
2001-09-26,38.400001525878906
2001-09-27,39.279998779296875
2001-09-28,39.47999954223633
2001-10-01,38.5
2001-10-02,38.900001525878906
2001-10-03,39.20000076293945
2001-10-04,38.099998474121094
2001-10-05,38.099998474121094
2001-10-08,38.81999969482422
2001-10-09,38.0
2001-10-10,38.20000076293945
2001-10-11,38.79999923706055
2001-10-12,38.70000076293945
2001-10-15,38.86000061035156
2001-10-16,38.880001068115234
2001-10-17,38.880001068115234
2001-10-18,38.0
2001-10-19,38.880001068115234
2001-10-22,38.880001068115234
2001-10-23,38.81999969482422
2001-10-24,38.79999923706055
2001-10-25,39.779998779296875
2001-10-26,39.2400016784668
2001-10-29,39.040000915527344
2001-10-30,39.02000045776367
2001-10-31,38.099998474121094
2001-11-01,38.97999954223633
2001-11-02,38.279998779296875
2001-11-05,38.13999938964844
2001-11-06,38.97999954223633
2001-11-07,38.34000015258789
2001-11-08,40.0
2001-11-09,39.2400016784668
2001-11-12,39.79999923706055
2001-11-13,40.0
2001-11-14,40.400001525878906
2001-11-15,40.20000076293945
2001-11-16,40.2599983215332
2001-11-19,40.040000915527344
2001-11-20,40.36000061035156
2001-11-21,41.0
2001-11-23,41.0
2001-11-26,40.84000015258789
2001-11-27,40.65999984741211
2001-11-28,41.0
2001-11-29,41.20000076293945
2001-11-30,40.41999816894531
2001-12-03,40.70000076293945
2001-12-04,41.099998474121094
2001-12-05,40.63999938964844
2001-12-06,40.97999954223633
2001-12-07,40.959999084472656
2001-12-10,40.47999954223633
2001-12-11,41.099998474121094
2001-12-12,40.900001525878906
2001-12-13,41.20000076293945
2001-12-14,41.29999923706055
2001-12-17,42.0
2001-12-18,42.0
2001-12-19,42.0
2001-12-20,42.36000061035156
2001-12-21,43.099998474121094
2001-12-24,43.15999984741211
2001-12-26,43.20000076293945
2001-12-27,43.779998779296875
2001-12-28,43.0
2001-12-31,42.959999084472656
2002-01-02,42.70000076293945
2002-01-03,42.900001525878906
2002-01-04,42.63999938964844
2002-01-07,42.599998474121094
2002-01-08,42.97999954223633
2002-01-09,42.599998474121094
2002-01-10,42.2599983215332
2002-01-11,43.0
2002-01-14,41.060001373291016
2002-01-15,41.0
2002-01-16,39.65999984741211
2002-01-17,41.040000915527344
2002-01-18,39.119998931884766
2002-01-22,40.02000045776367
2002-01-23,40.2599983215332
2002-01-24,40.20000076293945
2002-01-25,40.400001525878906
2002-01-28,41.5
2002-01-29,40.7400016784668
2002-01-30,40.91999816894531
2002-01-31,40.900001525878906
2002-02-01,40.400001525878906
2002-02-04,40.400001525878906
2002-02-05,40.79999923706055
2002-02-06,40.400001525878906
2002-02-07,40.2599983215332
2002-02-08,40.81999969482422
2002-02-11,40.2400016784668
2002-02-12,40.0
2002-02-13,40.900001525878906
2002-02-14,40.0
2002-02-15,40.0
2002-02-19,40.040000915527344
2002-02-20,40.779998779296875
2002-02-21,40.5
2002-02-22,40.97999954223633
2002-02-25,40.099998474121094
2002-02-26,40.15999984741211
2002-02-27,40.15999984741211
2002-02-28,40.2599983215332
2002-03-01,40.91999816894531
2002-03-04,40.79999923706055
2002-03-05,40.97999954223633
2002-03-06,40.959999084472656
2002-03-07,40.880001068115234
2002-03-08,40.31999969482422
2002-03-11,40.79999923706055
2002-03-12,40.20000076293945
2002-03-13,40.20000076293945
2002-03-14,40.459999084472656
2002-03-15,41.0
2002-03-18,41.20000076293945
2002-03-19,41.599998474121094
2002-03-20,41.380001068115234
2002-03-21,41.900001525878906
2002-03-22,41.2400016784668
2002-03-25,41.20000076293945
2002-03-26,41.959999084472656
2002-03-27,42.0
2002-03-28,42.79999923706055
2002-04-01,42.560001373291016
2002-04-02,42.58000183105469
2002-04-03,42.540000915527344
2002-04-04,42.900001525878906
2002-04-05,42.36000061035156
2002-04-08,42.79999923706055
2002-04-09,42.41999816894531
2002-04-10,42.880001068115234
2002-04-11,42.619998931884766
2002-04-12,43.560001373291016
2002-04-15,43.060001373291016
2002-04-16,43.65999984741211
2002-04-17,43.02000045776367
2002-04-18,43.599998474121094
2002-04-19,42.81999969482422
2002-04-22,43.0
2002-04-23,43.20000076293945
2002-04-24,43.5
2002-04-25,43.18000030517578
2002-04-26,42.959999084472656
2002-04-29,43.0
2002-04-30,43.0
2002-05-01,43.5
2002-05-02,43.79999923706055
2002-05-03,44.0
2002-05-06,42.720001220703125
2002-05-07,42.91999816894531
2002-05-08,43.959999084472656
2002-05-09,43.97999954223633
2002-05-10,41.459999084472656
2002-05-13,40.7400016784668
2002-05-14,41.91999816894531
2002-05-15,40.7599983215332
2002-05-16,41.79999923706055
2002-05-17,41.68000030517578
2002-05-20,42.36000061035156
2002-05-21,42.060001373291016
2002-05-22,43.0
2002-05-23,43.0
2002-05-24,42.7400016784668
2002-05-28,42.13999938964844
2002-05-29,41.97999954223633
2002-05-30,42.91999816894531
2002-05-31,42.15999984741211
2002-06-03,42.15999984741211
2002-06-04,42.720001220703125
2002-06-05,42.41999816894531
2002-06-06,42.15999984741211
2002-06-07,42.7599983215332
2002-06-10,42.220001220703125
2002-06-11,43.119998931884766
2002-06-12,42.400001525878906
2002-06-13,42.15999984741211
2002-06-14,42.720001220703125
2002-06-17,43.400001525878906
2002-06-18,41.02000045776367
2002-06-19,42.0
2002-06-20,42.279998779296875
2002-06-21,42.58000183105469
2002-06-24,43.79999923706055
2002-06-25,43.79999923706055
2002-06-26,43.79999923706055
2002-06-27,43.79999923706055
2002-06-28,44.900001525878906
2002-07-01,44.380001068115234
2002-07-02,42.36000061035156
2002-07-03,42.86000061035156
2002-07-05,43.400001525878906
2002-07-08,42.599998474121094
2002-07-09,42.540000915527344
2002-07-10,42.619998931884766
2002-07-11,42.91999816894531
2002-07-12,42.439998626708984
2002-07-15,42.439998626708984
2002-07-16,42.31999969482422
2002-07-17,42.84000015258789
2002-07-18,42.63999938964844
2002-07-19,42.779998779296875
2002-07-22,43.84000015258789
2002-07-23,42.619998931884766
2002-07-24,43.099998474121094
2002-07-25,43.599998474121094
2002-07-26,43.400001525878906
2002-07-29,44.0
2002-07-30,44.08000183105469
2002-07-31,42.779998779296875
2002-08-01,43.58000183105469
2002-08-02,43.279998779296875
2002-08-05,43.0
2002-08-06,43.70000076293945
2002-08-07,43.15999984741211
2002-08-08,43.599998474121094
2002-08-09,43.0
2002-08-12,43.97999954223633
2002-08-13,43.0
2002-08-14,44.400001525878906
2002-08-15,43.720001220703125
2002-08-16,43.86000061035156
2002-08-19,45.20000076293945
2002-08-20,44.880001068115234
2002-08-21,45.900001525878906
2002-08-22,45.599998474121094
2002-08-23,44.380001068115234
2002-08-26,45.29999923706055
2002-08-27,44.15999984741211
2002-08-28,43.0
2002-08-29,43.220001220703125
2002-08-30,43.02000045776367
2002-09-03,43.0
2002-09-04,44.79999923706055
2002-09-05,43.91999816894531
2002-09-06,44.900001525878906
2002-09-09,44.20000076293945
2002-09-10,45.36000061035156
2002-09-11,45.18000030517578
2002-09-12,44.65999984741211
2002-09-13,44.5
2002-09-16,45.02000045776367
2002-09-17,45.13999938964844
2002-09-18,45.279998779296875
2002-09-19,45.0
2002-09-20,44.0
2002-09-23,44.79999923706055
2002-09-24,44.560001373291016
2002-09-25,46.0
2002-09-26,45.959999084472656
2002-09-27,44.400001525878906
2002-09-30,45.34000015258789
2002-10-01,45.34000015258789
2002-10-02,45.380001068115234
2002-10-03,45.20000076293945
2002-10-04,45.0
2002-10-07,44.939998626708984
2002-10-08,45.380001068115234
2002-10-09,44.279998779296875
2002-10-10,44.939998626708984
2002-10-11,45.380001068115234
2002-10-14,45.15999984741211
2002-10-15,45.380001068115234
2002-10-16,45.279998779296875
2002-10-17,45.380001068115234
2002-10-18,45.79999923706055
2002-10-21,45.81999969482422
2002-10-22,45.599998474121094
2002-10-23,45.97999954223633
2002-10-24,45.060001373291016
2002-10-25,46.0
2002-10-28,44.79999923706055
2002-10-29,45.599998474121094
2002-10-30,45.599998474121094
2002-10-31,45.02000045776367
2002-11-01,46.0
2002-11-04,46.0
2002-11-05,46.0
2002-11-06,46.0
2002-11-07,44.79999923706055
2002-11-08,45.97999954223633
2002-11-11,44.79999923706055
2002-11-12,45.599998474121094
2002-11-13,44.97999954223633
2002-11-14,45.959999084472656
2002-11-15,45.15999984741211
2002-11-18,44.41999816894531
2002-11-19,44.400001525878906
2002-11-20,45.0
2002-11-21,45.52000045776367
2002-11-22,45.52000045776367
2002-11-25,44.959999084472656
2002-11-26,45.52000045776367
2002-11-27,46.86000061035156
2002-11-29,46.540000915527344
2002-12-02,45.65999984741211
2002-12-03,44.63999938964844
2002-12-04,44.81999969482422
2002-12-05,44.79999923706055
2002-12-06,44.79999923706055
2002-12-09,44.79999923706055
2002-12-10,44.81999969482422
2002-12-11,45.47999954223633
2002-12-12,45.79999923706055
2002-12-13,44.79999923706055
2002-12-16,46.81999969482422
2002-12-17,47.34000015258789
2002-12-18,45.91999816894531
2002-12-19,46.52000045776367
2002-12-20,46.52000045776367
2002-12-23,46.79999923706055
2002-12-24,46.599998474121094
2002-12-26,46.79999923706055
2002-12-27,45.5
2002-12-30,45.58000183105469
2002-12-31,46.119998931884766
2003-01-02,46.58000183105469
2003-01-03,46.099998474121094
2003-01-06,45.900001525878906
2003-01-07,45.599998474121094
2003-01-08,44.79999923706055
2003-01-09,45.34000015258789
2003-01-10,44.900001525878906
2003-01-13,44.79999923706055
2003-01-14,45.47999954223633
2003-01-15,47.400001525878906
2003-01-16,47.380001068115234
2003-01-17,47.060001373291016
2003-01-21,47.119998931884766
2003-01-22,46.560001373291016
2003-01-23,46.84000015258789
2003-01-24,46.220001220703125
2003-01-27,46.119998931884766
2003-01-28,46.5
2003-01-29,46.79999923706055
2003-01-30,46.400001525878906
2003-01-31,47.400001525878906
2003-02-03,47.08000183105469
2003-02-04,47.58000183105469
2003-02-05,47.060001373291016
2003-02-06,47.400001525878906
2003-02-07,46.400001525878906
2003-02-10,46.63999938964844
2003-02-11,46.0
2003-02-12,46.0
2003-02-13,46.119998931884766
2003-02-14,47.0
2003-02-18,47.70000076293945
2003-02-19,46.79999923706055
2003-02-20,46.70000076293945
2003-02-21,47.47999954223633
2003-02-24,47.13999938964844
2003-02-25,47.58000183105469
2003-02-26,47.41999816894531
2003-02-27,47.5
2003-02-28,46.5
2003-03-03,46.52000045776367
2003-03-04,46.939998626708984
2003-03-05,47.5
2003-03-06,46.880001068115234
2003-03-07,47.040000915527344
2003-03-10,46.5
2003-03-11,47.18000030517578
2003-03-12,47.040000915527344
2003-03-13,47.599998474121094
2003-03-14,47.279998779296875
2003-03-17,47.70000076293945
2003-03-18,47.58000183105469
