,AFIB
2021-04-15,13.470000267028809
2021-04-16,12.890000343322754
2021-04-19,12.9399995803833
2021-04-20,12.90999984741211
2021-04-21,13.510000228881836
2021-04-22,14.149999618530273
2021-04-23,14.1899995803833
2021-04-26,14.260000228881836
2021-04-27,14.529999732971191
2021-04-28,14.520000457763672
2021-04-29,14.550000190734863
2021-04-30,13.649999618530273
2021-05-03,12.819999694824219
2021-05-04,12.15999984741211
2021-05-05,11.979999542236328
2021-05-06,12.130000114440918
2021-05-07,11.880000114440918
2021-05-10,11.649999618530273
2021-05-11,11.920000076293945
2021-05-12,11.59000015258789
2021-05-13,12.210000038146973
2021-05-14,13.649999618530273
