,CSX
1992-07-31,5.6145830154418945
1992-08-03,5.6458330154418945
1992-08-04,5.5833330154418945
1992-08-05,5.4895830154418945
1992-08-06,5.4583330154418945
1992-08-07,5.4166669845581055
1992-08-10,5.3541669845581055
1992-08-11,5.34375
1992-08-12,5.2604169845581055
1992-08-13,5.1875
1992-08-14,5.1875
1992-08-17,5.2708330154418945
1992-08-18,5.3333330154418945
1992-08-19,5.34375
1992-08-20,5.3229169845581055
1992-08-21,5.1458330154418945
1992-08-24,5.0
1992-08-25,5.0
1992-08-26,4.875
1992-08-27,5.0
1992-08-28,4.9479169845581055
1992-08-31,4.9166669845581055
1992-09-01,4.8645830154418945
1992-09-02,4.9791669845581055
1992-09-03,4.96875
1992-09-04,4.8854169845581055
1992-09-08,4.7395830154418945
1992-09-09,4.7708330154418945
1992-09-10,4.8645830154418945
1992-09-11,4.8645830154418945
1992-09-14,5.1145830154418945
1992-09-15,5.0833330154418945
1992-09-16,4.9895830154418945
1992-09-17,5.0208330154418945
1992-09-18,5.0208330154418945
1992-09-21,4.9375
1992-09-22,4.9270830154418945
1992-09-23,4.8020830154418945
1992-09-24,4.8125
1992-09-25,4.7708330154418945
1992-09-28,4.8333330154418945
1992-09-29,4.9166669845581055
1992-09-30,4.9166669845581055
1992-10-01,4.8854169845581055
1992-10-02,4.7083330154418945
1992-10-05,4.6666669845581055
1992-10-06,4.75
1992-10-07,4.65625
1992-10-08,4.6875
1992-10-09,4.6041669845581055
1992-10-12,4.7083330154418945
1992-10-13,4.8020830154418945
1992-10-14,4.8958330154418945
1992-10-15,4.8541669845581055
1992-10-16,4.8645830154418945
1992-10-19,4.9166669845581055
1992-10-20,4.9895830154418945
1992-10-21,4.96875
1992-10-22,5.0833330154418945
1992-10-23,5.21875
1992-10-26,5.3229169845581055
1992-10-27,5.4479169845581055
1992-10-28,5.5208330154418945
1992-10-29,5.5625
1992-10-30,5.4583330154418945
1992-11-02,5.5729169845581055
1992-11-03,5.5208330154418945
1992-11-04,5.3854169845581055
1992-11-05,5.3958330154418945
1992-11-06,5.375
1992-11-09,5.4479169845581055
1992-11-10,5.53125
1992-11-11,5.46875
1992-11-12,5.4791669845581055
1992-11-13,5.4166669845581055
1992-11-16,5.3333330154418945
1992-11-17,5.34375
1992-11-18,5.4375
1992-11-19,5.40625
1992-11-20,5.5208330154418945
1992-11-23,5.5520830154418945
1992-11-24,5.6875
1992-11-25,5.6875
1992-11-27,5.6875
1992-11-30,5.7291669845581055
1992-12-01,5.7604169845581055
1992-12-02,5.6666669845581055
1992-12-03,5.59375
1992-12-04,5.625
1992-12-07,5.6354169845581055
1992-12-08,5.5833330154418945
1992-12-09,5.5833330154418945
1992-12-10,5.6145830154418945
1992-12-11,5.59375
1992-12-14,5.6041669845581055
1992-12-15,5.6041669845581055
1992-12-16,5.6666669845581055
1992-12-17,5.8229169845581055
1992-12-18,6.0625
1992-12-21,5.9791669845581055
1992-12-22,5.8333330154418945
1992-12-23,5.8020830154418945
1992-12-24,5.75
1992-12-28,5.8645830154418945
1992-12-29,5.8125
1992-12-30,5.8125
1992-12-31,5.7291669845581055
1993-01-04,5.6875
1993-01-05,5.8541669845581055
1993-01-06,5.9791669845581055
1993-01-07,6.09375
1993-01-08,6.1041669845581055
1993-01-11,6.0625
1993-01-12,6.0520830154418945
1993-01-13,6.0625
1993-01-14,6.1145830154418945
1993-01-15,6.2708330154418945
1993-01-18,6.2708330154418945
1993-01-19,6.125
1993-01-20,6.09375
1993-01-21,6.15625
1993-01-22,6.1979169845581055
1993-01-25,6.1041669845581055
1993-01-26,6.1145830154418945
1993-01-27,6.1041669845581055
1993-01-28,6.0729169845581055
1993-01-29,6.1458330154418945
1993-02-01,6.25
1993-02-02,6.3645830154418945
1993-02-03,6.4791669845581055
1993-02-04,6.6458330154418945
1993-02-05,6.5625
1993-02-08,6.46875
1993-02-09,6.2916669845581055
1993-02-10,6.2291669845581055
1993-02-11,6.3333330154418945
1993-02-12,6.3229169845581055
1993-02-16,6.15625
1993-02-17,6.0833330154418945
1993-02-18,6.0520830154418945
1993-02-19,6.0625
1993-02-22,5.96875
1993-02-23,5.9270830154418945
1993-02-24,6.0208330154418945
1993-02-25,6.125
1993-02-26,5.84375
1993-03-01,5.8541669845581055
1993-03-02,5.96875
1993-03-03,6.0104169845581055
1993-03-04,5.9895830154418945
1993-03-05,6.1145830154418945
1993-03-08,6.21875
1993-03-09,6.2395830154418945
1993-03-10,6.2083330154418945
1993-03-11,6.0520830154418945
1993-03-12,5.9375
1993-03-15,5.8541669845581055
1993-03-16,5.78125
1993-03-17,5.7083330154418945
1993-03-18,5.7708330154418945
1993-03-19,5.65625
1993-03-22,5.71875
