,BIGC
2020-11-27,80.12000274658203
2020-11-30,80.66000366210938
2020-12-01,75.81999969482422
2020-12-02,74.08999633789062
2020-12-03,74.79000091552734
2020-12-04,80.29000091552734
2020-12-07,83.16999816894531
2020-12-08,81.83000183105469
2020-12-09,78.55999755859375
2020-12-10,74.12000274658203
2020-12-11,72.4800033569336
2020-12-14,72.0
2020-12-15,69.86000061035156
2020-12-16,71.91000366210938
2020-12-17,74.30000305175781
2020-12-18,70.58000183105469
2020-12-21,70.43000030517578
2020-12-22,72.19000244140625
2020-12-23,72.54000091552734
2020-12-24,72.81999969482422
2020-12-28,66.95999908447266
2020-12-29,65.4000015258789
2020-12-30,65.68000030517578
2020-12-31,64.1500015258789
2021-01-04,58.34000015258789
2021-01-05,62.0
2021-01-06,59.060001373291016
2021-01-07,65.62999725341797
2021-01-08,64.6500015258789
2021-01-11,60.599998474121094
2021-01-12,61.27000045776367
2021-01-13,66.0
2021-01-14,64.73999786376953
2021-01-15,62.369998931884766
2021-01-19,62.36000061035156
2021-01-20,62.720001220703125
2021-01-21,71.31999969482422
2021-01-22,71.25
2021-01-25,80.01000213623047
2021-01-26,86.31999969482422
2021-01-27,90.0
2021-01-28,80.72000122070312
2021-01-29,79.94000244140625
2021-02-01,78.33000183105469
2021-02-02,78.48999786376953
2021-02-03,83.05000305175781
2021-02-04,87.63999938964844
2021-02-05,82.30000305175781
2021-02-08,86.33000183105469
2021-02-09,87.05000305175781
2021-02-10,82.5
2021-02-11,78.0999984741211
2021-02-12,75.0
2021-02-16,74.80999755859375
2021-02-17,71.44000244140625
2021-02-18,68.62999725341797
2021-02-19,70.76000213623047
2021-02-22,68.25
2021-02-23,63.33000183105469
2021-02-24,67.66000366210938
2021-02-25,62.83000183105469
2021-02-26,59.11000061035156
2021-03-01,62.689998626708984
2021-03-02,62.0099983215332
2021-03-03,61.400001525878906
2021-03-04,58.150001525878906
2021-03-05,59.099998474121094
2021-03-08,56.439998626708984
2021-03-09,59.7400016784668
2021-03-10,58.06999969482422
2021-03-11,60.79999923706055
2021-03-12,59.560001373291016
2021-03-15,59.36000061035156
2021-03-16,56.22999954223633
2021-03-17,55.709999084472656
2021-03-18,54.7400016784668
2021-03-19,54.7400016784668
2021-03-22,56.939998626708984
2021-03-23,55.77000045776367
2021-03-24,53.959999084472656
2021-03-25,54.58000183105469
2021-03-26,54.47999954223633
2021-03-29,52.7400016784668
2021-03-30,53.380001068115234
2021-03-31,57.79999923706055
2021-04-01,58.75
2021-04-05,59.5099983215332
2021-04-06,58.630001068115234
2021-04-07,58.06999969482422
2021-04-08,58.90999984741211
2021-04-09,57.369998931884766
2021-04-12,56.84000015258789
2021-04-13,59.13999938964844
2021-04-14,59.310001373291016
2021-04-15,59.36000061035156
2021-04-16,59.790000915527344
2021-04-19,57.22999954223633
2021-04-20,52.540000915527344
2021-04-21,52.83000183105469
2021-04-22,54.630001068115234
2021-04-23,53.86000061035156
2021-04-26,55.959999084472656
2021-04-27,56.38999938964844
2021-04-28,60.20000076293945
2021-04-29,60.77000045776367
2021-04-30,59.939998626708984
2021-05-03,57.08000183105469
2021-05-04,53.0
2021-05-05,49.959999084472656
2021-05-06,47.77000045776367
2021-05-07,48.43000030517578
2021-05-10,47.77000045776367
2021-05-11,46.470001220703125
2021-05-12,42.7400016784668
2021-05-13,44.599998474121094
2021-05-14,46.56999969482422
