,CMCT
1996-12-19,260.625
1996-12-20,260.625
1996-12-23,260.625
1996-12-24,262.5
1996-12-26,266.25
1996-12-27,262.5
1996-12-30,268.125
1996-12-31,266.25
1997-01-02,256.875
1997-01-03,262.5
1997-01-06,258.75
1997-01-07,258.75
1997-01-08,260.625
1997-01-09,264.375
1997-01-10,264.375
1997-01-13,266.25
1997-01-14,264.375
1997-01-15,262.5
1997-01-16,262.5
1997-01-17,260.625
1997-01-20,262.5
1997-01-21,264.375
1997-01-22,270.0
1997-01-23,266.25
1997-01-24,262.5
1997-01-27,264.375
1997-01-28,262.5
1997-01-29,264.375
1997-01-30,264.375
1997-01-31,264.375
1997-02-03,264.375
1997-02-04,264.375
1997-02-05,262.5
1997-02-06,264.375
1997-02-07,264.375
1997-02-10,268.125
1997-02-11,271.875
1997-02-12,271.875
1997-02-13,266.25
1997-02-14,268.125
1997-02-18,266.25
1997-02-19,270.0
1997-02-20,270.0
1997-02-21,268.125
1997-02-24,270.0
1997-02-25,271.875
1997-02-26,270.0
1997-02-27,271.875
1997-02-28,273.75
1997-03-03,270.0
1997-03-04,266.25
1997-03-05,268.125
1997-03-06,268.125
1997-03-07,270.0
1997-03-10,270.0
1997-03-11,270.0
1997-03-12,268.125
1997-03-13,270.0
1997-03-14,270.0
1997-03-17,271.875
1997-03-18,266.25
1997-03-19,266.25
1997-03-20,264.375
1997-03-21,267.1875
1997-03-24,273.75
1997-03-25,271.875
1997-03-26,270.0
1997-03-27,264.375
1997-03-31,260.625
1997-04-01,258.75
1997-04-02,258.75
1997-04-03,262.5
1997-04-04,260.625
1997-04-07,260.625
1997-04-08,258.75
1997-04-09,256.875
1997-04-10,258.75
1997-04-11,256.875
1997-04-14,253.125
1997-04-15,258.75
1997-04-16,256.875
1997-04-17,253.125
1997-04-18,251.25
1997-04-21,251.25
1997-04-22,249.375
1997-04-23,253.125
1997-04-24,254.0625
1997-04-25,255.0
1997-04-28,253.125
1997-04-29,255.0
1997-04-30,251.25
1997-05-01,255.0
1997-05-02,251.25
1997-05-05,253.125
1997-05-06,256.875
1997-05-07,255.0
1997-05-08,255.9375
1997-05-09,260.625
1997-05-12,264.375
1997-05-13,258.75
1997-05-14,253.125
1997-05-15,262.5
1997-05-16,258.75
1997-05-19,253.125
1997-05-20,255.0
1997-05-21,256.875
1997-05-22,257.8125
1997-05-23,257.8125
1997-05-27,255.0
1997-05-28,258.75
1997-05-29,255.0
1997-05-30,256.875
1997-06-02,258.75
1997-06-03,258.75
1997-06-04,264.375
1997-06-05,264.375
1997-06-06,266.25
1997-06-09,271.875
1997-06-10,272.8125
1997-06-11,270.0
1997-06-12,270.9375
1997-06-13,268.125
1997-06-16,273.75
1997-06-17,277.5
1997-06-18,283.125
1997-06-19,286.875
1997-06-20,285.0
1997-06-23,283.125
1997-06-24,283.125
1997-06-25,285.0
1997-06-26,279.375
1997-06-27,270.0
1997-06-30,271.875
1997-07-01,275.625
1997-07-02,277.5
1997-07-03,275.625
1997-07-07,276.5625
1997-07-08,278.4375
1997-07-09,278.4375
1997-07-10,279.375
1997-07-11,275.625
1997-07-14,279.375
1997-07-15,281.25
1997-07-16,280.3125
1997-07-17,279.375
1997-07-18,277.5
1997-07-21,277.5
1997-07-22,275.625
1997-07-23,277.5
1997-07-24,277.5
1997-07-25,279.375
1997-07-28,279.375
1997-07-29,275.625
1997-07-30,275.625
1997-07-31,275.625
1997-08-01,277.5
1997-08-04,279.375
1997-08-05,278.4375
1997-08-06,278.4375
1997-08-07,284.0625
1997-08-08,288.75
1997-08-11,288.75
1997-08-12,285.0
1997-08-13,286.875
1997-08-14,289.6875
1997-08-15,289.6875
1997-08-18,288.75
1997-08-19,290.625
1997-08-20,290.625
1997-08-21,295.3125
1997-08-22,294.375
1997-08-25,294.375
1997-08-26,292.5
1997-08-27,293.4375
