,ALTO
2006-10-17,1814.4000244140625
2006-10-18,1769.25
2006-10-19,1785.0
2006-10-20,1724.0999755859375
2006-10-23,1662.1500244140625
2006-10-24,1800.75
2006-10-25,1767.1500244140625
2006-10-26,1813.3499755859375
2006-10-27,1744.050048828125
2006-10-30,1703.0999755859375
2006-10-31,1758.75
2006-11-01,1683.1500244140625
2006-11-02,1598.0999755859375
2006-11-03,1610.699951171875
2006-11-06,1612.800048828125
2006-11-07,1703.0999755859375
2006-11-08,1838.550048828125
2006-11-09,1864.800048828125
2006-11-10,1858.5
2006-11-13,1779.75
2006-11-14,1820.699951171875
2006-11-15,2003.4000244140625
2006-11-16,1897.3499755859375
2006-11-17,1875.300048828125
2006-11-20,1836.449951171875
2006-11-21,1942.5
2006-11-22,1915.199951171875
2006-11-24,1914.1500244140625
2006-11-27,1881.5999755859375
2006-11-28,1863.75
2006-11-29,1963.5
2006-11-30,1989.75
2006-12-01,1948.800048828125
2006-12-04,1937.25
2006-12-05,1946.699951171875
2006-12-06,1915.199951171875
2006-12-07,1857.449951171875
2006-12-08,1843.800048828125
2006-12-11,1807.050048828125
2006-12-12,1767.1500244140625
2006-12-13,1774.5
2006-12-14,1845.9000244140625
2006-12-15,1796.550048828125
2006-12-18,1753.5
2006-12-19,1755.5999755859375
2006-12-20,1768.199951171875
2006-12-21,1740.9000244140625
2006-12-22,1724.0999755859375
2006-12-26,1705.199951171875
2006-12-27,1701.0
2006-12-28,1680.0
2006-12-29,1615.949951171875
2007-01-03,1575.0
2007-01-04,1513.050048828125
2007-01-05,1493.0999755859375
2007-01-08,1527.75
2007-01-09,1522.5
2007-01-10,1541.4000244140625
2007-01-11,1556.0999755859375
2007-01-12,1608.5999755859375
2007-01-16,1590.75
2007-01-17,1628.550048828125
2007-01-18,1589.699951171875
2007-01-19,1641.1500244140625
2007-01-22,1766.0999755859375
2007-01-23,1874.25
2007-01-24,1735.6500244140625
2007-01-25,1669.5
2007-01-26,1706.25
2007-01-29,1691.550048828125
2007-01-30,1726.199951171875
2007-01-31,1723.050048828125
2007-02-01,1770.300048828125
2007-02-02,1791.300048828125
2007-02-05,1801.800048828125
2007-02-06,1777.6500244140625
2007-02-07,1779.75
2007-02-08,1756.6500244140625
2007-02-09,1729.3499755859375
2007-02-12,1684.199951171875
2007-02-13,1704.1500244140625
2007-02-14,1664.25
2007-02-15,1678.949951171875
2007-02-16,1724.0999755859375
2007-02-20,1748.25
2007-02-21,1766.0999755859375
2007-02-22,1823.8499755859375
2007-02-23,1810.199951171875
2007-02-26,1859.550048828125
2007-02-27,1732.5
2007-02-28,1740.9000244140625
2007-03-01,1677.9000244140625
2007-03-02,1623.300048828125
2007-03-05,1549.800048828125
2007-03-06,1600.199951171875
2007-03-07,1604.4000244140625
2007-03-08,1630.6500244140625
2007-03-09,1629.5999755859375
2007-03-12,1645.3499755859375
2007-03-13,1606.5
2007-03-14,1599.1500244140625
2007-03-15,1621.199951171875
2007-03-16,1591.800048828125
2007-03-19,1597.050048828125
2007-03-20,1625.4000244140625
2007-03-21,1654.800048828125
2007-03-22,1698.9000244140625
2007-03-23,1711.5
2007-03-26,1707.300048828125
2007-03-27,1688.4000244140625
2007-03-28,1695.75
2007-03-29,1781.8499755859375
2007-03-30,1788.1500244140625
2007-04-02,1688.4000244140625
2007-04-03,1674.75
2007-04-04,1732.5
2007-04-05,1710.449951171875
2007-04-09,1730.4000244140625
2007-04-10,1697.8499755859375
