,API
2020-12-23,39.959999084472656
2020-12-24,42.41999816894531
2020-12-28,39.93000030517578
2020-12-29,38.86000061035156
2020-12-30,39.060001373291016
2020-12-31,39.560001373291016
2021-01-04,39.779998779296875
2021-01-05,42.09000015258789
2021-01-06,43.52000045776367
2021-01-07,43.0099983215332
2021-01-08,43.619998931884766
2021-01-11,42.65999984741211
2021-01-12,39.900001525878906
2021-01-13,39.709999084472656
2021-01-14,39.08000183105469
2021-01-15,37.13999938964844
2021-01-19,39.06999969482422
2021-01-20,46.220001220703125
2021-01-21,45.88999938964844
2021-01-22,46.380001068115234
2021-01-25,47.279998779296875
2021-01-26,55.11000061035156
2021-01-27,54.220001220703125
2021-01-28,55.03499984741211
2021-01-29,56.4900016784668
2021-02-01,73.5999984741211
2021-02-02,74.87000274658203
2021-02-03,90.7699966430664
2021-02-04,88.16999816894531
2021-02-05,99.0
2021-02-08,98.72000122070312
2021-02-09,98.48999786376953
2021-02-10,93.47000122070312
2021-02-11,97.86000061035156
2021-02-12,106.13999938964844
2021-02-16,102.05999755859375
2021-02-17,98.62000274658203
2021-02-18,92.54000091552734
2021-02-19,98.08000183105469
2021-02-22,78.94999694824219
2021-02-23,73.2300033569336
2021-02-24,69.91999816894531
2021-02-25,62.97999954223633
2021-02-26,60.869998931884766
2021-03-01,65.93000030517578
2021-03-02,60.70000076293945
2021-03-03,61.63999938964844
2021-03-04,59.79999923706055
2021-03-05,57.63999938964844
2021-03-08,52.369998931884766
2021-03-09,59.599998474121094
2021-03-10,59.029998779296875
2021-03-11,63.779998779296875
2021-03-12,65.38999938964844
2021-03-15,67.43000030517578
2021-03-16,62.31999969482422
2021-03-17,59.630001068115234
2021-03-18,56.43000030517578
2021-03-19,57.689998626708984
2021-03-22,59.15999984741211
2021-03-23,60.09000015258789
2021-03-24,52.439998626708984
2021-03-25,53.209999084472656
2021-03-26,51.400001525878906
2021-03-29,46.27000045776367
2021-03-30,50.61000061035156
2021-03-31,50.27000045776367
2021-04-01,53.720001220703125
2021-04-05,51.45000076293945
2021-04-06,54.29999923706055
2021-04-07,53.189998626708984
2021-04-08,56.869998931884766
2021-04-09,56.4900016784668
2021-04-12,55.060001373291016
2021-04-13,55.52000045776367
2021-04-14,55.869998931884766
2021-04-15,56.650001525878906
2021-04-16,56.72999954223633
2021-04-19,55.220001220703125
2021-04-20,54.29999923706055
2021-04-21,56.88999938964844
2021-04-22,57.84000015258789
2021-04-23,59.79999923706055
2021-04-26,59.369998931884766
2021-04-27,55.36000061035156
2021-04-28,54.540000915527344
2021-04-29,50.81999969482422
2021-04-30,48.61000061035156
2021-05-03,48.709999084472656
2021-05-04,46.209999084472656
2021-05-05,45.4900016784668
2021-05-06,41.86000061035156
2021-05-07,42.970001220703125
2021-05-10,40.790000915527344
2021-05-11,40.0099983215332
2021-05-12,37.86000061035156
2021-05-13,36.939998626708984
2021-05-14,37.630001068115234
