,PCT
2021-04-16,25.979999542236328
2021-04-19,23.59000015258789
2021-04-20,23.149999618530273
2021-04-21,24.600000381469727
2021-04-22,25.8799991607666
2021-04-23,26.43000030517578
2021-04-26,27.34000015258789
2021-04-27,27.34000015258789
2021-04-28,27.18000030517578
2021-04-29,26.540000915527344
2021-04-30,25.81999969482422
2021-05-03,26.200000762939453
2021-05-04,26.010000228881836
2021-05-05,24.59000015258789
2021-05-06,14.829999923706055
2021-05-07,15.180000305175781
2021-05-10,12.630000114440918
2021-05-11,13.449999809265137
2021-05-12,12.59000015258789
2021-05-13,10.819999694824219
2021-05-14,12.430000305175781
