,CCMP
2001-11-14,69.5
2001-11-15,71.56999969482422
2001-11-16,70.0
2001-11-19,69.87000274658203
2001-11-20,65.9800033569336
2001-11-21,67.5999984741211
2001-11-23,67.69999694824219
2001-11-26,70.87999725341797
2001-11-27,69.38999938964844
2001-11-28,68.0
2001-11-29,69.8499984741211
2001-11-30,69.36000061035156
2001-12-03,68.55000305175781
2001-12-04,72.9800033569336
2001-12-05,76.91000366210938
2001-12-06,77.5
2001-12-07,75.87999725341797
2001-12-10,75.16000366210938
2001-12-11,78.55000305175781
2001-12-12,78.87000274658203
2001-12-13,76.45999908447266
2001-12-14,78.7699966430664
2001-12-17,80.91000366210938
2001-12-18,80.1500015258789
2001-12-19,75.5999984741211
2001-12-20,73.47000122070312
2001-12-21,74.80999755859375
2001-12-24,76.61000061035156
2001-12-26,79.05000305175781
2001-12-27,80.33000183105469
2001-12-28,81.16000366210938
2001-12-31,79.25
2002-01-02,81.6500015258789
2002-01-03,86.54000091552734
2002-01-04,83.75
2002-01-07,84.2699966430664
2002-01-08,84.23999786376953
2002-01-09,85.19999694824219
2002-01-10,83.7699966430664
2002-01-11,78.2699966430664
2002-01-14,77.83999633789062
2002-01-15,75.62000274658203
2002-01-16,72.5999984741211
2002-01-17,74.2699966430664
2002-01-18,72.83000183105469
2002-01-22,69.33000183105469
2002-01-23,72.69000244140625
2002-01-24,66.8499984741211
2002-01-25,63.400001525878906
2002-01-28,63.65999984741211
2002-01-29,61.0099983215332
2002-01-30,63.650001525878906
2002-01-31,66.27999877929688
2002-02-01,65.12000274658203
2002-02-04,64.01000213623047
2002-02-05,62.0
2002-02-06,62.0
2002-02-07,61.959999084472656
2002-02-08,63.529998779296875
2002-02-11,66.68000030517578
2002-02-12,63.25
2002-02-13,62.11000061035156
2002-02-14,59.290000915527344
2002-02-15,58.40999984741211
2002-02-19,55.029998779296875
2002-02-20,56.93000030517578
2002-02-21,53.31999969482422
2002-02-22,53.25
2002-02-25,56.84000015258789
2002-02-26,56.70000076293945
2002-02-27,57.68000030517578
2002-02-28,55.040000915527344
2002-03-01,60.540000915527344
2002-03-04,66.08999633789062
2002-03-05,67.29000091552734
2002-03-06,65.93000030517578
2002-03-07,69.0
2002-03-08,74.3499984741211
2002-03-11,74.0999984741211
2002-03-12,65.7300033569336
2002-03-13,64.95999908447266
2002-03-14,63.29999923706055
2002-03-15,64.62999725341797
2002-03-18,66.8499984741211
2002-03-19,66.2699966430664
2002-03-20,63.72999954223633
2002-03-21,67.38999938964844
2002-03-22,66.41999816894531
2002-03-25,65.5999984741211
2002-03-26,64.83000183105469
2002-03-27,65.6500015258789
2002-03-28,67.6500015258789
2002-04-01,68.80000305175781
2002-04-02,66.87000274658203
2002-04-03,64.70999908447266
2002-04-04,64.38999938964844
2002-04-05,61.9900016784668
2002-04-08,61.400001525878906
2002-04-09,57.849998474121094
2002-04-10,60.0
2002-04-11,57.0099983215332
2002-04-12,58.20000076293945
2002-04-15,57.029998779296875
2002-04-16,62.869998931884766
2002-04-17,62.06999969482422
2002-04-18,58.86000061035156
2002-04-19,59.45000076293945
2002-04-22,58.810001373291016
2002-04-23,56.529998779296875
2002-04-24,53.75
2002-04-25,47.25
2002-04-26,48.16999816894531
2002-04-29,47.72999954223633
2002-04-30,48.900001525878906
2002-05-01,49.79999923706055
2002-05-02,49.0099983215332
2002-05-03,47.290000915527344
2002-05-06,46.0
2002-05-07,44.16999816894531
2002-05-08,49.29999923706055
2002-05-09,48.790000915527344
2002-05-10,44.61000061035156
2002-05-13,47.040000915527344
2002-05-14,52.15999984741211
2002-05-15,52.22999954223633
2002-05-16,54.880001068115234
2002-05-17,52.47999954223633
2002-05-20,50.029998779296875
2002-05-21,50.130001068115234
2002-05-22,50.04999923706055
2002-05-23,50.119998931884766
2002-05-24,48.65999984741211
2002-05-28,49.0
2002-05-29,46.70000076293945
2002-05-30,48.349998474121094
2002-05-31,48.779998779296875
2002-06-03,47.0
2002-06-04,47.38999938964844
2002-06-05,47.70000076293945
2002-06-06,46.59000015258789
2002-06-07,45.349998474121094
2002-06-10,45.5
2002-06-11,41.900001525878906
2002-06-12,43.20000076293945
2002-06-13,41.45000076293945
2002-06-14,43.439998626708984
2002-06-17,45.4900016784668
2002-06-18,45.4900016784668
2002-06-19,41.83000183105469
2002-06-20,40.52000045776367
2002-06-21,40.61000061035156
2002-06-24,41.83000183105469
2002-06-25,38.40999984741211
2002-06-26,40.540000915527344
2002-06-27,42.59000015258789
2002-06-28,43.15999984741211
2002-07-01,41.16999816894531
2002-07-02,39.279998779296875
2002-07-03,40.099998474121094
2002-07-05,42.099998474121094
2002-07-08,40.0
2002-07-09,37.79999923706055
2002-07-10,37.5099983215332
2002-07-11,38.20000076293945
2002-07-12,36.7599983215332
2002-07-15,40.29999923706055
2002-07-16,39.58000183105469
2002-07-17,39.720001220703125
2002-07-18,37.91999816894531
2002-07-19,38.099998474121094
2002-07-22,36.349998474121094
2002-07-23,34.849998474121094
2002-07-24,34.75
2002-07-25,37.900001525878906
2002-07-26,38.7599983215332
2002-07-29,41.7400016784668
2002-07-30,43.349998474121094
2002-07-31,42.34000015258789
2002-08-01,39.77000045776367
2002-08-02,38.209999084472656
2002-08-05,37.0
2002-08-06,39.2400016784668
2002-08-07,40.06999969482422
2002-08-08,41.689998626708984
2002-08-09,41.349998474121094
2002-08-12,41.369998931884766
2002-08-13,39.439998626708984
2002-08-14,41.5
2002-08-15,43.5
2002-08-16,47.11000061035156
2002-08-19,49.810001373291016
2002-08-20,48.560001373291016
2002-08-21,48.900001525878906
2002-08-22,47.79999923706055
2002-08-23,45.2400016784668
2002-08-26,44.95000076293945
2002-08-27,41.97999954223633
2002-08-28,41.41999816894531
2002-08-29,42.2599983215332
2002-08-30,42.45000076293945
2002-09-03,39.5
2002-09-04,41.65999984741211
2002-09-05,41.310001373291016
2002-09-06,43.599998474121094
2002-09-09,45.5
2002-09-10,46.22999954223633
2002-09-11,45.83000183105469
2002-09-12,43.209999084472656
2002-09-13,44.119998931884766
2002-09-16,42.599998474121094
2002-09-17,40.7599983215332
2002-09-18,40.59000015258789
2002-09-19,40.4900016784668
2002-09-20,39.939998626708984
2002-09-23,37.5
2002-09-24,37.41999816894531
2002-09-25,40.540000915527344
2002-09-26,39.06999969482422
2002-09-27,37.439998626708984
2002-09-30,37.2400016784668
2002-10-01,37.86000061035156
2002-10-02,37.209999084472656
2002-10-03,36.36000061035156
2002-10-04,34.779998779296875
2002-10-07,34.84000015258789
2002-10-08,34.099998474121094
2002-10-09,33.25
2002-10-10,35.58000183105469
2002-10-11,37.56999969482422
2002-10-14,37.849998474121094
2002-10-15,42.119998931884766
2002-10-16,37.90999984741211
2002-10-17,40.09000015258789
2002-10-18,42.5099983215332
2002-10-21,46.779998779296875
2002-10-22,43.75
2002-10-23,46.63999938964844
2002-10-24,41.59000015258789
2002-10-25,44.209999084472656
2002-10-28,44.290000915527344
2002-10-29,43.22999954223633
2002-10-30,45.84000015258789
2002-10-31,45.38999938964844
2002-11-01,47.810001373291016
2002-11-04,49.959999084472656
2002-11-05,49.7400016784668
2002-11-06,52.95000076293945
2002-11-07,50.70000076293945
2002-11-08,49.619998931884766
2002-11-11,47.29999923706055
2002-11-12,48.93000030517578
2002-11-13,48.70000076293945
2002-11-14,50.529998779296875
2002-11-15,51.15999984741211
2002-11-18,53.93000030517578
2002-11-19,51.72999954223633
2002-11-20,53.79999923706055
2002-11-21,56.43000030517578
2002-11-22,58.88999938964844
2002-11-25,59.470001220703125
2002-11-26,58.2599983215332
2002-11-27,61.02000045776367
2002-11-29,60.349998474121094
2002-12-02,59.93000030517578
2002-12-03,56.619998931884766
2002-12-04,54.61000061035156
2002-12-05,54.060001373291016
2002-12-06,55.439998626708984
2002-12-09,53.0099983215332
2002-12-10,54.15999984741211
2002-12-11,51.369998931884766
2002-12-12,52.33000183105469
2002-12-13,50.25
2002-12-16,52.84000015258789
2002-12-17,50.540000915527344
2002-12-18,48.75
2002-12-19,48.02000045776367
2002-12-20,48.310001373291016
2002-12-23,49.119998931884766
2002-12-24,47.22999954223633
2002-12-26,47.65999984741211
2002-12-27,47.040000915527344
2002-12-30,46.83000183105469
2002-12-31,47.20000076293945
2003-01-02,49.0099983215332
2003-01-03,49.189998626708984
2003-01-06,50.619998931884766
2003-01-07,51.79999923706055
2003-01-08,49.310001373291016
2003-01-09,51.630001068115234
2003-01-10,53.040000915527344
2003-01-13,54.09000015258789
2003-01-14,55.380001068115234
2003-01-15,53.099998474121094
2003-01-16,52.4900016784668
2003-01-17,48.27000045776367
2003-01-21,47.2400016784668
2003-01-22,47.459999084472656
2003-01-23,46.150001525878906
2003-01-24,46.599998474121094
2003-01-27,45.060001373291016
2003-01-28,46.970001220703125
2003-01-29,47.5
2003-01-30,44.83000183105469
2003-01-31,43.900001525878906
2003-02-03,43.130001068115234
2003-02-04,43.16999816894531
2003-02-05,43.56999969482422
2003-02-06,43.13999938964844
2003-02-07,41.970001220703125
2003-02-10,42.560001373291016
2003-02-11,41.779998779296875
2003-02-12,42.099998474121094
2003-02-13,41.93000030517578
2003-02-14,44.310001373291016
2003-02-18,45.63999938964844
2003-02-19,42.77000045776367
2003-02-20,42.540000915527344
2003-02-21,42.77000045776367
2003-02-24,42.58000183105469
2003-02-25,41.900001525878906
2003-02-26,40.869998931884766
2003-02-27,41.63999938964844
2003-02-28,42.0
2003-03-03,41.83000183105469
2003-03-04,40.84000015258789
2003-03-05,39.95000076293945
2003-03-06,40.22999954223633
2003-03-07,40.15999984741211
2003-03-10,39.11000061035156
2003-03-11,38.34000015258789
2003-03-12,39.58000183105469
2003-03-13,42.970001220703125
2003-03-14,42.9900016784668
2003-03-17,45.95000076293945
2003-03-18,45.720001220703125
2003-03-19,46.08000183105469
2003-03-20,47.060001373291016
2003-03-21,48.33000183105469
2003-03-24,45.81999969482422
2003-03-25,45.08000183105469
2003-03-26,44.61000061035156
2003-03-27,44.529998779296875
2003-03-28,43.33000183105469
2003-03-31,41.939998626708984
2003-04-01,42.720001220703125
2003-04-02,44.150001525878906
2003-04-03,45.439998626708984
2003-04-04,43.97999954223633
2003-04-07,44.68000030517578
2003-04-08,44.04999923706055
2003-04-09,42.77000045776367
2003-04-10,42.459999084472656
2003-04-11,42.29999923706055
2003-04-14,43.77000045776367
2003-04-15,44.18000030517578
2003-04-16,44.04999923706055
2003-04-17,45.88999938964844
2003-04-21,45.97999954223633
2003-04-22,47.13999938964844
2003-04-23,47.400001525878906
2003-04-24,44.439998626708984
2003-04-25,42.68000030517578
2003-04-28,43.459999084472656
2003-04-29,44.56999969482422
2003-04-30,43.220001220703125
2003-05-01,43.29999923706055
2003-05-02,43.79999923706055
2003-05-05,43.70000076293945
2003-05-06,45.119998931884766
2003-05-07,44.119998931884766
2003-05-08,43.41999816894531
2003-05-09,45.11000061035156
2003-05-12,47.02000045776367
2003-05-13,46.16999816894531
2003-05-14,45.45000076293945
2003-05-15,45.959999084472656
2003-05-16,44.5099983215332
2003-05-19,42.40999984741211
2003-05-20,42.290000915527344
2003-05-21,42.25
2003-05-22,42.7400016784668
2003-05-23,41.54999923706055
2003-05-27,43.7400016784668
2003-05-28,43.869998931884766
2003-05-29,44.720001220703125
2003-05-30,46.27000045776367
2003-06-02,49.150001525878906
2003-06-03,48.599998474121094
2003-06-04,50.970001220703125
2003-06-05,51.81999969482422
2003-06-06,50.52000045776367
2003-06-09,48.79999923706055
2003-06-10,48.779998779296875
2003-06-11,49.119998931884766
2003-06-12,49.040000915527344
2003-06-13,47.5099983215332
2003-06-16,50.34000015258789
2003-06-17,50.95000076293945
2003-06-18,52.599998474121094
2003-06-19,50.849998474121094
2003-06-20,49.709999084472656
2003-06-23,48.11000061035156
2003-06-24,49.08000183105469
2003-06-25,49.13999938964844
2003-06-26,50.31999969482422
2003-06-27,51.08000183105469
2003-06-30,50.43000030517578
2003-07-01,51.86000061035156
2003-07-02,52.65999984741211
2003-07-03,52.18000030517578
2003-07-07,55.63999938964844
2003-07-08,57.11000061035156
2003-07-09,58.939998626708984
2003-07-10,57.619998931884766
2003-07-11,57.369998931884766
2003-07-14,59.380001068115234
2003-07-15,59.45000076293945
2003-07-16,58.86000061035156
2003-07-17,56.68000030517578
2003-07-18,57.61000061035156
2003-07-21,56.560001373291016
2003-07-22,58.20000076293945
2003-07-23,57.880001068115234
2003-07-24,56.41999816894531
2003-07-25,58.72999954223633
2003-07-28,61.849998474121094
2003-07-29,60.84000015258789
2003-07-30,61.11000061035156
2003-07-31,62.11000061035156
2003-08-01,62.2400016784668
2003-08-04,62.2599983215332
2003-08-05,61.29999923706055
2003-08-06,60.599998474121094
2003-08-07,59.54999923706055
2003-08-08,59.09000015258789
2003-08-11,62.209999084472656
2003-08-12,62.13999938964844
2003-08-13,61.84000015258789
2003-08-14,62.04999923706055
2003-08-15,62.04999923706055
2003-08-18,65.44000244140625
2003-08-19,65.94999694824219
2003-08-20,66.54000091552734
2003-08-21,65.98999786376953
2003-08-22,67.0
2003-08-25,65.94999694824219
2003-08-26,62.93000030517578
2003-08-27,64.44999694824219
2003-08-28,66.08999633789062
2003-08-29,65.19000244140625
2003-09-02,66.43000030517578
2003-09-03,66.27999877929688
2003-09-04,66.1500015258789
2003-09-05,66.91999816894531
2003-09-08,66.69999694824219
2003-09-09,65.12999725341797
2003-09-10,63.27000045776367
2003-09-11,63.220001220703125
2003-09-12,63.849998474121094
2003-09-15,62.060001373291016
2003-09-16,65.12000274658203
2003-09-17,63.34000015258789
2003-09-18,62.79999923706055
2003-09-19,61.900001525878906
2003-09-22,60.2400016784668
2003-09-23,59.04999923706055
2003-09-24,57.13999938964844
2003-09-25,56.56999969482422
2003-09-26,55.83000183105469
2003-09-29,58.029998779296875
2003-09-30,55.630001068115234
2003-10-01,55.45000076293945
2003-10-02,55.130001068115234
2003-10-03,57.81999969482422
2003-10-06,59.2599983215332
2003-10-07,59.54999923706055
2003-10-08,59.529998779296875
2003-10-09,58.79999923706055
2003-10-10,58.540000915527344
2003-10-13,59.5
2003-10-14,60.04999923706055
2003-10-15,61.540000915527344
2003-10-16,59.7599983215332
2003-10-17,58.06999969482422
2003-10-20,58.720001220703125
2003-10-21,59.25
2003-10-22,57.52000045776367
2003-10-23,53.279998779296875
2003-10-24,54.099998474121094
2003-10-27,53.25
2003-10-28,58.04999923706055
2003-10-29,58.880001068115234
2003-10-30,58.27000045776367
2003-10-31,57.0
2003-11-03,55.369998931884766
2003-11-04,54.06999969482422
2003-11-05,52.5
2003-11-06,53.279998779296875
2003-11-07,55.869998931884766
2003-11-10,54.650001525878906
2003-11-11,54.36000061035156
2003-11-12,57.34000015258789
2003-11-13,56.060001373291016
2003-11-14,54.15999984741211
2003-11-17,54.099998474121094
2003-11-18,52.779998779296875
2003-11-19,52.59000015258789
2003-11-20,52.209999084472656
2003-11-21,50.869998931884766
2003-11-24,52.0
2003-11-25,52.0
2003-11-26,52.970001220703125
2003-11-28,53.25
2003-12-01,54.279998779296875
2003-12-02,54.779998779296875
2003-12-03,53.58000183105469
2003-12-04,51.91999816894531
2003-12-05,52.220001220703125
2003-12-08,50.099998474121094
2003-12-09,49.11000061035156
2003-12-10,48.45000076293945
2003-12-11,48.90999984741211
2003-12-12,49.2400016784668
2003-12-15,48.16999816894531
2003-12-16,48.52000045776367
2003-12-17,48.0
2003-12-18,49.70000076293945
2003-12-19,48.97999954223633
2003-12-22,48.400001525878906
2003-12-23,49.310001373291016
2003-12-24,48.77000045776367
2003-12-26,48.75
2003-12-29,48.75
2003-12-30,49.459999084472656
2003-12-31,49.0
2004-01-02,50.20000076293945
2004-01-05,53.029998779296875
2004-01-06,54.29999923706055
2004-01-07,52.540000915527344
2004-01-08,52.02000045776367
2004-01-09,51.849998474121094
2004-01-12,52.25
2004-01-13,50.869998931884766
2004-01-14,51.150001525878906
2004-01-15,52.0
2004-01-16,56.2400016784668
2004-01-20,57.540000915527344
2004-01-21,57.5
2004-01-22,49.20000076293945
2004-01-23,47.59000015258789
2004-01-26,48.04999923706055
2004-01-27,45.13999938964844
2004-01-28,44.20000076293945
2004-01-29,44.41999816894531
2004-01-30,45.2599983215332
2004-02-02,43.91999816894531
2004-02-03,43.529998779296875
2004-02-04,42.5099983215332
2004-02-05,43.849998474121094
2004-02-06,44.779998779296875
2004-02-09,43.9900016784668
2004-02-10,45.310001373291016
2004-02-11,44.93000030517578
2004-02-12,44.33000183105469
2004-02-13,44.689998626708984
2004-02-17,44.0
2004-02-18,43.970001220703125
2004-02-19,43.5099983215332
2004-02-20,43.650001525878906
2004-02-23,42.279998779296875
2004-02-24,42.560001373291016
2004-02-25,44.11000061035156
2004-02-26,44.279998779296875
2004-02-27,44.54999923706055
2004-03-01,45.72999954223633
2004-03-02,45.900001525878906
2004-03-03,44.70000076293945
2004-03-04,45.099998474121094
2004-03-05,44.400001525878906
2004-03-08,43.220001220703125
2004-03-09,42.439998626708984
2004-03-10,40.849998474121094
2004-03-11,40.5
2004-03-12,42.2400016784668
2004-03-15,40.86000061035156
2004-03-16,41.400001525878906
2004-03-17,42.52000045776367
2004-03-18,42.0
2004-03-19,42.47999954223633
2004-03-22,41.599998474121094
2004-03-23,41.2599983215332
2004-03-24,41.779998779296875
2004-03-25,44.040000915527344
2004-03-26,44.38999938964844
2004-03-29,43.72999954223633
2004-03-30,43.27000045776367
2004-03-31,42.130001068115234
2004-04-01,41.54999923706055
2004-04-02,42.40999984741211
2004-04-05,44.189998626708984
2004-04-06,43.209999084472656
2004-04-07,42.2400016784668
2004-04-08,42.130001068115234
2004-04-12,42.150001525878906
2004-04-13,41.16999816894531
2004-04-14,40.900001525878906
2004-04-15,38.41999816894531
2004-04-16,37.11000061035156
2004-04-19,37.900001525878906
2004-04-20,36.470001220703125
