,CLSN
2000-01-07,2335.303955078125
2000-01-10,2305.7431640625
2000-01-11,2187.5
2000-01-12,1951.0135498046875
2000-01-13,1714.5269775390625
2000-01-14,2187.5
2000-01-18,2423.986572265625
2000-01-19,2601.351318359375
2000-01-20,2542.229736328125
2000-01-21,2719.594482421875
2000-01-24,2542.229736328125
2000-01-25,2601.351318359375
2000-01-26,2660.472900390625
2000-01-27,2601.351318359375
2000-01-28,2542.229736328125
2000-01-31,2808.277099609375
2000-02-01,2778.71630859375
2000-02-02,2823.057373046875
2000-02-03,2719.594482421875
2000-02-04,2483.108154296875
2000-02-07,2630.912109375
2000-02-08,2423.986572265625
2000-02-09,2423.986572265625
2000-02-10,2660.472900390625
2000-02-11,2837.837890625
2000-02-14,2926.520263671875
2000-02-15,3429.053955078125
2000-02-16,3783.78369140625
2000-02-17,4788.8515625
2000-02-18,5616.55419921875
2000-02-22,7508.44580078125
2000-02-23,7922.29736328125
2000-02-24,6858.10791015625
2000-02-25,6473.8173828125
2000-02-28,7508.44580078125
2000-02-29,7567.5673828125
2000-03-01,8454.3916015625
2000-03-02,8838.6826171875
2000-03-03,7922.29736328125
2000-03-06,7419.763671875
2000-03-07,6355.57421875
2000-03-08,6119.087890625
2000-03-09,6577.2802734375
2000-03-10,7153.71630859375
2000-03-13,7124.1552734375
2000-03-14,6562.5
2000-03-15,6473.8173828125
2000-03-16,6503.37841796875
2000-03-17,6207.7705078125
2000-03-20,5734.79736328125
2000-03-21,4936.6552734375
2000-03-22,5025.337890625
2000-03-23,6532.93896484375
2000-03-24,5705.236328125
2000-03-27,5675.67578125
2000-03-28,5734.79736328125
2000-03-29,5675.67578125
2000-03-30,5291.38525390625
2000-03-31,4847.97314453125
2000-04-03,4966.21630859375
2000-04-04,4670.60791015625
2000-04-05,4729.7294921875
2000-04-06,5202.70263671875
2000-04-07,5143.5810546875
2000-04-10,4345.43896484375
2000-04-11,4966.21630859375
2000-04-12,4256.7568359375
2000-04-13,4286.3173828125
2000-04-14,3665.54052734375
2000-04-17,3310.810791015625
2000-04-18,3665.54052734375
2000-04-19,3902.027099609375
2000-04-20,3872.46630859375
2000-04-24,4700.1689453125
2000-04-25,4759.29052734375
2000-04-26,4138.513671875
2000-04-27,3695.101318359375
2000-04-28,3754.222900390625
2000-05-01,4256.7568359375
2000-05-02,4315.87841796875
2000-05-03,4256.7568359375
2000-05-04,3842.905517578125
2000-05-05,4079.391845703125
2000-05-08,3902.027099609375
2000-05-09,3990.70947265625
2000-05-10,3842.905517578125
2000-05-11,3547.29736328125
2000-05-12,3754.222900390625
2000-05-15,3783.78369140625
2000-05-16,3783.78369140625
2000-05-17,3813.344482421875
2000-05-18,3783.78369140625
2000-05-19,3606.4189453125
2000-05-22,3547.29736328125
2000-05-23,3547.29736328125
2000-05-24,3310.810791015625
2000-05-25,3133.446044921875
2000-05-26,3074.32421875
2000-05-30,3310.810791015625
2000-05-31,4020.270263671875
2000-06-01,3961.148681640625
2000-06-02,3665.54052734375
2000-06-05,3606.4189453125
2000-06-06,3724.662109375
2000-06-07,3606.4189453125
2000-06-08,3547.29736328125
2000-06-09,3665.54052734375
2000-06-12,3606.4189453125
2000-06-13,3547.29736328125
2000-06-14,3488.17578125
2000-06-15,3547.29736328125
2000-06-16,3547.29736328125
2000-06-19,3429.053955078125
2000-06-20,3369.932373046875
2000-06-21,3192.567626953125
2000-06-22,3133.446044921875
2000-06-23,3310.810791015625
2000-06-26,3429.053955078125
2000-06-27,3310.810791015625
2000-06-28,3488.17578125
2000-06-29,3488.17578125
2000-06-30,2719.594482421875
2000-07-03,3133.446044921875
2000-07-05,3251.689208984375
2000-07-06,3547.29736328125
2000-07-07,3547.29736328125
2000-07-10,3310.810791015625
2000-07-11,3429.053955078125
2000-07-12,3429.053955078125
2000-07-13,3369.932373046875
2000-07-14,3488.17578125
2000-07-17,3547.29736328125
2000-07-18,3369.932373046875
2000-07-19,3369.932373046875
2000-07-20,3369.932373046875
2000-07-21,3192.567626953125
2000-07-24,3429.053955078125
2000-07-25,3429.053955078125
2000-07-26,3310.810791015625
2000-07-27,3133.446044921875
2000-07-28,2896.95947265625
2000-07-31,2837.837890625
2000-08-01,2601.351318359375
2000-08-02,2660.472900390625
2000-08-03,2305.7431640625
2000-08-04,2364.86474609375
2000-08-07,2305.7431640625
2000-08-08,2128.37841796875
2000-08-09,2010.1351318359375
2000-08-10,2128.37841796875
2000-08-11,2542.229736328125
2000-08-14,2719.594482421875
2000-08-15,3074.32421875
2000-08-16,2778.71630859375
2000-08-17,2601.351318359375
2000-08-18,2423.986572265625
2000-08-21,2542.229736328125
2000-08-22,2483.108154296875
2000-08-23,2542.229736328125
2000-08-24,2542.229736328125
2000-08-25,2778.71630859375
2000-08-28,2660.472900390625
2000-08-29,2660.472900390625
2000-08-30,2660.472900390625
2000-08-31,2837.837890625
2000-09-01,2778.71630859375
2000-09-05,2719.594482421875
2000-09-06,2719.594482421875
2000-09-07,2778.71630859375
2000-09-08,2778.71630859375
2000-09-11,2601.351318359375
2000-09-12,2601.351318359375
2000-09-13,2601.351318359375
2000-09-14,2660.472900390625
2000-09-15,2719.594482421875
2000-09-18,2305.7431640625
2000-09-19,2483.108154296875
2000-09-20,2483.108154296875
2000-09-21,2423.986572265625
2000-09-22,2364.86474609375
2000-09-25,2601.351318359375
2000-09-26,2542.229736328125
2000-09-27,2364.86474609375
2000-09-28,2423.986572265625
2000-09-29,2305.7431640625
2000-10-02,2364.86474609375
2000-10-03,2364.86474609375
2000-10-04,2364.86474609375
2000-10-05,2364.86474609375
2000-10-06,2187.5
2000-10-09,2187.5
2000-10-10,2069.2568359375
2000-10-11,2010.1351318359375
2000-10-12,1891.891845703125
2000-10-13,1832.770263671875
2000-10-16,1891.891845703125
2000-10-17,1832.770263671875
2000-10-18,1832.770263671875
2000-10-19,1891.891845703125
2000-10-20,2010.1351318359375
2000-10-23,1951.0135498046875
2000-10-24,1832.770263671875
2000-10-25,1832.770263671875
2000-10-26,1891.891845703125
2000-10-27,1951.0135498046875
2000-10-30,1891.891845703125
2000-10-31,1891.891845703125
2000-11-01,1832.770263671875
2000-11-02,1832.770263671875
2000-11-03,1832.770263671875
2000-11-06,1891.891845703125
2000-11-07,1832.770263671875
2000-11-08,1832.770263671875
2000-11-09,1891.891845703125
2000-11-10,1655.4053955078125
2000-11-13,1655.4053955078125
2000-11-14,1596.2838134765625
2000-11-15,1537.162109375
2000-11-16,1241.5540771484375
2000-11-17,1359.7972412109375
2000-11-20,1418.9189453125
2000-11-21,1359.7972412109375
2000-11-22,1300.6756591796875
2000-11-24,1359.7972412109375
2000-11-27,1418.9189453125
2000-11-28,1418.9189453125
2000-11-29,1241.5540771484375
2000-11-30,1300.6756591796875
2000-12-01,1300.6756591796875
2000-12-04,1241.5540771484375
2000-12-05,1359.7972412109375
2000-12-06,1359.7972412109375
2000-12-07,1359.7972412109375
2000-12-08,1596.2838134765625
2000-12-11,1714.5269775390625
2000-12-12,1478.04052734375
2000-12-13,1478.04052734375
2000-12-14,1359.7972412109375
2000-12-15,1241.5540771484375
2000-12-18,1123.310791015625
2000-12-19,1241.5540771484375
2000-12-20,1005.0675659179688
2000-12-21,945.9459228515625
2000-12-22,945.9459228515625
2000-12-26,1064.189208984375
2000-12-27,1123.310791015625
2000-12-28,1064.189208984375
2000-12-29,945.9459228515625
2001-01-02,1123.310791015625
2001-01-03,1064.189208984375
2001-01-04,1064.189208984375
2001-01-05,1064.189208984375
2001-01-08,1005.0675659179688
2001-01-09,1005.0675659179688
2001-01-10,1005.0675659179688
2001-01-11,1064.189208984375
2001-01-12,1123.310791015625
2001-01-16,1064.189208984375
2001-01-17,1182.432373046875
2001-01-18,1182.432373046875
2001-01-19,1005.0675659179688
2001-01-22,1123.310791015625
2001-01-23,1182.432373046875
2001-01-24,1832.770263671875
2001-01-25,2483.108154296875
2001-01-26,2364.86474609375
2001-01-29,2156.7568359375
2001-01-30,2204.053955078125
2001-01-31,1995.9459228515625
2001-02-01,1797.2972412109375
2001-02-02,1598.648681640625
2001-02-05,1882.432373046875
2001-02-06,2137.837890625
2001-02-07,2270.270263671875
2001-02-08,1967.567626953125
2001-02-09,1731.0810546875
2001-02-12,1750.0
2001-02-13,1844.5946044921875
2001-02-14,1664.8648681640625
2001-02-15,1674.3243408203125
2001-02-16,1314.8648681640625
2001-02-20,1314.8648681640625
2001-02-21,1333.7838134765625
2001-02-22,1381.0810546875
2001-02-23,1324.3243408203125
2001-02-26,1513.5135498046875
2001-02-27,1418.9189453125
2001-02-28,1267.567626953125
2001-03-01,1286.4864501953125
2001-03-02,1371.62158203125
2001-03-05,1258.108154296875
2001-03-06,1229.729736328125
2001-03-07,1277.0269775390625
2001-03-08,1191.891845703125
2001-03-09,1106.7567138671875
2001-03-12,1040.54052734375
2001-03-13,1040.54052734375
2001-03-14,1059.45947265625
2001-03-15,1031.0810546875
2001-03-16,1002.7026977539062
2001-03-19,1012.1621704101562
2001-03-20,983.7838134765625
2001-03-21,974.3243408203125
2001-03-22,945.9459228515625
2001-03-23,974.3243408203125
2001-03-26,993.2432250976562
2001-03-27,1059.45947265625
2001-03-28,1163.5135498046875
2001-03-29,1087.837890625
2001-03-30,1210.810791015625
2001-04-02,1154.0540771484375
2001-04-03,1125.6756591796875
2001-04-04,1002.7026977539062
2001-04-05,1040.54052734375
2001-04-06,993.2432250976562
2001-04-09,974.3243408203125
2001-04-10,1012.1621704101562
2001-04-11,1031.0810546875
2001-04-12,1021.6216430664062
2001-04-16,1021.6216430664062
2001-04-17,1002.7026977539062
2001-04-18,1012.1621704101562
2001-04-19,955.4053955078125
2001-04-20,955.4053955078125
2001-04-23,955.4053955078125
2001-04-24,927.0270385742188
2001-04-25,851.3513793945312
2001-04-26,917.5675659179688
2001-04-27,945.9459228515625
2001-04-30,917.5675659179688
2001-05-01,870.270263671875
2001-05-02,851.3513793945312
2001-05-03,841.8919067382812
2001-05-04,870.270263671875
2001-05-07,870.270263671875
2001-05-08,879.729736328125
2001-05-09,1031.0810546875
2001-05-10,974.3243408203125
2001-05-11,927.0270385742188
2001-05-14,870.270263671875
2001-05-15,879.729736328125
2001-05-16,851.3513793945312
2001-05-17,870.270263671875
2001-05-18,889.189208984375
2001-05-21,927.0270385742188
2001-05-22,936.4865112304688
2001-05-23,889.189208984375
2001-05-24,898.6486206054688
2001-05-25,917.5675659179688
2001-05-29,870.270263671875
2001-05-30,879.729736328125
2001-05-31,889.189208984375
2001-06-01,898.6486206054688
2001-06-04,879.729736328125
2001-06-05,936.4865112304688
2001-06-06,936.4865112304688
2001-06-07,898.6486206054688
2001-06-08,898.6486206054688
2001-06-11,889.189208984375
2001-06-12,879.729736328125
2001-06-13,889.189208984375
2001-06-14,870.270263671875
2001-06-15,879.729736328125
2001-06-18,851.3513793945312
2001-06-19,851.3513793945312
2001-06-20,813.5134887695312
2001-06-21,822.9729614257812
2001-06-22,822.9729614257812
2001-06-25,822.9729614257812
2001-06-26,832.4324340820312
2001-06-27,841.8919067382812
2001-06-28,860.810791015625
2001-06-29,567.5675659179688
2001-07-02,718.9189453125
2001-07-03,700.0
2001-07-05,681.0810546875
2001-07-06,643.2432250976562
2001-07-09,681.0810546875
2001-07-10,662.1621704101562
2001-07-11,624.3243408203125
2001-07-12,643.2432250976562
2001-07-13,633.7838134765625
2001-07-16,662.1621704101562
2001-07-17,700.0
2001-07-18,652.7026977539062
2001-07-19,662.1621704101562
2001-07-20,662.1621704101562
2001-07-23,652.7026977539062
2001-07-24,643.2432250976562
2001-07-25,652.7026977539062
2001-07-26,662.1621704101562
2001-07-27,633.7838134765625
2001-07-30,595.9459228515625
2001-07-31,662.1621704101562
2001-08-01,643.2432250976562
2001-08-02,614.8648681640625
2001-08-03,614.8648681640625
2001-08-06,624.3243408203125
2001-08-07,624.3243408203125
2001-08-08,586.4865112304688
2001-08-09,567.5675659179688
2001-08-10,595.9459228515625
2001-08-13,586.4865112304688
2001-08-14,605.4053955078125
2001-08-15,605.4053955078125
2001-08-16,577.0270385742188
2001-08-17,586.4865112304688
2001-08-20,567.5675659179688
2001-08-21,614.8648681640625
2001-08-22,586.4865112304688
2001-08-23,614.8648681640625
2001-08-24,652.7026977539062
2001-08-27,718.9189453125
2001-08-28,662.1621704101562
2001-08-29,662.1621704101562
2001-08-30,671.6216430664062
2001-08-31,652.7026977539062
2001-09-04,662.1621704101562
2001-09-05,633.7838134765625
2001-09-06,595.9459228515625
2001-09-07,605.4053955078125
2001-09-10,586.4865112304688
2001-09-17,548.6486206054688
2001-09-18,558.1080932617188
2001-09-19,529.729736328125
2001-09-20,529.729736328125
2001-09-21,491.89190673828125
2001-09-24,586.4865112304688
2001-09-25,501.3513488769531
2001-09-26,501.3513488769531
2001-09-27,472.97296142578125
2001-09-28,482.43243408203125
2001-10-01,472.97296142578125
2001-10-02,491.89190673828125
2001-10-03,472.97296142578125
2001-10-04,520.270263671875
2001-10-05,482.43243408203125
2001-10-08,472.97296142578125
2001-10-09,444.5946044921875
2001-10-10,454.0540466308594
2001-10-11,454.0540466308594
2001-10-12,454.0540466308594
2001-10-15,444.5946044921875
2001-10-16,425.6756896972656
2001-10-17,397.29730224609375
2001-10-18,397.29730224609375
2001-10-19,387.83782958984375
2001-10-22,397.29730224609375
2001-10-23,435.1351318359375
2001-10-24,454.0540466308594
2001-10-25,539.189208984375
2001-10-26,586.4865112304688
2001-10-29,633.7838134765625
2001-10-30,595.9459228515625
2001-10-31,577.0270385742188
2001-11-01,558.1080932617188
2001-11-02,558.1080932617188
2001-11-05,548.6486206054688
2001-11-06,567.5675659179688
2001-11-07,567.5675659179688
2001-11-08,548.6486206054688
2001-11-09,558.1080932617188
2001-11-12,548.6486206054688
2001-11-13,558.1080932617188
2001-11-14,548.6486206054688
2001-11-15,567.5675659179688
2001-11-16,548.6486206054688
2001-11-19,548.6486206054688
2001-11-20,529.729736328125
2001-11-21,520.270263671875
2001-11-23,501.3513488769531
2001-11-26,482.43243408203125
2001-11-27,472.97296142578125
2001-11-28,444.5946044921875
2001-11-29,501.3513488769531
2001-11-30,463.5135192871094
2001-12-03,472.97296142578125
2001-12-04,444.5946044921875
2001-12-05,454.0540466308594
2001-12-06,454.0540466308594
2001-12-07,529.729736328125
2001-12-10,548.6486206054688
2001-12-11,510.8108215332031
2001-12-12,520.270263671875
2001-12-13,501.3513488769531
2001-12-14,529.729736328125
2001-12-17,558.1080932617188
2001-12-18,548.6486206054688
2001-12-19,548.6486206054688
2001-12-20,539.189208984375
2001-12-21,558.1080932617188
2001-12-24,548.6486206054688
2001-12-26,567.5675659179688
2001-12-27,558.1080932617188
2001-12-28,577.0270385742188
2001-12-31,624.3243408203125
2002-01-02,700.0
2002-01-03,624.3243408203125
2002-01-04,690.54052734375
2002-01-07,662.1621704101562
2002-01-08,643.2432250976562
2002-01-09,633.7838134765625
2002-01-10,709.45947265625
2002-01-11,709.45947265625
2002-01-14,652.7026977539062
2002-01-15,643.2432250976562
2002-01-16,643.2432250976562
2002-01-17,662.1621704101562
2002-01-18,927.0270385742188
2002-01-22,747.2973022460938
2002-01-23,709.45947265625
2002-01-24,747.2973022460938
2002-01-25,756.7567749023438
2002-01-28,681.0810546875
2002-01-29,643.2432250976562
2002-01-30,652.7026977539062
2002-01-31,624.3243408203125
2002-02-01,633.7838134765625
2002-02-04,624.3243408203125
2002-02-05,595.9459228515625
2002-02-06,633.7838134765625
2002-02-07,624.3243408203125
2002-02-08,614.8648681640625
2002-02-11,624.3243408203125
2002-02-12,624.3243408203125
2002-02-13,633.7838134765625
2002-02-14,633.7838134765625
2002-02-15,633.7838134765625
2002-02-19,643.2432250976562
2002-02-20,595.9459228515625
2002-02-21,567.5675659179688
2002-02-22,567.5675659179688
2002-02-25,586.4865112304688
2002-02-26,595.9459228515625
2002-02-27,586.4865112304688
2002-02-28,605.4053955078125
2002-03-01,586.4865112304688
2002-03-04,586.4865112304688
2002-03-05,595.9459228515625
2002-03-06,624.3243408203125
2002-03-07,614.8648681640625
2002-03-08,605.4053955078125
2002-03-11,605.4053955078125
2002-03-12,595.9459228515625
2002-03-13,595.9459228515625
2002-03-14,577.0270385742188
2002-03-15,595.9459228515625
2002-03-18,586.4865112304688
2002-03-19,595.9459228515625
2002-03-20,595.9459228515625
2002-03-21,595.9459228515625
2002-03-22,595.9459228515625
2002-03-25,605.4053955078125
2002-03-26,595.9459228515625
2002-03-27,595.9459228515625
2002-03-28,690.54052734375
2002-04-01,671.6216430664062
2002-04-02,605.4053955078125
2002-04-03,624.3243408203125
2002-04-04,614.8648681640625
2002-04-05,595.9459228515625
2002-04-08,605.4053955078125
2002-04-09,605.4053955078125
2002-04-10,595.9459228515625
2002-04-11,586.4865112304688
2002-04-12,605.4053955078125
2002-04-15,605.4053955078125
2002-04-16,605.4053955078125
2002-04-17,586.4865112304688
2002-04-18,586.4865112304688
2002-04-19,577.0270385742188
2002-04-22,577.0270385742188
2002-04-23,567.5675659179688
2002-04-24,548.6486206054688
2002-04-25,520.270263671875
2002-04-26,529.729736328125
2002-04-29,529.729736328125
2002-04-30,501.3513488769531
2002-05-01,510.8108215332031
2002-05-02,510.8108215332031
2002-05-03,482.43243408203125
2002-05-06,482.43243408203125
2002-05-07,472.97296142578125
2002-05-08,491.89190673828125
2002-05-09,472.97296142578125
2002-05-10,472.97296142578125
2002-05-13,454.0540466308594
2002-05-14,501.3513488769531
2002-05-15,482.43243408203125
2002-05-16,501.3513488769531
2002-05-17,510.8108215332031
2002-05-20,520.270263671875
2002-05-21,510.8108215332031
2002-05-22,491.89190673828125
2002-05-23,472.97296142578125
2002-05-24,482.43243408203125
2002-05-28,463.5135192871094
2002-05-29,472.97296142578125
2002-05-30,463.5135192871094
2002-05-31,463.5135192871094
2002-06-03,463.5135192871094
2002-06-04,472.97296142578125
2002-06-05,482.43243408203125
2002-06-06,463.5135192871094
2002-06-07,463.5135192871094
2002-06-10,463.5135192871094
2002-06-11,472.97296142578125
2002-06-12,397.29730224609375
