,ERYP
2018-12-18,6.75
2018-12-19,7.260000228881836
2018-12-20,6.159999847412109
2018-12-21,5.960000038146973
2018-12-24,6.039999961853027
2018-12-26,5.539999961853027
2018-12-27,6.940000057220459
2018-12-28,6.800000190734863
2018-12-31,6.77400016784668
2019-01-02,7.010000228881836
2019-01-03,6.9770002365112305
2019-01-04,7.047999858856201
2019-01-07,7.639999866485596
2019-01-08,7.800000190734863
2019-01-09,7.800000190734863
2019-01-10,7.800000190734863
2019-01-11,7.800000190734863
2019-01-14,7.800000190734863
2019-01-15,7.800000190734863
2019-01-16,7.800000190734863
2019-01-17,7.743000030517578
2019-01-18,8.0
2019-01-22,8.0
2019-01-23,7.749000072479248
2019-01-24,8.289999961853027
2019-01-25,8.571000099182129
2019-01-28,8.312999725341797
2019-01-29,8.319999694824219
2019-01-30,8.680000305175781
2019-01-31,9.0
2019-02-01,9.0
2019-02-04,8.814000129699707
2019-02-05,8.956000328063965
2019-02-06,8.956000328063965
2019-02-07,8.788000106811523
2019-02-08,8.788000106811523
2019-02-11,8.479999542236328
2019-02-12,8.479999542236328
2019-02-13,8.739999771118164
2019-02-14,8.392999649047852
2019-02-15,8.392999649047852
2019-02-19,8.3100004196167
2019-02-20,8.3100004196167
2019-02-21,8.3100004196167
2019-02-22,8.130000114440918
2019-02-25,8.130000114440918
2019-02-26,8.180000305175781
2019-02-27,8.180000305175781
2019-02-28,7.599999904632568
2019-03-01,8.401000022888184
2019-03-04,8.529999732971191
2019-03-05,9.0
2019-03-06,9.640000343322754
2019-03-07,9.109999656677246
2019-03-08,9.279999732971191
2019-03-11,9.37399959564209
2019-03-12,8.847999572753906
2019-03-13,8.859999656677246
2019-03-14,8.869999885559082
2019-03-15,9.010000228881836
2019-03-18,8.470000267028809
2019-03-19,8.470000267028809
2019-03-20,8.600000381469727
2019-03-21,8.149999618530273
2019-03-22,8.300000190734863
2019-03-25,7.650000095367432
2019-03-26,7.510000228881836
2019-03-27,7.699999809265137
2019-03-28,7.699999809265137
2019-03-29,7.579999923706055
2019-04-01,8.0600004196167
2019-04-02,7.929999828338623
2019-04-03,7.849999904632568
2019-04-04,7.300000190734863
2019-04-05,7.590000152587891
2019-04-08,7.519999980926514
2019-04-09,7.5
2019-04-10,7.5
2019-04-11,7.559999942779541
2019-04-12,7.570000171661377
2019-04-15,8.0
2019-04-16,7.730000019073486
2019-04-17,8.241000175476074
2019-04-18,7.590000152587891
2019-04-22,8.1899995803833
2019-04-23,7.710000038146973
2019-04-24,7.949999809265137
2019-04-25,7.760000228881836
2019-04-26,7.78000020980835
2019-04-29,7.78000020980835
2019-04-30,7.78000020980835
2019-05-01,7.78000020980835
2019-05-02,7.519999980926514
2019-05-03,7.5
2019-05-06,7.75
2019-05-07,7.320000171661377
2019-05-08,7.199999809265137
2019-05-09,7.199999809265137
2019-05-10,7.380000114440918
2019-05-13,7.380000114440918
2019-05-14,7.380000114440918
2019-05-15,7.508999824523926
2019-05-16,7.508999824523926
2019-05-17,7.181000232696533
2019-05-20,7.389999866485596
2019-05-21,7.389999866485596
2019-05-22,7.099999904632568
2019-05-23,7.070000171661377
2019-05-24,7.070000171661377
2019-05-28,7.070000171661377
2019-05-29,7.070000171661377
2019-05-30,7.059999942779541
2019-05-31,7.000999927520752
2019-06-03,6.874000072479248
2019-06-04,6.610000133514404
2019-06-05,6.610000133514404
2019-06-06,6.369999885559082
2019-06-07,6.369999885559082
2019-06-10,6.639999866485596
2019-06-11,6.929999828338623
2019-06-12,6.929999828338623
2019-06-13,6.929999828338623
2019-06-14,6.929999828338623
2019-06-17,6.929999828338623
2019-06-18,6.650000095367432
2019-06-19,6.650000095367432
2019-06-20,6.659999847412109
2019-06-21,6.659999847412109
2019-06-24,6.659999847412109
2019-06-25,6.659999847412109
2019-06-26,6.659999847412109
2019-06-27,6.860000133514404
2019-06-28,7.146999835968018
2019-07-01,6.659999847412109
2019-07-02,7.0
2019-07-03,7.0
2019-07-05,7.0
2019-07-08,6.659999847412109
2019-07-09,6.659999847412109
2019-07-10,6.989999771118164
2019-07-11,6.670000076293945
2019-07-12,6.670000076293945
2019-07-15,6.670000076293945
2019-07-16,6.822999954223633
2019-07-17,6.822999954223633
2019-07-18,6.822999954223633
2019-07-19,6.822999954223633
2019-07-22,6.050000190734863
2019-07-23,6.110000133514404
2019-07-24,5.960000038146973
2019-07-25,5.960000038146973
2019-07-26,5.960000038146973
2019-07-29,5.960000038146973
2019-07-30,5.960000038146973
2019-07-31,5.809999942779541
2019-08-01,6.0
2019-08-02,5.929999828338623
2019-08-05,5.929999828338623
2019-08-06,5.929999828338623
2019-08-07,5.5
2019-08-08,5.714000225067139
2019-08-09,5.714000225067139
2019-08-12,5.714000225067139
2019-08-13,5.714000225067139
2019-08-14,5.650000095367432
2019-08-15,5.650000095367432
2019-08-16,5.650000095367432
2019-08-19,5.199999809265137
2019-08-20,5.199999809265137
2019-08-21,5.519999980926514
2019-08-22,5.21999979019165
2019-08-23,5.21999979019165
2019-08-26,5.21999979019165
2019-08-27,5.21999979019165
2019-08-28,5.21999979019165
2019-08-29,5.21999979019165
2019-08-30,5.21999979019165
2019-09-03,5.21999979019165
2019-09-04,5.21999979019165
2019-09-05,5.21999979019165
2019-09-06,5.21999979019165
2019-09-09,5.21999979019165
2019-09-10,5.21999979019165
2019-09-11,5.22599983215332
2019-09-12,5.22599983215332
2019-09-13,5.22599983215332
2019-09-16,5.210000038146973
2019-09-17,5.4679999351501465
2019-09-18,5.2829999923706055
2019-09-19,5.2829999923706055
2019-09-20,5.2829999923706055
2019-09-23,4.800000190734863
2019-09-24,4.744999885559082
2019-09-25,4.840000152587891
2019-09-26,4.599999904632568
2019-09-27,4.230000019073486
2019-09-30,4.230000019073486
2019-10-01,4.230000019073486
2019-10-02,4.230000019073486
2019-10-03,4.21999979019165
2019-10-04,4.21999979019165
2019-10-07,4.21999979019165
2019-10-08,4.21999979019165
2019-10-09,4.019999980926514
2019-10-10,4.019999980926514
2019-10-11,4.019999980926514
2019-10-14,4.019999980926514
2019-10-15,4.019999980926514
2019-10-16,4.135000228881836
2019-10-17,4.135000228881836
2019-10-18,4.135000228881836
2019-10-21,4.289999961853027
2019-10-22,4.289999961853027
2019-10-23,4.289999961853027
2019-10-24,4.289999961853027
2019-10-25,4.289999961853027
2019-10-28,4.289999961853027
2019-10-29,4.289999961853027
2019-10-30,4.289999961853027
2019-10-31,4.320000171661377
2019-11-01,4.320000171661377
2019-11-04,4.579999923706055
2019-11-05,4.800000190734863
2019-11-06,4.909999847412109
2019-11-07,4.909999847412109
2019-11-08,4.909999847412109
2019-11-11,5.159999847412109
2019-11-12,5.199999809265137
2019-11-13,5.199999809265137
2019-11-14,5.056000232696533
2019-11-15,4.849999904632568
2019-11-18,4.849999904632568
2019-11-19,4.849999904632568
2019-11-20,4.849999904632568
2019-11-21,4.90500020980835
2019-11-22,4.90500020980835
2019-11-25,4.909999847412109
2019-11-26,4.909999847412109
2019-11-27,4.909999847412109
2019-11-29,4.909999847412109
2019-12-02,4.909999847412109
2019-12-03,4.329999923706055
2019-12-04,4.329999923706055
2019-12-05,4.329999923706055
2019-12-06,4.329999923706055
2019-12-09,4.329999923706055
2019-12-10,4.510000228881836
2019-12-11,4.510000228881836
2019-12-12,4.510000228881836
2019-12-13,4.510000228881836
2019-12-16,4.5
2019-12-17,4.849999904632568
2019-12-18,4.75
2019-12-19,4.75
2019-12-20,4.489999771118164
2019-12-23,4.489999771118164
2019-12-24,4.489999771118164
2019-12-26,4.489999771118164
2019-12-27,5.050000190734863
2019-12-30,6.849999904632568
2019-12-31,7.375
2020-01-02,7.199999809265137
2020-01-03,7.300000190734863
2020-01-06,6.7270002365112305
2020-01-07,7.050000190734863
2020-01-08,7.122000217437744
2020-01-09,7.610000133514404
2020-01-10,7.434999942779541
2020-01-13,7.234000205993652
2020-01-14,6.978000164031982
2020-01-15,6.96999979019165
2020-01-16,7.296999931335449
2020-01-17,7.164999961853027
2020-01-21,7.500999927520752
2020-01-22,7.480000019073486
2020-01-23,7.010000228881836
2020-01-24,7.1539998054504395
2020-01-27,7.1539998054504395
2020-01-28,7.1539998054504395
2020-01-29,7.1539998054504395
2020-01-30,7.1539998054504395
2020-01-31,7.480000019073486
2020-02-03,6.800000190734863
2020-02-04,7.0
2020-02-05,7.0
2020-02-06,7.0
2020-02-07,6.840000152587891
2020-02-10,6.610000133514404
2020-02-11,6.800000190734863
2020-02-12,6.800000190734863
2020-02-13,7.050000190734863
2020-02-14,7.050000190734863
2020-02-18,7.050000190734863
2020-02-19,7.050000190734863
2020-02-20,7.050000190734863
2020-02-21,6.420000076293945
2020-02-24,6.420000076293945
2020-02-25,6.840000152587891
2020-02-26,6.539999961853027
2020-02-27,6.539999961853027
2020-02-28,5.25
2020-03-02,6.074999809265137
2020-03-03,6.074999809265137
2020-03-04,6.489999771118164
2020-03-05,6.119999885559082
2020-03-06,6.090000152587891
2020-03-09,5.452000141143799
2020-03-10,5.452000141143799
2020-03-11,5.239999771118164
2020-03-12,4.785999774932861
2020-03-13,4.349999904632568
2020-03-16,4.5
2020-03-17,3.8499999046325684
2020-03-18,3.8499999046325684
2020-03-19,4.269999980926514
2020-03-20,4.269999980926514
2020-03-23,4.570000171661377
2020-03-24,5.150000095367432
2020-03-25,4.789999961853027
2020-03-26,4.789999961853027
2020-03-27,4.789999961853027
2020-03-30,5.0
2020-03-31,5.340000152587891
2020-04-01,5.340000152587891
2020-04-02,5.340000152587891
2020-04-03,5.340000152587891
2020-04-06,5.0
2020-04-07,5.0
2020-04-08,5.150000095367432
2020-04-09,5.150000095367432
2020-04-13,5.150000095367432
2020-04-14,5.150000095367432
2020-04-15,5.150000095367432
2020-04-16,5.150000095367432
2020-04-17,5.150000095367432
2020-04-20,5.150000095367432
2020-04-21,5.460000038146973
2020-04-22,5.460000038146973
2020-04-23,6.199999809265137
2020-04-24,5.309999942779541
2020-04-27,7.5
2020-04-28,8.289999961853027
2020-04-29,10.970000267028809
2020-04-30,10.633999824523926
2020-05-01,9.850000381469727
2020-05-04,10.067999839782715
2020-05-05,9.899999618530273
2020-05-06,8.550000190734863
2020-05-07,9.317999839782715
2020-05-08,8.75
2020-05-11,10.0
2020-05-12,8.960000038146973
2020-05-13,7.8470001220703125
2020-05-14,7.739999771118164
2020-05-15,7.739999771118164
2020-05-18,7.9770002365112305
2020-05-19,8.90999984741211
2020-05-20,8.90999984741211
2020-05-21,8.812000274658203
2020-05-22,8.800000190734863
2020-05-26,8.0600004196167
2020-05-27,8.0
2020-05-28,8.5
2020-05-29,8.630999565124512
2020-06-01,9.5
2020-06-02,9.630000114440918
2020-06-03,9.008999824523926
2020-06-04,9.0
2020-06-05,9.0
2020-06-08,9.0
2020-06-09,10.215999603271484
2020-06-10,10.00100040435791
2020-06-11,9.020000457763672
2020-06-12,8.970000267028809
2020-06-15,9.25
2020-06-16,9.079999923706055
2020-06-17,9.1899995803833
2020-06-18,9.529999732971191
2020-06-19,9.130000114440918
2020-06-22,9.800000190734863
2020-06-23,9.149999618530273
2020-06-24,8.90999984741211
2020-06-25,8.90999984741211
2020-06-26,8.90999984741211
2020-06-29,8.4399995803833
2020-06-30,8.520000457763672
2020-07-01,8.0
2020-07-02,8.0
2020-07-06,8.0
2020-07-07,8.0
2020-07-08,8.0
2020-07-09,8.0
2020-07-10,7.599999904632568
2020-07-13,7.659999847412109
2020-07-14,7.659999847412109
2020-07-15,6.920000076293945
2020-07-16,7.675000190734863
2020-07-17,7.679999828338623
2020-07-20,8.076000213623047
2020-07-21,8.079999923706055
2020-07-22,8.079999923706055
2020-07-23,7.961999893188477
2020-07-24,8.0
2020-07-27,7.989999771118164
2020-07-28,7.059999942779541
2020-07-29,7.019999980926514
2020-07-30,7.019999980926514
2020-07-31,7.019999980926514
2020-08-03,7.139999866485596
2020-08-04,7.139999866485596
2020-08-05,7.139999866485596
2020-08-06,7.690000057220459
2020-08-07,7.690000057220459
2020-08-10,7.690000057220459
2020-08-11,7.139999866485596
2020-08-12,6.935999870300293
2020-08-13,6.78000020980835
2020-08-14,7.099999904632568
2020-08-17,7.099999904632568
2020-08-18,6.980000019073486
2020-08-19,7.050000190734863
2020-08-20,7.625999927520752
2020-08-21,7.440000057220459
2020-08-24,7.440000057220459
2020-08-25,7.46999979019165
2020-08-26,6.989999771118164
2020-08-27,6.764999866485596
2020-08-28,6.96999979019165
2020-08-31,6.579999923706055
2020-09-01,6.949999809265137
2020-09-02,6.829999923706055
2020-09-03,6.583000183105469
2020-09-04,5.949999809265137
2020-09-08,6.0
2020-09-09,6.690000057220459
2020-09-10,6.400000095367432
2020-09-11,6.440000057220459
2020-09-14,6.599999904632568
2020-09-15,6.900000095367432
2020-09-16,7.739999771118164
2020-09-17,7.474999904632568
2020-09-18,7.400000095367432
2020-09-21,7.300000190734863
2020-09-22,6.78000020980835
2020-09-23,6.630000114440918
2020-09-24,5.699999809265137
2020-09-25,5.800000190734863
2020-09-28,5.980000019073486
2020-09-29,5.980000019073486
2020-09-30,6.0
2020-10-01,6.0
2020-10-02,5.559999942779541
2020-10-05,5.71999979019165
2020-10-06,6.590000152587891
2020-10-07,6.120999813079834
2020-10-08,5.88700008392334
2020-10-09,5.75
2020-10-12,5.75
2020-10-13,5.75
2020-10-14,6.046999931335449
2020-10-15,6.179999828338623
2020-10-16,6.25
2020-10-19,5.690000057220459
2020-10-20,6.15500020980835
2020-10-21,6.440000057220459
2020-10-22,6.242000102996826
2020-10-23,6.230000019073486
2020-10-26,6.125
2020-10-27,5.610000133514404
2020-10-28,5.139999866485596
2020-10-29,5.23799991607666
2020-10-30,5.23799991607666
2020-11-02,5.739999771118164
2020-11-03,5.880000114440918
2020-11-04,6.519999980926514
2020-11-05,7.123000144958496
2020-11-06,7.5
2020-11-09,6.909999847412109
2020-11-10,7.150000095367432
2020-11-11,7.71999979019165
2020-11-12,7.51200008392334
2020-11-13,7.849999904632568
2020-11-16,8.029999732971191
2020-11-17,8.069999694824219
2020-11-18,8.460000038146973
2020-11-19,7.929999828338623
2020-11-20,7.699999809265137
2020-11-23,7.968999862670898
2020-11-24,8.3100004196167
2020-11-25,7.980000019073486
2020-11-27,9.526000022888184
2020-11-30,9.149999618530273
2020-12-01,9.979999542236328
2020-12-02,9.699999809265137
2020-12-03,9.164999961853027
2020-12-04,9.473999977111816
2020-12-07,10.069999694824219
2020-12-08,9.949999809265137
2020-12-09,9.567999839782715
2020-12-10,9.390000343322754
2020-12-11,9.119999885559082
2020-12-14,8.970000267028809
2020-12-15,8.779999732971191
2020-12-16,9.15999984741211
2020-12-17,10.199999809265137
2020-12-18,9.699999809265137
2020-12-21,9.835000038146973
2020-12-22,9.850000381469727
2020-12-23,9.75
2020-12-24,9.100000381469727
2020-12-28,9.557000160217285
2020-12-29,9.289999961853027
2020-12-30,9.949999809265137
2020-12-31,9.229999542236328
2021-01-04,9.770000457763672
2021-01-05,9.979999542236328
2021-01-06,10.0
2021-01-07,9.65999984741211
2021-01-08,9.880000114440918
2021-01-11,10.239999771118164
2021-01-12,11.0
2021-01-13,10.960000038146973
2021-01-14,10.989999771118164
2021-01-15,10.800000190734863
2021-01-19,12.01200008392334
2021-01-20,12.0
2021-01-21,11.720000267028809
2021-01-22,11.5
2021-01-25,10.710000038146973
2021-01-26,11.770000457763672
2021-01-27,11.5600004196167
2021-01-28,10.3100004196167
2021-01-29,10.539999961853027
2021-02-01,10.130000114440918
2021-02-02,10.725000381469727
2021-02-03,10.760000228881836
2021-02-04,11.529999732971191
2021-02-05,11.574999809265137
2021-02-08,9.550000190734863
2021-02-09,9.350000381469727
2021-02-10,9.34000015258789
2021-02-11,9.289999961853027
2021-02-12,9.050000190734863
2021-02-16,9.25
2021-02-17,9.079999923706055
2021-02-18,8.880000114440918
2021-02-19,9.25
2021-02-22,9.109999656677246
2021-02-23,8.725000381469727
2021-02-24,8.619999885559082
2021-02-25,8.670000076293945
2021-02-26,8.600000381469727
2021-03-01,8.84000015258789
2021-03-02,8.899999618530273
2021-03-03,8.960000038146973
2021-03-04,8.904000282287598
2021-03-05,7.947999954223633
2021-03-08,8.03600025177002
2021-03-09,7.889999866485596
2021-03-10,7.599999904632568
2021-03-11,7.755000114440918
2021-03-12,7.699999809265137
2021-03-15,7.260000228881836
2021-03-16,7.510000228881836
2021-03-17,7.415999889373779
2021-03-18,7.557000160217285
2021-03-19,7.559999942779541
2021-03-22,7.489999771118164
2021-03-23,7.380000114440918
2021-03-24,7.144999980926514
2021-03-25,7.400000095367432
2021-03-26,6.739999771118164
2021-03-29,6.920000076293945
2021-03-30,7.070000171661377
2021-03-31,7.040999889373779
2021-04-01,7.159999847412109
2021-04-05,7.159999847412109
2021-04-06,6.739999771118164
2021-04-07,6.909999847412109
2021-04-08,6.900000095367432
2021-04-09,6.789999961853027
2021-04-12,6.78000020980835
2021-04-13,6.800000190734863
2021-04-14,7.0
2021-04-15,7.156000137329102
2021-04-16,6.90500020980835
2021-04-19,7.179999828338623
2021-04-20,7.260000228881836
2021-04-21,7.175000190734863
2021-04-22,7.211999893188477
2021-04-23,7.289999961853027
2021-04-26,7.289999961853027
2021-04-27,7.300000190734863
2021-04-28,7.199999809265137
2021-04-29,7.0
2021-04-30,7.179999828338623
2021-05-03,7.010000228881836
2021-05-04,7.010000228881836
2021-05-05,7.010000228881836
2021-05-06,6.747000217437744
2021-05-07,7.03000020980835
2021-05-10,7.03000020980835
2021-05-11,6.96999979019165
2021-05-12,7.0
2021-05-13,6.510000228881836
2021-05-14,6.873000144958496
