,CRAI
1999-01-08,25.75
1999-01-11,27.25
1999-01-12,27.625
1999-01-13,26.25
1999-01-14,26.25
1999-01-15,29.125
1999-01-19,29.75
1999-01-20,30.375
1999-01-21,30.125
1999-01-22,30.0
1999-01-25,30.25
1999-01-26,27.625
1999-01-27,28.125
1999-01-28,28.25
1999-01-29,28.375
1999-02-01,28.125
1999-02-02,28.0
1999-02-03,28.0
1999-02-04,28.25
1999-02-05,29.125
1999-02-08,28.75
1999-02-09,29.0
1999-02-10,28.75
1999-02-11,29.0
1999-02-12,28.75
1999-02-16,28.5
1999-02-17,28.125
1999-02-18,28.125
1999-02-19,28.25
1999-02-22,28.375
1999-02-23,28.0
1999-02-24,28.25
1999-02-25,28.0
1999-02-26,27.875
1999-03-01,27.8125
1999-03-02,27.625
1999-03-03,27.5
1999-03-04,26.875
1999-03-05,26.75
1999-03-08,26.375
1999-03-09,26.375
1999-03-10,26.25
1999-03-11,25.25
1999-03-12,23.0
1999-03-15,22.875
1999-03-16,23.375
1999-03-17,23.75
1999-03-18,23.5
1999-03-19,23.375
1999-03-22,23.5
1999-03-23,23.375
1999-03-24,23.5
1999-03-25,23.5
1999-03-26,23.5
1999-03-29,23.75
1999-03-30,23.5
1999-03-31,24.125
1999-04-01,24.25
1999-04-05,24.5
1999-04-06,26.0
1999-04-07,26.0
1999-04-08,25.875
1999-04-09,25.75
1999-04-12,25.75
1999-04-13,25.625
1999-04-14,26.0
1999-04-15,25.625
1999-04-16,25.625
1999-04-19,24.875
1999-04-20,24.75
1999-04-21,25.625
1999-04-22,25.625
1999-04-23,25.625
1999-04-26,25.0
1999-04-27,22.25
1999-04-28,22.0
1999-04-29,22.5
1999-04-30,22.0
1999-05-03,21.6875
1999-05-04,21.375
1999-05-05,21.75
1999-05-06,22.375
1999-05-07,22.5
1999-05-10,21.75
1999-05-11,21.5
1999-05-12,21.5
1999-05-13,21.75
1999-05-14,21.375
1999-05-17,21.375
1999-05-18,21.375
1999-05-19,20.0
1999-05-20,19.0
1999-05-21,19.5
1999-05-24,19.125
1999-05-25,19.75
1999-05-26,18.4375
1999-05-27,20.5
1999-05-28,21.875
1999-06-01,22.0
1999-06-02,21.875
1999-06-03,21.6875
1999-06-04,21.25
1999-06-07,21.875
1999-06-08,22.5
1999-06-09,23.6875
1999-06-10,24.375
1999-06-11,24.5
1999-06-14,24.5
1999-06-15,24.375
1999-06-16,24.25
1999-06-17,23.8125
1999-06-18,24.0
1999-06-21,24.0
1999-06-22,23.875
1999-06-23,23.375
1999-06-24,23.25
1999-06-25,21.5
1999-06-28,21.875
1999-06-29,21.875
1999-06-30,25.0625
1999-07-01,23.875
1999-07-02,23.625
1999-07-06,25.375
1999-07-07,24.25
1999-07-08,24.0
1999-07-09,24.25
1999-07-12,24.375
1999-07-13,24.125
1999-07-14,24.0
1999-07-15,24.25
1999-07-16,24.25
1999-07-19,24.5
1999-07-20,24.5
1999-07-21,24.875
1999-07-22,25.0
1999-07-23,26.0
1999-07-26,26.5
1999-07-27,27.9375
1999-07-28,27.625
1999-07-29,27.25
1999-07-30,28.375
1999-08-02,28.375
1999-08-03,27.125
1999-08-04,25.0
1999-08-05,25.125
1999-08-06,26.5
1999-08-09,26.6875
1999-08-10,26.6875
1999-08-11,28.125
1999-08-12,28.0
1999-08-13,28.3125
1999-08-16,28.25
1999-08-17,29.125
1999-08-18,28.125
1999-08-19,28.375
1999-08-20,28.125
1999-08-23,28.125
1999-08-24,28.125
1999-08-25,28.0
1999-08-26,26.125
1999-08-27,25.75
1999-08-30,23.375
1999-08-31,24.25
1999-09-01,24.25
1999-09-02,24.25
1999-09-03,25.0
1999-09-07,25.5
1999-09-08,25.5
1999-09-09,25.875
1999-09-10,26.5
1999-09-13,26.8125
1999-09-14,26.8125
1999-09-15,26.5
1999-09-16,25.875
1999-09-17,26.0
1999-09-20,25.875
1999-09-21,26.0
1999-09-22,26.375
1999-09-23,27.0
1999-09-24,27.5
1999-09-27,27.25
1999-09-28,26.8125
1999-09-29,27.25
1999-09-30,27.875
1999-10-01,29.625
1999-10-04,29.0625
1999-10-05,28.125
1999-10-06,28.5
1999-10-07,28.875
1999-10-08,28.5
1999-10-11,28.375
1999-10-12,27.5
1999-10-13,25.375
1999-10-14,25.25
1999-10-15,24.5625
1999-10-18,23.75
1999-10-19,23.5
1999-10-20,25.0
1999-10-21,26.0
1999-10-22,25.625
1999-10-25,25.71875
1999-10-26,26.0
1999-10-27,26.25
1999-10-28,25.5
1999-10-29,25.25
1999-11-01,25.375
1999-11-02,25.5
1999-11-03,25.125
1999-11-04,25.375
1999-11-05,25.5
1999-11-08,25.125
1999-11-09,25.1875
1999-11-10,25.75
1999-11-11,25.25
1999-11-12,25.125
1999-11-15,25.5
1999-11-16,27.125
1999-11-17,26.6875
1999-11-18,26.875
1999-11-19,31.25
1999-11-22,31.375
1999-11-23,33.0
1999-11-24,33.25
1999-11-26,31.25
1999-11-29,30.0
1999-11-30,30.25
1999-12-01,30.25
1999-12-02,29.375
1999-12-03,29.9375
1999-12-06,29.0
1999-12-07,27.75
1999-12-08,28.875
1999-12-09,29.25
1999-12-10,31.5
1999-12-13,30.75
1999-12-14,30.5
1999-12-15,29.875
1999-12-16,29.875
1999-12-17,29.9375
1999-12-20,30.0625
1999-12-21,28.625
1999-12-22,28.75
1999-12-23,31.75
1999-12-27,31.125
1999-12-28,31.0
1999-12-29,31.75
1999-12-30,33.0
1999-12-31,33.5
2000-01-03,31.375
2000-01-04,29.75
2000-01-05,29.5
2000-01-06,30.25
2000-01-07,30.25
2000-01-10,28.125
2000-01-11,26.375
2000-01-12,26.0
2000-01-13,27.75
2000-01-14,27.25
2000-01-18,30.0
2000-01-19,30.0
2000-01-20,30.0
2000-01-21,29.875
2000-01-24,30.75
2000-01-25,28.75
2000-01-26,30.0
2000-01-27,30.25
2000-01-28,29.75
2000-01-31,30.25
2000-02-01,30.875
2000-02-02,30.0
2000-02-03,31.0
2000-02-04,31.25
2000-02-07,31.4375
2000-02-08,31.125
2000-02-09,31.125
2000-02-10,31.0
2000-02-11,31.125
2000-02-14,31.5
2000-02-15,31.25
2000-02-16,31.3125
2000-02-17,30.125
2000-02-18,29.75
2000-02-22,29.375
2000-02-23,28.5
2000-02-24,28.5625
2000-02-25,28.375
2000-02-28,28.625
2000-02-29,27.375
2000-03-01,26.5
2000-03-02,27.0
2000-03-03,27.75
2000-03-06,28.75
2000-03-07,28.75
2000-03-08,28.75
2000-03-09,28.9375
2000-03-10,28.625
2000-03-13,28.625
2000-03-14,25.5
2000-03-15,21.625
2000-03-16,20.5
2000-03-17,21.375
2000-03-20,20.0625
2000-03-21,20.6875
2000-03-22,20.75
2000-03-23,20.5
2000-03-24,20.5
2000-03-27,20.5
2000-03-28,19.9375
2000-03-29,19.75
2000-03-30,18.875
2000-03-31,19.4375
2000-04-03,19.25
2000-04-04,19.3125
2000-04-05,19.0625
2000-04-06,19.375
2000-04-07,18.625
2000-04-10,16.8125
2000-04-11,16.375
2000-04-12,15.0
2000-04-13,14.9375
2000-04-14,13.0
2000-04-17,13.5
2000-04-18,14.75
2000-04-19,15.125
2000-04-20,17.1875
2000-04-24,17.75
2000-04-25,19.75
2000-04-26,20.4375
2000-04-27,20.125
2000-04-28,20.3125
2000-05-01,19.8125
2000-05-02,19.875
2000-05-03,18.125
2000-05-04,18.5
2000-05-05,18.375
2000-05-08,18.5
2000-05-09,17.5
2000-05-10,17.625
2000-05-11,17.375
2000-05-12,18.1875
2000-05-15,19.1875
2000-05-16,19.125
2000-05-17,18.875
2000-05-18,18.8125
2000-05-19,18.6875
2000-05-22,18.4375
2000-05-23,17.6875
2000-05-24,17.8125
2000-05-25,17.8125
2000-05-26,17.75
2000-05-30,17.875
2000-05-31,17.875
2000-06-01,17.9375
2000-06-02,20.5
2000-06-05,22.0
2000-06-06,19.875
2000-06-07,19.75
2000-06-08,19.25
2000-06-09,16.9375
2000-06-12,18.125
2000-06-13,17.75
2000-06-14,16.75
2000-06-15,16.1875
2000-06-16,16.25
2000-06-19,16.5
2000-06-20,16.625
2000-06-21,16.8125
2000-06-22,16.375
2000-06-23,16.4375
2000-06-26,17.625
2000-06-27,16.3125
2000-06-28,15.5625
2000-06-29,14.625
2000-06-30,17.625
2000-07-03,15.125
2000-07-05,15.5
2000-07-06,15.0
2000-07-07,14.875
2000-07-10,15.15625
2000-07-11,15.25
2000-07-12,13.890625
2000-07-13,14.625
2000-07-14,14.4375
2000-07-17,13.5
2000-07-18,12.625
2000-07-19,12.0625
2000-07-20,12.5
2000-07-21,12.375
2000-07-24,12.0
2000-07-25,12.0
2000-07-26,12.0
2000-07-27,12.375
2000-07-28,12.125
2000-07-31,12.375
2000-08-01,12.125
2000-08-02,12.0
2000-08-03,12.375
2000-08-04,11.5
2000-08-07,12.375
2000-08-08,11.6875
2000-08-09,12.0
2000-08-10,11.5625
2000-08-11,11.75
2000-08-14,11.75
2000-08-15,11.875
2000-08-16,11.9375
2000-08-17,11.875
2000-08-18,11.75
2000-08-21,11.6875
2000-08-22,11.875
2000-08-23,11.5625
2000-08-24,11.1875
2000-08-25,11.125
2000-08-28,11.375
2000-08-29,11.0
2000-08-30,10.875
2000-08-31,11.25
2000-09-01,11.3125
2000-09-05,11.0
2000-09-06,11.0
2000-09-07,10.625
2000-09-08,10.75
2000-09-11,10.6875
2000-09-12,10.875
2000-09-13,11.0625
2000-09-14,11.625
2000-09-15,12.15625
2000-09-18,12.5625
2000-09-19,13.0
2000-09-20,13.09375
2000-09-21,13.5
2000-09-22,13.28125
2000-09-25,15.0
2000-09-26,12.75
2000-09-27,12.75
2000-09-28,12.125
2000-09-29,12.125
2000-10-02,11.9375
2000-10-03,11.75
2000-10-04,11.25
2000-10-05,11.078125
2000-10-06,10.25
2000-10-09,10.875
2000-10-10,11.0
2000-10-11,11.3125
2000-10-12,10.8125
2000-10-13,11.0625
2000-10-16,11.25
2000-10-17,11.5
2000-10-18,11.0
2000-10-19,11.0
2000-10-20,11.0
2000-10-23,10.875
2000-10-24,10.75
2000-10-25,11.0
2000-10-26,11.375
2000-10-27,10.75
2000-10-30,10.75
2000-10-31,11.125
2000-11-01,11.5
2000-11-02,12.9375
2000-11-03,13.0
2000-11-06,12.0
2000-11-07,11.875
2000-11-08,11.75
2000-11-09,11.625
2000-11-10,11.25
2000-11-13,10.875
2000-11-14,10.875
2000-11-15,11.0
2000-11-16,10.4375
2000-11-17,10.625
2000-11-20,10.625
2000-11-21,10.25
2000-11-22,10.0
2000-11-24,10.625
2000-11-27,10.0625
2000-11-28,10.0625
2000-11-29,9.75
2000-11-30,9.25
2000-12-01,9.375
2000-12-04,8.5
2000-12-05,8.125
2000-12-06,7.90625
2000-12-07,8.5
2000-12-08,8.625
2000-12-11,8.5
2000-12-12,8.5
2000-12-13,8.9375
2000-12-14,9.0
2000-12-15,9.5
2000-12-18,9.25
2000-12-19,9.25
2000-12-20,9.1875
2000-12-21,9.0625
2000-12-22,9.1875
2000-12-26,9.0625
2000-12-27,9.125
2000-12-28,10.375
2000-12-29,10.3125
2001-01-02,9.75
2001-01-03,10.25
2001-01-04,10.5
2001-01-05,10.5
2001-01-08,10.25
2001-01-09,8.9375
2001-01-10,8.5
2001-01-11,8.375
2001-01-12,8.6875
2001-01-16,8.5625
2001-01-17,8.75
2001-01-18,8.65625
2001-01-19,8.75
2001-01-22,8.875
2001-01-23,8.75
2001-01-24,9.125
2001-01-25,9.125
2001-01-26,8.75
2001-01-29,8.375
2001-01-30,8.78125
2001-01-31,8.1875
2001-02-01,8.5
2001-02-02,8.625
2001-02-05,8.6875
2001-02-06,8.75
2001-02-07,9.125
2001-02-08,9.25
2001-02-09,9.125
2001-02-12,9.125
2001-02-13,8.9375
2001-02-14,8.8125
2001-02-15,8.875
2001-02-16,8.84375
2001-02-20,8.0
2001-02-21,8.1875
2001-02-22,8.4375
2001-02-23,8.5
2001-02-26,8.1875
2001-02-27,8.125
2001-02-28,8.0
2001-03-01,8.21875
2001-03-02,8.34375
2001-03-05,8.4375
2001-03-06,8.875
2001-03-07,8.875
2001-03-08,8.90625
2001-03-09,8.53125
2001-03-12,8.65625
2001-03-13,9.125
2001-03-14,9.3125
2001-03-15,9.5
2001-03-16,9.375
2001-03-19,9.25
2001-03-20,9.25
2001-03-21,9.25
2001-03-22,9.4375
2001-03-23,9.4375
2001-03-26,9.5
2001-03-27,9.5
2001-03-28,9.5
2001-03-29,9.59375
2001-03-30,10.375
2001-04-02,10.375
2001-04-03,10.25
2001-04-04,10.75
2001-04-05,10.375
2001-04-06,10.125
2001-04-09,9.949999809265137
2001-04-10,10.0
2001-04-11,10.0
2001-04-12,10.0
2001-04-16,9.850000381469727
2001-04-17,9.880000114440918
2001-04-18,9.899999618530273
2001-04-19,10.039999961853027
2001-04-20,10.039999961853027
2001-04-23,10.0
2001-04-24,10.0
2001-04-25,10.100000381469727
2001-04-26,10.199999809265137
2001-04-27,10.359999656677246
2001-04-30,10.300000190734863
2001-05-01,10.100000381469727
2001-05-02,10.850000381469727
2001-05-03,10.800000190734863
2001-05-04,10.880000114440918
2001-05-07,10.880000114440918
2001-05-08,10.960000038146973
2001-05-09,10.949999809265137
2001-05-10,10.949999809265137
2001-05-11,10.779999732971191
2001-05-14,10.649999618530273
2001-05-15,10.949999809265137
2001-05-16,11.300000190734863
2001-05-17,11.300000190734863
2001-05-18,11.300000190734863
2001-05-21,12.25
2001-05-22,13.100000381469727
2001-05-23,14.300000190734863
2001-05-24,14.100000381469727
2001-05-25,13.930000305175781
2001-05-29,13.949999809265137
2001-05-30,13.899999618530273
2001-05-31,13.949999809265137
2001-06-01,14.029999732971191
2001-06-04,13.399999618530273
2001-06-05,15.100000381469727
2001-06-06,15.0
2001-06-07,14.800000190734863
2001-06-08,14.800000190734863
2001-06-11,14.600000381469727
2001-06-12,14.899999618530273
2001-06-13,15.0
2001-06-14,14.550000190734863
2001-06-15,14.5
2001-06-18,14.300000190734863
2001-06-19,14.279999732971191
2001-06-20,14.5
2001-06-21,14.399999618530273
2001-06-22,14.619999885559082
2001-06-25,17.0
2001-06-26,17.0
2001-06-27,17.440000534057617
2001-06-28,17.299999237060547
2001-06-29,17.5
2001-07-02,16.0
2001-07-03,16.950000762939453
2001-07-05,16.100000381469727
2001-07-06,16.670000076293945
2001-07-09,16.5
2001-07-10,16.399999618530273
2001-07-11,16.5
2001-07-12,17.209999084472656
2001-07-13,17.0
2001-07-16,16.809999465942383
2001-07-17,16.700000762939453
2001-07-18,17.5
2001-07-19,17.5
2001-07-20,17.5
2001-07-23,17.600000381469727
2001-07-24,17.5
2001-07-25,17.260000228881836
2001-07-26,16.8799991607666
2001-07-27,17.25
2001-07-30,17.100000381469727
2001-07-31,17.5
2001-08-01,17.25
2001-08-02,17.5
2001-08-03,17.0
2001-08-06,17.0
2001-08-07,17.059999465942383
2001-08-08,17.020000457763672
2001-08-09,17.100000381469727
2001-08-10,17.040000915527344
2001-08-13,16.950000762939453
2001-08-14,17.100000381469727
2001-08-15,17.010000228881836
2001-08-16,16.899999618530273
2001-08-17,16.040000915527344
2001-08-20,16.079999923706055
2001-08-21,16.079999923706055
2001-08-22,17.280000686645508
2001-08-23,17.0
2001-08-24,16.399999618530273
2001-08-27,16.600000381469727
2001-08-28,16.600000381469727
2001-08-29,16.299999237060547
2001-08-30,16.100000381469727
2001-08-31,16.0
2001-09-04,16.5
2001-09-05,16.5
2001-09-06,16.299999237060547
2001-09-07,16.950000762939453
2001-09-10,16.950000762939453
2001-09-17,15.949999809265137
2001-09-18,16.0
2001-09-19,14.510000228881836
2001-09-20,14.850000381469727
2001-09-21,12.850000381469727
2001-09-24,13.550000190734863
2001-09-25,15.720000267028809
2001-09-26,16.149999618530273
2001-09-27,16.530000686645508
2001-09-28,16.950000762939453
2001-10-01,17.0
2001-10-02,17.100000381469727
2001-10-03,17.1200008392334
2001-10-04,17.299999237060547
2001-10-05,17.399999618530273
2001-10-08,17.350000381469727
2001-10-09,17.0
2001-10-10,18.25
2001-10-11,17.950000762939453
2001-10-12,17.399999618530273
2001-10-15,17.399999618530273
2001-10-16,17.3799991607666
2001-10-17,17.639999389648438
2001-10-18,17.850000381469727
2001-10-19,18.25
2001-10-22,18.0
2001-10-23,17.75
2001-10-24,17.799999237060547
2001-10-25,18.0
2001-10-26,20.0
2001-10-29,19.0
2001-10-30,19.0
2001-10-31,18.989999771118164
2001-11-01,19.0
2001-11-02,19.0
2001-11-05,19.0
2001-11-06,17.649999618530273
2001-11-07,18.260000228881836
2001-11-08,18.299999237060547
2001-11-09,19.5
2001-11-12,19.450000762939453
2001-11-13,20.149999618530273
2001-11-14,20.299999237060547
2001-11-15,19.940000534057617
2001-11-16,19.799999237060547
2001-11-19,19.600000381469727
2001-11-20,19.739999771118164
2001-11-21,19.59000015258789
2001-11-23,19.59000015258789
2001-11-26,19.600000381469727
2001-11-27,19.399999618530273
2001-11-28,18.899999618530273
2001-11-29,19.0
2001-11-30,20.09000015258789
2001-12-03,19.0
2001-12-04,19.450000762939453
2001-12-05,19.0
2001-12-06,19.399999618530273
2001-12-07,19.299999237060547
2001-12-10,19.75
2001-12-11,19.350000381469727
2001-12-12,20.200000762939453
2001-12-13,20.149999618530273
2001-12-14,20.389999389648438
2001-12-17,19.899999618530273
2001-12-18,19.510000228881836
2001-12-19,19.5
2001-12-20,19.459999084472656
2001-12-21,20.049999237060547
2001-12-24,19.600000381469727
2001-12-26,19.100000381469727
2001-12-27,20.489999771118164
2001-12-28,19.520000457763672
2001-12-31,20.5
2002-01-02,19.950000762939453
2002-01-03,20.010000228881836
2002-01-04,20.5
2002-01-07,19.850000381469727
2002-01-08,19.600000381469727
2002-01-09,20.600000381469727
2002-01-10,20.600000381469727
2002-01-11,20.899999618530273
2002-01-14,20.75
2002-01-15,20.350000381469727
2002-01-16,20.0
2002-01-17,20.299999237060547
2002-01-18,20.200000762939453
2002-01-22,20.100000381469727
2002-01-23,20.299999237060547
2002-01-24,21.0
2002-01-25,21.059999465942383
2002-01-28,21.5
2002-01-29,21.649999618530273
2002-01-30,21.059999465942383
2002-01-31,20.0
2002-02-01,19.600000381469727
2002-02-04,19.709999084472656
2002-02-05,19.950000762939453
2002-02-06,20.649999618530273
2002-02-07,19.90999984741211
2002-02-08,20.489999771118164
2002-02-11,19.809999465942383
2002-02-12,19.049999237060547
2002-02-13,19.5
2002-02-14,20.93000030517578
2002-02-15,20.81999969482422
2002-02-19,19.799999237060547
2002-02-20,20.3799991607666
2002-02-21,20.299999237060547
2002-02-22,20.700000762939453
2002-02-25,20.549999237060547
2002-02-26,20.549999237060547
2002-02-27,21.899999618530273
2002-02-28,20.149999618530273
2002-03-01,20.829999923706055
2002-03-04,20.440000534057617
2002-03-05,20.0
2002-03-06,19.850000381469727
2002-03-07,19.979999542236328
2002-03-08,19.549999237060547
2002-03-11,19.93000030517578
2002-03-12,18.75
2002-03-13,18.299999237060547
2002-03-14,18.5
2002-03-15,18.049999237060547
2002-03-18,16.010000228881836
2002-03-19,15.800000190734863
2002-03-20,15.920000076293945
2002-03-21,15.800000190734863
2002-03-22,15.5
2002-03-25,15.800000190734863
2002-03-26,15.859999656677246
2002-03-27,16.0
2002-03-28,15.050000190734863
2002-04-01,15.399999618530273
2002-04-02,15.399999618530273
2002-04-03,14.0
2002-04-04,13.960000038146973
2002-04-05,14.050000190734863
2002-04-08,14.0
2002-04-09,13.649999618530273
2002-04-10,14.25
2002-04-11,14.600000381469727
2002-04-12,16.299999237060547
2002-04-15,15.949999809265137
2002-04-16,17.040000915527344
2002-04-17,16.0
2002-04-18,17.5
2002-04-19,17.0
2002-04-22,17.489999771118164
2002-04-23,17.0
2002-04-24,17.139999389648438
2002-04-25,16.149999618530273
2002-04-26,17.489999771118164
2002-04-29,16.399999618530273
2002-04-30,16.360000610351562
2002-05-01,16.5
2002-05-02,17.799999237060547
2002-05-03,17.25
2002-05-06,16.760000228881836
2002-05-07,17.149999618530273
2002-05-08,17.100000381469727
2002-05-09,17.049999237060547
2002-05-10,17.149999618530273
2002-05-13,17.1200008392334
2002-05-14,16.399999618530273
2002-05-15,15.0
2002-05-16,15.550000190734863
2002-05-17,15.5
2002-05-20,14.550000190734863
2002-05-21,13.260000228881836
2002-05-22,12.0
2002-05-23,13.979999542236328
2002-05-24,13.819999694824219
2002-05-28,13.899999618530273
2002-05-29,13.899999618530273
2002-05-30,13.75
2002-05-31,14.640000343322754
2002-06-03,14.600000381469727
2002-06-04,15.0
2002-06-05,15.5
2002-06-06,15.0
2002-06-07,14.479999542236328
2002-06-10,14.800000190734863
2002-06-11,15.279999732971191
2002-06-12,14.529999732971191
2002-06-13,14.850000381469727
2002-06-14,14.850000381469727
2002-06-17,15.09000015258789
2002-06-18,15.149999618530273
2002-06-19,15.180000305175781
2002-06-20,15.399999618530273
2002-06-21,16.100000381469727
2002-06-24,16.649999618530273
2002-06-25,16.760000228881836
2002-06-26,17.25
2002-06-27,19.969999313354492
2002-06-28,20.040000915527344
2002-07-01,19.0
2002-07-02,18.5
2002-07-03,18.350000381469727
2002-07-05,19.0
2002-07-08,18.81999969482422
2002-07-09,18.850000381469727
2002-07-10,18.850000381469727
2002-07-11,18.59000015258789
2002-07-12,18.100000381469727
2002-07-15,17.549999237060547
2002-07-16,16.780000686645508
2002-07-17,17.3700008392334
2002-07-18,17.290000915527344
2002-07-19,17.399999618530273
2002-07-22,17.0
2002-07-23,15.6899995803833
2002-07-24,18.0
2002-07-25,17.75
2002-07-26,17.25
2002-07-29,17.600000381469727
2002-07-30,17.59000015258789
2002-07-31,17.440000534057617
2002-08-01,17.010000228881836
2002-08-02,17.190000534057617
2002-08-05,16.450000762939453
2002-08-06,17.110000610351562
2002-08-07,17.100000381469727
2002-08-08,16.700000762939453
2002-08-09,16.290000915527344
2002-08-12,16.0
2002-08-13,16.170000076293945
2002-08-14,15.920000076293945
2002-08-15,16.0
2002-08-16,15.9399995803833
2002-08-19,16.049999237060547
2002-08-20,16.100000381469727
2002-08-21,16.600000381469727
2002-08-22,17.0
2002-08-23,16.549999237060547
2002-08-26,17.040000915527344
2002-08-27,16.549999237060547
2002-08-28,16.549999237060547
2002-08-29,16.700000762939453
2002-08-30,17.110000610351562
2002-09-03,16.389999389648438
2002-09-04,16.739999771118164
2002-09-05,16.399999618530273
2002-09-06,17.170000076293945
2002-09-09,17.0
2002-09-10,16.760000228881836
2002-09-11,16.209999084472656
2002-09-12,16.149999618530273
2002-09-13,16.149999618530273
2002-09-16,16.100000381469727
2002-09-17,15.960000038146973
2002-09-18,16.25
2002-09-19,15.850000381469727
2002-09-20,15.4399995803833
2002-09-23,16.549999237060547
2002-09-24,16.329999923706055
2002-09-25,16.489999771118164
2002-09-26,16.899999618530273
2002-09-27,16.530000686645508
2002-09-30,16.600000381469727
2002-10-01,17.0
2002-10-02,16.25
2002-10-03,14.90999984741211
2002-10-04,15.119999885559082
2002-10-07,13.770000457763672
2002-10-08,12.75
2002-10-09,12.789999961853027
2002-10-10,13.489999771118164
2002-10-11,12.880000114440918
2002-10-14,13.899999618530273
2002-10-15,14.300000190734863
2002-10-16,12.300000190734863
2002-10-17,14.600000381469727
2002-10-18,15.029999732971191
2002-10-21,16.049999237060547
2002-10-22,16.059999465942383
2002-10-23,16.299999237060547
2002-10-24,15.770000457763672
2002-10-25,15.989999771118164
2002-10-28,15.640000343322754
2002-10-29,15.6899995803833
2002-10-30,15.670000076293945
2002-10-31,15.670000076293945
2002-11-01,16.25
2002-11-04,17.079999923706055
2002-11-05,17.1200008392334
2002-11-06,17.0
2002-11-07,16.350000381469727
2002-11-08,16.329999923706055
2002-11-11,14.390000343322754
2002-11-12,15.25
2002-11-13,16.329999923706055
2002-11-14,15.850000381469727
2002-11-15,16.010000228881836
2002-11-18,15.5
