,ANAB
2017-11-15,71.88999938964844
2017-11-16,74.86000061035156
2017-11-17,76.63999938964844
2017-11-20,75.26000213623047
2017-11-21,79.2300033569336
2017-11-22,78.18000030517578
2017-11-24,81.45999908447266
2017-11-27,79.77999877929688
2017-11-28,81.54000091552734
2017-11-29,79.7699966430664
2017-11-30,84.05000305175781
2017-12-01,84.38999938964844
2017-12-04,85.41999816894531
2017-12-05,84.72000122070312
2017-12-06,81.94999694824219
2017-12-07,88.81999969482422
2017-12-08,87.83999633789062
2017-12-11,87.94999694824219
2017-12-12,87.11000061035156
2017-12-13,88.0199966430664
2017-12-14,88.75
2017-12-15,91.95999908447266
2017-12-18,91.91999816894531
2017-12-19,92.0
2017-12-20,91.83000183105469
2017-12-21,93.9000015258789
2017-12-22,98.56999969482422
2017-12-26,100.0199966430664
2017-12-27,100.80000305175781
2017-12-28,100.33999633789062
2017-12-29,100.72000122070312
2018-01-02,100.58000183105469
2018-01-03,100.9800033569336
2018-01-04,102.97000122070312
2018-01-05,101.4800033569336
2018-01-08,102.56999969482422
2018-01-09,103.5199966430664
2018-01-10,111.29000091552734
2018-01-11,110.19999694824219
2018-01-12,112.4000015258789
2018-01-16,110.02999877929688
2018-01-17,111.55999755859375
2018-01-18,110.44999694824219
2018-01-19,114.91000366210938
2018-01-22,114.7750015258789
2018-01-23,114.79000091552734
2018-01-24,116.91000366210938
2018-01-25,113.51000213623047
2018-01-26,106.83999633789062
2018-01-29,110.51000213623047
2018-01-30,106.69000244140625
2018-01-31,105.38999938964844
2018-02-01,105.5
2018-02-02,104.80999755859375
2018-02-05,100.5
2018-02-06,102.3499984741211
2018-02-07,111.93000030517578
2018-02-08,104.80000305175781
2018-02-09,104.33000183105469
2018-02-12,107.29000091552734
2018-02-13,114.16000366210938
2018-02-14,124.7699966430664
2018-02-15,119.86000061035156
2018-02-16,126.44999694824219
2018-02-20,121.02999877929688
2018-02-21,121.05000305175781
2018-02-22,119.43000030517578
2018-02-23,123.12000274658203
2018-02-26,126.37999725341797
2018-02-27,125.26000213623047
2018-02-28,122.76000213623047
2018-03-01,122.88999938964844
2018-03-02,128.5500030517578
2018-03-05,118.97000122070312
2018-03-06,120.05000305175781
2018-03-07,122.86000061035156
2018-03-08,117.18000030517578
2018-03-09,116.87000274658203
2018-03-12,113.30000305175781
2018-03-13,113.41999816894531
2018-03-14,116.16999816894531
2018-03-15,112.05999755859375
2018-03-16,112.54000091552734
2018-03-19,109.41999816894531
2018-03-20,113.7300033569336
2018-03-21,114.7699966430664
2018-03-22,110.12999725341797
2018-03-23,110.47000122070312
2018-03-26,113.83000183105469
2018-03-27,107.5199966430664
2018-03-28,108.01000213623047
2018-03-29,104.08000183105469
2018-04-02,94.0199966430664
2018-04-03,90.04000091552734
2018-04-04,94.3499984741211
2018-04-05,87.31999969482422
2018-04-06,85.51000213623047
2018-04-09,88.0999984741211
2018-04-10,89.48999786376953
2018-04-11,89.4800033569336
2018-04-12,91.11000061035156
2018-04-13,88.19999694824219
2018-04-16,87.48999786376953
2018-04-17,91.51000213623047
2018-04-18,92.62000274658203
2018-04-19,90.87000274658203
2018-04-20,91.66999816894531
2018-04-23,93.1500015258789
2018-04-24,87.0199966430664
2018-04-25,85.3499984741211
2018-04-26,87.77999877929688
2018-04-27,93.23999786376953
2018-04-30,93.77999877929688
2018-05-01,96.33000183105469
2018-05-02,94.0199966430664
2018-05-03,94.66999816894531
2018-05-04,93.62999725341797
2018-05-07,89.27999877929688
2018-05-08,88.63999938964844
2018-05-09,89.69999694824219
2018-05-10,89.75
2018-05-11,89.80999755859375
2018-05-14,89.73999786376953
2018-05-15,89.31999969482422
2018-05-16,88.88999938964844
2018-05-17,89.38999938964844
2018-05-18,87.56999969482422
2018-05-21,86.94999694824219
2018-05-22,86.19999694824219
2018-05-23,81.9800033569336
2018-05-24,82.66999816894531
2018-05-25,77.9000015258789
2018-05-29,77.0999984741211
2018-05-30,76.9800033569336
2018-05-31,77.80000305175781
2018-06-01,76.58000183105469
2018-06-04,79.33999633789062
2018-06-05,78.58000183105469
2018-06-06,75.88999938964844
