,EPAY
2000-03-14,48.6875
2000-03-15,47.375
2000-03-16,47.1875
2000-03-17,48.75
2000-03-20,46.75
2000-03-21,44.125
2000-03-22,44.0625
2000-03-23,44.125
2000-03-24,47.25
2000-03-27,49.625
2000-03-28,48.375
2000-03-29,43.625
2000-03-30,37.0625
2000-03-31,36.4375
2000-04-03,34.8125
2000-04-04,35.125
2000-04-05,39.5
2000-04-06,40.125
2000-04-07,51.328125
2000-04-10,50.25
2000-04-11,48.125
2000-04-12,45.546875
2000-04-13,42.75
2000-04-14,30.171875
2000-04-17,34.25
2000-04-18,36.75
2000-04-19,39.9375
2000-04-20,36.875
2000-04-24,38.0
2000-04-25,42.125
2000-04-26,40.25
2000-04-27,37.0
2000-04-28,36.0
2000-05-01,38.25
2000-05-02,37.25
2000-05-03,37.0
2000-05-04,37.203125
2000-05-05,37.4375
2000-05-08,36.6875
2000-05-09,37.4375
2000-05-10,34.5625
2000-05-11,35.375
2000-05-12,33.5
2000-05-15,33.25
2000-05-16,34.5
2000-05-17,34.125
2000-05-18,34.5
2000-05-19,34.25
2000-05-22,31.5625
2000-05-23,28.875
2000-05-24,25.0
2000-05-25,27.125
2000-05-26,28.125
2000-05-30,30.0
2000-05-31,30.5625
2000-06-01,34.0
2000-06-02,36.375
2000-06-05,35.0625
2000-06-06,34.6875
2000-06-07,34.75
2000-06-08,34.0
2000-06-09,33.75
2000-06-12,31.5625
2000-06-13,31.4375
2000-06-14,33.125
2000-06-15,32.5625
2000-06-16,31.1875
2000-06-19,30.25
2000-06-20,31.125
2000-06-21,32.75
2000-06-22,32.125
2000-06-23,30.8125
2000-06-26,31.921875
2000-06-27,31.875
2000-06-28,32.0
2000-06-29,32.0625
2000-06-30,34.1875
2000-07-03,30.0
2000-07-05,30.9375
2000-07-06,30.875
2000-07-07,29.25
2000-07-10,30.0
2000-07-11,29.875
2000-07-12,28.875
2000-07-13,28.5
2000-07-14,29.5
2000-07-17,28.875
2000-07-18,26.75
2000-07-19,27.375
2000-07-20,27.0
2000-07-21,28.0
2000-07-24,27.25
2000-07-25,27.3125
2000-07-26,26.75
2000-07-27,25.125
2000-07-28,24.5625
2000-07-31,23.5
2000-08-01,21.125
2000-08-02,19.75
2000-08-03,25.5
2000-08-04,26.625
2000-08-07,26.0
2000-08-08,28.75
2000-08-09,28.5625
2000-08-10,28.125
2000-08-11,28.6875
2000-08-14,28.125
2000-08-15,28.25
2000-08-16,31.0
2000-08-17,29.25
2000-08-18,33.0
2000-08-21,30.625
2000-08-22,32.5
2000-08-23,32.0
2000-08-24,32.0625
2000-08-25,30.875
2000-08-28,30.25
2000-08-29,28.0
2000-08-30,30.125
2000-08-31,31.6875
2000-09-01,33.75
2000-09-05,32.75
2000-09-06,32.875
2000-09-07,32.75
2000-09-08,32.25
2000-09-11,33.25
2000-09-12,34.0
2000-09-13,34.6875
2000-09-14,35.375
2000-09-15,35.6875
2000-09-18,34.53125
2000-09-19,35.25
2000-09-20,36.25
2000-09-21,36.953125
2000-09-22,37.0
2000-09-25,38.0
2000-09-26,37.125
2000-09-27,37.0
2000-09-28,38.0
2000-09-29,37.3125
2000-10-02,41.4375
2000-10-03,41.75
2000-10-04,40.75
2000-10-05,37.625
2000-10-06,34.75
2000-10-09,35.9375
2000-10-10,34.75
2000-10-11,34.4375
2000-10-12,31.375
2000-10-13,31.9375
2000-10-16,34.375
2000-10-17,34.625
2000-10-18,33.25
2000-10-19,34.4375
2000-10-20,37.5
2000-10-23,35.875
2000-10-24,35.75
2000-10-25,35.75
2000-10-26,34.125
2000-10-27,33.625
2000-10-30,32.125
2000-10-31,35.0625
2000-11-01,35.5
2000-11-02,37.4375
2000-11-03,37.875
2000-11-06,37.875
2000-11-07,38.875
2000-11-08,38.375
2000-11-09,38.3125
2000-11-10,33.0625
2000-11-13,34.375
2000-11-14,35.0
2000-11-15,33.5625
2000-11-16,31.5
2000-11-17,31.875
2000-11-20,29.25
2000-11-21,27.96875
2000-11-22,25.8125
2000-11-24,25.625
2000-11-27,25.0
2000-11-28,22.5
2000-11-29,20.3125
2000-11-30,17.25
2000-12-01,16.5625
2000-12-04,16.0
2000-12-05,18.0
2000-12-06,18.0625
2000-12-07,17.9375
2000-12-08,19.75
2000-12-11,27.0
2000-12-12,24.5625
2000-12-13,23.125
2000-12-14,23.875
2000-12-15,23.375
2000-12-18,23.0625
2000-12-19,21.375
2000-12-20,18.5625
2000-12-21,20.3125
2000-12-22,23.5
2000-12-26,24.4375
2000-12-27,24.5
2000-12-28,25.6875
2000-12-29,25.6875
2001-01-02,23.5
2001-01-03,28.625
2001-01-04,23.75
2001-01-05,22.1875
2001-01-08,19.6875
2001-01-09,19.0
2001-01-10,19.1875
2001-01-11,20.125
2001-01-12,19.875
2001-01-16,23.25
2001-01-17,23.75
2001-01-18,23.0
2001-01-19,25.0
2001-01-22,24.0
2001-01-23,27.375
2001-01-24,26.5
2001-01-25,25.8125
2001-01-26,26.75
2001-01-29,25.1875
2001-01-30,25.625
2001-01-31,24.5
2001-02-01,20.0625
2001-02-02,20.0625
2001-02-05,19.1875
2001-02-06,18.3125
2001-02-07,16.5625
2001-02-08,16.375
2001-02-09,15.9375
2001-02-12,16.5625
2001-02-13,15.125
2001-02-14,14.5625
2001-02-15,14.875
2001-02-16,15.3125
2001-02-20,13.0
2001-02-21,12.3125
2001-02-22,12.5
2001-02-23,12.6875
2001-02-26,12.25
2001-02-27,11.0625
2001-02-28,10.15625
2001-03-01,9.09375
2001-03-02,9.3125
2001-03-05,9.0625
2001-03-06,9.46875
2001-03-07,9.25
2001-03-08,8.75
2001-03-09,7.875
2001-03-12,7.6875
2001-03-13,7.09375
2001-03-14,6.875
2001-03-15,6.125
2001-03-16,5.75
2001-03-19,5.8125
2001-03-20,5.78125
2001-03-21,6.5
2001-03-22,6.5
2001-03-23,7.0
2001-03-26,7.0
2001-03-27,6.9375
2001-03-28,6.9375
2001-03-29,6.4375
2001-03-30,7.28125
2001-04-02,5.90625
2001-04-03,2.90625
2001-04-04,3.4375
2001-04-05,3.875
2001-04-06,3.40625
2001-04-09,4.050000190734863
2001-04-10,4.019999980926514
2001-04-11,3.509999990463257
2001-04-12,3.9000000953674316
2001-04-16,3.75
2001-04-17,3.809999942779541
2001-04-18,4.0
2001-04-19,3.299999952316284
2001-04-20,3.549999952316284
2001-04-23,3.3499999046325684
2001-04-24,3.4600000381469727
2001-04-25,3.4600000381469727
2001-04-26,3.450000047683716
2001-04-27,3.4100000858306885
2001-04-30,3.569999933242798
2001-05-01,3.380000114440918
2001-05-02,3.490000009536743
2001-05-03,3.450000047683716
2001-05-04,3.450000047683716
2001-05-07,3.4200000762939453
2001-05-08,3.299999952316284
2001-05-09,3.1600000858306885
2001-05-10,3.2799999713897705
2001-05-11,3.3399999141693115
2001-05-14,3.25
2001-05-15,3.640000104904175
2001-05-16,5.199999809265137
2001-05-17,5.659999847412109
2001-05-18,5.559999942779541
2001-05-21,7.599999904632568
2001-05-22,8.489999771118164
2001-05-23,7.25
2001-05-24,7.570000171661377
2001-05-25,7.199999809265137
2001-05-29,6.960000038146973
2001-05-30,6.25
2001-05-31,6.920000076293945
2001-06-01,6.760000228881836
2001-06-04,6.550000190734863
2001-06-05,6.179999828338623
2001-06-06,5.769999980926514
2001-06-07,5.5
2001-06-08,5.599999904632568
2001-06-11,5.510000228881836
2001-06-12,5.25
2001-06-13,5.019999980926514
2001-06-14,4.800000190734863
2001-06-15,4.25
2001-06-18,3.9700000286102295
2001-06-19,4.400000095367432
2001-06-20,4.980000019073486
2001-06-21,5.510000228881836
2001-06-22,5.519999980926514
2001-06-25,5.480000019073486
2001-06-26,5.300000190734863
2001-06-27,5.199999809265137
2001-06-28,5.21999979019165
2001-06-29,5.400000095367432
2001-07-02,5.010000228881836
2001-07-03,5.300000190734863
2001-07-05,4.690000057220459
2001-07-06,4.260000228881836
2001-07-09,4.46999979019165
2001-07-10,4.050000190734863
2001-07-11,4.75
2001-07-12,4.670000076293945
2001-07-13,4.75
2001-07-16,5.070000171661377
2001-07-17,4.989999771118164
2001-07-18,4.409999847412109
2001-07-19,6.199999809265137
2001-07-20,5.840000152587891
2001-07-23,5.28000020980835
2001-07-24,5.03000020980835
2001-07-25,5.340000152587891
2001-07-26,4.909999847412109
2001-07-27,5.269999980926514
2001-07-30,5.150000095367432
2001-07-31,5.050000190734863
2001-08-01,4.96999979019165
2001-08-02,5.150000095367432
2001-08-03,5.380000114440918
2001-08-06,5.300000190734863
2001-08-07,5.25
2001-08-08,5.699999809265137
2001-08-09,6.0
2001-08-10,6.099999904632568
2001-08-13,5.809999942779541
2001-08-14,5.840000152587891
2001-08-15,5.630000114440918
2001-08-16,5.599999904632568
2001-08-17,5.25
2001-08-20,5.0
2001-08-21,5.059999942779541
2001-08-22,5.28000020980835
2001-08-23,5.199999809265137
2001-08-24,5.230000019073486
2001-08-27,5.320000171661377
2001-08-28,5.449999809265137
2001-08-29,5.400000095367432
2001-08-30,5.25
2001-08-31,5.480000019073486
2001-09-04,5.059999942779541
2001-09-05,5.090000152587891
2001-09-06,4.929999828338623
2001-09-07,4.5
2001-09-10,4.429999828338623
2001-09-17,3.9600000381469727
2001-09-18,4.25
2001-09-19,4.400000095367432
2001-09-20,4.159999847412109
2001-09-21,4.869999885559082
2001-09-24,4.909999847412109
2001-09-25,5.050000190734863
2001-09-26,4.449999809265137
2001-09-27,5.0
2001-09-28,4.980000019073486
2001-10-01,4.449999809265137
2001-10-02,4.840000152587891
2001-10-03,5.329999923706055
2001-10-04,5.300000190734863
2001-10-05,5.480000019073486
2001-10-08,5.300000190734863
2001-10-09,5.389999866485596
2001-10-10,5.699999809265137
2001-10-11,5.880000114440918
2001-10-12,5.550000190734863
2001-10-15,5.960000038146973
2001-10-16,6.269999980926514
2001-10-17,5.849999904632568
2001-10-18,6.429999828338623
2001-10-19,6.489999771118164
2001-10-22,6.309999942779541
2001-10-23,7.090000152587891
2001-10-24,7.400000095367432
2001-10-25,7.650000095367432
2001-10-26,7.019999980926514
2001-10-29,6.809999942779541
2001-10-30,6.570000171661377
2001-10-31,7.0
2001-11-01,7.199999809265137
2001-11-02,6.929999828338623
2001-11-05,6.599999904632568
2001-11-06,7.5
2001-11-07,7.639999866485596
2001-11-08,7.679999828338623
2001-11-09,8.0
2001-11-12,8.220000267028809
2001-11-13,8.34000015258789
2001-11-14,8.069999694824219
2001-11-15,8.0
2001-11-16,7.989999771118164
2001-11-19,7.829999923706055
2001-11-20,7.519999980926514
2001-11-21,7.489999771118164
2001-11-23,7.789999961853027
2001-11-26,7.75
2001-11-27,7.420000076293945
2001-11-28,7.099999904632568
2001-11-29,7.130000114440918
2001-11-30,7.480000019073486
2001-12-03,7.440000057220459
2001-12-04,7.300000190734863
2001-12-05,7.329999923706055
2001-12-06,7.800000190734863
2001-12-07,8.050000190734863
2001-12-10,9.350000381469727
2001-12-11,9.800000190734863
2001-12-12,9.699999809265137
2001-12-13,9.449999809265137
2001-12-14,9.0
2001-12-17,9.180000305175781
2001-12-18,9.550000190734863
2001-12-19,9.800000190734863
2001-12-20,9.850000381469727
2001-12-21,9.850000381469727
2001-12-24,10.130000114440918
2001-12-26,10.449999809265137
2001-12-27,10.949999809265137
2001-12-28,10.75
2001-12-31,10.829999923706055
2002-01-02,10.319999694824219
2002-01-03,9.5
2002-01-04,9.869999885559082
2002-01-07,10.300000190734863
2002-01-08,11.720000267028809
2002-01-09,12.399999618530273
2002-01-10,11.850000381469727
2002-01-11,11.75
2002-01-14,9.9399995803833
2002-01-15,10.34000015258789
2002-01-16,9.579999923706055
2002-01-17,10.229999542236328
2002-01-18,11.5
2002-01-22,11.0
2002-01-23,10.989999771118164
2002-01-24,10.609999656677246
2002-01-25,10.399999618530273
2002-01-28,10.75
2002-01-29,10.40999984741211
2002-01-30,9.569999694824219
2002-01-31,8.869999885559082
2002-02-01,8.680000305175781
2002-02-04,8.380000114440918
2002-02-05,8.0
2002-02-06,8.4399995803833
2002-02-07,8.15999984741211
2002-02-08,9.0600004196167
2002-02-11,8.34000015258789
2002-02-12,8.100000381469727
2002-02-13,8.460000038146973
2002-02-14,8.109999656677246
2002-02-15,8.0
2002-02-19,8.460000038146973
2002-02-20,8.210000038146973
2002-02-21,8.1899995803833
2002-02-22,8.100000381469727
2002-02-25,8.199999809265137
2002-02-26,8.90999984741211
2002-02-27,8.619999885559082
2002-02-28,8.479999542236328
2002-03-01,8.649999618530273
2002-03-04,9.40999984741211
2002-03-05,9.850000381469727
2002-03-06,9.859999656677246
2002-03-07,9.930000305175781
2002-03-08,9.739999771118164
2002-03-11,9.6899995803833
2002-03-12,9.789999961853027
2002-03-13,9.8100004196167
2002-03-14,9.75
2002-03-15,9.369999885559082
2002-03-18,9.529999732971191
2002-03-19,9.399999618530273
2002-03-20,8.890000343322754
2002-03-21,8.8100004196167
2002-03-22,8.869999885559082
2002-03-25,8.630000114440918
2002-03-26,7.400000095367432
2002-03-27,7.96999979019165
2002-03-28,8.449999809265137
2002-04-01,8.989999771118164
2002-04-02,8.520000457763672
2002-04-03,9.0
2002-04-04,9.130000114440918
2002-04-05,9.180000305175781
2002-04-08,9.270000457763672
2002-04-09,9.149999618530273
2002-04-10,9.149999618530273
2002-04-11,9.25
2002-04-12,9.0
2002-04-15,9.220000267028809
2002-04-16,9.390000343322754
2002-04-17,9.949999809265137
2002-04-18,9.630000114440918
2002-04-19,9.4399995803833
2002-04-22,9.0600004196167
2002-04-23,8.8100004196167
2002-04-24,8.989999771118164
2002-04-25,9.050000190734863
2002-04-26,9.59000015258789
2002-04-29,9.210000038146973
2002-04-30,9.680000305175781
2002-05-01,6.429999828338623
2002-05-02,6.739999771118164
2002-05-03,7.050000190734863
2002-05-06,7.710000038146973
2002-05-07,7.550000190734863
2002-05-08,7.849999904632568
2002-05-09,7.789999961853027
2002-05-10,7.630000114440918
2002-05-13,7.610000133514404
2002-05-14,7.860000133514404
2002-05-15,7.78000020980835
2002-05-16,7.699999809265137
2002-05-17,7.710000038146973
2002-05-20,7.599999904632568
2002-05-21,7.599999904632568
2002-05-22,7.610000133514404
2002-05-23,7.860000133514404
2002-05-24,7.639999866485596
2002-05-28,7.550000190734863
2002-05-29,7.400000095367432
2002-05-30,7.400000095367432
2002-05-31,7.400000095367432
2002-06-03,7.170000076293945
2002-06-04,6.789999961853027
2002-06-05,6.800000190734863
2002-06-06,6.989999771118164
2002-06-07,7.010000228881836
2002-06-10,6.800000190734863
2002-06-11,6.639999866485596
2002-06-12,6.699999809265137
2002-06-13,7.0
2002-06-14,6.5
2002-06-17,5.800000190734863
2002-06-18,6.0
2002-06-19,5.800000190734863
2002-06-20,5.800000190734863
2002-06-21,5.650000095367432
2002-06-24,5.599999904632568
2002-06-25,5.5
2002-06-26,5.630000114440918
2002-06-27,5.710000038146973
2002-06-28,5.639999866485596
2002-07-01,5.5
2002-07-02,5.28000020980835
2002-07-03,5.409999847412109
2002-07-05,5.730000019073486
2002-07-08,5.579999923706055
2002-07-09,5.489999771118164
2002-07-10,5.400000095367432
2002-07-11,6.099999904632568
2002-07-12,5.920000076293945
2002-07-15,5.650000095367432
2002-07-16,6.159999847412109
2002-07-17,5.710000038146973
2002-07-18,5.789999961853027
2002-07-19,5.510000228881836
2002-07-22,5.539999961853027
2002-07-23,5.510000228881836
2002-07-24,5.449999809265137
2002-07-25,5.079999923706055
2002-07-26,4.949999809265137
2002-07-29,5.0
2002-07-30,5.320000171661377
2002-07-31,5.5
2002-08-01,5.159999847412109
2002-08-02,5.199999809265137
2002-08-05,4.980000019073486
2002-08-06,5.179999828338623
2002-08-07,5.349999904632568
2002-08-08,5.210000038146973
2002-08-09,5.289999961853027
2002-08-12,5.420000076293945
2002-08-13,5.849999904632568
2002-08-14,5.849999904632568
2002-08-15,5.71999979019165
2002-08-16,5.989999771118164
2002-08-19,6.429999828338623
2002-08-20,6.5
2002-08-21,6.289999961853027
2002-08-22,6.5
2002-08-23,5.380000114440918
2002-08-26,6.010000228881836
2002-08-27,6.0
2002-08-28,5.989999771118164
2002-08-29,5.5
2002-08-30,5.349999904632568
2002-09-03,5.28000020980835
2002-09-04,5.25
2002-09-05,5.25
2002-09-06,5.360000133514404
2002-09-09,5.199999809265137
2002-09-10,5.369999885559082
2002-09-11,5.570000171661377
2002-09-12,5.28000020980835
2002-09-13,5.139999866485596
2002-09-16,5.0
2002-09-17,5.0
2002-09-18,5.0
2002-09-19,5.119999885559082
2002-09-20,5.019999980926514
2002-09-23,4.550000190734863
2002-09-24,4.550000190734863
2002-09-25,4.650000095367432
2002-09-26,5.010000228881836
2002-09-27,5.0
2002-09-30,4.699999809265137
2002-10-01,4.929999828338623
2002-10-02,4.920000076293945
2002-10-03,4.989999771118164
2002-10-04,4.800000190734863
2002-10-07,4.639999866485596
2002-10-08,4.820000171661377
2002-10-09,4.349999904632568
2002-10-10,3.859999895095825
2002-10-11,4.559999942779541
2002-10-14,4.309999942779541
2002-10-15,4.329999923706055
2002-10-16,4.300000190734863
2002-10-17,4.210000038146973
2002-10-18,4.059999942779541
2002-10-21,4.099999904632568
2002-10-22,4.039999961853027
2002-10-23,3.809999942779541
2002-10-24,4.0
2002-10-25,4.289999961853027
2002-10-28,3.9600000381469727
2002-10-29,4.300000190734863
2002-10-30,4.170000076293945
2002-10-31,4.150000095367432
2002-11-01,4.420000076293945
2002-11-04,4.610000133514404
2002-11-05,4.230000019073486
2002-11-06,5.429999828338623
2002-11-07,5.699999809265137
2002-11-08,5.989999771118164
2002-11-11,5.949999809265137
2002-11-12,6.110000133514404
2002-11-13,5.949999809265137
2002-11-14,5.5
2002-11-15,5.489999771118164
2002-11-18,5.690000057220459
2002-11-19,5.579999923706055
2002-11-20,5.539999961853027
2002-11-21,5.510000228881836
2002-11-22,5.630000114440918
2002-11-25,6.199999809265137
2002-11-26,5.360000133514404
2002-11-27,5.610000133514404
2002-11-29,5.800000190734863
2002-12-02,5.599999904632568
2002-12-03,5.679999828338623
2002-12-04,5.739999771118164
2002-12-05,5.75
2002-12-06,5.699999809265137
2002-12-09,5.800000190734863
2002-12-10,5.849999904632568
2002-12-11,6.360000133514404
2002-12-12,6.380000114440918
2002-12-13,6.300000190734863
2002-12-16,5.989999771118164
2002-12-17,6.119999885559082
2002-12-18,6.130000114440918
2002-12-19,6.170000076293945
2002-12-20,6.170000076293945
2002-12-23,6.190000057220459
2002-12-24,6.150000095367432
2002-12-26,6.099999904632568
2002-12-27,6.0
2002-12-30,6.079999923706055
2002-12-31,6.039999961853027
2003-01-02,6.139999866485596
2003-01-03,6.21999979019165
2003-01-06,6.230000019073486
2003-01-07,6.679999828338623
2003-01-08,6.809999942779541
2003-01-09,7.5
2003-01-10,7.760000228881836
2003-01-13,7.829999923706055
2003-01-14,7.599999904632568
2003-01-15,7.329999923706055
2003-01-16,6.989999771118164
2003-01-17,6.940000057220459
2003-01-21,6.880000114440918
2003-01-22,6.920000076293945
2003-01-23,6.900000095367432
2003-01-24,6.820000171661377
2003-01-27,6.340000152587891
2003-01-28,6.550000190734863
2003-01-29,6.599999904632568
2003-01-30,6.650000095367432
2003-01-31,6.559999942779541
2003-02-03,6.449999809265137
2003-02-04,6.400000095367432
2003-02-05,6.349999904632568
2003-02-06,6.449999809265137
2003-02-07,6.28000020980835
2003-02-10,5.860000133514404
2003-02-11,5.900000095367432
2003-02-12,5.889999866485596
2003-02-13,5.650000095367432
2003-02-14,5.760000228881836
2003-02-18,5.5
2003-02-19,5.449999809265137
2003-02-20,5.53000020980835
2003-02-21,5.75
2003-02-24,5.809999942779541
2003-02-25,5.789999961853027
2003-02-26,5.550000190734863
2003-02-27,5.590000152587891
2003-02-28,5.309999942779541
2003-03-03,5.440000057220459
2003-03-04,5.510000228881836
2003-03-05,5.440000057220459
2003-03-06,5.510000228881836
2003-03-07,5.480000019073486
2003-03-10,5.460000038146973
2003-03-11,5.320000171661377
2003-03-12,5.260000228881836
2003-03-13,5.199999809265137
2003-03-14,5.139999866485596
2003-03-17,5.150000095367432
2003-03-18,5.170000076293945
2003-03-19,5.820000171661377
2003-03-20,5.590000152587891
2003-03-21,5.289999961853027
2003-03-24,5.25
2003-03-25,5.599999904632568
2003-03-26,5.550000190734863
2003-03-27,5.599999904632568
2003-03-28,5.449999809265137
2003-03-31,5.5
2003-04-01,5.599999904632568
2003-04-02,6.139999866485596
2003-04-03,6.269999980926514
2003-04-04,6.880000114440918
2003-04-07,7.0
2003-04-08,6.800000190734863
2003-04-09,6.909999847412109
2003-04-10,6.650000095367432
2003-04-11,6.860000133514404
2003-04-14,6.840000152587891
2003-04-15,6.789999961853027
2003-04-16,6.329999923706055
2003-04-17,6.53000020980835
2003-04-21,6.329999923706055
2003-04-22,6.099999904632568
2003-04-23,6.110000133514404
2003-04-24,6.730000019073486
2003-04-25,6.900000095367432
2003-04-28,6.699999809265137
2003-04-29,6.650000095367432
2003-04-30,5.889999866485596
2003-05-01,6.309999942779541
2003-05-02,5.949999809265137
2003-05-05,6.070000171661377
2003-05-06,5.920000076293945
2003-05-07,6.25
2003-05-08,6.239999771118164
2003-05-09,6.090000152587891
2003-05-12,5.909999847412109
2003-05-13,5.869999885559082
2003-05-14,5.96999979019165
2003-05-15,5.769999980926514
2003-05-16,6.5
2003-05-19,6.989999771118164
2003-05-20,7.190000057220459
2003-05-21,7.099999904632568
2003-05-22,7.170000076293945
2003-05-23,7.159999847412109
2003-05-27,7.0
2003-05-28,7.199999809265137
2003-05-29,7.170000076293945
2003-05-30,7.090000152587891
2003-06-02,6.519999980926514
2003-06-03,6.579999923706055
2003-06-04,6.920000076293945
2003-06-05,7.190000057220459
2003-06-06,7.130000114440918
