,HRI
2016-07-08,31.8799991607666
2016-07-11,31.610000610351562
2016-07-12,32.209999084472656
2016-07-13,32.689998626708984
2016-07-14,32.79999923706055
2016-07-15,33.470001220703125
2016-07-18,32.91999816894531
2016-07-19,32.220001220703125
2016-07-20,32.970001220703125
2016-07-21,35.54999923706055
2016-07-22,35.2400016784668
2016-07-25,34.59000015258789
2016-07-26,35.0099983215332
2016-07-27,35.09000015258789
2016-07-28,35.40999984741211
2016-07-29,35.349998474121094
2016-08-01,35.34000015258789
2016-08-02,34.540000915527344
2016-08-03,35.09000015258789
2016-08-04,35.400001525878906
2016-08-05,37.150001525878906
2016-08-08,36.58000183105469
2016-08-09,32.97999954223633
2016-08-10,32.97999954223633
2016-08-11,32.959999084472656
2016-08-12,32.630001068115234
2016-08-15,32.810001373291016
2016-08-16,33.0099983215332
2016-08-17,32.849998474121094
2016-08-18,33.189998626708984
2016-08-19,33.220001220703125
2016-08-22,33.189998626708984
2016-08-23,33.880001068115234
2016-08-24,33.0
2016-08-25,32.77000045776367
2016-08-26,32.81999969482422
2016-08-29,32.689998626708984
2016-08-30,32.54999923706055
2016-08-31,33.810001373291016
2016-09-01,34.16999816894531
2016-09-02,34.54999923706055
2016-09-06,34.83000183105469
2016-09-07,35.720001220703125
2016-09-08,36.0
2016-09-09,34.38999938964844
2016-09-12,34.45000076293945
2016-09-13,33.33000183105469
2016-09-14,33.7599983215332
2016-09-15,34.189998626708984
2016-09-16,34.0
2016-09-19,33.540000915527344
2016-09-20,32.619998931884766
2016-09-21,32.90999984741211
2016-09-22,32.790000915527344
2016-09-23,33.36000061035156
2016-09-26,32.810001373291016
2016-09-27,32.08000183105469
2016-09-28,32.97999954223633
2016-09-29,32.70000076293945
2016-09-30,33.70000076293945
2016-10-03,33.66999816894531
2016-10-04,33.900001525878906
2016-10-05,34.63999938964844
2016-10-06,34.66999816894531
2016-10-07,33.61000061035156
2016-10-10,33.86000061035156
2016-10-11,32.72999954223633
2016-10-12,32.540000915527344
2016-10-13,31.649999618530273
2016-10-14,30.18000030517578
2016-10-17,30.209999084472656
2016-10-18,29.8799991607666
2016-10-19,29.399999618530273
2016-10-20,29.559999465942383
2016-10-21,29.290000915527344
2016-10-24,29.3799991607666
2016-10-25,29.3799991607666
2016-10-26,30.239999771118164
2016-10-27,29.6299991607666
2016-10-28,28.969999313354492
2016-10-31,30.09000015258789
2016-11-01,29.100000381469727
2016-11-02,28.989999771118164
2016-11-03,29.739999771118164
2016-11-04,30.540000915527344
2016-11-07,31.43000030517578
2016-11-08,30.81999969482422
2016-11-09,35.650001525878906
2016-11-10,38.040000915527344
2016-11-11,38.20000076293945
2016-11-14,38.290000915527344
2016-11-15,39.86000061035156
2016-11-16,38.5099983215332
2016-11-17,37.97999954223633
2016-11-18,37.060001373291016
2016-11-21,38.79999923706055
2016-11-22,39.380001068115234
2016-11-23,40.25
2016-11-25,39.939998626708984
2016-11-28,38.630001068115234
2016-11-29,38.16999816894531
2016-11-30,39.7400016784668
2016-12-01,40.7400016784668
2016-12-02,39.869998931884766
2016-12-05,41.880001068115234
2016-12-06,42.459999084472656
2016-12-07,42.06999969482422
2016-12-08,40.599998474121094
2016-12-09,40.810001373291016
2016-12-12,40.59000015258789
2016-12-13,39.880001068115234
2016-12-14,38.91999816894531
2016-12-15,40.34000015258789
2016-12-16,41.400001525878906
2016-12-19,40.970001220703125
2016-12-20,41.349998474121094
2016-12-21,41.16999816894531
2016-12-22,40.709999084472656
2016-12-23,40.79999923706055
2016-12-27,41.11000061035156
2016-12-28,40.790000915527344
2016-12-29,40.5
2016-12-30,40.15999984741211
2017-01-03,40.15999984741211
2017-01-04,40.7400016784668
2017-01-05,40.08000183105469
2017-01-06,40.0
2017-01-09,39.599998474121094
2017-01-10,41.88999938964844
2017-01-11,41.779998779296875
2017-01-12,41.22999954223633
2017-01-13,41.66999816894531
2017-01-17,41.31999969482422
2017-01-18,43.08000183105469
2017-01-19,43.16999816894531
2017-01-20,43.119998931884766
2017-01-23,43.75
2017-01-24,44.349998474121094
2017-01-25,45.68000030517578
2017-01-26,49.220001220703125
2017-01-27,49.369998931884766
2017-01-30,49.9900016784668
2017-01-31,49.66999816894531
2017-02-01,52.779998779296875
2017-02-02,51.4900016784668
2017-02-03,52.060001373291016
2017-02-06,51.43000030517578
2017-02-07,50.18000030517578
2017-02-08,48.66999816894531
2017-02-09,50.060001373291016
2017-02-10,50.709999084472656
2017-02-13,50.16999816894531
2017-02-14,49.95000076293945
2017-02-15,51.4900016784668
2017-02-16,50.349998474121094
2017-02-17,49.4900016784668
2017-02-21,50.20000076293945
2017-02-22,49.29999923706055
2017-02-23,48.47999954223633
2017-02-24,49.75
2017-02-27,50.63999938964844
2017-02-28,51.689998626708984
2017-03-01,50.18000030517578
2017-03-02,48.31999969482422
2017-03-03,47.400001525878906
2017-03-06,46.9900016784668
2017-03-07,46.13999938964844
2017-03-08,45.7599983215332
2017-03-09,45.939998626708984
2017-03-10,46.529998779296875
2017-03-13,46.91999816894531
2017-03-14,44.959999084472656
2017-03-15,47.029998779296875
2017-03-16,48.33000183105469
