,FCA
2012-01-19,21.479999542236328
2012-01-20,21.360000610351562
2012-01-23,21.360000610351562
2012-01-24,21.360000610351562
2012-01-25,21.780000686645508
2012-01-26,22.020000457763672
2012-01-27,22.020000457763672
2012-01-30,22.020000457763672
2012-01-31,22.020000457763672
2012-02-01,21.75
2012-02-02,21.950000762939453
2012-02-03,22.40999984741211
2012-02-06,22.40999984741211
2012-02-07,22.40999984741211
2012-02-08,23.049999237060547
2012-02-09,23.510000228881836
2012-02-10,22.860000610351562
2012-02-13,22.799999237060547
2012-02-14,22.6299991607666
2012-02-15,22.6299991607666
2012-02-16,22.93000030517578
2012-02-17,23.139999389648438
2012-02-21,23.260000228881836
2012-02-22,23.34000015258789
2012-02-23,23.3700008392334
2012-02-24,23.3700008392334
2012-02-27,23.389999389648438
