,COFS
2002-03-25,12.52564525604248
2002-03-26,12.52564525604248
2002-03-27,12.52564525604248
2002-03-28,12.52564525604248
2002-04-01,12.52564525604248
2002-04-02,12.52564525604248
2002-04-03,12.52564525604248
2002-04-04,12.52564525604248
2002-04-05,12.52564525604248
2002-04-08,10.797969818115234
2002-04-09,10.797969818115234
2002-04-10,10.797969818115234
2002-04-11,10.797969818115234
2002-04-12,10.797969818115234
2002-04-15,10.797969818115234
2002-04-16,10.797969818115234
2002-04-17,12.309685707092285
2002-04-18,12.309685707092285
2002-04-19,12.309685707092285
2002-04-22,12.309685707092285
2002-04-23,12.309685707092285
2002-04-24,12.309685707092285
2002-04-25,12.309685707092285
2002-04-26,12.309685707092285
2002-04-29,12.309685707092285
2002-04-30,12.309685707092285
2002-05-01,12.309685707092285
