,FMTX
2020-10-16,49.959999084472656
2020-10-19,48.5099983215332
2020-10-20,48.93000030517578
2020-10-21,49.34000015258789
2020-10-22,49.189998626708984
2020-10-23,48.41999816894531
2020-10-26,47.130001068115234
2020-10-27,47.849998474121094
2020-10-28,44.54999923706055
2020-10-29,44.66999816894531
2020-10-30,43.119998931884766
2020-11-02,44.13999938964844
2020-11-03,44.900001525878906
2020-11-04,40.290000915527344
2020-11-05,41.11000061035156
2020-11-06,39.0
2020-11-09,39.90999984741211
2020-11-10,39.41999816894531
2020-11-11,40.09000015258789
2020-11-12,40.790000915527344
2020-11-13,40.119998931884766
2020-11-16,41.130001068115234
2020-11-17,40.119998931884766
2020-11-18,38.31999969482422
2020-11-19,38.720001220703125
2020-11-20,38.529998779296875
2020-11-23,40.29999923706055
2020-11-24,40.08000183105469
2020-11-25,40.66999816894531
2020-11-27,42.560001373291016
2020-11-30,43.7400016784668
2020-12-01,41.150001525878906
2020-12-02,41.0
2020-12-03,43.560001373291016
2020-12-04,43.529998779296875
2020-12-07,41.79999923706055
2020-12-08,50.45000076293945
2020-12-09,51.08000183105469
2020-12-10,45.5
2020-12-11,46.18000030517578
2020-12-14,47.83000183105469
2020-12-15,47.91999816894531
2020-12-16,42.810001373291016
2020-12-17,39.599998474121094
2020-12-18,36.54999923706055
2020-12-21,36.880001068115234
2020-12-22,38.41999816894531
2020-12-23,39.349998474121094
2020-12-24,39.43000030517578
2020-12-28,36.86000061035156
2020-12-29,36.47999954223633
2020-12-30,37.29999923706055
2020-12-31,34.900001525878906
2021-01-04,33.65999984741211
2021-01-05,34.290000915527344
2021-01-06,34.18000030517578
2021-01-07,35.04999923706055
2021-01-08,35.709999084472656
2021-01-11,36.84000015258789
2021-01-12,36.41999816894531
2021-01-13,35.869998931884766
2021-01-14,36.13999938964844
2021-01-15,37.5
2021-01-19,37.4900016784668
2021-01-20,36.70000076293945
2021-01-21,36.380001068115234
2021-01-22,38.970001220703125
2021-01-25,39.91999816894531
2021-01-26,39.209999084472656
2021-01-27,39.060001373291016
2021-01-28,39.880001068115234
2021-01-29,38.630001068115234
2021-02-01,39.40999984741211
2021-02-02,39.810001373291016
2021-02-03,39.02000045776367
2021-02-04,39.86000061035156
2021-02-05,39.849998474121094
2021-02-08,40.27000045776367
2021-02-09,39.97999954223633
2021-02-10,39.22999954223633
2021-02-11,38.5
2021-02-12,38.470001220703125
2021-02-16,39.81999969482422
2021-02-17,42.81999969482422
2021-02-18,40.779998779296875
2021-02-19,41.18000030517578
2021-02-22,41.31999969482422
2021-02-23,39.849998474121094
2021-02-24,40.70000076293945
2021-02-25,39.290000915527344
2021-02-26,38.61000061035156
2021-03-01,38.4900016784668
2021-03-02,39.47999954223633
2021-03-03,36.2400016784668
2021-03-04,33.41999816894531
2021-03-05,33.869998931884766
2021-03-08,30.90999984741211
2021-03-09,32.0
2021-03-10,33.43000030517578
2021-03-11,34.709999084472656
2021-03-12,35.11000061035156
2021-03-15,34.880001068115234
2021-03-16,34.650001525878906
2021-03-17,35.4900016784668
2021-03-18,32.34000015258789
2021-03-19,30.75
2021-03-22,33.33000183105469
2021-03-23,29.700000762939453
2021-03-24,30.469999313354492
2021-03-25,27.940000534057617
2021-03-26,25.299999237060547
2021-03-29,25.15999984741211
2021-03-30,24.579999923706055
2021-03-31,28.020000457763672
2021-04-01,27.68000030517578
2021-04-05,29.90999984741211
2021-04-06,28.149999618530273
2021-04-07,27.959999084472656
2021-04-08,27.65999984741211
2021-04-09,27.899999618530273
2021-04-12,27.290000915527344
2021-04-13,27.700000762939453
2021-04-14,27.959999084472656
2021-04-15,28.329999923706055
2021-04-16,25.649999618530273
2021-04-19,24.969999313354492
2021-04-20,25.149999618530273
2021-04-21,25.81999969482422
2021-04-22,26.799999237060547
2021-04-23,26.549999237060547
2021-04-26,27.450000762939453
2021-04-27,26.950000762939453
2021-04-28,27.65999984741211
2021-04-29,26.790000915527344
2021-04-30,26.950000762939453
2021-05-03,26.68000030517578
2021-05-04,25.450000762939453
2021-05-05,25.350000381469727
2021-05-06,25.190000534057617
2021-05-07,25.520000457763672
2021-05-10,25.479999542236328
2021-05-11,26.149999618530273
2021-05-12,26.1299991607666
2021-05-13,24.90999984741211
2021-05-14,26.75
