,FATBP
2021-01-28,16.770000457763672
2021-01-29,17.239999771118164
2021-02-01,17.299999237060547
2021-02-02,17.899999618530273
2021-02-03,17.948999404907227
2021-02-04,18.100000381469727
2021-02-05,18.020000457763672
2021-02-08,18.100000381469727
2021-02-09,17.889999389648438
2021-02-10,17.700000762939453
2021-02-11,16.899999618530273
2021-02-12,17.5
2021-02-16,18.20800018310547
2021-02-17,18.447999954223633
2021-02-18,17.899999618530273
2021-02-19,18.399999618530273
2021-02-22,19.0
2021-02-23,19.0
2021-02-24,19.549999237060547
2021-02-25,19.975000381469727
2021-02-26,20.0
2021-03-01,19.610000610351562
2021-03-02,20.0
2021-03-03,20.030000686645508
2021-03-04,19.479999542236328
2021-03-05,19.275999069213867
2021-03-08,20.049999237060547
2021-03-09,19.965999603271484
2021-03-10,20.25
2021-03-11,20.0
2021-03-12,19.989999771118164
2021-03-15,20.204999923706055
2021-03-16,20.100000381469727
2021-03-17,20.100000381469727
2021-03-18,19.899999618530273
2021-03-19,20.0
2021-03-22,21.0
2021-03-23,21.200000762939453
2021-03-24,20.989999771118164
2021-03-25,21.299999237060547
2021-03-26,20.55500030517578
2021-03-29,20.8799991607666
2021-03-30,20.049999237060547
2021-03-31,20.25
2021-04-01,19.399999618530273
2021-04-05,19.948999404907227
2021-04-06,20.424999237060547
2021-04-07,20.950000762939453
2021-04-08,20.680999755859375
2021-04-09,20.899999618530273
2021-04-12,20.899999618530273
2021-04-13,20.8700008392334
2021-04-14,20.8700008392334
2021-04-15,20.93000030517578
2021-04-16,20.9950008392334
2021-04-19,20.700000762939453
2021-04-20,20.579999923706055
2021-04-21,20.959999084472656
2021-04-22,21.5
2021-04-23,21.395999908447266
2021-04-26,22.75
2021-04-27,23.0
2021-04-28,23.799999237060547
2021-04-29,24.09000015258789
2021-04-30,23.8700008392334
2021-05-03,24.24799919128418
2021-05-04,24.290000915527344
2021-05-05,24.399999618530273
2021-05-06,24.5
2021-05-07,24.229999542236328
2021-05-10,24.399999618530273
2021-05-11,24.389999389648438
2021-05-12,24.389999389648438
2021-05-13,24.25
2021-05-14,24.125
