,ALPN
2016-02-03,20.079999923706055
2016-02-04,20.200000762939453
2016-02-05,19.440000534057617
2016-02-08,17.719999313354492
2016-02-09,17.8799991607666
2016-02-10,18.600000381469727
2016-02-11,17.920000076293945
2016-02-12,18.8799991607666
2016-02-16,19.68000030517578
2016-02-17,19.15999984741211
2016-02-18,19.15999984741211
2016-02-19,19.0
2016-02-22,18.760000228881836
2016-02-23,18.0
2016-02-24,18.079999923706055
2016-02-25,17.719999313354492
2016-02-26,18.520000457763672
2016-02-29,18.1200008392334
2016-03-01,18.760000228881836
2016-03-02,19.200000762939453
2016-03-03,19.31999969482422
2016-03-04,20.440000534057617
2016-03-07,22.600000381469727
2016-03-08,20.639999389648438
2016-03-09,19.719999313354492
2016-03-10,19.239999771118164
2016-03-11,19.520000457763672
2016-03-14,19.1200008392334
2016-03-15,18.440000534057617
2016-03-16,17.959999084472656
2016-03-17,18.079999923706055
2016-03-18,18.079999923706055
2016-03-21,17.600000381469727
2016-03-22,17.280000686645508
2016-03-23,16.280000686645508
2016-03-24,16.8799991607666
2016-03-28,16.1200008392334
2016-03-29,16.0
2016-03-30,15.720000267028809
2016-03-31,16.68000030517578
2016-04-01,17.399999618530273
2016-04-04,17.239999771118164
2016-04-05,16.559999465942383
2016-04-06,17.920000076293945
2016-04-07,17.8799991607666
2016-04-08,17.31999969482422
2016-04-11,16.68000030517578
2016-04-12,17.399999618530273
2016-04-13,18.68000030517578
2016-04-14,18.68000030517578
2016-04-15,18.479999542236328
2016-04-18,18.719999313354492
2016-04-19,18.31999969482422
2016-04-20,18.040000915527344
2016-04-21,18.479999542236328
2016-04-22,18.920000076293945
2016-04-25,19.15999984741211
2016-04-26,17.920000076293945
2016-04-27,17.399999618530273
2016-04-28,17.399999618530273
2016-04-29,16.920000076293945
2016-05-02,16.760000228881836
2016-05-03,18.0
2016-05-04,17.84000015258789
2016-05-05,17.719999313354492
2016-05-06,17.8799991607666
2016-05-09,16.719999313354492
2016-05-10,16.920000076293945
2016-05-11,16.040000915527344
2016-05-12,15.600000381469727
2016-05-13,16.639999389648438
2016-05-16,18.239999771118164
2016-05-17,16.959999084472656
2016-05-18,17.360000610351562
2016-05-19,16.920000076293945
2016-05-20,17.600000381469727
2016-05-23,18.0
2016-05-24,18.440000534057617
2016-05-25,20.079999923706055
2016-05-26,18.68000030517578
2016-05-27,19.1200008392334
2016-05-31,19.959999084472656
2016-06-01,20.559999465942383
2016-06-02,20.600000381469727
2016-06-03,19.600000381469727
2016-06-06,20.200000762939453
2016-06-07,19.399999618530273
2016-06-08,18.399999618530273
2016-06-09,17.760000228881836
2016-06-10,17.639999389648438
2016-06-13,16.8799991607666
2016-06-14,16.520000457763672
2016-06-15,16.1200008392334
2016-06-16,15.720000267028809
2016-06-17,15.920000076293945
2016-06-20,15.960000038146973
2016-06-21,15.760000228881836
2016-06-22,16.68000030517578
2016-06-23,17.079999923706055
2016-06-24,17.440000534057617
2016-06-27,16.520000457763672
2016-06-28,17.920000076293945
2016-06-29,17.959999084472656
2016-06-30,18.399999618530273
2016-07-01,19.0
2016-07-05,18.600000381469727
2016-07-06,17.520000457763672
2016-07-07,17.8799991607666
2016-07-08,18.479999542236328
2016-07-11,18.920000076293945
2016-07-12,19.15999984741211
2016-07-13,17.8799991607666
2016-07-14,17.920000076293945
2016-07-15,18.639999389648438
2016-07-18,18.0
2016-07-19,17.68000030517578
2016-07-20,18.219999313354492
2016-07-21,18.959999084472656
2016-07-22,18.639999389648438
2016-07-25,18.479999542236328
2016-07-26,18.200000762939453
2016-07-27,18.639999389648438
2016-07-28,19.1200008392334
2016-07-29,18.719999313354492
2016-08-01,19.040000915527344
2016-08-02,19.239999771118164
2016-08-03,19.31999969482422
2016-08-04,20.0
2016-08-05,20.1200008392334
2016-08-08,21.600000381469727
2016-08-09,21.600000381469727
2016-08-10,21.84000015258789
2016-08-11,23.559999465942383
2016-08-12,23.040000915527344
2016-08-15,23.1200008392334
2016-08-16,24.479999542236328
2016-08-17,25.200000762939453
2016-08-18,24.440000534057617
2016-08-19,23.15999984741211
2016-08-22,24.360000610351562
2016-08-23,24.1200008392334
2016-08-24,23.959999084472656
2016-08-25,24.799999237060547
2016-08-26,25.600000381469727
2016-08-29,24.639999389648438
2016-08-30,25.239999771118164
2016-08-31,25.559999465942383
2016-09-01,25.15999984741211
2016-09-02,25.520000457763672
2016-09-06,27.1200008392334
2016-09-07,30.15999984741211
2016-09-08,31.600000381469727
2016-09-09,30.760000228881836
2016-09-12,31.079999923706055
2016-09-13,32.880001068115234
2016-09-14,29.84000015258789
2016-09-15,29.760000228881836
2016-09-16,30.479999542236328
2016-09-19,32.720001220703125
2016-09-20,35.959999084472656
2016-09-21,34.959999084472656
2016-09-22,34.63999938964844
2016-09-23,33.52000045776367
2016-09-26,33.439998626708984
2016-09-27,33.52000045776367
2016-09-28,33.119998931884766
2016-09-29,32.84000015258789
2016-09-30,32.52000045776367
2016-10-03,31.8799991607666
2016-10-04,30.920000076293945
2016-10-05,31.040000915527344
2016-10-06,29.920000076293945
2016-10-07,29.31999969482422
2016-10-10,29.399999618530273
2016-10-11,29.520000457763672
2016-10-12,29.84000015258789
2016-10-13,30.399999618530273
2016-10-14,30.399999618530273
2016-10-17,30.760000228881836
2016-10-18,30.799999237060547
2016-10-19,30.399999618530273
2016-10-20,30.520000457763672
2016-10-21,30.040000915527344
2016-10-24,28.0
2016-10-25,25.920000076293945
2016-10-26,24.479999542236328
2016-10-27,22.799999237060547
2016-10-28,23.68000030517578
2016-10-31,23.719999313354492
2016-11-01,23.520000457763672
2016-11-02,22.479999542236328
2016-11-03,20.760000228881836
