,CREX
2010-07-13,180.0
2010-07-14,189.0
2010-07-15,184.5
2010-07-16,180.0
2010-07-19,195.0
2010-07-20,210.0
2010-07-21,199.5
2010-07-22,207.0
2010-07-23,219.0
2010-07-26,240.0
2010-07-27,226.5
2010-07-28,216.0
2010-07-29,226.5
2010-07-30,231.0
2010-08-02,219.0
2010-08-03,229.5
2010-08-04,226.5
2010-08-05,228.0
2010-08-06,225.0
2010-08-09,240.0
2010-08-10,259.5
2010-08-11,273.0
2010-08-12,270.0
2010-08-13,255.0
2010-08-16,225.0
2010-08-17,219.0
2010-08-18,234.0
2010-08-19,229.5
2010-08-20,204.0
2010-08-23,183.0
2010-08-24,186.0
2010-08-25,186.0
2010-08-26,196.5
2010-08-27,198.0
2010-08-30,187.5
2010-08-31,183.0
2010-09-01,177.0
2010-09-02,172.5
2010-09-03,171.0
2010-09-07,214.5
2010-09-08,231.0
2010-09-09,208.5
2010-09-10,210.0
2010-09-13,199.5
2010-09-14,205.5
2010-09-15,202.5
2010-09-16,189.0
2010-09-17,202.5
2010-09-20,189.0
2010-09-21,193.5
2010-09-22,195.0
2010-09-23,190.5
2010-09-24,181.5
2010-09-27,187.5
2010-09-28,190.5
2010-09-29,192.0
2010-09-30,180.0
2010-10-01,172.5
2010-10-04,168.0
2010-10-05,168.0
2010-10-06,172.5
2010-10-07,168.0
2010-10-08,172.5
2010-10-11,181.5
2010-10-12,199.5
2010-10-13,208.5
2010-10-14,223.5
2010-10-15,216.0
2010-10-18,210.0
2010-10-19,205.5
2010-10-20,210.0
2010-10-21,210.0
2010-10-22,198.0
2010-10-25,195.0
2010-10-26,198.0
2010-10-27,204.0
2010-10-28,210.0
2010-10-29,214.5
2010-11-01,211.5
2010-11-02,207.0
2010-11-03,199.5
2010-11-04,213.0
2010-11-05,208.5
2010-11-08,210.0
2010-11-09,213.0
2010-11-10,222.0
2010-11-11,214.5
2010-11-12,211.5
2010-11-15,214.5
2010-11-16,184.5
2010-11-17,180.0
2010-11-18,190.5
2010-11-19,187.5
2010-11-22,184.5
2010-11-23,187.5
2010-11-24,189.0
2010-11-26,187.5
2010-11-29,186.0
2010-11-30,186.0
2010-12-01,189.0
2010-12-02,187.5
2010-12-03,183.0
2010-12-06,198.0
2010-12-07,193.5
2010-12-08,208.5
2010-12-09,202.5
2010-12-10,199.5
2010-12-13,199.5
2010-12-14,205.5
2010-12-15,210.0
2010-12-16,210.0
2010-12-17,211.5
2010-12-20,207.0
2010-12-21,196.5
2010-12-22,193.5
2010-12-23,195.0
2010-12-27,192.0
2010-12-28,210.0
2010-12-29,222.0
2010-12-30,223.5
2010-12-31,217.5
2011-01-03,213.0
2011-01-04,217.5
2011-01-05,232.5
2011-01-06,225.0
2011-01-07,243.0
2011-01-10,210.0
2011-01-11,210.0
2011-01-12,210.0
2011-01-13,210.0
2011-01-14,208.5
2011-01-18,205.5
2011-01-19,202.5
2011-01-20,207.0
2011-01-21,216.0
2011-01-24,211.5
2011-01-25,211.5
2011-01-26,216.0
2011-01-27,213.0
2011-01-28,211.5
2011-01-31,207.0
2011-02-01,204.0
2011-02-02,193.5
2011-02-03,184.5
2011-02-04,207.0
2011-02-07,213.0
2011-02-08,193.5
2011-02-09,190.5
2011-02-10,190.5
2011-02-11,189.0
2011-02-14,198.0
2011-02-15,190.5
2011-02-16,195.0
2011-02-17,192.0
2011-02-18,198.0
2011-02-22,196.5
2011-02-23,190.5
2011-02-24,192.0
2011-02-25,192.0
2011-02-28,193.5
2011-03-01,189.0
2011-03-02,195.0
2011-03-03,187.5
2011-03-04,192.0
2011-03-07,181.5
2011-03-08,172.5
2011-03-09,174.0
2011-03-10,172.5
2011-03-11,168.0
2011-03-14,169.5
2011-03-15,168.0
2011-03-16,160.5
2011-03-17,183.0
2011-03-18,186.0
2011-03-21,184.5
2011-03-22,177.0
2011-03-23,175.5
2011-03-24,192.0
2011-03-25,186.0
2011-03-28,181.5
2011-03-29,183.0
2011-03-30,184.5
2011-03-31,193.5
2011-04-01,193.5
2011-04-04,187.5
2011-04-05,187.5
2011-04-06,189.0
2011-04-07,186.0
2011-04-08,187.5
2011-04-11,187.5
2011-04-12,186.0
2011-04-13,187.5
2011-04-14,183.0
2011-04-15,187.5
2011-04-18,193.5
2011-04-19,192.0
2011-04-20,186.0
2011-04-21,184.5
2011-04-25,178.5
2011-04-26,175.5
2011-04-27,183.0
2011-04-28,175.5
2011-04-29,183.0
2011-05-02,199.5
2011-05-03,193.5
2011-05-04,205.5
2011-05-05,192.0
2011-05-06,193.5
2011-05-09,195.0
2011-05-10,207.0
2011-05-11,196.5
2011-05-12,193.5
2011-05-13,183.0
2011-05-16,184.5
2011-05-17,186.0
2011-05-18,186.0
2011-05-19,184.5
2011-05-20,181.5
2011-05-23,186.0
2011-05-24,189.0
2011-05-25,195.0
2011-05-26,186.0
2011-05-27,183.0
2011-05-31,183.0
2011-06-01,178.5
2011-06-02,180.0
2011-06-03,180.0
2011-06-06,174.0
2011-06-07,177.0
2011-06-08,181.5
2011-06-09,186.0
2011-06-10,181.5
2011-06-13,175.5
2011-06-14,174.0
2011-06-15,172.5
2011-06-16,177.0
2011-06-17,177.0
2011-06-20,174.0
2011-06-21,172.5
2011-06-22,171.0
2011-06-23,165.0
2011-06-24,160.5
2011-06-27,166.5
2011-06-28,165.0
2011-06-29,174.0
2011-06-30,172.5
2011-07-01,177.0
2011-07-05,172.5
2011-07-06,172.5
2011-07-07,177.0
2011-07-08,186.0
2011-07-11,180.0
2011-07-12,187.5
2011-07-13,196.5
2011-07-14,201.0
2011-07-15,199.5
2011-07-18,195.0
2011-07-19,202.5
2011-07-20,210.0
2011-07-21,207.0
2011-07-22,216.0
2011-07-25,219.0
2011-07-26,219.0
2011-07-27,211.5
2011-07-28,213.0
2011-07-29,220.5
2011-08-01,225.0
2011-08-02,223.5
2011-08-03,229.5
2011-08-04,190.5
2011-08-05,184.5
2011-08-08,171.0
2011-08-09,178.5
2011-08-10,181.5
2011-08-11,177.0
2011-08-12,187.5
2011-08-15,187.5
2011-08-16,184.5
2011-08-17,186.0
2011-08-18,186.0
2011-08-19,169.5
2011-08-22,157.5
2011-08-23,168.0
2011-08-24,172.5
2011-08-25,177.0
2011-08-26,171.0
2011-08-29,171.0
2011-08-30,171.0
2011-08-31,190.5
2011-09-01,186.0
2011-09-02,177.0
2011-09-06,180.0
2011-09-07,207.0
2011-09-08,198.0
2011-09-09,183.0
2011-09-12,195.0
2011-09-13,190.5
2011-09-14,204.0
2011-09-15,190.5
2011-09-16,201.0
2011-09-19,204.0
2011-09-20,210.0
2011-09-21,199.5
2011-09-22,184.5
2011-09-23,198.0
2011-09-26,198.0
2011-09-27,211.5
2011-09-28,195.0
2011-09-29,199.5
2011-09-30,202.5
2011-10-03,183.0
2011-10-04,184.5
2011-10-05,181.5
2011-10-06,183.0
2011-10-07,181.5
2011-10-10,168.0
2011-10-11,192.0
2011-10-12,189.0
2011-10-13,180.0
2011-10-14,180.0
2011-10-17,189.0
2011-10-18,178.5
2011-10-19,175.5
2011-10-20,172.5
2011-10-21,181.5
2011-10-24,171.0
2011-10-25,172.5
2011-10-26,187.5
2011-10-27,190.5
2011-10-28,202.5
2011-10-31,204.0
2011-11-01,198.0
2011-11-02,198.0
2011-11-03,219.0
2011-11-04,201.0
2011-11-07,186.0
2011-11-08,201.0
2011-11-09,192.0
2011-11-10,199.5
2011-11-11,178.5
2011-11-14,175.5
2011-11-15,178.5
2011-11-16,174.0
2011-11-17,171.0
2011-11-18,181.5
2011-11-21,169.5
