,AMTX
2008-08-18,14.975000381469727
2008-08-19,14.975000381469727
2008-08-20,20.0
2008-08-21,20.0
2008-08-22,18.75
2008-08-25,18.125
2008-08-26,17.5
2008-08-27,17.5
2008-08-28,17.5
2008-08-29,17.5
2008-09-02,17.5
2008-09-03,17.5
2008-09-04,17.5
2008-09-05,17.5
2008-09-08,17.5
2008-09-09,17.5
2008-09-10,17.5
2008-09-11,17.5
2008-09-12,17.5
2008-09-15,15.0
2008-09-16,15.0
2008-09-17,17.5
2008-09-18,18.75
2008-09-19,17.5
2008-09-22,17.350000381469727
2008-09-23,17.5
2008-09-24,17.5
2008-09-25,17.5
2008-09-26,16.25
2008-09-29,16.225000381469727
2008-09-30,13.75
2008-10-01,13.875
2008-10-02,13.75
2008-10-03,13.75
2008-10-06,13.125
2008-10-07,13.75
2008-10-08,13.75
2008-10-09,13.75
2008-10-10,13.75
2008-10-13,13.75
2008-10-14,7.875
2008-10-15,12.5
2008-10-16,12.350000381469727
2008-10-17,12.350000381469727
2008-10-20,12.350000381469727
2008-10-21,12.5
2008-10-22,12.5
2008-10-23,10.0
2008-10-24,10.0
2008-10-27,12.350000381469727
2008-10-28,12.5
2008-10-29,13.175000190734863
2008-10-30,15.0
2008-10-31,15.0
2008-11-03,15.0
2008-11-04,15.0
2008-11-05,12.5
2008-11-06,12.5
2008-11-07,12.5
2008-11-10,12.5
2008-11-11,12.5
2008-11-12,12.5
2008-11-13,12.5
2008-11-14,12.5
2008-11-17,12.5
2008-11-18,11.875
2008-11-19,11.875
2008-11-20,11.875
2008-11-21,11.875
2008-11-24,11.875
2008-11-25,12.5
2008-11-26,11.75
2008-11-28,11.75
2008-12-01,11.75
2008-12-02,8.125
2008-12-03,8.149999618530273
2008-12-04,7.5
2008-12-05,7.5
2008-12-08,7.5
2008-12-09,9.25
2008-12-10,9.25
2008-12-11,9.25
2008-12-12,8.375
2008-12-15,1.1749999523162842
2008-12-16,1.125
2008-12-17,1.1749999523162842
2008-12-18,1.0499999523162842
2008-12-19,1.25
2008-12-22,1.0750000476837158
2008-12-23,1.0750000476837158
2008-12-24,1.100000023841858
2008-12-26,1.0
2008-12-29,1.0
2008-12-30,1.0
2008-12-31,0.949999988079071
2009-01-02,1.2000000476837158
2009-01-05,1.024999976158142
2009-01-06,1.2000000476837158
2009-01-07,1.0499999523162842
2009-01-08,1.0
2009-01-09,0.6000000238418579
2009-01-12,0.574999988079071
2009-01-13,0.75
2009-01-14,0.5249999761581421
2009-01-15,0.550000011920929
2009-01-16,0.675000011920929
2009-01-20,0.6499999761581421
2009-01-21,0.6499999761581421
2009-01-22,0.6499999761581421
2009-01-23,0.574999988079071
2009-01-26,0.625
2009-01-27,0.5
2009-01-28,0.5
2009-01-29,0.625
2009-01-30,0.5
2009-02-02,0.5
2009-02-03,0.550000011920929
2009-02-04,0.5
2009-02-05,0.4449999928474426
2009-02-06,0.42500001192092896
2009-02-09,0.42500001192092896
2009-02-10,0.42500001192092896
2009-02-11,0.36250001192092896
2009-02-12,0.3499999940395355
2009-02-13,0.2874999940395355
2009-02-17,0.32499998807907104
2009-02-18,0.32499998807907104
2009-02-19,0.32499998807907104
2009-02-20,0.30000001192092896
2009-02-23,0.33000001311302185
2009-02-24,0.30000001192092896
2009-02-25,0.30000001192092896
2009-02-26,0.32499998807907104
2009-02-27,0.32499998807907104
2009-03-02,0.3100000023841858
2009-03-03,0.3125
2009-03-04,0.3499999940395355
2009-03-05,0.3499999940395355
2009-03-06,0.3499999940395355
2009-03-09,0.25
2009-03-10,0.22499999403953552
2009-03-11,0.22499999403953552
2009-03-12,0.25
2009-03-13,0.2750000059604645
2009-03-16,0.2750000059604645
2009-03-17,0.3499999940395355
2009-03-18,0.30000001192092896
2009-03-19,0.30000001192092896
2009-03-20,0.3125
2009-03-23,0.3125
2009-03-24,0.30000001192092896
2009-03-25,0.30000001192092896
2009-03-26,0.3499999940395355
2009-03-27,0.375
2009-03-30,0.4000000059604645
2009-03-31,0.375
2009-04-01,0.375
2009-04-02,0.42500001192092896
2009-04-03,0.625
2009-04-06,0.75
2009-04-07,0.800000011920929
2009-04-08,0.800000011920929
2009-04-09,0.75
2009-04-13,0.75
2009-04-14,0.75
2009-04-15,0.75
2009-04-16,0.75
2009-04-17,0.75
2009-04-20,0.75
2009-04-21,0.550000011920929
2009-04-22,0.625
2009-04-23,0.5
2009-04-24,0.5249999761581421
2009-04-27,0.550000011920929
2009-04-28,0.625
2009-04-29,0.625
2009-04-30,0.625
2009-05-01,0.625
2009-05-04,0.625
2009-05-05,0.675000011920929
2009-05-06,0.625
2009-05-07,0.5
2009-05-08,0.625
2009-05-11,0.625
2009-05-12,0.625
2009-05-13,0.625
2009-05-14,0.625
2009-05-15,0.625
2009-05-18,0.4000000059604645
2009-05-19,0.4000000059604645
2009-05-20,0.4000000059604645
2009-05-21,0.4000000059604645
2009-05-22,0.4000000059604645
2009-05-26,0.4000000059604645
2009-05-27,0.4000000059604645
2009-05-28,0.625
2009-05-29,0.625
2009-06-01,0.30000001192092896
2009-06-02,0.4000000059604645
2009-06-03,0.375
2009-06-04,0.375
2009-06-05,0.44999998807907104
2009-06-08,0.375
2009-06-09,0.375
2009-06-10,0.375
2009-06-11,0.375
2009-06-12,0.44999998807907104
2009-06-15,0.44999998807907104
2009-06-16,0.375
2009-06-17,0.375
2009-06-18,0.375
2009-06-19,0.375
2009-06-22,0.375
2009-06-23,0.44999998807907104
2009-06-24,0.42500001192092896
2009-06-25,0.42500001192092896
2009-06-26,0.4124999940395355
2009-06-29,0.4124999940395355
2009-06-30,0.4124999940395355
2009-07-01,0.4124999940395355
2009-07-02,0.3499999940395355
2009-07-06,0.3499999940395355
2009-07-07,0.38749998807907104
2009-07-08,0.38749998807907104
2009-07-09,0.30000001192092896
2009-07-10,0.32499998807907104
2009-07-13,0.32499998807907104
2009-07-14,0.32499998807907104
2009-07-15,0.2750000059604645
2009-07-16,0.2750000059604645
2009-07-17,0.3375000059604645
2009-07-20,0.3499999940395355
2009-07-21,0.30000001192092896
2009-07-22,0.375
2009-07-23,0.3499999940395355
2009-07-24,0.3499999940395355
2009-07-27,0.3499999940395355
2009-07-28,0.32499998807907104
2009-07-29,0.30000001192092896
2009-07-30,0.30000001192092896
2009-07-31,0.30000001192092896
2009-08-03,0.2750000059604645
2009-08-04,0.2750000059604645
2009-08-05,0.2750000059604645
2009-08-06,0.2750000059604645
2009-08-07,0.30000001192092896
2009-08-10,0.30000001192092896
2009-08-11,0.30000001192092896
2009-08-12,0.375
2009-08-13,0.375
2009-08-14,0.375
2009-08-17,0.4000000059604645
2009-08-18,0.4124999940395355
2009-08-19,0.375
2009-08-20,0.30000001192092896
2009-08-21,0.4124999940395355
2009-08-24,0.44999998807907104
2009-08-25,0.42500001192092896
2009-08-26,0.4000000059604645
2009-08-27,0.4000000059604645
2009-08-28,0.375
2009-08-31,0.375
2009-09-01,0.5
2009-09-02,0.5
2009-09-03,0.675000011920929
2009-09-04,0.5
2009-09-08,0.5
2009-09-09,0.5
2009-09-10,0.5
2009-09-11,0.5
2009-09-14,0.42500001192092896
2009-09-15,0.44999998807907104
2009-09-16,0.4300000071525574
2009-09-17,0.5
2009-09-18,0.4625000059604645
2009-09-21,0.42500001192092896
2009-09-22,0.47749999165534973
2009-09-23,0.5
2009-09-24,0.4000000059604645
2009-09-25,0.5
2009-09-28,0.6000000238418579
2009-09-29,0.6225000023841858
2009-09-30,0.6499999761581421
2009-10-01,0.625
2009-10-02,0.625
2009-10-05,0.625
2009-10-06,0.625
2009-10-07,0.625
2009-10-08,0.5
2009-10-09,0.5
2009-10-12,0.44999998807907104
2009-10-13,0.44999998807907104
2009-10-14,0.5
2009-10-15,0.44999998807907104
2009-10-16,0.4975000023841858
2009-10-19,0.42500001192092896
2009-10-20,0.4749999940395355
2009-10-21,0.4749999940395355
2009-10-22,0.4749999940395355
2009-10-23,0.44999998807907104
2009-10-26,0.44999998807907104
2009-10-27,0.42500001192092896
2009-10-28,0.42500001192092896
2009-10-29,0.42500001192092896
2009-10-30,0.42500001192092896
2009-11-02,0.375
2009-11-03,0.375
2009-11-04,0.4000000059604645
2009-11-05,0.42500001192092896
2009-11-06,0.42500001192092896
2009-11-09,0.375
2009-11-10,0.32499998807907104
2009-11-11,0.32499998807907104
2009-11-12,0.2750000059604645
2009-11-13,0.375
2009-11-16,0.3499999940395355
2009-11-17,0.32499998807907104
2009-11-18,0.3375000059604645
2009-11-19,0.3499999940395355
2009-11-20,0.3499999940395355
2009-11-23,0.2750000059604645
2009-11-24,0.2874999940395355
2009-11-25,0.3499999940395355
2009-11-27,0.3499999940395355
2009-11-30,0.3499999940395355
2009-12-01,0.38749998807907104
2009-12-02,0.574999988079071
2009-12-03,0.5
2009-12-04,0.574999988079071
2009-12-07,0.550000011920929
2009-12-08,0.42500001192092896
2009-12-09,0.574999988079071
2009-12-10,0.42500001192092896
2009-12-11,0.42500001192092896
2009-12-14,0.574999988079071
2009-12-15,0.574999988079071
2009-12-16,0.574999988079071
2009-12-17,0.550000011920929
2009-12-18,0.5
2009-12-21,0.625
2009-12-22,0.550000011920929
2009-12-23,0.550000011920929
2009-12-24,0.45249998569488525
2009-12-28,0.45249998569488525
2009-12-29,0.5
2009-12-30,0.45249998569488525
2009-12-31,0.4749999940395355
2010-01-04,0.4749999940395355
2010-01-05,0.625
2010-01-06,0.574999988079071
2010-01-07,0.574999988079071
2010-01-08,0.6499999761581421
2010-01-11,0.675000011920929
2010-01-12,0.6499999761581421
2010-01-13,0.574999988079071
2010-01-14,0.574999988079071
2010-01-15,0.6499999761581421
2010-01-19,0.6499999761581421
2010-01-20,0.6499999761581421
2010-01-21,0.625
2010-01-22,0.675000011920929
2010-01-25,0.6700000166893005
2010-01-26,0.675000011920929
2010-01-27,0.5249999761581421
2010-01-28,0.6499999761581421
2010-01-29,0.675000011920929
2010-02-01,0.800000011920929
2010-02-02,0.737500011920929
2010-02-03,0.7250000238418579
2010-02-04,0.75
2010-02-05,0.800000011920929
2010-02-08,0.800000011920929
2010-02-09,0.675000011920929
2010-02-10,0.6000000238418579
2010-02-11,0.6499999761581421
2010-02-12,0.6499999761581421
2010-02-16,0.675000011920929
2010-02-17,0.625
2010-02-18,0.5249999761581421
2010-02-19,0.5249999761581421
2010-02-22,0.625
2010-02-23,0.625
2010-02-24,0.6499999761581421
2010-02-25,0.625
2010-02-26,0.625
2010-03-01,0.550000011920929
2010-03-02,0.550000011920929
2010-03-03,0.550000011920929
2010-03-04,0.5249999761581421
2010-03-05,0.550000011920929
2010-03-08,0.550000011920929
2010-03-09,0.4749999940395355
2010-03-10,0.5
2010-03-11,0.5249999761581421
2010-03-12,0.550000011920929
2010-03-15,0.574999988079071
2010-03-16,0.5249999761581421
2010-03-17,0.5249999761581421
2010-03-18,0.550000011920929
2010-03-19,0.550000011920929
2010-03-22,0.49000000953674316
2010-03-23,0.5
2010-03-24,0.5
2010-03-25,0.4975000023841858
2010-03-26,0.4749999940395355
2010-03-29,0.5
2010-03-30,0.4749999940395355
2010-03-31,0.4749999940395355
2010-04-01,0.4749999940395355
2010-04-05,0.42500001192092896
2010-04-06,0.4000000059604645
2010-04-07,0.4000000059604645
2010-04-08,0.3499999940395355
2010-04-09,0.375
2010-04-12,0.5
2010-04-13,0.5
2010-04-14,0.5
2010-04-15,0.5
2010-04-16,0.550000011920929
2010-04-19,0.5
2010-04-20,0.5
2010-04-21,0.5
2010-04-22,0.5
2010-04-23,0.5
2010-04-26,0.5
2010-04-27,0.4000000059604645
2010-04-28,0.42500001192092896
2010-04-29,0.4000000059604645
