,AVRO
2018-11-20,22.059999465942383
2018-11-21,24.079999923706055
2018-11-23,24.75
2018-11-26,26.190000534057617
2018-11-27,25.079999923706055
2018-11-28,24.280000686645508
2018-11-29,25.690000534057617
2018-11-30,26.790000915527344
2018-12-03,26.75
2018-12-04,26.829999923706055
2018-12-06,27.260000228881836
2018-12-07,25.1200008392334
2018-12-10,23.670000076293945
2018-12-11,24.579999923706055
2018-12-12,24.3700008392334
2018-12-13,24.93000030517578
2018-12-14,24.3799991607666
2018-12-17,21.760000228881836
2018-12-18,21.329999923706055
2018-12-19,19.649999618530273
2018-12-20,17.989999771118164
2018-12-21,15.8100004196167
2018-12-24,15.430000305175781
2018-12-26,16.469999313354492
2018-12-27,17.219999313354492
2018-12-28,16.75
2018-12-31,16.649999618530273
2019-01-02,15.649999618530273
2019-01-03,16.0
2019-01-04,16.719999313354492
2019-01-07,15.779999732971191
2019-01-08,13.039999961853027
2019-01-09,14.079999923706055
2019-01-10,14.0
2019-01-11,13.920000076293945
2019-01-14,14.050000190734863
2019-01-15,14.300000190734863
2019-01-16,13.699999809265137
2019-01-17,12.619999885559082
2019-01-18,13.359999656677246
2019-01-22,13.5
2019-01-23,14.239999771118164
2019-01-24,13.1899995803833
2019-01-25,12.710000038146973
2019-01-28,12.5
2019-01-29,12.899999618530273
2019-01-30,12.949999809265137
2019-01-31,12.460000038146973
2019-02-01,13.420000076293945
2019-02-04,14.149999618530273
2019-02-05,15.649999618530273
2019-02-06,15.15999984741211
2019-02-07,14.279999732971191
2019-02-08,13.869999885559082
2019-02-11,13.890000343322754
2019-02-12,14.359999656677246
2019-02-13,13.729999542236328
2019-02-14,14.680000305175781
2019-02-15,15.300000190734863
2019-02-19,15.5
2019-02-20,15.010000228881836
2019-02-21,14.420000076293945
2019-02-22,13.960000038146973
2019-02-25,16.979999542236328
2019-02-26,17.1200008392334
2019-02-27,16.700000762939453
2019-02-28,16.65999984741211
2019-03-01,17.6299991607666
2019-03-04,15.970000267028809
2019-03-05,15.0
2019-03-06,13.979999542236328
2019-03-07,13.319999694824219
2019-03-08,13.550000190734863
2019-03-11,13.949999809265137
2019-03-12,13.930000305175781
2019-03-13,14.210000038146973
2019-03-14,14.90999984741211
2019-03-15,15.680000305175781
2019-03-18,17.6299991607666
2019-03-19,18.600000381469727
2019-03-20,18.6299991607666
2019-03-21,19.030000686645508
2019-03-22,18.200000762939453
2019-03-25,17.780000686645508
2019-03-26,18.020000457763672
2019-03-27,19.950000762939453
2019-03-28,20.760000228881836
2019-03-29,22.049999237060547
2019-04-01,22.040000915527344
2019-04-02,22.309999465942383
2019-04-03,24.299999237060547
2019-04-04,24.420000076293945
2019-04-05,26.959999084472656
2019-04-08,27.290000915527344
2019-04-09,24.68000030517578
2019-04-10,22.09000015258789
2019-04-11,21.950000762939453
2019-04-12,21.6299991607666
2019-04-15,20.709999084472656
2019-04-16,20.690000534057617
2019-04-17,20.020000457763672
2019-04-18,20.18000030517578
2019-04-22,19.6200008392334
2019-04-23,20.040000915527344
2019-04-24,20.0
2019-04-25,19.93000030517578
2019-04-26,19.8799991607666
2019-04-29,19.350000381469727
2019-04-30,18.809999465942383
2019-05-01,18.399999618530273
2019-05-02,18.530000686645508
2019-05-03,19.010000228881836
2019-05-06,19.399999618530273
2019-05-07,18.579999923706055
2019-05-08,21.079999923706055
2019-05-09,19.600000381469727
2019-05-10,19.540000915527344
2019-05-13,19.15999984741211
2019-05-14,18.209999084472656
2019-05-15,18.399999618530273
2019-05-16,19.59000015258789
2019-05-17,17.889999389648438
2019-05-20,17.920000076293945
2019-05-21,16.1200008392334
2019-05-22,15.760000228881836
2019-05-23,15.770000457763672
2019-05-24,15.579999923706055
2019-05-28,15.59000015258789
2019-05-29,15.039999961853027
2019-05-30,14.670000076293945
2019-05-31,14.15999984741211
2019-06-03,14.359999656677246
2019-06-04,14.640000343322754
2019-06-05,14.34000015258789
2019-06-06,14.050000190734863
2019-06-07,14.260000228881836
2019-06-10,14.039999961853027
2019-06-11,13.600000381469727
2019-06-12,13.460000038146973
2019-06-13,13.829999923706055
2019-06-14,13.539999961853027
2019-06-17,13.5
2019-06-18,13.210000038146973
2019-06-19,14.609999656677246
2019-06-20,14.579999923706055
2019-06-21,14.899999618530273
2019-06-24,14.829999923706055
2019-06-25,15.510000228881836
2019-06-26,14.380000114440918
2019-06-27,15.359999656677246
2019-06-28,16.260000228881836
2019-07-01,16.139999389648438
2019-07-02,15.260000228881836
2019-07-03,15.920000076293945
2019-07-05,15.279999732971191
2019-07-08,15.0
2019-07-09,14.739999771118164
2019-07-10,14.520000457763672
2019-07-11,14.479999542236328
2019-07-12,14.279999732971191
2019-07-15,16.420000076293945
2019-07-16,19.15999984741211
2019-07-17,22.899999618530273
2019-07-18,23.440000534057617
2019-07-19,21.989999771118164
2019-07-22,22.950000762939453
2019-07-23,22.75
2019-07-24,22.959999084472656
2019-07-25,23.079999923706055
2019-07-26,22.479999542236328
2019-07-29,22.56999969482422
2019-07-30,22.8799991607666
2019-07-31,21.219999313354492
2019-08-01,20.450000762939453
2019-08-02,19.3799991607666
2019-08-05,18.690000534057617
2019-08-06,17.940000534057617
2019-08-07,17.920000076293945
2019-08-08,20.040000915527344
2019-08-09,19.239999771118164
2019-08-12,18.31999969482422
2019-08-13,18.31999969482422
2019-08-14,18.239999771118164
2019-08-15,17.860000610351562
2019-08-16,18.360000610351562
2019-08-19,19.3799991607666
2019-08-20,19.34000015258789
2019-08-21,19.75
2019-08-22,18.84000015258789
2019-08-23,17.90999984741211
2019-08-26,18.530000686645508
2019-08-27,18.110000610351562
