,RKT
2021-03-22,22.989999771118164
2021-03-23,23.040000915527344
2021-03-24,22.520000457763672
2021-03-25,22.469999313354492
2021-03-26,23.90999984741211
2021-03-29,23.799999237060547
2021-03-30,23.200000762939453
2021-03-31,23.09000015258789
2021-04-01,22.549999237060547
2021-04-05,22.440000534057617
2021-04-06,22.649999618530273
2021-04-07,22.579999923706055
2021-04-08,22.56999969482422
2021-04-09,22.75
2021-04-12,22.170000076293945
2021-04-13,22.979999542236328
2021-04-14,22.25
2021-04-15,22.760000228881836
2021-04-16,22.1200008392334
2021-04-19,22.010000228881836
2021-04-20,21.670000076293945
2021-04-21,21.899999618530273
2021-04-22,21.8700008392334
2021-04-23,22.149999618530273
2021-04-26,22.56999969482422
2021-04-27,22.899999618530273
2021-04-28,22.860000610351562
2021-04-29,22.899999618530273
2021-04-30,22.450000762939453
2021-05-03,22.5
2021-05-04,22.489999771118164
2021-05-05,22.799999237060547
2021-05-06,19.010000228881836
2021-05-07,18.09000015258789
2021-05-10,17.65999984741211
2021-05-11,17.139999389648438
2021-05-12,16.68000030517578
2021-05-13,16.579999923706055
2021-05-14,17.34000015258789
